,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes
TCGA-EY-A1GQ-01A,0.001,0.000,0.001,0.000,0.000,0.000,0.778,0.001,0.079,0.040,0.063,0.035,0.002,0.000,0.000,0.000
TCGA-DI-A1BY-01A,0.042,0.000,0.002,0.009,0.000,0.000,0.710,0.012,0.041,0.159,0.008,0.013,0.001,0.000,0.001,0.000
TCGA-BG-A2AD-01A,0.001,0.000,0.008,0.000,0.000,0.000,0.883,0.002,0.029,0.068,0.000,0.007,0.000,0.000,0.002,0.000
TCGA-EO-A3B0-01A,0.015,0.000,0.021,0.004,0.007,0.000,0.809,0.002,0.017,0.051,0.009,0.062,0.000,0.001,0.001,0.000
TCGA-D1-A16X-01A,0.033,0.000,0.019,0.018,0.007,0.000,0.768,0.038,0.024,0.033,0.000,0.057,0.000,0.000,0.001,0.000
TCGA-EY-A1H0-01A,0.005,0.000,0.001,0.004,0.000,0.000,0.955,0.006,0.018,0.002,0.000,0.005,0.001,0.000,0.002,0.000
TCGA-B5-A3FD-01A,0.001,0.000,0.002,0.003,0.001,0.000,0.893,0.003,0.031,0.038,0.006,0.020,0.002,0.000,0.001,0.000
TCGA-BG-A0YU-01A,0.024,0.000,0.000,0.000,0.000,0.000,0.878,0.004,0.038,0.033,0.013,0.007,0.000,0.000,0.000,0.000
TCGA-EO-A3AY-01A,0.004,0.000,0.003,0.022,0.001,0.000,0.910,0.005,0.010,0.014,0.000,0.028,0.001,0.000,0.001,0.000
TCGA-EY-A548-01A,0.016,0.000,0.002,0.003,0.001,0.000,0.876,0.004,0.027,0.034,0.000,0.035,0.001,0.000,0.001,0.000
TCGA-D1-A16E-01A,0.006,0.000,0.003,0.005,0.003,0.000,0.820,0.017,0.039,0.027,0.005,0.068,0.000,0.001,0.003,0.000
TCGA-AJ-A3NE-01A,0.001,0.000,0.010,0.022,0.003,0.000,0.831,0.014,0.029,0.057,0.000,0.028,0.001,0.000,0.004,0.000
TCGA-BS-A0TD-01A,0.002,0.000,0.000,0.002,0.000,0.000,0.922,0.018,0.023,0.019,0.001,0.010,0.001,0.000,0.001,0.000
TCGA-EY-A2ON-01A,0.002,0.000,0.000,0.010,0.000,0.000,0.868,0.000,0.046,0.009,0.012,0.049,0.000,0.000,0.002,0.000
TCGA-D1-A0ZP-01A,0.003,0.000,0.011,0.007,0.000,0.000,0.847,0.011,0.034,0.064,0.006,0.015,0.000,0.000,0.001,0.000
TCGA-EY-A1GT-01A,0.000,0.000,0.007,0.000,0.000,0.000,0.763,0.003,0.102,0.084,0.023,0.014,0.001,0.000,0.003,0.000
