Mixture,T cells CD8,T cells CD4,Fibroblast,Macrophage,B cell,Malignant,Mast,Dendritic,Myocyte,Endothelial,P-value,Correlation,RMSE
TCGA-E9-A24A-01A,0,0.0282118381276947,0.477515770107927,0.23792945334867,0,0.0043901269122104,0,0,0,0.251952811503497,0,0.269948405617779,0.962954016279321
TCGA-AO-A0JE-01A,0.0171846586065074,0.00404714447558021,0.639679506878168,0.134167261399669,0.00966733982943833,0.0664812233514146,0.000446254234808895,0.0165376786914424,0,0.111788932532971,0,0.305933965724723,0.951925767045158
TCGA-AR-A1AU-01A,0,0,0.612959712554551,0.0555568080044202,0.00939890828914654,0.104439137842165,0.00231317577257384,0.00657809841473502,0,0.208754159122409,0,0.292413742282059,0.956350709659393
TCGA-E9-A1QZ-01A,0.0154625733649337,0.0545508620381984,0.616463522700565,0.0997897889373512,0.00165614390639656,0.0374187943691522,0.00357215155543194,0,0,0.171086163127971,0,0.334888601739692,0.942813604753144
TCGA-AR-A1AQ-01A,0.0651930343105099,0.0269470500798459,0.336675661860224,0.160550091048253,0.117724618561939,0.154036923169762,0,0.0379043730903383,0,0.100968247879128,0,0.387092163198752,0.924666791598335
TCGA-A2-A25A-01A,0,0,0.516877093290005,0.0317019745823579,0.00186313705584159,0.071235769024946,0.00545874314405954,0.0111972457010053,0,0.361666037201785,0,0.518110150835913,0.88199815292352
TCGA-E2-A10E-01A,0,0.019585305689895,0.518164709498027,0.110314699213566,0.00302170614978147,0.0123107942280129,0.000889894297655437,0.0263084348933298,0,0.309404456029733,0.01,0.23039530801225,0.97488335498987
TCGA-C8-A3M7-01A,0,0.00277265994700877,0.555769345579368,0.0102539740760557,0.0112432056299922,0.0315404764450007,0.00248265003408062,0,0,0.385937688288494,0,0.452422152049087,0.902101155509707
TCGA-AQ-A1H3-01A,0,0.0241621371650455,0.656819466138086,0.0350653845094675,0.0044277813656955,0.0127584128321251,0.00166771309518967,0.0130763151434999,0,0.252022789750891,0,0.330329612759444,0.943783894740815
TCGA-E9-A247-01A,0,0,0.632111782946917,0.0427549735214467,0.000835945279871279,0.128719281435465,0.0035373188351356,0.00343583857055504,0,0.18860485941061,0,0.326246358079325,0.94518329071139
TCGA-AN-A0FF-01A,0,0.0382997219701151,0.445399783181843,0.1580305751786,0.00625185425970648,0,0.0055786909366251,0.00192856039249036,0,0.34451081408062,0,0.272801035095221,0.962003569015017
TCGA-A2-A0YH-01A,0,0.0113683692882508,0.489915404341878,0.358191994300596,0.0314000248944932,0.0021291244762608,0.000126078873576759,0,0,0.106869003824945,0,0.313397609843288,0.949509283050771
TCGA-E9-A1RH-01A,0,0,0.724303447265822,0.136454641823509,0.0189536815670447,0.0753446679795149,0,0,0,0.0449435613641102,0,0.337668757371284,0.941165373019664
TCGA-AR-A2LE-01A,0,0,0.446004582990426,0.0509743047598978,0.000542670589612595,0,0,0.0101226250327247,0,0.492355816627339,0.01,0.153694475083282,1.0000298196929
TCGA-E9-A1N3-01A,0,0,0.461156495640464,0.095332544593682,0.00807547843409458,0,0,0.00696044496947523,0,0.428475036362284,0.01,0.125088211765565,1.00737015033098
TCGA-MS-A51U-01A,0.00803135018353931,0.00522969185999394,0.693950776892,0.0276716895783502,0.0102121722179089,0.0788155519792657,0.00046736258009946,0.00382285822655359,0,0.171798546482289,0,0.278484256513108,0.96157561230786
TCGA-A8-A07F-01A,0,0,0.58279777407245,0.144761686613612,0.00328163344441629,0.013503251963534,0.00379515087387161,0.0381613287204733,0,0.213699174311643,0.01,0.239471410976827,0.97261025345762
TCGA-A8-A08A-01A,0,0.0357096943470795,0.597392293644365,0.148864261177662,0.000465284813035598,0,0,0,0,0.217568466017858,0.01,0.16677759194595,0.995499633759505
TCGA-D8-A1JE-01A,0,0.00673208237672763,0.488188840686765,0.318723305306018,0.000254724282131528,0.000126673896348085,0,0,0,0.18597437345201,0.01,0.228274288617012,0.976305854786034
TCGA-LL-A6FR-01A,0,0.00766033678983392,0.40410529100774,0.0261364513890027,0,0.549580630571771,0.000635955515616166,0,0.000643505208019392,0.0112378295180168,0,0.509937357189271,0.861112107938502
TCGA-E9-A22D-01A,0.262741227705267,0,0.277348677352139,0.297910353602914,0.0177374361596362,0,0.0016687484051168,0.0125289792469906,0,0.130064577527937,0,0.32331499620039,0.947767742909452
TCGA-A2-A0SX-01A,0,0.12159994318077,0.411530486166541,0.114388848166409,0.0289474489434033,0.226539499700323,0,0.0417718630707481,0,0.0552219107718046,0,0.307953605422039,0.951664831700344
TCGA-EW-A1PH-01A,0,0,0.498116248996121,0.110133175456787,0.00619328616633904,0.264221490676979,0,0.0148267491683367,0,0.106509049535437,0,0.282750976549071,0.959871149168895
TCGA-AN-A0FK-01A,0,0.0228432519556722,0.396719578551058,0.0770295941535226,0.0217405082990061,0,0,0,0,0.481667067040741,0.01,0.132194810733112,1.00438789828204
