"","T Cells","DC","Macrophages","Cancer Cells","B Cells","Mast Cells","Endothelial Cells","Fibroblasts"
"TCGA.HW.7486.01A",0,0,0.0487916388247296,0.0104337363999081,0,0,0.760585613933121,0.180189010842242
"TCGA.QH.A6X8.01A",0,0,0.054719953500437,0.00580181924663321,0,0,0.75726010481191,0.18221812244102
"TCGA.DU.A76K.01A",0,0,0.00987501292631592,0.00517919706776399,0,0,0.664648618766544,0.320297171239376
"TCGA.DB.A4XD.01A",0,0.00275673707617195,0.026215583174332,0.0121166118468044,0,0,0.835667211950347,0.123243855952344
"TCGA.DH.A669.01A",0,0,0.071100066714224,0.00415771213673091,0,0,0.661890642819468,0.262851578329577
"TCGA.WY.A858.01A",0,0,0.240076419923379,0.00434077916704401,0,0,0.652102673596917,0.103480127312661
"TCGA.DU.7294.01A",0.147687266993459,0.0736884876638155,0,0.0182035660620883,0,0,0.674149784004775,0.0862708952758622
"TCGA.TM.A7C3.01A",0,0,0.014023176447601,0,0,0,0.684856270437417,0.301120553114982
"TCGA.WY.A85E.01A",0.0286266174324099,0.0529136669999547,0.0137069661624438,0.0133559297167906,0,0,0.743922988583116,0.147473831105285
"TCGA.FG.A6J1.01A",0.112919807101019,0.0837953221985285,0.0226400374616383,0.0534728950962867,0.0630623822105007,0,0.560143918263597,0.10396563766843
"TCGA.QH.A65Z.01A",0,0,0.0242549053473185,0.00114114030043518,0,0,0.739341928059702,0.235262026292545
"TCGA.VM.A8CD.01A",0,0,0.0864736701973371,0,0,0,0.44484278791493,0.468683541887733
"TCGA.HT.8019.01A",0,0,0.0306468095600088,0.0125164810863575,0,0,0.8084598464087,0.148376862944933
"TCGA.QH.A6CV.01A",0,0,0.151393326834242,0.000500893848425886,0,0,0.620234932745775,0.227870846571558
"TCGA.FG.A6IZ.01A",0.202738296199183,0.11161955092031,0.0177451569008872,0.101317496581841,0,0,0.509505502014243,0.0570739973835356
"TCGA.P5.A5F1.01A",0,0,0.0666726372606847,0.000201581887713718,0,0,0.607963487229761,0.325162293621841
"TCGA.P5.A72U.01A",0,0,0.055954792331877,0,0,0.000130650083671533,0.470513750784112,0.47340080680034
"TCGA.CS.4943.01A",0.0512673624906957,0.05708478780382,0.0463650156281432,0.0112668651774927,0,0,0.741377905539945,0.0926380633599033
"TCGA.P5.A5EW.01A",0,0,0.0483205865780975,0.000298853790180316,0,0,0.732597273213796,0.218783286417926
"TCGA.E1.5322.01A",0,0.0456116144037509,0.109857945215896,0,0,0,0.78563255147536,0.058897888904993
"TCGA.HT.A4DS.01A",0,0,0.249525438628026,0.024685966767172,0,0,0.548080473990246,0.177708120614556
"TCGA.FG.7634.01A",0,0,0.0591785124470264,0,0,0,0.677349685880323,0.26347180167265
"TCGA.DU.7306.01A",0,0,0.0504740013562524,0,0,0,0.716945444713437,0.232580553930311
"TCGA.FG.7636.01A",0.0363798311611444,0.0708845572882488,0.0418151412347697,0.0461995343511511,0,0,0.725919913157346,0.0788010228073401
"TCGA.S9.A7J3.01A",0,0,0.0263184144791681,0.000275647619704776,0,0,0.746835601954698,0.22657033594643
"TCGA.DU.A6S7.01A",0,0,0.0774214975206354,0.0139244566581747,0,0,0.788752684749182,0.119901361072008
"TCGA.DU.6396.01A",0,0,0.161325126181772,0,0,0,0.677540453117906,0.161134420700321
"TCGA.S9.A7QW.01A",0.210856697133641,0.0545464123875787,0,0.115953089735096,0,0,0.547287857982587,0.071355942761098
"TCGA.FG.7643.01A",0,0,0.0424410126026521,0.00632258457081521,0,0,0.663142247686042,0.28809415514049
"TCGA.S9.A7R4.01A",0,0.0294024394921302,0.0542081268740078,0,0.00376889809826739,0,0.766183314301472,0.146437221234123
"TCGA.DU.A6S8.01A",0.0150675372616164,0.0306398573609173,0.0203465723276397,0.021011904483911,0,0,0.80274844858084,0.110185679985075
"TCGA.HT.7601.01A",0,0,0.188836164579867,0,0,0,0.661361973080315,0.149801862339818
"TCGA.HT.7854.01A",0,0,0.119188562742389,0,0,0,0.626265595680254,0.254545841577357
"TCGA.QH.A6X3.01A",0,0,0.0728221436667297,0.0108050053194293,0,5.47813571196204e-05,0.748213413482592,0.16810465617413
"TCGA.P5.A5F0.01A",0,0,0.0150868822680517,0.0190303557841178,0,0,0.818842577792629,0.147040184155201
