"","T Cells","DC","Macrophages","Cancer Cells","B Cells","Mast Cells","Endothelial Cells","Fibroblasts"
"TCGA.CW.5590.01A",0.0228607071157337,0.00424680362750923,0.0368652370920205,0,0.00273122969869234,0.000429042517397848,0.694249069803989,0.238617910144657
"TCGA.CJ.4904.01A",0,5.7704736192447e-05,0.0585529206649349,0,0,0.000377278729354534,0.770974795052476,0.170037300817042
"TCGA.BP.4987.01A",0.00321460245624864,1.45093707484058e-05,0.0272495396173647,0,0,0.000573822783935581,0.774447157771983,0.19450036799972
"TCGA.B0.4849.01A",0,0.000189353578874307,0.0568281073706524,0,0,0.000765419631603943,0.769550757658304,0.172666361760565
"TCGA.BP.4329.01A",0,0,0.0645915093802734,0,0,0.000403822935863059,0.732282052245506,0.202722615438358
"TCGA.A3.3328.01A",0,0,0.0206548972636311,0.0479862967437601,0,2.60930664032473e-05,0.830397028778804,0.100935684147402
"TCGA.CJ.5672.01A",0,0,0.214995056250462,0,0,0.000414260752071057,0.621068709385634,0.163521973611833
"TCGA.B0.5104.01A",0,0,0.0655419548376739,0,0,0.000132988551069897,0.671529600646826,0.26279545596443
"TCGA.CW.6097.01A",0,0,0.0835037869304563,0,0,0.000224685257113043,0.441200778062731,0.475070749749699
"TCGA.B0.4700.01A",0,0,0.109499263431185,0,0,0,0.342578973310266,0.547921763258549
"TCGA.B0.5095.01A",0,0,0,0,0,0,0.484504309456776,0.515495690543224
"TCGA.B0.4810.01A",0.00485256628924437,0,0.0504997909072001,0,0,0.000863530568199097,0.532482846388157,0.4113012658472
"TCGA.CJ.4901.01A",0,0,0.162375829038325,0,0,0,0.482372160883268,0.355252010078407
"TCGA.CJ.4643.01A",0.00361842833488288,0.000503337249766684,0.0307398392954097,0,0,0.000297656552485003,0.760272394906413,0.204568343661043
"TCGA.B8.A54H.01A",0,0.000341439308407969,0.0336310033641732,0,0.00181314536725982,0.000254512369729099,0.768132871146122,0.195827028444308
"TCGA.AK.3429.01A",0.0837509123357008,0.0663618529648392,0.122226506868524,0,0,0.00033735129278427,0.631248475349319,0.0960749011888325
"TCGA.B0.4834.01A",0,0,0.00232965788090738,0,0,0,0.824942538475376,0.172727803643716
"TCGA.B0.4843.01A",0,0,0.000791384013775781,0,0,0,0.561807735298059,0.437400880688165
"TCGA.A3.3382.01A",0.0517812164301424,0,0.0488885879602136,0,0.00498615543871229,0,0.714783264920516,0.179560775250415
"TCGA.BP.4338.01A",0.000954075120605847,0,0.224480181093979,0.0439449264892038,0.00090262506605488,0,0.429435326308471,0.300282865921686
"TCGA.B4.5832.01A",0,0,0,0,0,0,0.616855813342831,0.383144186657169
"TCGA.CW.6088.01A",0,0,0,0,0,4.64496612033308e-05,0.8010191361833,0.198934414155497
"TCGA.A3.A6NJ.01A",0.00480922194674586,0,0.0988664593235058,0,0,0.000123287186972831,0.795175923072186,0.10102510847059
"TCGA.B0.5088.01A",0,0,0.074583285816437,0,0,0.00074109165165038,0.551441308702982,0.37323431382893
"TCGA.A3.3308.01A",0,0,0.0103297802590751,0,0,0,0.542261752559823,0.447408467181102
"TCGA.CW.5589.01A",0.000674358100558067,0.000688821669602179,0.0640122696688691,0,0,0.00044731627741196,0.731409577498702,0.202767656784857
"TCGA.B0.5702.01A",0.0216185901669516,0.0204970859542818,0.0584115662600712,0.0307881332651858,0.332934416655087,0.00395144360496972,0.431304869796477,0.100493894296975
"TCGA.BP.4169.01A",0,0,0.0482032691118109,0,0,0.000513701499620605,0.659947984789593,0.291335044598975
"TCGA.CZ.5468.01A",0,0,0.0765601066932373,0,0,0,0.31557720842866,0.607862684878102
"TCGA.A3.3313.01A",3.06357952953231e-05,0,0.0697191290855473,0,0.00248998850892697,6.64256766392209e-05,0.638516876506371,0.28917694442722
"TCGA.BP.4782.01A",0.00139873224298937,0,0.0821267083479737,0,0,0.000202993726098197,0.593357560130904,0.322914005552035
"TCGA.3Z.A93Z.01A",0.000973356880421071,0.000658971797689074,0.0413869701262736,0,0,0.000269996597942065,0.669938258313827,0.286772446283847
"TCGA.CZ.5454.01A",0,0,0.202125765022356,0,0,0,0.598759542133625,0.199114692844019
"TCGA.A3.3358.01A",0,0,0.178033912180687,0,0,0.000686450035753265,0.6747843557438,0.14649528203976
"TCGA.CJ.6031.01A",0,0,0.0818146904631525,0,0,0.00100991508719159,0.477466686733147,0.439708707716509
