"","T Cells","DC","Macrophages","Cancer Cells","B Cells","Mast Cells","Endothelial Cells","Fibroblasts"
"TCGA.AA.3518.01A",0.029442805245133,0.106820752815146,0.0643252282046048,0.22077627995724,0,0,0.433317010024271,0.145317923753604
"TCGA.CM.5863.01A",0,0,0.0653043526829759,0.127055247723907,0,0.000257728686094164,0.329469669411361,0.477913001495662
"TCGA.A6.5666.01A",0.0360520024994012,0.00724641219119359,0.0081202783668967,0.483438613240065,0.070615372031532,0,0.312276579444191,0.0822507422267212
"TCGA.DM.A280.01A",0,0,0.0176710973902729,0.380733331766037,0,7.89433059926235e-05,0.370058475296019,0.231458152241678
"TCGA.AA.3973.01A",0.0938770252475027,0.00931545300522648,0.0134684077792701,0.170385245283193,0.19612557143179,8.92616310473209e-06,0.307878202463923,0.208941168625991
"TCGA.CM.4748.01A",0,0.00411677027978859,0.076207839414847,0.220581001853167,0,0.000291796677433671,0.363518308652006,0.335284283122757
"TCGA.D5.6530.01A",0.121100576409853,0.00775958606596578,0.0672442011992796,0.270853711449256,0,0,0.348524478892816,0.18451744598283
"TCGA.A6.6137.01A",0,0.00206191857154635,0.0688163479627672,0.187963310281605,0,0.000581740717980582,0.559985116273046,0.180591566193055
"TCGA.DM.A1D6.01A",0.036610495745031,0.0179071244436967,0,0.377657491675037,0,0,0.501682405620747,0.0661424825154882
"TCGA.D5.6923.01A",0,0,0.00676749324642394,0.058120442125277,0,0.000292177754991582,0.282329440156368,0.652490446716939
"TCGA.A6.2681.01A",0,0,0.0885838199463299,0.148657946897249,0,0.0012518389522293,0.348785983143443,0.412720411060749
"TCGA.F4.6463.01A",0,0,0.0291848435600257,0.0718465785986656,0,0.000174434546062479,0.427562117428579,0.471232025866667
"TCGA.AZ.6599.01A",0.0353924035308395,0.0158607284355268,0.000870743929393193,0.358511366527353,0,0.000173728059907809,0.572471984506544,0.0167190450104353
"TCGA.D5.6532.01A",0,0,0.0110152601492389,0.372501802499999,0,0,0.428978020453427,0.187504916897336
"TCGA.AA.3489.01A",0,0,0.0982818929830381,4.21941888308748e-05,0,0.000911308516367808,0.321068582191289,0.579696022120474
"TCGA.CM.6171.01A",0,0,0.0316344264812805,0.240526113404038,0,0,0.460203916738113,0.267635543376569
"TCGA.AA.A00R.01A",0.145023042858915,0.0135021596727724,0.100967495669083,0.207921150379658,0,0,0.352593005585589,0.179993145833984
"TCGA.DM.A28C.01A",0.0847599120756836,0.0215283940461296,0,0.323331461586174,0,0,0.460795243895124,0.109584988396889
"TCGA.AA.A01T.01A",0,0.0676821004659296,0.00576746933025571,0.48688362173077,0,0,0.345094474647974,0.0945723338250703
"TCGA.AA.A02E.01A",0.0138823511525366,0.0324402489151646,0.0331668565095445,0.376416758955301,0,0,0.430974005713296,0.113119778754158
"TCGA.CM.5860.01A",0,0,0.0633870312453627,0.150181746185871,0,0.000446824058209293,0.224983011551901,0.561001386958656
"TCGA.A6.6141.01A",0,0,0.0912393433742995,0.249094625958209,0,0,0.403341816728643,0.256324213938849
"TCGA.AA.A00D.01A",0.018036111178605,0,0.198018972159615,0.122598015709597,0,6.07902410827305e-05,0.399018267296115,0.262267843414986
"TCGA.G4.6628.01A",0.131961430377777,0.0567723147926143,0.108935464910478,0.113924378106119,0,0.000111957375511381,0.390011866320964,0.198282588116536
"TCGA.AA.3688.01A",0,0.0124444091057934,0.0466522010369717,0.294562613924677,0,0.000228295670026241,0.459941109930274,0.186171370332258
"TCGA.AA.3492.01A",0.00040953437512581,0,0.112249880108794,0.305867485274893,0,0,0.365473546941401,0.215999553299787
"TCGA.AA.3819.01A",0,0,0.0646960523948051,0.263460055118237,0,3.51717521757649e-05,0.437252749788227,0.234555970946554
"TCGA.A6.2678.01A",0,0.002758650235931,0.0368551087394129,0.17637472487138,0,0.000357845999393741,0.522870307161159,0.260783362992724
"TCGA.AA.3521.01A",0.0226098399126381,0.0017912736808455,0.0517900504374217,0.191184061533052,0.0990790373774949,0.000233302778062842,0.387627764593988,0.245684669686497
