sample_id,cancer_type,reference_dataset,B Cells,CD4 T,CD8 T,Cancer Cells,DC,Endothelial Cells,Fibroblasts,Macrophages,Mast Cells,NK,Neutrophils
TCGA-DJ-A3UM-01A,THCA,simu_bulk_2ds_ref,0.001,0.002,0,0.69,0,0.135,0.097,0.073,0,0,0
TCGA-BJ-A45E-01A,THCA,simu_bulk_2ds_ref,0.182,0.062,0.13,0.104,0.001,0.1,0.093,0.296,0,0.033,0
TCGA-E8-A415-01A,THCA,simu_bulk_2ds_ref,0,0,0.002,0.751,0,0.106,0.065,0.076,0,0,0
TCGA-DJ-A4UP-01A,THCA,simu_bulk_2ds_ref,0.099,0.065,0.027,0.418,0.004,0.151,0.126,0.105,0.003,0.003,0
TCGA-ET-A39J-01A,THCA,simu_bulk_2ds_ref,0,0,0,0.614,0,0.225,0.15,0.008,0.002,0,0
TCGA-KS-A41J-01A,THCA,simu_bulk_2ds_ref,0.011,0.027,0.009,0.747,0,0.058,0.019,0.129,0,0,0
TCGA-BJ-A4O9-01A,THCA,simu_bulk_2ds_ref,0,0,0,0.914,0,0.084,0.001,0,0,0,0
TCGA-EM-A2CM-01A,THCA,simu_bulk_2ds_ref,0,0,0,0.849,0,0.086,0.02,0.045,0,0,0
TCGA-EM-A2OW-01A,THCA,simu_bulk_2ds_ref,0,0,0,0.568,0,0.293,0.085,0.054,0,0,0
TCGA-FE-A3PA-01A,THCA,simu_bulk_2ds_ref,0,0.025,0,0.696,0,0.137,0.081,0.059,0,0.001,0
TCGA-QD-A8IV-01A,THCA,simu_bulk_2ds_ref,0.022,0,0.008,0.707,0,0.186,0.047,0.026,0,0.003,0
TCGA-IM-A3U2-01A,THCA,simu_bulk_2ds_ref,0,0.009,0,0.802,0,0.059,0.094,0.036,0,0,0
TCGA-EL-A3H5-01A,THCA,simu_bulk_2ds_ref,0.012,0.037,0.005,0.275,0,0.16,0.376,0.13,0.004,0,0
TCGA-DJ-A13R-01A,THCA,simu_bulk_2ds_ref,0.033,0.048,0.159,0.391,0,0.081,0.034,0.252,0,0.001,0
TCGA-ET-A2MY-01A,THCA,simu_bulk_2ds_ref,0,0.002,0,0.842,0,0.063,0.04,0.053,0,0,0
TCGA-IM-A3EB-01A,THCA,simu_bulk_2ds_ref,0.031,0.007,0.023,0.719,0,0.054,0.034,0.131,0,0,0
TCGA-DJ-A1QF-01A,THCA,simu_bulk_2ds_ref,0,0,0,0.642,0,0.165,0.124,0.069,0,0,0
TCGA-EL-A3T1-01A,THCA,simu_bulk_2ds_ref,0.039,0.031,0.015,0.659,0.008,0.062,0.066,0.118,0,0.001,0
TCGA-FE-A237-01A,THCA,simu_bulk_2ds_ref,0.004,0.022,0,0.658,0.001,0.112,0.132,0.07,0,0,0
TCGA-EM-A3FJ-01A,THCA,simu_bulk_2ds_ref,0,0.001,0,0.728,0,0.106,0.1,0.065,0,0,0
TCGA-EL-A3D4-01A,THCA,simu_bulk_2ds_ref,0,0,0,0.531,0,0.24,0.192,0.034,0.002,0.001,0
TCGA-FE-A234-01A,THCA,simu_bulk_2ds_ref,0,0.024,0,0.726,0,0.077,0.057,0.117,0,0,0
TCGA-FY-A40M-01A,THCA,simu_bulk_2ds_ref,0,0,0.001,0.831,0,0.102,0.063,0.003,0,0,0
TCGA-EM-A2OX-01A,THCA,simu_bulk_2ds_ref,0,0.007,0,0.657,0,0.125,0.152,0.059,0,0.002,0
TCGA-EM-A4FR-01A,THCA,simu_bulk_2ds_ref,0,0,0,0.734,0,0.16,0.063,0.041,0,0.002,0
TCGA-EM-A22I-01A,THCA,simu_bulk_2ds_ref,0,0.017,0,0.732,0,0.078,0.094,0.078,0.002,0,0
TCGA-FY-A3ON-01A,THCA,simu_bulk_2ds_ref,0.014,0.022,0.01,0.626,0,0.171,0.082,0.073,0.001,0.001,0
TCGA-EM-A1YC-01A,THCA,simu_bulk_2ds_ref,0,0,0,0.831,0,0.108,0.029,0.032,0,0,0
TCGA-EL-A3TA-01A,THCA,simu_bulk_2ds_ref,0.01,0.032,0.004,0.471,0,0.2,0.143,0.133,0.004,0.003,0
TCGA-CE-A27D-01A,THCA,simu_bulk_2ds_ref,0.142,0.061,0.043,0.363,0.003,0.126,0.118,0.136,0,0.007,0
TCGA-ET-A3BT-01A,THCA,simu_bulk_2ds_ref,0.011,0.014,0,0.766,0,0.084,0.065,0.059,0,0,0
TCGA-DJ-A13U-01A,THCA,simu_bulk_2ds_ref,0,0.009,0,0.808,0,0.102,0.051,0.029,0,0,0
TCGA-EM-A3O8-01A,THCA,simu_bulk_2ds_ref,0,0,0,0.741,0,0.189,0.07,0,0,0,0
TCGA-H2-A422-01A,THCA,simu_bulk_2ds_ref,0,0,0,0.842,0,0.087,0.012,0.059,0,0,0
TCGA-EL-A3CL-01A,THCA,simu_bulk_2ds_ref,0,0,0,0.76,0,0.12,0.073,0.044,0.002,0.001,0
TCGA-DJ-A13V-01A,THCA,simu_bulk_2ds_ref,0,0.004,0.001,0.739,0,0.123,0.1,0.028,0,0.004,0
TCGA-EM-A22Q-01A,THCA,simu_bulk_2ds_ref,0.002,0.001,0,0.77,0.007,0.15,0.054,0.003,0,0.013,0
TCGA-EM-A22J-01A,THCA,simu_bulk_2ds_ref,0,0,0,0.703,0,0.198,0.044,0.054,0,0,0
TCGA-BJ-A0Z2-01A,THCA,simu_bulk_2ds_ref,0,0.02,0,0.853,0,0.086,0.037,0.003,0,0,0
TCGA-E3-A3E3-01A,THCA,simu_bulk_2ds_ref,0,0.002,0,0.813,0,0.083,0.043,0.06,0,0,0
TCGA-IM-A41Y-01A,THCA,simu_bulk_2ds_ref,0,0,0,0.883,0,0.07,0.036,0.011,0,0,0
TCGA-EM-A3AN-01A,THCA,simu_bulk_2ds_ref,0,0,0,0.73,0,0.116,0.095,0.059,0,0,0
TCGA-EL-A3ZP-01A,THCA,simu_bulk_2ds_ref,0.037,0.039,0.029,0.535,0,0.111,0.116,0.123,0.001,0.008,0
TCGA-BJ-A3F0-01A,THCA,simu_bulk_2ds_ref,0,0,0,0.597,0,0.316,0.073,0.004,0,0.011,0
TCGA-L6-A4EQ-01A,THCA,simu_bulk_2ds_ref,0,0.001,0,0.816,0,0.123,0.019,0.034,0,0.006,0
TCGA-FE-A3PB-01A,THCA,simu_bulk_2ds_ref,0.027,0.041,0.008,0.5,0.001,0.084,0.22,0.118,0.002,0,0
TCGA-BJ-A0ZB-01A,THCA,simu_bulk_2ds_ref,0,0.002,0,0.794,0,0.097,0.073,0.034,0,0,0
TCGA-BJ-A0ZJ-01A,THCA,simu_bulk_2ds_ref,0.129,0.08,0.032,0.378,0.001,0.127,0.113,0.133,0,0.005,0
TCGA-EM-A4G1-01A,THCA,simu_bulk_2ds_ref,0,0.004,0,0.74,0,0.114,0.033,0.109,0,0,0
TCGA-DJ-A3V7-01A,THCA,simu_bulk_2ds_ref,0,0.016,0,0.822,0,0.072,0.015,0.075,0.001,0,0
TCGA-KS-A4I3-01A,THCA,simu_bulk_2ds_ref,0,0,0.003,0.79,0,0.127,0.06,0.018,0,0,0
TCGA-EL-A3GR-01A,THCA,simu_bulk_2ds_ref,0,0.014,0,0.562,0,0.145,0.175,0.097,0.008,0,0
TCGA-EM-A3AQ-01A,THCA,simu_bulk_2ds_ref,0,0.003,0,0.699,0,0.19,0.066,0.04,0,0.001,0
TCGA-BJ-A45C-01A,THCA,simu_bulk_2ds_ref,0,0,0,0.735,0,0.17,0.095,0,0,0,0
TCGA-DJ-A2PN-01A,THCA,simu_bulk_2ds_ref,0,0.001,0,0.721,0,0.173,0.069,0.036,0.001,0,0
TCGA-ET-A2MX-01A,THCA,simu_bulk_2ds_ref,0,0,0,0.911,0,0.048,0,0.04,0,0,0
TCGA-DJ-A4V2-01A,THCA,simu_bulk_2ds_ref,0,0.02,0,0.746,0,0.082,0.049,0.102,0.001,0,0
TCGA-ET-A39P-01A,THCA,simu_bulk_2ds_ref,0,0,0,0.751,0,0.101,0.092,0.055,0,0,0
TCGA-DJ-A2Q3-01A,THCA,simu_bulk_2ds_ref,0.079,0.032,0.02,0.498,0,0.085,0.113,0.168,0.003,0.001,0
TCGA-DJ-A2QC-01A,THCA,simu_bulk_2ds_ref,0.008,0.004,0.003,0.643,0,0.217,0.055,0.06,0.002,0.008,0
TCGA-KS-A4IB-01A,THCA,simu_bulk_2ds_ref,0,0,0,0.849,0,0.094,0.024,0.033,0,0,0
TCGA-EM-A3AK-01A,THCA,simu_bulk_2ds_ref,0,0.02,0,0.561,0,0.207,0.12,0.082,0.006,0.003,0
TCGA-EM-A3ST-01A,THCA,simu_bulk_2ds_ref,0,0,0,0.847,0.006,0.108,0.022,0.007,0,0.011,0
TCGA-FK-A3SD-01A,THCA,simu_bulk_2ds_ref,0,0,0,0.744,0,0.17,0.086,0,0,0,0
TCGA-DJ-A2PQ-01A,THCA,simu_bulk_2ds_ref,0,0,0,0.774,0,0.114,0.087,0.024,0,0,0
TCGA-DJ-A13P-01A,THCA,simu_bulk_2ds_ref,0,0,0,0.691,0,0.193,0.071,0.042,0,0.003,0
TCGA-EM-A2CL-01A,THCA,simu_bulk_2ds_ref,0,0,0,0.732,0,0.188,0.08,0,0,0,0
TCGA-EL-A3MW-01A,THCA,simu_bulk_2ds_ref,0,0,0,0.679,0,0.137,0.057,0.125,0,0,0
TCGA-J8-A3NZ-01A,THCA,simu_bulk_2ds_ref,0,0.013,0.004,0.766,0,0.074,0.042,0.1,0,0,0
TCGA-DE-A4MD-01A,THCA,simu_bulk_2ds_ref,0,0,0,0.942,0,0.035,0,0.023,0,0,0
TCGA-DJ-A3UY-01A,THCA,simu_bulk_2ds_ref,0,0.028,0,0.552,0,0.111,0.186,0.122,0.001,0,0
TCGA-ET-A25O-01A,THCA,simu_bulk_2ds_ref,0,0,0,0.913,0,0.074,0.014,0,0,0,0
TCGA-EL-A3ZM-01A,THCA,simu_bulk_2ds_ref,0,0.015,0,0.8,0,0.025,0.064,0.096,0,0,0
TCGA-EM-A1YE-01A,THCA,simu_bulk_2ds_ref,0,0,0,0.719,0,0.164,0.11,0.002,0,0.004,0
TCGA-J8-A42S-01A,THCA,simu_bulk_2ds_ref,0,0.001,0,0.675,0,0.146,0.163,0.014,0.001,0,0
TCGA-ET-A2MZ-01A,THCA,simu_bulk_2ds_ref,0,0.001,0,0.594,0,0.235,0.1,0.065,0.006,0,0
TCGA-CE-A3ME-01A,THCA,simu_bulk_2ds_ref,0,0,0.009,0.811,0,0.09,0.039,0.051,0,0,0
TCGA-EM-A3AR-01A,THCA,simu_bulk_2ds_ref,0,0.012,0.001,0.621,0,0.121,0.201,0.045,0,0,0
TCGA-FY-A3BL-01A,THCA,simu_bulk_2ds_ref,0,0,0.006,0.907,0,0.06,0.024,0.002,0,0,0
TCGA-EM-A3FM-01A,THCA,simu_bulk_2ds_ref,0,0.009,0,0.763,0,0.041,0.056,0.13,0,0,0
TCGA-BJ-A4O8-01A,THCA,simu_bulk_2ds_ref,0.001,0.033,0,0.547,0.002,0.096,0.169,0.151,0,0.001,0
TCGA-H2-A3RI-01A,THCA,simu_bulk_2ds_ref,0.002,0.021,0.002,0.762,0,0.078,0.049,0.086,0,0,0
TCGA-ET-A3BQ-01B,THCA,simu_bulk_2ds_ref,0,0,0,0.59,0,0.225,0.127,0.055,0.001,0.001,0
TCGA-CE-A482-01A,THCA,simu_bulk_2ds_ref,0,0.003,0,0.698,0,0.136,0.098,0.063,0.001,0,0
TCGA-DJ-A4UT-01A,THCA,simu_bulk_2ds_ref,0.019,0.064,0.056,0.34,0.003,0.181,0.179,0.146,0.001,0.011,0
TCGA-BJ-A3PU-01A,THCA,simu_bulk_2ds_ref,0.001,0.014,0,0.86,0,0.03,0.001,0.094,0,0,0
TCGA-ET-A25I-01A,THCA,simu_bulk_2ds_ref,0.028,0.001,0.014,0.628,0,0.201,0.053,0.064,0,0.011,0
TCGA-BJ-A2NA-01A,THCA,simu_bulk_2ds_ref,0,0,0.004,0.717,0,0.106,0.083,0.088,0.001,0.001,0
TCGA-DJ-A3V0-01A,THCA,simu_bulk_2ds_ref,0,0.004,0,0.594,0,0.125,0.205,0.071,0.001,0,0
TCGA-DJ-A3VB-01A,THCA,simu_bulk_2ds_ref,0,0.028,0.001,0.747,0,0.07,0.058,0.096,0,0,0
TCGA-DJ-A2PV-01A,THCA,simu_bulk_2ds_ref,0,0.006,0,0.431,0,0.241,0.222,0.098,0.002,0.001,0
TCGA-BJ-A3PR-01A,THCA,simu_bulk_2ds_ref,0.297,0.087,0.083,0.214,0.014,0.08,0.06,0.162,0,0.003,0
TCGA-EL-A3CR-01A,THCA,simu_bulk_2ds_ref,0,0.018,0,0.4,0,0.1,0.171,0.309,0,0.002,0
TCGA-ET-A25N-01A,THCA,simu_bulk_2ds_ref,0,0,0,0.68,0,0.158,0.091,0.069,0.001,0,0
TCGA-EM-A1CT-01A,THCA,simu_bulk_2ds_ref,0.001,0.03,0,0.673,0,0.099,0.062,0.134,0,0.001,0
TCGA-DE-A0Y3-01B,THCA,simu_bulk_2ds_ref,0,0.001,0,0.882,0,0.066,0.021,0.029,0,0,0
TCGA-DJ-A2Q0-01A,THCA,simu_bulk_2ds_ref,0,0,0,0.659,0,0.249,0.054,0.036,0,0.003,0
TCGA-FE-A239-01A,THCA,simu_bulk_2ds_ref,0,0,0,0.812,0,0.139,0.048,0,0,0,0
TCGA-EM-A2CQ-01A,THCA,simu_bulk_2ds_ref,0,0,0,0.736,0,0.187,0.075,0.003,0,0,0
TCGA-EL-A3T6-01A,THCA,simu_bulk_2ds_ref,0.038,0.035,0.036,0.629,0,0.063,0.016,0.183,0,0,0
TCGA-DE-A4M8-01A,THCA,simu_bulk_2ds_ref,0.162,0.056,0.064,0.245,0.001,0.122,0.121,0.209,0,0.02,0
TCGA-J8-A3YH-01A,THCA,simu_bulk_2ds_ref,0,0.001,0,0.676,0,0.168,0.115,0.039,0.001,0,0
TCGA-FE-A235-01A,THCA,simu_bulk_2ds_ref,0.009,0.015,0,0.639,0.004,0.143,0.133,0.053,0.001,0.002,0
TCGA-FE-A233-01A,THCA,simu_bulk_2ds_ref,0,0,0,0.833,0,0.1,0.039,0.028,0,0,0
TCGA-EM-A4FN-01A,THCA,simu_bulk_2ds_ref,0,0.014,0,0.725,0,0.083,0.039,0.139,0,0,0
TCGA-ET-A39N-01A,THCA,simu_bulk_2ds_ref,0,0,0,0.746,0,0.153,0.065,0.026,0,0.01,0
TCGA-ET-A4KN-01A,THCA,simu_bulk_2ds_ref,0.085,0.045,0.023,0.623,0.006,0.014,0.047,0.137,0,0.02,0
TCGA-BJ-A3EZ-01A,THCA,simu_bulk_2ds_ref,0,0.013,0,0.813,0,0.065,0.044,0.064,0,0,0
TCGA-DJ-A3UR-01A,THCA,simu_bulk_2ds_ref,0,0,0,0.696,0,0.174,0.084,0.045,0,0.001,0
TCGA-FE-A236-01A,THCA,simu_bulk_2ds_ref,0,0,0,0.785,0,0.138,0.067,0.008,0,0.001,0
TCGA-ET-A2N4-01A,THCA,simu_bulk_2ds_ref,0,0,0,0.686,0,0.191,0.064,0.057,0.001,0.001,0
TCGA-ET-A3BO-01A,THCA,simu_bulk_2ds_ref,0.039,0.042,0.025,0.562,0,0.088,0.095,0.148,0.001,0.001,0
TCGA-FK-A4UB-01A,THCA,simu_bulk_2ds_ref,0,0.002,0,0.711,0,0.16,0.122,0.006,0,0,0
TCGA-DJ-A13L-01A,THCA,simu_bulk_2ds_ref,0.044,0.052,0.025,0.453,0,0.065,0.136,0.223,0.001,0,0
TCGA-EL-A3ZQ-01A,THCA,simu_bulk_2ds_ref,0.03,0.016,0.01,0.755,0.013,0.062,0.036,0.062,0,0.016,0
TCGA-EL-A4K9-01A,THCA,simu_bulk_2ds_ref,0,0.008,0,0.537,0,0.247,0.118,0.086,0.001,0.003,0
TCGA-ET-A25P-01A,THCA,simu_bulk_2ds_ref,0,0,0,0.654,0,0.221,0.101,0.013,0.007,0.003,0
TCGA-EL-A3ZH-01A,THCA,simu_bulk_2ds_ref,0,0,0,0.755,0,0.159,0.06,0.025,0,0.001,0
TCGA-EM-A4FU-01A,THCA,simu_bulk_2ds_ref,0,0,0,0.626,0,0.222,0.106,0.044,0.002,0.001,0
TCGA-KS-A4IC-01A,THCA,simu_bulk_2ds_ref,0,0.005,0.001,0.78,0,0.101,0.043,0.068,0,0.001,0
TCGA-CE-A481-01A,THCA,simu_bulk_2ds_ref,0.044,0.035,0.022,0.477,0.001,0.189,0.139,0.086,0.001,0.006,0
TCGA-EL-A3CT-01A,THCA,simu_bulk_2ds_ref,0,0.005,0,0.58,0,0.13,0.158,0.125,0.001,0,0
TCGA-DJ-A2QA-01A,THCA,simu_bulk_2ds_ref,0,0.006,0,0.736,0,0.122,0.101,0.033,0,0.002,0
TCGA-FY-A40L-01A,THCA,simu_bulk_2ds_ref,0.004,0.005,0.004,0.696,0,0.084,0.098,0.108,0,0.001,0
TCGA-DO-A1K0-01A,THCA,simu_bulk_2ds_ref,0,0,0,0.738,0,0.134,0.067,0.061,0,0,0
TCGA-EL-A3GW-01A,THCA,simu_bulk_2ds_ref,0,0,0,0.775,0,0.134,0.062,0.029,0,0,0
TCGA-EM-A3SU-01A,THCA,simu_bulk_2ds_ref,0.037,0.019,0.007,0.632,0,0.044,0.026,0.234,0,0.001,0
TCGA-MK-A84Z-01A,THCA,simu_bulk_2ds_ref,0,0,0,0.605,0,0.28,0.11,0.003,0,0.001,0
TCGA-EL-A3H1-01A,THCA,simu_bulk_2ds_ref,0,0,0,0.687,0,0.218,0.072,0.022,0,0,0
TCGA-EL-A3ZK-01A,THCA,simu_bulk_2ds_ref,0.012,0.01,0,0.7,0,0.111,0.021,0.139,0.002,0.004,0
TCGA-EL-A3GP-01A,THCA,simu_bulk_2ds_ref,0.002,0.015,0,0.289,0,0.079,0.287,0.319,0.007,0.002,0
TCGA-ET-A40R-01A,THCA,simu_bulk_2ds_ref,0.049,0.026,0.001,0.57,0,0.162,0.107,0.08,0.001,0.003,0
TCGA-DJ-A3UX-01A,THCA,simu_bulk_2ds_ref,0.044,0.034,0.022,0.566,0,0.134,0.129,0.07,0.001,0.001,0
TCGA-DJ-A1QQ-01A,THCA,simu_bulk_2ds_ref,0.008,0.008,0,0.673,0,0.141,0.122,0.046,0.002,0,0
TCGA-EL-A3GY-01A,THCA,simu_bulk_2ds_ref,0,0.02,0.001,0.677,0,0.102,0.062,0.136,0.002,0,0
TCGA-EL-A4K0-01A,THCA,simu_bulk_2ds_ref,0,0.028,0,0.551,0,0.126,0.176,0.116,0,0.002,0
TCGA-IM-A3ED-01A,THCA,simu_bulk_2ds_ref,0.066,0.03,0.016,0.528,0,0.116,0.101,0.141,0.001,0,0
TCGA-EL-A3GZ-01A,THCA,simu_bulk_2ds_ref,0,0.013,0,0.691,0,0.106,0.138,0.052,0,0,0
TCGA-DJ-A1QL-01A,THCA,simu_bulk_2ds_ref,0,0,0,0.658,0,0.272,0.056,0.005,0,0.009,0
TCGA-DJ-A4V5-01A,THCA,simu_bulk_2ds_ref,0.011,0.057,0.011,0.544,0.007,0.135,0.099,0.128,0.005,0.003,0
TCGA-EL-A3T3-01A,THCA,simu_bulk_2ds_ref,0,0.003,0,0.724,0,0.114,0.076,0.082,0.001,0,0
TCGA-E3-A3E1-01A,THCA,simu_bulk_2ds_ref,0,0.012,0,0.768,0,0.082,0.045,0.092,0,0,0
TCGA-EL-A3ZN-01A,THCA,simu_bulk_2ds_ref,0,0,0,0.552,0,0.245,0.154,0.044,0.004,0.002,0
TCGA-EL-A4KI-01A,THCA,simu_bulk_2ds_ref,0,0.001,0,0.78,0,0.119,0.098,0.001,0,0.002,0
TCGA-DJ-A2Q4-01A,THCA,simu_bulk_2ds_ref,0.005,0.009,0.004,0.749,0,0.112,0.06,0.06,0,0,0
TCGA-IM-A4EB-01A,THCA,simu_bulk_2ds_ref,0.068,0.046,0.014,0.568,0,0.091,0.095,0.115,0.001,0.001,0
TCGA-ET-A39M-01A,THCA,simu_bulk_2ds_ref,0.07,0.045,0.02,0.489,0.003,0.091,0.071,0.201,0.001,0.009,0
TCGA-EM-A2CU-01A,THCA,simu_bulk_2ds_ref,0.015,0.012,0.022,0.508,0,0.187,0.12,0.121,0.002,0.012,0
TCGA-E3-A3DZ-01A,THCA,simu_bulk_2ds_ref,0,0,0,0.703,0,0.217,0.079,0,0.001,0,0
TCGA-ET-A3BW-01A,THCA,simu_bulk_2ds_ref,0,0,0,0.791,0,0.143,0.065,0.001,0,0,0
TCGA-DE-A0Y2-01A,THCA,simu_bulk_2ds_ref,0,0,0,0.801,0,0.098,0.038,0.063,0,0,0
TCGA-DJ-A3VF-01A,THCA,simu_bulk_2ds_ref,0,0.046,0,0.421,0,0.092,0.284,0.151,0.006,0,0
TCGA-DJ-A3VA-01A,THCA,simu_bulk_2ds_ref,0.01,0.009,0.004,0.741,0,0.133,0.058,0.043,0.001,0.001,0
TCGA-E3-A3E2-01A,THCA,simu_bulk_2ds_ref,0.161,0.054,0.03,0.448,0.001,0.126,0.088,0.091,0,0,0
TCGA-DJ-A1QD-01A,THCA,simu_bulk_2ds_ref,0.001,0.001,0.001,0.755,0,0.109,0.074,0.058,0.001,0,0
TCGA-J8-A3O1-01A,THCA,simu_bulk_2ds_ref,0,0,0,0.91,0,0.045,0.006,0.039,0,0,0
TCGA-DJ-A3V3-01A,THCA,simu_bulk_2ds_ref,0.043,0.02,0.022,0.574,0.001,0.158,0.085,0.087,0.001,0.009,0
TCGA-DJ-A2Q2-01A,THCA,simu_bulk_2ds_ref,0.004,0.001,0.002,0.573,0,0.242,0.089,0.089,0,0,0
TCGA-KS-A41F-01A,THCA,simu_bulk_2ds_ref,0,0.002,0,0.882,0,0.075,0.017,0.023,0,0.001,0
TCGA-EL-A3N3-01A,THCA,simu_bulk_2ds_ref,0.052,0.032,0.016,0.58,0.001,0.074,0.084,0.156,0.001,0.003,0
TCGA-GE-A2C6-01A,THCA,simu_bulk_2ds_ref,0.023,0.043,0.021,0.45,0,0.095,0.241,0.122,0.002,0.002,0
TCGA-EL-A3D6-01A,THCA,simu_bulk_2ds_ref,0.031,0.041,0.001,0.614,0,0.079,0.095,0.138,0.001,0,0
TCGA-DE-A7U5-01A,THCA,simu_bulk_2ds_ref,0.027,0.036,0.008,0.552,0.001,0.06,0.167,0.145,0.001,0.002,0
TCGA-DJ-A3VJ-01A,THCA,simu_bulk_2ds_ref,0,0.03,0.008,0.612,0,0.162,0.127,0.058,0.002,0.001,0
TCGA-EM-A4FQ-01A,THCA,simu_bulk_2ds_ref,0.022,0.022,0,0.672,0,0.081,0.071,0.132,0,0,0
TCGA-CE-A3MD-01A,THCA,simu_bulk_2ds_ref,0,0.01,0.001,0.596,0,0.186,0.116,0.085,0,0.006,0
TCGA-ET-A25R-01A,THCA,simu_bulk_2ds_ref,0,0.027,0,0.751,0,0.066,0.076,0.08,0,0,0
TCGA-EM-A3AP-01A,THCA,simu_bulk_2ds_ref,0,0,0,0.601,0,0.2,0.137,0.062,0,0,0
TCGA-EL-A4JZ-01A,THCA,simu_bulk_2ds_ref,0.006,0.033,0.022,0.416,0,0.129,0.206,0.186,0.001,0.001,0
TCGA-FE-A23A-01A,THCA,simu_bulk_2ds_ref,0.076,0.037,0.039,0.632,0,0.049,0.042,0.12,0,0.006,0
TCGA-BJ-A45K-01A,THCA,simu_bulk_2ds_ref,0,0,0,0.635,0,0.266,0.099,0,0,0,0
TCGA-DJ-A1QE-01A,THCA,simu_bulk_2ds_ref,0.003,0.014,0,0.777,0,0.054,0.096,0.054,0,0,0
TCGA-E8-A433-01A,THCA,simu_bulk_2ds_ref,0.011,0.025,0,0.687,0,0.077,0.111,0.086,0,0.001,0
TCGA-BJ-A18Z-01A,THCA,simu_bulk_2ds_ref,0,0.021,0,0.644,0,0.054,0.198,0.082,0.001,0,0
TCGA-EL-A4K7-01A,THCA,simu_bulk_2ds_ref,0,0,0,0.922,0,0.031,0.022,0.025,0,0,0
TCGA-FY-A3W9-01A,THCA,simu_bulk_2ds_ref,0,0,0,0.802,0,0.157,0.04,0,0,0.001,0
TCGA-EM-A22P-01A,THCA,simu_bulk_2ds_ref,0.127,0.082,0.017,0.235,0.018,0.158,0.218,0.133,0.006,0.006,0
TCGA-DJ-A2PX-01A,THCA,simu_bulk_2ds_ref,0.108,0.05,0.033,0.409,0,0.161,0.108,0.124,0.002,0.005,0
TCGA-J8-A3YD-01A,THCA,simu_bulk_2ds_ref,0,0,0,0.765,0,0.144,0.081,0.009,0,0,0
TCGA-EL-A3CV-01A,THCA,simu_bulk_2ds_ref,0.035,0.047,0.058,0.301,0.001,0.147,0.212,0.195,0.003,0,0
TCGA-EL-A3CM-01A,THCA,simu_bulk_2ds_ref,0.008,0.01,0,0.555,0,0.149,0.197,0.08,0.001,0,0
TCGA-ET-A40Q-01A,THCA,simu_bulk_2ds_ref,0.023,0.024,0.01,0.633,0,0.047,0.085,0.177,0,0,0
TCGA-FK-A3SE-01A,THCA,simu_bulk_2ds_ref,0,0,0,0.757,0,0.114,0.094,0.034,0.002,0,0
TCGA-EM-A2OZ-01A,THCA,simu_bulk_2ds_ref,0,0.001,0.003,0.792,0,0.115,0.029,0.06,0,0,0
TCGA-ET-A3DW-01A,THCA,simu_bulk_2ds_ref,0.003,0.025,0.002,0.847,0,0.036,0.001,0.086,0,0,0
TCGA-H2-A421-01A,THCA,simu_bulk_2ds_ref,0.061,0.035,0.03,0.55,0,0.102,0.085,0.134,0,0.003,0
TCGA-E8-A417-01A,THCA,simu_bulk_2ds_ref,0.039,0.016,0.022,0.693,0,0.07,0.038,0.12,0,0.002,0
TCGA-EL-A3T2-01A,THCA,simu_bulk_2ds_ref,0,0,0,0.74,0,0.196,0.061,0.002,0,0,0
TCGA-E3-A3E0-01A,THCA,simu_bulk_2ds_ref,0,0.019,0.007,0.711,0,0.133,0.061,0.067,0.001,0,0
TCGA-DJ-A3UW-01A,THCA,simu_bulk_2ds_ref,0.109,0.052,0.026,0.458,0,0.078,0.099,0.166,0.001,0.011,0
TCGA-DJ-A3VG-01A,THCA,simu_bulk_2ds_ref,0,0,0,0.659,0,0.224,0.111,0.006,0,0.001,0
TCGA-BJ-A28V-01A,THCA,simu_bulk_2ds_ref,0,0,0,0.693,0,0.226,0.08,0,0,0,0
TCGA-EM-A2CJ-01A,THCA,simu_bulk_2ds_ref,0,0,0,0.761,0,0.155,0.084,0,0,0,0
TCGA-EM-A22O-01A,THCA,simu_bulk_2ds_ref,0,0,0,0.885,0,0.078,0,0.036,0,0,0
TCGA-E3-A3DY-01A,THCA,simu_bulk_2ds_ref,0.024,0.015,0.007,0.691,0,0.089,0.051,0.123,0,0,0
TCGA-BJ-A0ZH-01A,THCA,simu_bulk_2ds_ref,0.011,0.02,0,0.707,0,0.125,0.054,0.083,0,0,0
TCGA-BJ-A45J-01A,THCA,simu_bulk_2ds_ref,0,0.009,0,0.733,0,0.149,0.065,0.041,0.004,0,0
TCGA-FY-A3I5-01B,THCA,simu_bulk_2ds_ref,0.066,0.047,0.008,0.576,0,0.13,0.103,0.069,0,0,0
TCGA-E8-A413-01A,THCA,simu_bulk_2ds_ref,0,0.031,0,0.509,0,0.103,0.238,0.117,0.001,0.001,0
TCGA-FY-A3NM-01A,THCA,simu_bulk_2ds_ref,0,0,0,0.761,0,0.179,0.059,0,0,0.001,0
TCGA-FY-A2QD-01A,THCA,simu_bulk_2ds_ref,0,0,0,0.848,0,0.099,0.053,0,0,0,0
TCGA-CE-A485-01A,THCA,simu_bulk_2ds_ref,0,0.03,0,0.399,0,0.215,0.232,0.119,0.002,0.003,0
