sample_id,cancer_type,reference_dataset,B Cells,CD4 T,CD8 T,Cancer Cells,DC,Endothelial Cells,Fibroblasts,Macrophages,Mast Cells,NK,Neutrophils
TCGA-CR-7386-01A,HNSC,simu_bulk_2ds_ref,0,0.028,0.021,0.364,0.005,0.042,0.28,0.254,0,0.007,0
TCGA-HD-A6HZ-01A,HNSC,simu_bulk_2ds_ref,0.016,0.044,0.006,0.582,0.001,0.067,0.105,0.158,0.001,0.013,0.008
TCGA-QK-A6IH-01A,HNSC,simu_bulk_2ds_ref,0,0,0,0.866,0,0.011,0.048,0.07,0,0.005,0
TCGA-CN-6011-01A,HNSC,simu_bulk_2ds_ref,0,0,0.016,0.832,0,0.022,0.035,0.082,0,0.013,0
TCGA-CR-6474-01A,HNSC,simu_bulk_2ds_ref,0,0.022,0.001,0.544,0.005,0.055,0.247,0.11,0.002,0.007,0.006
TCGA-CV-6939-01A,HNSC,simu_bulk_2ds_ref,0.024,0.022,0.029,0.623,0.008,0.078,0.088,0.117,0.003,0.005,0.003
TCGA-D6-8568-01A,HNSC,simu_bulk_2ds_ref,0,0.013,0,0.694,0.006,0.064,0.126,0.076,0,0.006,0.015
TCGA-HD-A634-01A,HNSC,simu_bulk_2ds_ref,0.006,0.005,0,0.937,0.005,0.03,0.015,0.003,0,0,0
TCGA-CV-A45O-01A,HNSC,simu_bulk_2ds_ref,0,0.014,0.011,0.737,0,0.033,0.016,0.162,0,0.001,0.025
TCGA-T3-A92N-01A,HNSC,simu_bulk_2ds_ref,0,0.008,0.008,0.899,0,0.014,0.009,0.061,0,0.002,0
TCGA-CV-7438-01A,HNSC,simu_bulk_2ds_ref,0,0.016,0,0.736,0.008,0.027,0.114,0.089,0,0.009,0
TCGA-CV-A6K1-01A,HNSC,simu_bulk_2ds_ref,0,0.012,0.001,0.863,0,0.027,0.022,0.064,0,0.01,0
TCGA-CN-5363-01A,HNSC,simu_bulk_2ds_ref,0,0.001,0.022,0.661,0,0.047,0.145,0.124,0,0,0
TCGA-CV-6956-01A,HNSC,simu_bulk_2ds_ref,0,0,0,0.916,0,0.026,0.057,0,0,0,0
TCGA-CV-7263-01A,HNSC,simu_bulk_2ds_ref,0.008,0.023,0.003,0.618,0.006,0.041,0.152,0.143,0,0.006,0
TCGA-CN-A49C-01A,HNSC,simu_bulk_2ds_ref,0.005,0.014,0.004,0.873,0.001,0.021,0,0.072,0,0.01,0
TCGA-CV-7097-01A,HNSC,simu_bulk_2ds_ref,0,0.018,0.005,0.674,0.005,0.025,0.113,0.152,0,0.008,0
TCGA-IQ-A6SG-01A,HNSC,simu_bulk_2ds_ref,0,0.003,0,0.88,0,0.019,0.047,0.049,0,0,0.002
TCGA-UF-A7JC-01A,HNSC,simu_bulk_2ds_ref,0,0,0,0.927,0,0.022,0.025,0.02,0,0.001,0.005
TCGA-QK-A6II-01A,HNSC,simu_bulk_2ds_ref,0,0.011,0,0.919,0,0.009,0,0.06,0,0,0
TCGA-CN-A49B-01A,HNSC,simu_bulk_2ds_ref,0,0.021,0.025,0.746,0,0.025,0.032,0.146,0,0.005,0
TCGA-IQ-A61E-01A,HNSC,simu_bulk_2ds_ref,0,0.014,0.013,0.819,0,0.021,0.05,0.074,0,0.008,0
TCGA-BA-A4IH-01A,HNSC,simu_bulk_2ds_ref,0.005,0.028,0.02,0.719,0.015,0.058,0.094,0.062,0.001,0,0
TCGA-H7-8502-01A,HNSC,simu_bulk_2ds_ref,0,0,0,0.842,0,0.038,0.059,0.06,0,0,0.001
TCGA-CV-7406-01A,HNSC,simu_bulk_2ds_ref,0,0,0,0.769,0.001,0.04,0.145,0.043,0,0.001,0.001
TCGA-CV-7414-01A,HNSC,simu_bulk_2ds_ref,0,0.005,0,0.807,0.002,0.031,0.104,0.035,0,0.016,0
TCGA-HD-7229-01A,HNSC,simu_bulk_2ds_ref,0,0.02,0.024,0.84,0,0.026,0.007,0.073,0,0.009,0.001
TCGA-CV-6961-01A,HNSC,simu_bulk_2ds_ref,0,0,0.003,0.749,0.002,0.039,0.107,0.09,0,0.007,0.003
TCGA-TN-A7HI-01A,HNSC,simu_bulk_2ds_ref,0.053,0.036,0.036,0.735,0.013,0.015,0.035,0.064,0,0.013,0
TCGA-CQ-5333-01A,HNSC,simu_bulk_2ds_ref,0,0.021,0.03,0.491,0.005,0.019,0.051,0.366,0,0.017,0
TCGA-CN-4733-01A,HNSC,simu_bulk_2ds_ref,0.07,0.07,0.07,0.306,0.034,0.075,0.163,0.194,0.003,0.015,0.001
TCGA-CR-6488-01A,HNSC,simu_bulk_2ds_ref,0,0.02,0.001,0.537,0.002,0.042,0.161,0.22,0.001,0.011,0.005
TCGA-BB-4225-01A,HNSC,simu_bulk_2ds_ref,0.032,0.075,0.045,0.643,0.028,0.035,0.044,0.096,0,0.002,0
TCGA-BA-A4IG-01A,HNSC,simu_bulk_2ds_ref,0.031,0.032,0.007,0.844,0.004,0.027,0.004,0.045,0,0.006,0
TCGA-CR-7393-01A,HNSC,simu_bulk_2ds_ref,0.014,0.101,0.026,0.28,0.062,0.104,0.203,0.175,0.013,0.02,0.002
TCGA-T2-A6X0-01A,HNSC,simu_bulk_2ds_ref,0.018,0.022,0.03,0.757,0.002,0.043,0.039,0.088,0.001,0,0
TCGA-F7-A623-01A,HNSC,simu_bulk_2ds_ref,0.001,0.02,0.01,0.807,0.009,0.037,0.043,0.058,0,0.004,0.011
TCGA-IQ-7632-01A,HNSC,simu_bulk_2ds_ref,0.001,0.008,0,0.909,0.001,0.031,0.023,0.027,0,0,0.001
TCGA-QK-A652-01A,HNSC,simu_bulk_2ds_ref,0,0.041,0.005,0.675,0.013,0.038,0.113,0.094,0,0.014,0.008
TCGA-CR-7388-01A,HNSC,simu_bulk_2ds_ref,0.04,0.043,0.008,0.565,0.015,0.066,0.106,0.118,0.006,0.013,0.02
TCGA-BA-A6DG-01A,HNSC,simu_bulk_2ds_ref,0,0.014,0.001,0.495,0,0.049,0.313,0.114,0,0.007,0.007
TCGA-UF-A7JT-01A,HNSC,simu_bulk_2ds_ref,0,0.008,0.06,0.633,0.001,0.029,0.053,0.202,0,0.015,0
TCGA-CN-A6V6-01A,HNSC,simu_bulk_2ds_ref,0.026,0.033,0.069,0.653,0.013,0.03,0.046,0.115,0,0.011,0.004
TCGA-CR-6473-01A,HNSC,simu_bulk_2ds_ref,0,0.035,0.002,0.896,0,0.025,0.029,0.011,0,0,0.001
TCGA-CQ-7069-01A,HNSC,simu_bulk_2ds_ref,0,0,0,0.764,0.001,0.07,0.114,0.039,0,0.002,0.01
TCGA-CQ-6219-01A,HNSC,simu_bulk_2ds_ref,0,0.003,0.043,0.645,0.004,0.023,0.094,0.188,0,0,0
TCGA-IQ-A6SH-01A,HNSC,simu_bulk_2ds_ref,0,0.012,0.01,0.826,0,0.025,0.024,0.087,0,0.018,0
TCGA-IQ-7631-01A,HNSC,simu_bulk_2ds_ref,0,0,0,0.677,0,0.07,0.249,0.002,0,0.001,0
TCGA-CR-7398-01A,HNSC,simu_bulk_2ds_ref,0,0.014,0,0.768,0.005,0.027,0.106,0.058,0.013,0.004,0.006
TCGA-UF-A71E-01A,HNSC,simu_bulk_2ds_ref,0,0.001,0,0.9,0,0.037,0.035,0.021,0,0.001,0.004
TCGA-UF-A719-01A,HNSC,simu_bulk_2ds_ref,0,0.005,0,0.89,0,0.033,0.013,0.036,0,0.012,0.01
TCGA-CN-6023-01A,HNSC,simu_bulk_2ds_ref,0.022,0.009,0.057,0.713,0.005,0.03,0.018,0.137,0.001,0.009,0
TCGA-CV-7422-01A,HNSC,simu_bulk_2ds_ref,0.007,0.009,0.004,0.768,0.004,0.04,0.074,0.091,0,0.001,0
TCGA-CX-A4AQ-01A,HNSC,simu_bulk_2ds_ref,0.107,0.08,0.007,0.519,0.032,0.045,0.093,0.1,0,0.017,0
TCGA-CQ-5330-01A,HNSC,simu_bulk_2ds_ref,0,0.022,0.016,0.525,0.018,0.053,0.175,0.175,0,0.015,0
TCGA-P3-A6T3-01A,HNSC,simu_bulk_2ds_ref,0,0,0,0.931,0,0.004,0.043,0.022,0,0,0
TCGA-HD-A6I0-01A,HNSC,simu_bulk_2ds_ref,0,0.01,0.014,0.836,0.003,0.028,0.012,0.082,0,0.015,0
TCGA-CV-6950-01A,HNSC,simu_bulk_2ds_ref,0,0.001,0.005,0.777,0.003,0.024,0.121,0.066,0,0.004,0
TCGA-CR-7380-01A,HNSC,simu_bulk_2ds_ref,0,0.024,0.001,0.671,0.006,0.046,0.125,0.118,0.007,0.002,0
TCGA-DQ-7588-01A,HNSC,simu_bulk_2ds_ref,0,0,0,0.99,0,0.01,0,0,0,0,0
TCGA-BA-6873-01A,HNSC,simu_bulk_2ds_ref,0,0.014,0.011,0.805,0.003,0.027,0.063,0.068,0,0.009,0
TCGA-CR-6472-01A,HNSC,simu_bulk_2ds_ref,0.01,0.022,0.002,0.856,0,0.028,0.057,0.019,0,0.006,0
TCGA-UF-A7JH-01A,HNSC,simu_bulk_2ds_ref,0,0.017,0.001,0.657,0,0.042,0.149,0.123,0,0.01,0
TCGA-BA-4077-01B,HNSC,simu_bulk_2ds_ref,0,0.009,0.021,0.727,0.006,0.021,0.033,0.163,0.002,0.018,0
TCGA-CV-7411-01A,HNSC,simu_bulk_2ds_ref,0,0.022,0,0.76,0,0.044,0.102,0.071,0,0,0
TCGA-MT-A67A-01A,HNSC,simu_bulk_2ds_ref,0,0,0.019,0.886,0,0.018,0.009,0.052,0,0.016,0
TCGA-D6-6826-01A,HNSC,simu_bulk_2ds_ref,0,0.022,0.002,0.575,0,0.054,0.093,0.232,0,0.009,0.013
TCGA-CR-7404-01A,HNSC,simu_bulk_2ds_ref,0.043,0.048,0.03,0.616,0.013,0.055,0.05,0.131,0,0.01,0.004
TCGA-D6-A6EM-01A,HNSC,simu_bulk_2ds_ref,0.004,0.009,0.028,0.73,0.011,0.03,0.022,0.149,0,0.017,0
TCGA-CR-7379-01A,HNSC,simu_bulk_2ds_ref,0,0.005,0,0.707,0.003,0.04,0.129,0.102,0,0.004,0.01
TCGA-CV-7236-01A,HNSC,simu_bulk_2ds_ref,0,0.007,0,0.77,0.001,0.045,0.106,0.071,0,0.001,0
TCGA-CN-4727-01A,HNSC,simu_bulk_2ds_ref,0,0,0,0.874,0,0.039,0.069,0.012,0,0,0.006
TCGA-CQ-5327-01A,HNSC,simu_bulk_2ds_ref,0,0.016,0.033,0.678,0,0.031,0.029,0.203,0,0.009,0
TCGA-C9-A480-01A,HNSC,simu_bulk_2ds_ref,0,0.009,0.011,0.867,0,0.029,0.016,0.061,0,0.006,0.002
TCGA-CV-A6JO-01B,HNSC,simu_bulk_2ds_ref,0,0.015,0.035,0.784,0,0.02,0.011,0.133,0,0.002,0
TCGA-CR-6492-01A,HNSC,simu_bulk_2ds_ref,0.004,0.018,0.004,0.799,0.006,0.035,0.036,0.081,0,0.008,0.008
TCGA-CV-6933-01A,HNSC,simu_bulk_2ds_ref,0,0.003,0,0.676,0,0.014,0.076,0.229,0,0.001,0
TCGA-BA-6872-01A,HNSC,simu_bulk_2ds_ref,0,0.013,0,0.825,0.002,0.028,0.063,0.065,0,0.005,0
