Mixture,B Cells,Cancer Cells,Endothelial Cells,Fibroblasts,Macrophages,NK,T Cells,P-value,Correlation,RMSE
TCGA-IZ-8196-01A,0,0.755293271948918,0.158333083418262,0.0793659206603112,0.00700772397250868,0,0,0,0.257312925502933,0.982354803962559
TCGA-P4-A5EB-01A,0.00508765991932755,0.779110235920253,0.115768004348063,0,0.0662000254333436,0,0.0338340743790131,0,0.332195088848412,0.945035744068457
TCGA-BQ-7058-01A,0.0447864967437427,0.634525894091467,0.212799692978358,0,0.0675991737072202,0,0.0402887424792127,0,0.254267954375531,0.983919452285451
TCGA-B9-A8YI-01A,0.00352495107346607,0.672215489114517,0.136782830927312,0,0.109987519756982,0,0.0774892091277224,0,0.353756162723997,0.935809551528822
TCGA-HE-7128-01A,0.00813803787623156,0.296176912094755,0.0929448821257525,0,0.543190164763607,0,0.0595500031396544,0,0.383526851115849,0.929549663162252
TCGA-4A-A93Y-01A,0.0539865946556344,0.0357357311848518,0.252408165199585,0.17209046364039,0.459532186334208,0.0262468589853305,0,0,0.556835392927453,0.832524671354592
TCGA-HE-A5NF-01A,0.0183228293513595,0.408687925554255,0.110399456972455,0.00273299430840001,0.45985679381353,0,0,0,0.40275120885219,0.91619972929967
TCGA-B1-A654-01A,0.0121620697248849,0.807801806790677,0.0947732151773465,0.0328565330670001,0.0524063752400911,0,0,0,0.334472109058354,0.944132247362817
TCGA-DW-7834-01A,0,0.559283117073721,0.147196538953073,0.0323773029203402,0.258487743122616,0,0.00265529793024999,0,0.46607607658206,0.887116677861153
TCGA-A4-8516-01A,0,0.784046705243103,0.0591798278765955,0,0.15329112423316,0,0.00348234264714134,0,0.284781807238706,0.963072922242422
TCGA-P4-A5E7-01A,0,0.63016307638452,0.131770757074556,0.0751831152957591,0.162883051245165,0,0,0,0.432657871767364,0.902297977699457
TCGA-IA-A83T-01A,0.0299189096101022,0.366493583509554,0.0648352294135392,0.0322937260383138,0.467926031758296,0.0385325196701948,0,0,0.330184084030724,0.95041684872246
TCGA-G7-A8LC-01A,0.0180465082590703,0.734239733396746,0.223839934826288,0,0.00611895184366591,0,0.0177548716742302,0,0.579401049321518,0.82322211381318
TCGA-P4-AAVO-01A,0.010338366752172,0.864123486964948,0.0691871480755952,0,0.0311580970704108,0,0.0251929011368737,0,0.345478132350573,0.939708728473554
TCGA-A4-8311-01A,0.0053148753678045,0.850728994548286,0.0969801554977104,0,0,0,0.0469759745861988,0,0.320072825340119,0.951175252134782
TCGA-Y8-A8RY-01A,0,0.599928378964724,0.0846979502604728,0,0.276230374408003,0,0.0391432963668004,0,0.365730095872036,0.930634171659419
TCGA-A4-A57E-01A,0,0.684584057466607,0.192682789129953,0,0.12273315340344,0,0,0,0.355146858322367,0.937345713765672
TCGA-PJ-A5Z8-01A,0,0.318246251317615,0.194129439353661,0.0490590737228714,0.362079445847384,0.0359377645588134,0.0405480251996549,0,0.508960172333471,0.862037866175773
TCGA-KV-A74V-01A,0.0108904165057363,0.787610198725423,0.0882583142989485,0,0.0738812041427135,0,0.039359866327179,0,0.229137388498572,0.985572279866361
TCGA-2Z-A9JL-01A,0.0638002487327377,0.639522460416618,0.0915469370514495,0.0127312153640728,0.192399138435122,0,0,0,0.321673936211314,0.947800534502666
TCGA-DW-7963-01B,0.0127393177206986,0.684140876527262,0.129610685406469,0,0.173509120345571,0,0,0,0.305730367743679,0.955498109081579
TCGA-B1-A47N-01A,0,0.819458906639655,0.0741338082685816,0.0245222659947613,0.0565275437650934,0,0.0253574753319085,0,0.331652205094268,0.944905261103897
TCGA-5P-A9KH-01A,0.0222313028889997,0.590670396022558,0.333171293649763,0,0.0539270074386787,0,0,0,0.238848730432023,1.01892508231913
TCGA-EV-5902-01A,0,0.887828634000852,0.100431601391159,0,0,0,0.0117397646079889,0,0.292186228204066,0.964432212774583
TCGA-F9-A4JJ-01A,0.0615093733227622,0.507119208336896,0.317114025662364,0.0111248256391905,0.0652486100077626,0.0378839570310251,0,0,0.456783984685032,0.892399143248107
