Mixture,B Cells,CD4 T,CD8 T,Cancer Cells,DC,Double-neg-like T,Endothelial Cells,Fibroblasts,Macrophages,Mast Cells,Monocytes,NK,Neutrophils,P-value,Correlation,RMSE
TCGA-94-8490-01A,0.0500232448989617,0,0.00509006843471417,0.322764887642697,0.170869604965193,0,0.0798791669053959,0.250799365359211,0.0503483864664552,0.0137671630083113,0.0564581123190608,0,0,0.01,0.0992456286709203,1.05920095753925
TCGA-52-7810-01A,0.102735711831221,0,0,0.0805490914219811,0.0722011568655597,0.0668454868436033,0.00753639777474036,0.461254745885133,0.0962032340091143,0,0.112674175368648,0,0,0,0.226130054985186,1.04759268051258
TCGA-NC-A5HJ-01A,0.0110157189274619,0.0507620915708038,0.117992014531081,0,0.147244652791391,0,0.178804135004814,0.100073869225907,0.350901824414971,0.00115924861228133,0.0420464449212892,0,0,0,0.376251154309111,0.92823133499281
TCGA-52-7809-01A,0.0549513129821643,0,0,0.236856476436987,0.134204940684176,0.095430503383196,0.0323982389871623,0.339707161859243,0.0850016827879689,0.00162664706928869,0.0198230358098143,0,0,0,0.317267226217509,0.962926235741786
TCGA-NC-A5HN-01A,0.231526114641517,0.00444505039080039,0.0424780638158951,0.197458299151515,0.133313693746206,0,0.155356484656625,0.202237560626338,0.0331847329711038,0,0,0,0,0,0.13447114606527,1.03481082423737
TCGA-18-3414-01A,0.0394100263596346,0.0059218412469274,0,0.0721809545286218,0.131144618077022,0.0114651028758217,0.05486432919925,0.345061388909892,0.164207425206407,0.0151392774844397,0.160605036111983,0,0,0,0.332594363612854,0.97258370363983
TCGA-96-A4JL-01A,0.0793445438253841,0.106281609977996,0.129509374873839,0,0.181967841083671,0,0.058263767322786,0.231050133980716,0.203759777094395,0,0.0098229518412127,0,0,0,0.352784491272617,0.936492676793546
TCGA-18-5595-01A,0.0714470753538496,0,0,0.247777765933891,0.045088850316607,0.0194577614890118,0.124171308825138,0.365282161364885,0.100524636205641,0,0.0262504405109757,0,0,0,0.143089866369007,1.07397347387815
TCGA-77-7140-01A,0.0563825168938404,0,0,0.281761574555101,0.0872364252220682,0,0.0272447606437975,0.42208654062014,0.110677101771475,0,0.014611080293578,0,0,0,0.227892568619429,1.03523672464321
TCGA-33-AASB-01A,0.299419632626717,0,0,0.129917631490623,0.0355894651667311,0.032711792942954,0.106792353031357,0.157435656511567,0.0401713015866339,0,0.197962166643418,0,0,0,0.225591111398719,1.01634523329707
TCGA-63-7022-01A,0.151352540328326,0.0428766721904188,0,0,0.0618312484990245,0.0150009712976596,0.00823322821824992,0.491255560324177,0.206534749917099,0.0229150292250456,0,0,0,0,0.55942955178339,0.830438732404922
TCGA-56-8628-01A,0.0172855687084088,0.0210539795875239,0.00737966226933553,0,0.108211091986729,0.0178874831434378,0.0640292750268226,0.465867605177619,0.274604762234827,0.00275098515608425,0.0209295867092111,0,0,0,0.382709641109789,0.952698775899371
TCGA-NK-A5D1-01A,0.0547951506518768,0,0.0068142108435102,0.532901518699902,0.0431997765132457,0,0.0114686074312661,0.264227706666812,0.0716994211454789,0,0.0148936080479089,0,0,0,0.213249214858981,1.02753644800731
TCGA-NC-A5HH-01A,0.0716448989624237,0.00910041014716081,0.00651221928863229,0.409607814904365,0.0720697902419016,0,0,0.320291631967271,0.0885888538728982,0,0.0221843806153467,0,0,0,0.249329615871783,1.00515334937143
TCGA-77-8133-01A,0.0453323501721515,0.0318756799405117,0.0380695340065362,0.040364820413347,0.356211910406988,0,0.0372253329555621,0.238469574847443,0.203352586870476,0.00909821038698494,0,0,0,0,0.176063950733705,1.0070205584547
TCGA-34-8454-01A,0.0194957172700379,0.0837770884605925,0.0316346192598521,0,0.168268965478929,0,0.0236331947265393,0.417369739733635,0.152512981389407,0.0173440180696077,0.0859636756113997,0,0,0,0.222768219247819,1.03122913598067
TCGA-90-6837-01A,0.0985815725922871,0.0192492696432163,0.00412668566271344,0,0.0257326760183601,0,0,0.4885931262447,0.261191609682235,0.013309429322737,0.0892156308337516,0,0,0,0.201503413843957,1.07316270851093
TCGA-70-6722-01A,0.0106097692087715,0.0384920549190254,0,0,0.171967830670682,0,0.0495647746059956,0.591760224535975,0.083176043348188,0,0.0544293027113629,0,0,0,0.44310824767962,0.940543220294429
TCGA-60-2712-01A,0.146757131336143,0.0639400403687576,0.0454691785449982,0,0.163963024628466,0.0125990269383459,0.015668813305348,0.342226950821888,0.181628931521944,0,0.0277469025341098,0,0,0,0.413246628675283,0.912314390966992
TCGA-66-2727-01A,0.0681175380123845,0.016981511586148,0.0110517434392616,0.0774936117601896,0.166390924243201,0,0.00756982362170341,0.251425396415554,0.269677458311724,0.00388515040831021,0.127406842201524,0,0,0,0.180052941510378,1.02943217180264
TCGA-18-3409-01A,0,0,0,0,0.0651678168007921,0.0106304734179609,0.00326716444007183,0.687535894596906,0.225731078604238,0.0044539723544385,0.00321359978559229,0,0,0,0.577581103887852,0.850560263230666
