"","Cancer Cells","Double-neg-like T","NK","Macrophages","CD8 T","Fibroblasts","Monocytes","B Cells","CD4 T","DC","Mast Cells","Neutrophils","Endothelial Cells"
"TCGA.DJ.A3UP.01A",0.135145614320163,0,0.00088204139697485,0,9.6749793778669e-05,0.0387305716400518,0,0,0.00111457319166063,0,0,0.597530938655623,0.226499511001748
"TCGA.FE.A22Z.01A",0.128469338306456,0,0,0,0,0.214305057138764,0,0,0,0,0,0.514961972410533,0.142263632144247
"TCGA.E8.A242.01A",0.0621451697766406,0,0.000690792160877262,0,0,0.21609322649029,0,0,0,0,0,0.596894781616403,0.124176029955789
"TCGA.EM.A3AL.01A",0.1337497390575,0,0,0,0,0.0791624308551243,0,0,0,0,0,0.385037400367149,0.402050429720226
"TCGA.ET.A3BN.01A",0.0721071604705622,0,0,0,0,0.0366970806841822,0,0,0,0,0,0.661119583326826,0.230076175518429
"TCGA.E3.A3E5.01A",0.158713592301314,0,0,0,0,0.0925870936534827,0,0,0,0,6.12882216131107e-05,0.52103034361465,0.227607682208941
"TCGA.ET.A2N3.01B",0.292524720147382,0.00138171994720203,0.00458424982868501,0,0,0.0551655602481976,0,0.018026179857665,0,0,0,0.398137531237679,0.23018003873319
"TCGA.BJ.A2N8.01A",0.214338511076939,0,0,0,0,0.081158865310452,0,0.00618361613099483,0,0,0,0.483305518164057,0.215013489317557
"TCGA.DJ.A3US.01A",0.0752253720729285,0,0.0029871877756694,0,0,0.0517694977514455,0,0,0.000165189638099705,0,0,0.700628225656029,0.169224527105828
"TCGA.L6.A4EP.01A",0.221024044360031,0,0.000873548518912095,0,0.000134935701009295,0.172816112234763,0,0.00205503252512506,0.00100585200187823,0,0.000123157634296408,0.450767571985316,0.151199745038669
"TCGA.KS.A41L.01A",0.343311432283752,0,5.81305568553367e-05,0,0,0.0482632268517837,0,0,0,0,0,0.32074155390107,0.287625656406539
"TCGA.DJ.A1QH.01A",0.0719732997368634,0,0.000285704691150127,0,0,0.266688100732358,0,5.24273845822781e-05,0,0,0,0.544996325167853,0.116004142287193
"TCGA.DJ.A4V0.01A",0.124995650035226,0,0.00230126165807652,0,0,0.0312960089133049,0,0,0.000103022869304832,0,0,0.651677989475133,0.189626067048955
"TCGA.EL.A3T0.01A",0.0699593156888692,0,0.00157960581774495,0,0,0.0793658220371377,0,0,0,0,0.00014474819425338,0.580851500009449,0.268099008252546
