"","Cancer Cells","Double-neg-like T","NK","Macrophages","CD8 T","Fibroblasts","Monocytes","B Cells","CD4 T","DC","Mast Cells","Neutrophils","Endothelial Cells"
"TCGA.HQ.A2OE.01A",0.185581532468279,0,0.000166329470146639,0,0,0.00684004731065221,0,0,0,0,0,0.687815162727226,0.119596928023696
"TCGA.R3.A69X.01A",0.0199750629975867,0,0,0,0,0.110809889137805,0,0,0,0,0,0.739798909660523,0.129416138204086
"TCGA.BT.A3PH.01A",0.17007819381427,0,0,0,0,0.0773552485797007,0,0,0,0,0,0.59092285005811,0.16164370754792
"TCGA.UY.A9PA.01A",0.0752493254610927,0,0.00301804117676263,0,0,0.0198530359231842,0,0,0.00113980185586118,0,0.000119322785622991,0.732458032110694,0.168162440686782
"TCGA.BL.A13J.01B",0.00102645616090787,0,0.000885040600293733,0,0,0.0772333753483632,0,0,0,0,0,0.825431637255251,0.0954234906351844
"TCGA.CF.A3MI.01A",0.269722267714491,0,0.00067089504992703,0,0,0.0865777669674673,0,0.0371358895000512,0.098983903795193,0.0102847315415401,0.0255773761784018,0.291793986418449,0.17925318283448
"TCGA.XF.AAMW.01A",0.034016440414702,0,0.000145475403432758,0,0,0.155140486583528,0,0,0.000775670984283531,0,0,0.651776702944387,0.158145223669666
"TCGA.H4.A2HQ.01A",0.174420818796966,0,0,0,0,0.0236224347972777,0,0.0016742667511983,0,0,0,0.629606023161684,0.170676456492874
"TCGA.HQ.A5ND.01A",0.232723199622971,0,0,0,0,0.0551525831275214,0,0,0,0,0,0.541611804453971,0.170512412795536
"TCGA.K4.A6FZ.01A",0.0703763614912917,0,0.00122584318015648,0,0,0.0362086493404669,0,0,0.000982416101369622,0,0,0.732101452428254,0.159105277458462
"TCGA.DK.A3IV.01A",0.0972542720715679,0,0.00326918590762438,0,0,0.00760505681589885,0,0,0,0,0,0.739492741006279,0.15237874419863
"TCGA.E7.A3X6.01A",0.0930425449238639,0,0.000761786802141544,0,0.00133118083996547,0.0692862332197664,0,0,0.000207091475988498,0,0,0.673640578945676,0.161730583792599
"TCGA.BT.A42F.01A",0.143751568498043,0,0.0125261584034179,0.000254886943354718,0.0160252988141,0.0921097058421077,0.10452190931714,0.0734065929910126,0.0181756875115476,0.0177825812203786,0,0.40173755330613,0.119708057152768
"TCGA.UY.A8OB.01A",0.214761383350719,0,0.000945570264958666,0,0,0.183589220209914,0,0,0.000918314024172846,0,0,0.463514169793921,0.136271342356314
"TCGA.DK.A1A3.01A",0.104649282667897,0,0.000187339102680624,0,0,0.0973408525742947,0,0.0124779103388617,0,0,0.000688894465693394,0.646346156958054,0.138309563892518
"TCGA.DK.AA6X.01A",0.146384093207222,0,0.000144953140107554,0,0,0.0258938484606981,0,0,0,0,0,0.656804313237389,0.170772791954583
"TCGA.G2.A3IE.01A",0.19994436491283,0,0.0163266897117439,0,0,0.0212184624088253,0,0.0250783666199759,5.408084767763e-05,0,0.00164119132044184,0.560243445558387,0.175493398620119
"TCGA.FD.A5BU.01A",0.0299511467896084,0,0,0,0,0.207933295294369,0,0,0,0,0,0.675678000833419,0.0864375570826032
"TCGA.C4.A0EZ.01A",0.528168605449117,0,0,0,0,0.0919688367685463,0,0,0,0,0,0.264108862101053,0.115753695681283
"TCGA.FD.A3B3.01A",0.0308635640067386,0,0.00179566818884216,0,0,0.186982068015752,0,0,0,0,0,0.689342227024775,0.0910164727638927
"TCGA.FD.A5BZ.01A",0.041936330769171,0,0,0,0,0.27346840251744,0,0,0,0,0,0.553814080039676,0.130781186673712
"TCGA.C4.A0F7.01A",0.232905595451322,0,0,0,0,0.0892600309068947,0,0,0,0,0,0.516452008991193,0.16138236465059
"TCGA.XF.AAMR.01A",0.051087375067367,0,0.000514266315343689,0,0,0.140021474391757,0,0,0,0,0,0.63301613943558,0.175360744789952
"TCGA.XF.AAN7.01A",0.150342217729242,0,0,0,0,0.295630681803775,0,0,0,0,0,0.339807917546508,0.214219182920475
"TCGA.UY.A8OD.01A",0.117840699279765,0,0.000148720934303282,0.00504260523330058,0.000769069420439806,0.195004820186182,0,0.0180231512460826,0.000891488808875798,0.00836603495373693,0.00569350005641278,0.535770875605563,0.112449034275339
"TCGA.FD.A3SP.01A",0.0247027720563876,0,0.000313717243315412,0,0,0.211696649154022,0,0,0,0,0,0.639586752514908,0.123700109031367
"TCGA.DK.A2HX.01A",0.0236093049891217,0,0,0,0,0.237227105854117,0,0,0,0,0,0.581698229161755,0.157465359995006
