"","Cancer Cells","Double-neg-like T","NK","Macrophages","CD8 T","Fibroblasts","Monocytes","B Cells","CD4 T","DC","Mast Cells","Neutrophils","Endothelial Cells"
"TCGA.D5.5540.01A",0.317290949755795,0.119055226934993,0,0,0.108621896405533,0.176410188403446,0.00187996261917148,0.218531723536155,0.0105700376098839,0.0142072345328881,0.00263005599278808,0,0.030802724209347
"TCGA.AZ.6608.01A",0.415508224025308,0,0.00237117807850519,0,0,0.0273694994853945,0,0.0742669653939508,0,0,0,0.304612566073852,0.175871566942989
"TCGA.AA.3518.01A",0.271891030946835,0,0.00476200482252094,0,0,0.0623137261488818,0,0.0731104078381435,0.00189244129139089,0.0194872646066106,9.43045270246622e-05,0.402487052596064,0.163961767222529
"TCGA.CM.5863.01A",0.136144598923813,0,0,0,0,0.132312369667864,0,0.0330908365051243,0.000755191391488499,0.000202977932686019,0.000176343697714752,0.502573832972393,0.194743848908916
"TCGA.A6.5666.01A",0.219019321287509,0,0,0,0.0434799207529892,0.1338679872619,0,0.191995990472871,0.0006991082610195,0,0,0.332271474865163,0.0786661970985481
"TCGA.DM.A280.01A",0.281628712163214,0,0,0,0,0.151331622783919,0,0.108050901576569,0.0160591966469744,0.000230050452740066,0.000310791535055034,0.248081095566211,0.194307629275317
"TCGA.AA.3973.01A",0.189956090861775,0.02648057496641,0.00105604614478336,0,0,0.101349966783042,0,0.160728863043025,0.00963273022220966,0,0,0.359131058032179,0.151664669946576
"TCGA.CM.4748.01A",0.21528309725697,0,0.00770999468417197,0,0,0.174469636738748,0,0.0664830124342055,0.00241498943976075,0.00463969172017463,0.000476008732348748,0.40861196377884,0.119911605214781
"TCGA.D5.6530.01A",0.126098162484175,0.000775576041241868,0.020590491334841,0,0,0.065452008268167,0,0.0700777341432612,0.00100735653546936,0.000364240438762252,0,0.578569131575515,0.137065299178567
"TCGA.A6.6137.01A",0.129953910777272,0,0.000261319905637876,0,0,0.0271608369588307,0,0,0.00179103603601068,0,0,0.662233716522354,0.178599179799895
"TCGA.DM.A1D6.01A",0.308732252279622,0,0.0375685653870209,0,0,0.0422212605495534,0,0.0550434970625995,0.000732743484486524,0,0,0.376136110939961,0.179565570296756
"TCGA.D5.6923.01A",0.064736873017722,0,0,0,0,0.222987972535039,0,0,0,0,0,0.557142955404038,0.155132199043201
"TCGA.A6.2681.01A",0.130396076576684,0,0,0,0,0.245271739658341,0,0.0117822782307644,0,0.0130756956778488,0,0.462471601504928,0.137002608351433
"TCGA.F4.6463.01A",0.128687274531386,0,0.000556609277702901,0.000988275386777363,0,0.128233717883063,0,0,0,0,0.000820261003547971,0.591749282868653,0.14896457904887
"TCGA.AZ.6599.01A",0.227030068677009,0,0.00123877227922575,0,0,0.0129663068848736,0,0.0459578766217236,0,0,0,0.515187865636711,0.197619109900457
"TCGA.D5.6532.01A",0.216503966110101,0,0,0,0,0.102367426264318,0,0,0,0,0,0.524069322069132,0.157059285556449
"TCGA.AA.3489.01A",0.0179185618175787,0,0,0,0,0.176958594492554,0,0,0,0,0,0.679658645227601,0.125464198462266
"TCGA.CM.6171.01A",0.218566224131419,0,0.000800022632679733,0,0,0.02217487731978,0,0.00154467104033217,0.000200816451983941,0,0,0.561689070271527,0.195024318152278
"TCGA.AA.A00R.01A",0.181670913487251,0,0.0304715241857627,0,0.010693640227082,0.0904477572170876,0,0,0.0111994551521646,0.00106257527445113,0,0.551440293794897,0.123013840661304
"TCGA.DM.A28C.01A",0.313372404995465,0,0.00529099171965372,0,0,0.0258903802097009,0,0.0126990900953679,0,0,0,0.411159713559902,0.231587419419911
"TCGA.AA.A01T.01A",0.471138269372986,0,0.000836630728458488,0,3.00931801788264e-05,0.188431830235643,0,0.0458773765088026,0.0427144633306408,0.0748952876472196,0.000570451718945363,0.00382386115824245,0.171681736118883
"TCGA.AA.A02E.01A",0.21184095218802,0,0.0338339574718947,0,0,0.0996276189653334,0,0.0937101132882525,0.0119950498709171,0,0.000316967765931295,0.371172499301511,0.17750284114814
"TCGA.CM.5860.01A",0.100396409238645,0,0.000158579248557335,0,0,0.312232733561108,0,0.057013183010563,0.0158922704885487,0.00313074906377505,0.000494978926873517,0.403354692812999,0.10732640364893
"TCGA.A6.6141.01A",0.174346904450462,0,0.000579300274060053,0,0,0.0791297456382287,0,0,0.000118827322506701,0,6.09298155617276e-05,0.566405758011571,0.179358534487609
"TCGA.AA.A00D.01A",0.122310304736858,0,0.00574905043495905,0,0.000833815341651896,0.0646325698613467,0,0.000582443937708019,0.00103288567153487,0,0,0.66694517350071,0.137913756515231
