Mixture,B Cells,CD4 T,CD8 T,Cancer Cells,DC,Double-neg-like T,Endothelial Cells,Fibroblasts,Macrophages,Mast Cells,Monocytes,NK,Neutrophils,P-value,Correlation,RMSE
TCGA-AF-6655-01A,0.04284081193173,0.0169172138814143,0,0,0.0631686206803428,0,0.0641811325528003,0.634803708997591,0.075426348410216,0,0.102662163545906,0,0,0,0.480057576317895,0.933356214156136
TCGA-AF-A56K-01A,0.0716681532657877,0.0565015683970823,0,0,0.0784477676579029,0.0200515935682285,0.124589986919786,0.495160145494586,0.0692088912168504,0,0.0843718934797764,0,0,0,0.427979468650756,0.935565318695042
TCGA-G5-6641-01A,0.345582300685821,0,0,0.00299049089724479,0.35024055555941,0,0.161809509585102,0.0472315454067949,0.0338557973122145,0,0.0582898005534125,0,0,0.02,0.0744352141701469,1.0487540355424
TCGA-DY-A1DG-01A,0.296146070817028,0.0189126290631332,0.00373415969609063,0.00470153958841026,0.224830459251707,0,0.244386524425618,0.11306016600754,0.0590577152131785,0,0.0351707359372943,0,0,0.04,0.060821560122549,1.06725370337737
TCGA-AG-4001-01A,0.040352778973944,0.0503805444139283,0,0,0.0931836413215989,0,0.0163305542708511,0.632207396800759,0.152707965975754,0,0.0148371182431641,0,0,0,0.491548141564734,0.909132704229087
TCGA-AG-A026-01A,0.060218583207956,0,0,0.0384816843691492,0.0723403658075037,0.0105151126518711,0.171893063592719,0.509008251377926,0.114909082839849,0,0.0226338561530262,0,0,0,0.174362562409573,1.1150239699328
TCGA-EI-7004-01A,0,0,0,0,0.0463238148235444,0.0112412174219192,0.0271140919055395,0.769199936724647,0.11265092647598,0.00202417148606468,0.0314458411623056,0,0,0,0.61318539420183,0.844472803504829
TCGA-AG-3878-01A,0.0476506899382059,0.0454835131027807,0,0,0.0348927843415719,0,0.0640707226005347,0.436914819858126,0.252464997485656,0.031334524567035,0.0767536375322616,0.0104343105738284,0,0,0.372269234655282,0.956880900975109
TCGA-AG-3611-01A,0.201754832451493,0,0,0,0.246345934404463,0,0.0938704657361443,0.161009183852077,0.201412375197175,0,0.0956072083586481,0,0,0.01,0.14143419330116,1.02965375327255
TCGA-AF-3400-01A,0.0193003347131932,0.0246313535354923,0,0,0.00778990086220844,0.0450493270160686,0.0170325019089592,0.331870787587388,0.0942027682143046,0,0.460123026162385,0,0,0,0.730535206904326,0.70767483074677
TCGA-G5-6572-01A,0.0463254415968487,0,0,0,0.106036658799241,0.0226781361152386,0.0755604016526989,0.659490481835304,0.0899088800006688,0,0,0,0,0,0.457844398205328,0.953305716741917
TCGA-AG-3574-01A,0.0908176390251916,0.102104423568408,0,0,0.19935471782573,0,0.139183763349174,0.266983671153724,0.156631979986979,0,0.0449238050907927,0,0,0,0.172478269169626,1.02418898455736
