Mixture,CD4 T,CD8 T,Cancer Cells,DC,Fibroblasts,Monocytes,NK,P-value,Correlation,RMSE
TCGA-61-2102-01A,0,0,0.018945698257085,0,0.668569257278885,0.31248504446403,0,0,0.410912366114759,1.1140765998534
TCGA-59-2352-01A,0.00681295520736082,0.00762065561583745,0.600849547132458,0.0245192642710756,0.211986836302986,0.13964390975205,0.00856683171823214,0,0.239284198034812,1.07515261774529
TCGA-61-1910-01A,0.0101403313212123,0,0.710857182190416,0.00688514943780463,0.126147110025939,0.141583066259865,0.00438716076476315,0,0.364622975232114,1.0031087096626
TCGA-13-1512-01A,0,0.0248434565449626,0.509682747544648,0.0210062880214272,0.235575498479567,0.208892009409396,0,0,0.240527479782968,1.06674509647236
TCGA-29-1768-01A,0,0.019642027593362,0.225024080122092,0.0236002853895214,0.408998198484582,0.303816408594992,0.0189189998154513,0,0.515026497882841,0.896253823079631
TCGA-13-0897-01A,0,0.00477391210920117,0.745368002442636,0.00923688477403878,0.105694547002629,0.127926817755651,0.00699983591584393,0,0.409549254125888,0.974882058715338
TCGA-10-0938-01A,0.00801872537502859,0.00408213683017896,0.906570406821089,0.00613986643506389,0.0654743251268482,0.00971453941179093,0,0,0.19381570434682,1.18759616334471
TCGA-13-0804-01A,0,0,0.685171175910325,0.0188008516993445,0.0938934150574593,0.190235636862676,0.0118989204701947,0,0.371619384471109,0.991194961528754
TCGA-13-0920-01A,0.0300291097777355,0,0.703470708024691,0.0166561754703863,0.184294781007943,0.0655492257192447,0,0,0.143736652309291,1.15804201950787
TCGA-25-2042-01A,0,0,0.342282514304121,0,0.511709383774163,0.141982135170809,0.0040259667509066,0,0.527228668554717,0.912910952710213
TCGA-13-1505-01A,0.0342290571028364,0,0.473161046319561,0.00734117433257154,0.392097692713893,0.0904648209424075,0.00270620858873059,0,0.488252696357519,0.916991660373508
TCGA-61-2110-01A,0.023089955786252,0,0.634147616162322,0.00776073053093894,0.201613178537972,0.129730326870424,0.00365819211209084,0,0.444646640185359,0.93650537224187
TCGA-24-1849-01A,0.0307905983378063,0.00866553840176535,0.401453832850235,0.0141326605520681,0.355251031480238,0.180538438571681,0.00916789980620629,0,0.593277018073384,0.816112572353045
TCGA-04-1341-01A,0,0,0.645051314758676,0.00843404318241945,0.232125070965402,0.108435816942626,0.00595375415087652,0,0.313739606654463,1.04161066610394
TCGA-24-2254-01A,0,0,0.485290514828697,0.00555642102980256,0.262322510407717,0.24225614627077,0.00457440746301419,0,0.505074395165641,0.887751116782566
TCGA-13-1488-01A,0.0209994046330241,0.017183608187346,0.696010096302333,0.0285586913797853,0.148268856677859,0.0819445235095904,0.0070348193100622,0,0.202575930143523,1.10737906374962
TCGA-61-2094-01A,0.0250244644654611,0.0490176580908806,0.537301938506444,0.0463817079580936,0.102908551619789,0.229398105380101,0.00996757397923042,0,0.402160070049431,0.942894648585777
TCGA-20-1683-01A,0,0.00938929510733675,0.397926037789945,0,0.476804360646258,0.115880306456459,0,0,0.28762888503966,1.10112067753219
TCGA-29-1703-01A,0.0201545106841072,0,0.613638782293764,0.0207853498944639,0.208552567314249,0.136868789813416,0,0,0.340791025991753,1.0095020710861
TCGA-04-1343-01A,0.0516659153698749,0,0.566557367832292,0.0103308886934511,0.227980289961977,0.143465538142405,0,0,0.353097372508774,0.994223992648881
TCGA-25-1627-01A,0.0256789661445667,0,0.653724106650937,0.00894411992786961,0.192089956333284,0.113946953687425,0.00561589725591781,0,0.47267931614745,0.915969611827939
TCGA-61-1919-01A,0,0.00890000753988934,0.366247297191314,0.0117238926251276,0.336074083171731,0.277054719471938,0,0,0.523031475720319,0.87908499033138
TCGA-24-1565-01A,0,0.0131736072010864,0.749428438784032,0.0234832988817621,0.0477054857140399,0.159102234628988,0.00710693479009183,0,0.491151003868924,0.907063080918558
TCGA-31-1946-01A,0,0.0176059350117153,0.41696414906852,0.00729621390965254,0.301242499508348,0.256891202501764,0,0,0.478073133636614,0.909800077969825
TCGA-29-1774-01A,0,0,0.557715726243175,0.00396245805310156,0.317407554763004,0.118664401606848,0.00224985933387227,0,0.27245465417343,1.07575552988719
TCGA-36-1577-01A,0,0,0.610312217094225,0.00378938935471886,0.213520841195103,0.169085378437267,0.00329217391868668,0,0.417090021451422,0.958835879171796
TCGA-24-2261-01A,0,0.0294090149476066,0.373327116846889,0.0241160748809401,0.273702433147151,0.295222445488195,0.00422291468921909,0,0.474534081835995,0.906693719592988
TCGA-23-2077-01A,0,0.0071872921436896,0.60174055794472,0.0344780336494924,0.155282614053282,0.197151043761582,0.0041604584472336,0,0.332586338085919,1.00784570424264
TCGA-36-1581-01A,0,0.028239704123946,0.419950585701395,0.0449722843485983,0.202986685832664,0.300608487295117,0.00324225269828023,0,0.274396825321487,1.03623416454854
TCGA-09-1661-01B,0.0422989975704928,0,0.623632998476841,0.010716347755858,0.221336836359039,0.102014819837769,0,0,0.334964034780599,1.01589489896858
TCGA-13-1482-01A,0.00246936881323293,0.00405194209100512,0.548766276388556,0.0147405187069914,0.289053979722824,0.124823978907982,0.0160939353694085,0,0.415271311077105,0.960511689613698
TCGA-13-0924-01A,0,0.0179519457877857,0.56314096354458,0.0139340084638392,0.219136849954807,0.180259776811709,0.00557645543727834,0,0.521669336834973,0.871251125454957
TCGA-23-1120-01A,0.00392704093150209,0.00869739221542549,0.497344036419925,0.0219343720741783,0.239415149265347,0.212500777809615,0.0161812312840064,0,0.315557797945872,1.01677979226079
TCGA-04-1357-01A,0.0328681401856972,0.045990637145461,0.472276790421796,0.0376501169678618,0.151408443221936,0.255886124913612,0.00391974714363729,0,0.382933874430452,0.955059369601099
TCGA-04-1651-01A,0,0,0.819583275097668,0.00469844633076151,0.0647147373804848,0.104607370782973,0.00639617040811305,0,0.353551999462398,1.03484246866003
TCGA-13-1497-01A,0,0.00746186359340781,0.589179371254661,0.0169200089187954,0.24117695257081,0.140647568403247,0.00461423525907941,0,0.282527430132099,1.05251800915311
TCGA-24-1557-01A,0,0,0.662096598256307,0.0127262161237642,0.134834831366708,0.185080912572021,0.0052614416811998,0,0.285216155096602,1.05152197025638
TCGA-24-1562-01A,0.0239884088869038,0,0.616652084800076,0.0110793320133711,0.221390295536294,0.126889878763354,0,0,0.500535835263778,0.892941319622216
TCGA-24-2289-01A,0.00582375767787733,0,0.490308981498428,0.000381807651003768,0.261639839025868,0.237447298198017,0.00439831594880639,0,0.445063780632889,0.934057112883474
TCGA-25-1871-01A,0.00175312872556728,0,0.843241331205779,0.00193648856689463,0.143095115632611,0.00926113975256661,0.000712796116581598,0,0.231293017343069,1.14660034868372
TCGA-29-1777-01A,0,0.00205353910627578,0.52061388036588,0.00960496180088179,0.260502121587827,0.198956124790315,0.00826937234882025,0,0.393681672997953,0.971725849512693
TCGA-04-1542-01A,0.0515647608354283,0,0.811583932051445,0.00977475519308202,0.103358377109761,0.0237181748102832,0,0,0.287116993224256,1.0826782788598
TCGA-24-1556-01A,0.0133905435927351,0,0.529648018564677,0.0171275744049387,0.2599690687546,0.165743215445143,0.0141215792379065,0,0.322214755001829,1.01864956742346
