"","Cancer Cells","B Cells","T Cells","Myeloid cells","Mast Cells","Fibroblasts","Endothelial Cells"
"TCGA.B8.A54H.01A",0.0465255551091815,0,0,0.0101292524160865,0,0.0850303634427994,0.858314829031933
"TCGA.AK.3429.01A",0.0661209618082127,0,0.0037757903734438,0.0467365595703086,0,0.0319048744455012,0.851461813802534
"TCGA.B0.4834.01A",0.239132307048811,0,0,0,0,0.0449848545938599,0.715882838357329
"TCGA.B0.4843.01A",0.0180876461343458,0,0,0,0,0.298668590284288,0.683243763581366
"TCGA.A3.3382.01A",0,0,0,0.0445073792043643,0,0.253258195899094,0.702234424896542
"TCGA.BP.4338.01A",0.36834367996425,0,0,0.104248549762807,0,0.080261482888379,0.447146287384564
"TCGA.B4.5832.01A",0.413043539637171,0,0,0,0,0.0261343943399825,0.560822066022846
"TCGA.CW.6088.01A",0.00798549931408262,0,0,0,0,0.104203347471025,0.887811153214893
"TCGA.A3.A6NJ.01A",0.0242901361958579,0,0.00478552347645158,0.0563911668046228,0,0.0538968537751834,0.860636319747884
"TCGA.B0.5088.01A",0.0115335765312206,0,0,0.113030107212662,0.000173857484555219,0.247021774128743,0.628240684642819
"TCGA.A3.3308.01A",0,0,0,0.0215838558912136,0,0.285922153075437,0.69249399103335
"TCGA.CW.5589.01A",0.0336030978629239,0,0,0.0473950745489734,0,0.177885951505607,0.741115876082496
"TCGA.B0.5702.01A",0.133885311370798,0.00488428328792026,0,0.0328208862574547,0,0.316317986289343,0.512091532794484
"TCGA.BP.4169.01A",0,0,0,0.0351676336268094,0,0.254474317635641,0.71035804873755
"TCGA.CZ.5468.01A",0.209716517972226,0,0,0.0759162776913448,0,0.234865262434467,0.479501941901963
"TCGA.A3.3313.01A",0.372376221318022,0,0,0.0048229282337878,0,0.117297278012465,0.505503572435725
"TCGA.BP.4782.01A",0.0782264765321429,0,0,0.0743001640410882,0,0.130256018146075,0.717217341280693
"TCGA.3Z.A93Z.01A",0.0403142806333916,9.27444516945558e-05,0,0.0129853966279657,0,0.185517727336174,0.761089850950774
"TCGA.CZ.5454.01A",0.061655147146604,0,0,0.195635423721996,0,0.121495485242374,0.621213943889026
"TCGA.A3.3358.01A",0.0663798426508081,0.000476266347807707,0,0.0847859583458221,0,0.108880370539425,0.739477562116137
"TCGA.CJ.6031.01A",0,0,0,0.112684640288616,0,0.370499407898627,0.516815951812757
"TCGA.BP.4790.01A",0,0,0,0.0296513313667024,0.000286223465910347,0.294698893185405,0.675363551981982
"TCGA.B0.5699.01A",0.0209473075008449,0,0.00160138802148971,0.0209458043994492,0,0.0459451014000749,0.910560398678141
"TCGA.CJ.4635.01A",0.00543921279479644,0.00015726028584184,0.000795155926141255,0.0539125838719685,0,0.169883149782033,0.769812637339219
"TCGA.A3.A8CQ.01A",0.0653849720618056,0,0,0.00829051061046798,0.000278509665768111,0.196886264074603,0.729159743587355
"TCGA.AK.3447.01A",0.865385008109837,0,0,0,0,0.00360860166166854,0.131006390228495
"TCGA.BP.4159.01A",0.0419130724221736,0,0,0.00899659192452659,0,0.216293841662669,0.732796493990631
"TCGA.B0.5698.01A",0.0305375581752338,0.0011861861794797,0.000729326735482918,0.053287514136182,0,0.0458882507229623,0.868371164050659
"TCGA.A3.A8OU.01A",0.030636649908171,0.000112444427326728,0,0.0300121652210972,0,0.143118260108998,0.796120480334407
"TCGA.A3.3380.01A",0.0155893788670858,0.000265656533757141,0,0.0146509772798007,9.84414494230913e-05,0.1843393079359,0.785056237934033
"TCGA.BP.4998.01A",0,2.96537806622502e-05,0,0.0210846667568295,0.000765478392092723,0.255074288023925,0.72304591304649
"TCGA.A3.3383.01A",0.137658836854709,0.00224308566322963,0,0.0436580475789384,0.000582413388855142,0.0764479209164575,0.73940969559781
"TCGA.BP.4353.01A",0,0,0,0.0438757027350248,0,0.22308526633986,0.733039030925115
"TCGA.CJ.5686.01A",0.0166828811655589,0,0,0.0834688565766338,0,0.124553228409144,0.775295033848663
"TCGA.EU.5907.01A",0.0420257129093122,0,0,0.0346511241073573,0,0.126139110611464,0.797184052371866
"TCGA.B0.4703.01A",0,0,0,0.00291038902767462,0,0.375962852628289,0.621126758344036
"TCGA.B0.5119.01A",0.225525796378833,0,0,0.0052578654270299,0,0.0536879302120713,0.715528407982066
"TCGA.B0.4822.01A",0.204876581454479,0,0,0.0485780624151422,0,0.151255387080273,0.595289969050106
