Mixture,B Cells,Cancer Cells,Endothelial Cells,Fibroblasts,Macrophages,NK,T Cells,P-value,Correlation,RMSE
TCGA-WL-A834-01A,0,0.861617289748095,0.0312011902188812,0.0876216235742009,0.0195598964588233,0,0,0,0.166232482284852,1.01321311667216
TCGA-DS-A1OD-01A,0,0.504725183267682,0.0145513153782565,0.0759459531463955,0.156605935844606,0.120323749278827,0.127847863084234,0,0.336788809474353,0.944134654887985
TCGA-Q1-A5R1-01A,0.0137977544842257,0.914671976005847,0.0160553222677316,0,0.0554749472421957,0,0,0,0.338800232398829,0.942971351038455
TCGA-ZJ-AAXF-01A,0,0.608807688894474,0.0411650451201371,0.202938812936526,0.0910327575190344,0.0138582656279705,0.0421974299018582,0.01,0.0731702802613947,1.04729466234728
TCGA-LP-A5U2-01A,0,0.950799496045648,0,0,0.0346655720082992,0,0.014534931946053,0,0.332058912688379,0.946800588773625
TCGA-C5-A7CK-01A,0,0.651357907984906,0.0102343585862087,0.338407733428885,0,0,0,0,0.220016429293506,1.00864160816959
TCGA-ZJ-AB0H-01A,0,0.566516693405686,0.0268221874882372,0.130718344241622,0.224588844056172,0.0364456797653837,0.0149082510428988,0,0.126058936108976,1.02087960235774
TCGA-EK-A2R9-01A,0,0.575059626880069,0.044441853314809,0.27967693388917,0.0627780148221956,0.00983463238432485,0.0282089387094312,0,0.334198074013805,0.94786440074338
TCGA-VS-A954-01A,0,0.788801974848088,0.013447533918811,0.113458943696959,0.06674148105904,0.0175500664771015,0,0.01,0.104797987329183,1.03182348165963
TCGA-Q1-A73O-01A,0,0.606882442656408,0.0929872006559368,0.056082531152114,0.154091157760866,0.0212512626961179,0.0687054050785568,0.01,0.0931671378544155,1.0333345893569
TCGA-VS-A9U6-01A,0,0.731908924193062,0.0178701196778075,0.179017895500812,0.0679104919329464,0.00329256869537271,0,0,0.126300627152394,1.02697946979425
TCGA-EK-A3GM-01A,0,0.957255636875668,0.0283037633024604,0,0,0,0.0144405998218715,0,0.292119574675902,0.96479879195245
TCGA-C5-A7CJ-01A,0,0.52039118482289,0.0787965645108317,0.172650884557261,0.189803290467882,0.0383580756411356,0,0,0.121881838529003,1.02827783716945
TCGA-FU-A3WB-01A,0,0.850527372951174,0.0053394198560309,0.119972450639941,0,0,0.024160756552854,0,0.166038762828782,1.01358432892633
TCGA-VS-A9V1-01A,0.00926349734633138,0.939484034625365,0.00369475965173583,0,0.0285106518110059,0.0190470565655615,0,0,0.329860237705452,0.94739300719826
TCGA-C5-A1ML-01A,0,0.783978968136919,0.101834334304137,0.0450332488289073,0.0545692304497156,0.0145842182803204,0,0,0.127826165952587,1.02655105715701
TCGA-IR-A3LB-01A,0,0.514703561790288,0.0166637176023309,0.418008575181112,0.0496842737216983,0.000939871704570976,0,0,0.279406986933619,0.990870813357331
TCGA-VS-A9U7-01A,0,0.707502350604504,0.0316774191654437,0.0252853982685008,0.17681889338405,0.0516402110752714,0.00707572750222976,0.01,0.0914014900383166,1.03244743487374
TCGA-EK-A2RK-01A,0,0.814529949594715,0.00260552262914831,0,0.142981626146955,0.0262668117715535,0.0136160898576281,0,0.141413462755799,1.01857133787454
TCGA-C5-A905-01A,0,0.993961925635717,0,0,0.00603807436428312,0,0,0,0.156847318489681,1.02503893053032
TCGA-C5-A3HL-01A,0,0.836928321794523,0.0141946323381706,0.0811099802308635,0.0329489223502139,0,0.0348181432862294,0.07,0.0316168484785166,1.06097912023192
TCGA-C5-A1MH-01A,0,0.559394873352887,0.0980749167883594,0.0320644438106472,0.278141807707698,0.0323239583404087,0,0,0.175271988335429,1.00561132846868
TCGA-Q1-A5R2-01A,0,0.698043408263871,0.00563651256528083,0.0802748200354203,0.166541206975377,0.0495040521600508,0,0,0.125020527162057,1.01987573472588
TCGA-FU-A3HY-01A,0,0.938828538027854,0.0170989484706009,0.0276208269194372,0.0164516865821079,0,0,0.01,0.0759322045165766,1.05257683216912
TCGA-EA-A439-01A,0,0.563100826045019,0.0109424158992145,0.421153053796716,0,0.00480370425905045,0,0,0.586335373086874,0.811698593949851
TCGA-C5-A7UH-01A,0,0.708124434235652,0.0843567830199713,0.0824182624330989,0.125100520311278,0,0,0,0.130686778188959,1.02191523776618
TCGA-C5-A1M7-01A,0.0185288006614589,0.762449763963788,0.0385680816307703,0.053086505189866,0.118102707694938,0.00926414085917885,0,0.01,0.0763590100446446,1.03910898853041
TCGA-EA-A50E-01A,0,0.559705256935612,0.0978369339016032,0.195249275860683,0.147208533302101,0,0,0,0.189471389442817,1.00675704793601
TCGA-VS-A9V5-01A,0,0.883503167810558,0.0632957112489627,0.0347214262274351,0.0184796947130444,0,0,0,0.311206311594639,0.954830551977136
TCGA-BI-A20A-01A,0,0.760140925005801,0.0326416065922268,0.076665152610734,0.105170978461442,0.0209887617319861,0.00439257559781013,0,0.326586920985904,0.945934376913004
TCGA-C5-A2LV-01A,0,0.679140535400129,0.0505238466283738,0.0898928273539492,0.148053438877008,0.0323893517405404,0,0,0.135098618880698,1.01677029158543
TCGA-C5-A2LZ-01A,0,0.89502506710285,0,0,0.0794504993177477,0.0255244335794023,0,0.01,0.0993263506198649,1.03890847699647
TCGA-Q1-A6DV-01A,0.0113792934389997,0.934129639171911,0.0238709478010285,0,0.0122596330096275,0,0.0183604865784337,0,0.250433253532765,0.981392054336537
TCGA-EK-A3GN-01A,0,0.965382411160012,0.00963114136543641,0.0102646540264585,0.0147217934480927,0,0,0,0.347584005491414,0.940360627965807
TCGA-ZJ-A8QQ-01A,0,0.858867474323808,0.0318365760021001,0,0.109295949674092,0,0,0.01,0.091053351043394,1.03992138865706
TCGA-LP-A5U3-01A,0,0.836450257146606,0.0110842282187456,0,0.0911412861961343,0.00232512143107865,0.058999107007435,0.01,0.0992265980829801,1.03508433790556
TCGA-VS-A94Z-01A,0,0.605251117480193,0.0589221635487067,0.0316892722855595,0.148823946031048,0.155313500654492,0,0,0.177687244059698,1.00541677811282
TCGA-EK-A2PG-01A,0,0.960295634502155,0,0,0.0295237485275585,0.0101806169702867,0,0.05,0.0388157238317536,1.06897677856293
TCGA-DG-A2KL-01A,0,0.447233011624834,0,0.46496734099852,0.0877996473766458,0,0,0,0.169130795844548,1.0576652793552
TCGA-EA-A6QX-01A,0,0.78972096052866,0.0205917948657851,0.0650918334284976,0.0946012361932612,0,0.0299941749837961,0,0.143101224724599,1.01608902711298
TCGA-VS-A9UT-01A,0.0224460414123958,0.30972278351301,0.0554442848171261,0.104448833758896,0.407288029578034,0.100650026920538,0,0,0.437951614354027,0.898920090784851
TCGA-C5-A8ZZ-01A,0,0.53857293509385,0.0337324179929151,0.427694646913235,0,0,0,0,0.509686727924126,0.860974260928349
TCGA-VS-A959-01A,0.00210539563034683,0.839944401116479,0.000254781401889558,0.0855911830038855,0.0573348530794333,0.0147693857679657,0,0,0.191229453112593,1.00058551859533
TCGA-VS-A950-01A,0.00507123981336695,0.817993547109125,0.0628545423591371,0.0665593698155633,0.0475213009028081,0,0,0.01,0.0724935620023374,1.04686823848005
TCGA-VS-A9UM-01A,0,0.6325917477438,0.0377504468754356,0.135647583188099,0.154397910903397,0.0396123112892688,0,0.01,0.0805431673306965,1.03698137403174
TCGA-DS-A0VM-01A,0,0.771664202753302,0.0202911366658297,0.147897248124216,0.0445457928323437,0.0156016196243081,0,0,0.215765130530714,0.991525961156624
TCGA-VS-A957-01A,0,0.980441127721078,0,0,0.0195588722789221,0,0,0.01,0.086884197483699,1.05243299953985
TCGA-EA-A3HR-01A,0,0.801027294139714,0.0541340465511659,0.0606480662093655,0.0799493453442713,0,0.00424124775548376,0.02,0.059795211116483,1.04891986332842
TCGA-C5-A2M2-01A,0,1,0,0,0,0,0,0,0.517494070973792,0.859493883473233
TCGA-VS-A9UV-01A,0,0.944920783918611,0.00545927719400978,0.0171704070117636,0.019862831203497,0,0.0125867006721191,0.11,0.0261328777718399,1.07220485070487
TCGA-EX-A3L1-01A,0,0.57763599212418,0.0857759546484612,0.206659531144031,0.129928522083329,0,0,0,0.148238051237059,1.02352967083659
TCGA-VS-A9UU-01A,0.0114906603718372,0.960797709535438,0.000832724663261705,0.00757782247418748,0,0.0193010829552755,0,0.02,0.0494118505048738,1.06510745266508
TCGA-MY-A5BE-01A,0.0609872563458528,0.301520310275497,0.0105395155618775,0.0419447728231664,0.287039903259272,0.252883511761297,0.0450847299730378,0,0.371849804782608,0.93842463583102
TCGA-VS-A94W-01A,0,0.656076519917563,0.0500738438553958,0.0409134162960797,0.189009189435785,0.0336256519967525,0.0303013784984234,0,0.17813983490639,1.00078685633192
TCGA-C5-A3HD-01B,0,0.972577391929742,0.0184540458845754,0.000305533291071983,0,0,0.00866302889461089,0,0.217854798915276,0.997567026604525
TCGA-JX-A3PZ-01A,0,0.586748021023101,0.0468978027551019,0.134388744804633,0.198056519867742,0.033908911549423,0,0,0.249907553023426,0.975438003904407
TCGA-IR-A3LA-01A,0.00583449756861253,0.800130920834371,0.0329959262595415,0.0520845791442932,0.079946844164475,0,0.0290072320287072,0,0.221501419499077,0.987188193765499
TCGA-C5-A3HE-01A,0,0.778053573204349,0.0381003735310376,0.0248957761309665,0.0958000724212072,0.0631502047124398,0,0,0.412070969033274,0.911764437597618
TCGA-Q1-A6DT-01A,0,0.796642610738827,0.0505454477225829,0.0591815814823241,0.0868644786580682,0.00676588139819819,0,0.01,0.0750107035960949,1.04256181334794
TCGA-C5-A7CL-01A,0,0.681038027572661,0.0684830697822743,0.137494635945226,0.112984266699838,0,0,0.02,0.0673163877750573,1.04673264671491
TCGA-IR-A3LK-01A,0,0.777802441848943,0.0149075773145817,0,0.181900451391157,0.0253895294453181,0,0,0.147226432928645,1.01538917840431
TCGA-MA-AA3X-01A,0,0.56142798612269,0.101875836481188,0.0317126690112337,0.304983508384888,0,0,0,0.13545303605709,1.02269030821727
TCGA-C5-A7XC-01A,0.0185277584461876,0.61373883683909,0.0706594374943026,0.12763629269769,0.0792581311558898,0.0901795433668401,0,0,0.111032971518492,1.0290391130237
TCGA-VS-A94Y-01A,0,0.690567250608546,0.0420649187033288,0.154413526080011,0.0924004144106506,0.0205538901974641,0,0.01,0.0712685605967214,1.04415208211063
TCGA-EK-A2PM-01A,0,0.855396420109534,0.00751527767602401,0.127090740588201,0.00999756162624068,0,0,0,0.116052230597722,1.03407545354933
TCGA-FU-A3TQ-01A,0,0.632273912849223,0.00444579660776354,0.172070801712193,0.151906977503905,0,0.0393025113269161,0.01,0.0768701215999783,1.04036778966618
