Mixture,B Cells,Cancer Cells,Endothelial Cells,Fibroblasts,Macrophages,Mast Cells,T Cells,P-value,Correlation,RMSE
TCGA-G4-6311-01A,0.0602012418867873,0.144519404584453,0.145314012171288,0.30994262427057,0.340022717086902,0,0,0,0.248688094787345,1.04893030755198
TCGA-A6-2677-01B,0.293224218379905,0.122364144656283,0.138289840786645,0.446121796177167,0,0,0,0,0.189153215587747,1.05540622305183
TCGA-AA-3815-01A,0,0.234113529388035,0.0591573556645621,0.155430906465688,0.426525640637378,0,0.124772567844337,0,0.294536977710426,1.0303637833566
TCGA-CK-4951-01A,0.000751957790798525,0.0518703498611534,0.229234488109969,0.300399538595509,0.399692188351956,0,0.0180514772906146,0,0.318995658162102,1.02451218917124
TCGA-CK-6748-01A,0,0.220114463630275,0.155299200291181,0.388699219000899,0.235887117077645,0,0,0,0.26014241292386,1.04309953121186
TCGA-CA-5255-01A,0,0.370930309399648,0.301350825879725,0.149620447880283,0.0951926986778932,0.00410578307089707,0.0787999350915531,0,0.140525603242145,1.09977126937493
TCGA-CK-4952-01A,0.0433922472581587,0.205203468578632,0.293023612058202,0.133991880416657,0.32438879168835,0,0,0,0.160474387948453,1.09633636777276
TCGA-AZ-4315-01A,0,0.127779635082513,0.157384274292351,0.313201244339772,0.401634846285364,0,0,0,0.238348736553537,1.07523413386023
TCGA-AA-3869-01A,0,0.245676842509879,0.233574629383041,0.0973052056206441,0.423443322486436,0,0,0,0.244169532379473,1.07382696123616
TCGA-G4-6626-01A,0,0.247058169095776,0.551151449176721,0.0968309026865889,0.104959479040913,0,0,0,0.169960041439574,1.09083975525753
TCGA-DM-A1D7-01A,0,0.130568041023653,0.40365963322109,0.258470205062447,0.13333937230854,0,0.0739627483842696,0,0.213235995461444,1.0542295716297
TCGA-AA-3531-01A,0,0.221986181087612,0.384882585959053,0.209452428515725,0.18367880443761,0,0,0,0.186543428410856,1.07658962189438
TCGA-A6-5662-01A,0.00401448801626159,0.214426127662754,0.313133900209238,0.401886620630669,0.0665388634810775,0,0,0,0.156994418262905,1.1134331343955
TCGA-CM-4744-01A,0,0.179359381078297,0.25614915708271,0.0946055841354736,0.349366748428187,0.00126180289937707,0.119257326375955,0,0.248545039402628,1.03854710780384
