"","T Cells","NK","Myeloid","B Cells","Endothelial Cells","Fibroblasts","Mast Cells","Cancer Cells","V9"
"TCGA.FV.A23B.01A",0,0,0,0,0.0727599039967333,0.00591394576056039,0,0.884859840325181,0.0364663099175252
"TCGA.DD.AADD.01A",0,0,0,0,0.0899984635977531,0.00356100863835377,0,0.864175422837619,0.0422651049262742
"TCGA.DD.AACO.01A",0,0,0,0,0.0158435988254231,0.0024473694447389,0,0.981709031729838,0
"TCGA.RC.A6M3.01A",0,0,0,4.95234722855452e-05,0.186615924618766,0.0226713941017432,0,0.554138170403792,0.236524987403413
"TCGA.DD.AAED.01A",0,0,0.000166416683850357,0,0.0277578482514649,0.00305294928138858,0,0.807083075549975,0.161939710233321
"TCGA.BC.A10X.01A",0,0,0,0,0.0586990678807056,0.0187670928699933,0,0.917802705921252,0.00473113332804901
"TCGA.DD.AAVP.01A",0,0,0,0,0.0489839701098124,0.0122355736231135,6.92235679188565e-05,0.938711232699155,0
"TCGA.MI.A75C.01A",0,0,0,0,0.019149080561211,0.00134437847208913,0,0.977608325122227,0.00189821584447307
"TCGA.DD.A39W.01A",0,0,0,0,0.168977759077394,0.00501007181258159,0,0.82007125040418,0.00594091870584403
"TCGA.DD.A4NA.01A",0,0,0.0225268730278412,0,0.447704954749498,0.0255271206369981,3.63722418398581e-05,0.150832938817229,0.353371740526594
"TCGA.DD.AAVY.01A",0,0,0,0,0.0152590330172477,0.000548971422164677,0,0.984191995560588,0
"TCGA.DD.A1EC.01A",0,0.0189144992751586,0.0424352320219796,0,0.287673291587095,0.00621325312712276,0,0.56346533697083,0.0812983870178141
"TCGA.5C.AAPD.01A",0,0,0.0283880148988402,0.00709191691225048,0.0946945474681828,0.0289239556967235,1.77644917712872e-05,0.815059294722947,0.0258245058092845
"TCGA.BC.4073.01B",0,0,0.0343706373082802,0.000713088565966774,0.250390957008923,0.0124927239427213,0,0.622959147748057,0.0790734454260522
"TCGA.WQ.A9G7.01A",0,0,0,0,0.069333953446854,0.0126453632164413,1.07679011356416e-05,0.735558873481814,0.182451041953755
"TCGA.CC.A7II.01A",0,0,0.057132442167313,0.137435273699951,0.161724445581201,0.152511278096349,0,0.204147843789376,0.28704871666581
"TCGA.CC.A8HS.01A",0,0,0,0,0.213913662726297,0.037542794801541,0,0.642230351668709,0.106313190803453
"TCGA.DD.AAEA.01A",0,0,0,0,0.0281305255674861,0.00270148210292746,2.19192228570763e-05,0.969146073106729,0
"TCGA.DD.A4ND.01A",0,0,0,0,0.160569789214362,0.0705592923666774,1.01425772438165e-05,0.73669853827006,0.0321622375716563
"TCGA.ZP.A9D2.01A",0,0,0.00033698400799553,0,0.426585064532342,0.0336533477330224,2.04442048878259e-05,0.395095000971628,0.144309158550124
"TCGA.DD.AADI.01A",0,0,0.018045235248482,0,0.0778085392990222,0.0194632305335979,0,0.815300424978587,0.0693825699403106
"TCGA.2Y.A9GX.01A",0,0,0.00780242265055271,0,0.142642007262478,0.0323525175208886,1.25975249759743e-06,0.807621485863353,0.00958030695023021
"TCGA.DD.AACY.01A",0,0,0,0,0.0169318799335789,0.00532356528264688,0,0.977744554783774,0
"TCGA.DD.A73D.01A",0,0,0,0,0.0306139029712041,0,0,0.958926811515945,0.0104592855128507
"TCGA.DD.AAE9.01A",0,0,0,0,0.0226330803758751,0,6.94830887602135e-06,0.977359971315249,0
"TCGA.ED.A7XO.01A",0,0,0,0,0.0419226201216726,0.0175034456520394,0,0.940059822826836,0.000514111399452446
"TCGA.DD.AADM.01A",0,0,0,0,0.00944662234619982,0.00591936433169799,0,0.984634013322102,0
"TCGA.FV.A3R3.01A",0,0,0,0,0.186515125098966,0.0349208557796808,3.26762457579981e-05,0.731623463989129,0.0469078788864665
"TCGA.DD.AACL.01A",0,0,0.0600139569578093,0.00358854634731453,0.111508744004245,0.00702293159395298,0,0.77921895432698,0.0386468667696984
"TCGA.DD.A4NJ.01A",0,0,0.00496944697631223,0,0.130018299479861,0.0113071173316222,0,0.816682016156449,0.0370231200557554
"TCGA.DD.AADU.01A",0,0,0,0,0.025240173808895,0.00202079164623307,0,0.968983052089522,0.00375598245534974
"TCGA.CC.A7IF.01A",0,0,0,0,0.0237482934949757,0.00832204153305266,0,0.967929664971972,0
"TCGA.CC.A5UE.01A",0,0,0.000743268628205185,0,0.0466997109646437,0.00319634905315928,0,0.863032828823648,0.086327842530344
"TCGA.DD.AAVW.01A",0,0,0,0,0.128611323874838,0.049496926372212,2.19215722828677e-05,0.74922635586882,0.0726434723118477
"TCGA.CC.A9FW.01A",0,0,0,0,0.0460055471154689,0.0105294443119103,0,0.91661130351892,0.0268537050537007
"TCGA.DD.A4NQ.01A",0,0,0,0,0.0946577590792608,0.00816463465211328,0,0.882394841151444,0.0147827651171825
"TCGA.DD.A3A7.01A",0,0,0,0,0.00931563838178221,0.00429785379501029,0,0.986386507823208,0
"TCGA.EP.A2KA.01A",0,0,0.0440716318096137,0.00636734406308028,0.158052877468918,0.000877394901462925,0,0.748543463955747,0.0420872878011774
"TCGA.ED.A7PZ.01A",0,0,0,0,0.0451004924793175,0.0264874850858312,0,0.868890147801375,0.0595218746334767
"TCGA.G3.A25U.01A",0,0,0,0,0.0291232664773976,0.00122467334292192,0,0.96965206017968,0
"TCGA.RC.A7SH.01A",0,0,0,0,0.111182525189715,0.0148340884558793,0,0.786641948827276,0.0873414375271295
"TCGA.G3.AAV1.01A",0,0,0,0,0.082116513479905,0.0225674430756531,0,0.892095874781068,0.00322016866337349
"TCGA.2Y.A9GZ.01A",0,0,0,0,0.0349093856356847,0.00240846523800035,0,0.962682149126315,0
"TCGA.DD.AA3A.01A",0,0,0.00270558863973155,0,0.362387065985738,0.0486400380016671,0,0.117605629567628,0.468661677805235
"TCGA.2Y.A9HA.01A",0,0,0,0,0.069612997813516,0.00265570008250874,1.5822051252873e-05,0.916220575602499,0.0114949044502235
