Mixture,CD4 T,CD8 T,Cancer Cells,DC,Fibroblasts,Monocytes,NK,P-value,Correlation,RMSE
TCGA-BA-5152-01A,0.0326525854072343,0.034152792630555,0.540647778410033,0.0274753573279561,0.198506643179422,0.161660186602821,0.00490465644197897,0,0.106205977085425,1.13504566303119
TCGA-CQ-7065-01A,0.00260241654002127,0,0.638648627007791,0.0089579454758673,0.315718736343412,0.0340722746329088,0,0.01,0.0692937954533551,1.23234212715711
TCGA-CQ-6229-01A,0.00597594152507344,0.0298791681576455,0.568023051682597,0,0.292106152992042,0.104015685642642,0,0.01,0.0851465558718359,1.18785233197991
TCGA-CN-A63U-01A,0,0.0124593538517054,0.787102390289809,0.0122459173394925,0.163452109598187,0.0212650711735312,0.00347515774727479,0,0.233577305207346,1.12536320707774
TCGA-CV-6940-01A,0.0194841804628122,0,0.61431050965218,0.0088302822168888,0.226209833562073,0.131165194106046,0,0,0.137996373135582,1.14899666848169
TCGA-H7-8501-01A,0,0.10391186223536,0.362943254430059,0.0134415431683453,0.247048605364633,0.2605585203276,0.0120962144740027,0,0.19861544170926,1.07241649203387
TCGA-QK-A8ZB-01A,0.0397476713137083,0,0.537675158086391,0.00588131009230677,0.311816951945482,0.104878908562112,0,0.01,0.0988343692602544,1.17845025636269
TCGA-CR-6481-01A,0.106135511372542,0.0789934209884229,0.301519517084861,0.0743015195194093,0.199377666155459,0.210049936713898,0.0296224281654078,0,0.135385699921982,1.06970915677214
TCGA-BB-8596-01A,0.015029758155943,0.00881256804342836,0.327208367638169,0,0.409987203779148,0.235521085206533,0.00344101717677903,0,0.413771639054644,0.978651009836623
TCGA-CR-6493-01A,0,0,0.684607918928049,0.0136645354454266,0.245196891587401,0.0565306540391233,0,0.01,0.0757396045303877,1.21658773345432
TCGA-CV-A6JT-01A,0.0124219978008084,0.0137038512243419,0.435770982073968,0.0036495505109784,0.401155126752282,0.133298491637621,0,0.01,0.0545873727609147,1.22738616094343
TCGA-BA-A4IF-01A,0,0.00679832863478343,0.731958359079072,0.0067745309796996,0.210096849261655,0.0386266261455497,0.00574530589923946,0,0.125900389440374,1.19016317780842
