"","cellFractions.B.Cells","cellFractions.Endothelial.Cells","cellFractions.Fibroblasts","cellFractions.Macrophages","cellFractions.NK","cellFractions.T.Cells","cellFractions.otherCells"
"TCGA.E1.A7YI.01A",1.01436067133651e-08,0.0536023346570884,3.72278958565534e-09,0.0334469703244614,7.6054354154703e-09,1.31571491953771e-09,0.912950672230904
"TCGA.DU.8158.01A",2.29880441423376e-08,0.0129982369023607,6.12263562752084e-05,0.0898811724594329,6.96425676565184e-08,6.38490916050721e-09,0.89705926526641
"TCGA.S9.A6WN.01A",1.45861790062609e-08,0.0607586311978831,1.77566948337373e-06,0.0684337128877268,2.31011145533686e-07,4.07086996045191e-08,0.870805593938883
"TCGA.HT.7855.01A",1.581196308866e-07,0.0331216573068971,4.01043281292804e-08,0.0280627861353342,2.30395502835906e-07,1.14930164140964e-06,0.938813978636665
"TCGA.HT.8111.01A",4.21909928184975e-09,0.00212359210672161,0.00443577438850262,0.0540288325156504,4.56735211095591e-06,9.8257038231157e-09,0.939407219592211
"TCGA.WY.A85C.01A",2.09077312782686e-06,0.0370169511758936,2.77402648818125e-07,0.0267433816176369,9.24854343315963e-10,6.24569539917671e-09,0.936237291860143
"TCGA.CS.6290.01A",1.28315369375636e-06,2.14941088418007e-08,0.0013742656806436,0.120391809996917,5.986172127729e-08,1.38802263737981e-08,0.87823254593269
"TCGA.HT.8114.01A",5.43057803669405e-10,0.0201640874711207,0.00433191839098067,0.114192056309585,7.07573810937031e-06,3.80256505635564e-09,0.861304857744582
"TCGA.S9.A6TU.01A",5.59527429295475e-05,0.0275868463912906,6.43880897481282e-08,0.0488751032602189,1.81530037471315e-07,1.95462284172031e-06,0.923479897064592
"TCGA.HT.7616.01A",2.16094614248891e-08,0.0743286049068977,3.28281130810345e-05,0.14539255035287,1.68411776405016e-05,1.68576716945098e-08,0.780229136982378
"TCGA.HT.8010.01A",1.47725854208528e-09,0.0116733396591255,0.0186925872831564,0.0129230209806805,3.26689706631749e-08,2.95884665501407e-08,0.956710988342342
"TCGA.DH.A7UU.01A",3.05463575649375e-10,0.0317332434879105,3.01593709489022e-06,0.024124991314699,3.1450675470182e-09,1.87644131904995e-06,0.944136869368446
"TCGA.E1.A7Z3.01A",9.48434226235808e-08,0.0521503711091612,4.69467771309958e-05,0.026784665895178,2.22121540583322e-09,4.34803256945289e-10,0.921017918719089
"TCGA.E1.A7YM.01A",8.44837598059748e-10,0.0287521280443995,8.66905557680825e-10,0.0123382716442663,5.12832042318994e-10,1.89091527539799e-06,0.958907707171484
"TCGA.S9.A6WG.01A",0.002746171362287,0.496950543995214,0.109514127957549,0.0253512298307585,6.59894863793666e-09,0.0391555595661351,0.326282360689108
"TCGA.HW.8319.01A",4.56119625723582e-09,2.31215837222022e-07,0.0241122486142604,0.0204512172568163,8.42835099264179e-09,1.23372713471871e-09,0.955436288689812
"TCGA.TM.A84R.01A",1.3832870484032e-08,0.0459520885738821,0.00765542084804347,0.00734247229142124,1.68103716215272e-07,0.000547357556520955,0.938502478793546
"TCGA.DH.A66D.01A",3.21179330929962e-09,0.000531431698753957,0.0141117604548385,0.0554471940531666,2.01113906654415e-07,1.52995985718098e-07,0.929909256471555
"TCGA.S9.A6WP.01A",3.41532275611278e-08,0.0419014167643469,2.81850559615449e-09,0.042957046568097,2.68636861602524e-09,1.17192391648584e-09,0.91514149583753
"TCGA.DU.A7TB.01A",1.26268505004704e-06,0.026905554434301,8.12617027188935e-07,0.0121924787377511,4.43590033530562e-08,3.50609479648726e-08,0.960899812105919
"TCGA.DB.A64V.01A",1.11973841853178e-08,0.022339915368677,2.56431218931667e-07,0.0570357949008556,2.21631161787419e-08,1.0431488140319e-07,0.920623895623867
