"","Cancer Cells","Double-neg-like T","NK","Macrophages","CD8 T","Fibroblasts","Monocytes","B Cells","CD4 T","DC","Mast Cells","Neutrophils","Endothelial Cells"
"TCGA.CH.5765.01A",0.226618972086964,0,0,0,0,0.0340869136362228,0,0,0,0,0,0.513311335032317,0.225982779244496
"TCGA.EJ.A7NG.01A",0.202880899451871,0,0,0,0,0.061502534683904,0,0,0,0,0.000413665658961654,0.510888774933494,0.224314125271769
"TCGA.HC.8216.01A",0.174702187586322,0,0,0,0,0.108326974171827,0,0.021837870382388,0,0,0,0.521946487499569,0.173186480359895
"TCGA.M7.A722.01A",0.185556263215455,0.531301885956324,0,0,0,0.0568877214869085,0,0.204983790755858,0,0.0102453333092487,0.00182371545327706,0,0.00920128982292796
"TCGA.YL.A8SJ.01B",0.201411512970433,0,9.71942760712393e-05,0,0,0.157412594319302,0,0.00731447880396819,0,0,0.000335863383311251,0.416334366166174,0.21709399008074
"TCGA.J9.A8CK.01A",0.188914177281276,0,0,0,0,0.232897547220425,0,0.0339062350930573,0,0,0.000182449326336977,0.358011311319998,0.186088279758906
"TCGA.EJ.7792.01A",0.126101570367778,0,0,0,0,0.0976492890864536,0,0,0,0,0,0.536554419309768,0.239694721236001
"TCGA.G9.6332.01A",0.343225905700371,0,0,0,0,0.0780444717244443,0,0.175143630605401,0,0,0,0.206688193499063,0.19689779847072
"TCGA.EJ.7784.01A",0.189443637611633,2.45680160582622e-05,0.00023982422109899,0,0,0.0590646476469999,0,0.0028287703990921,0.000478783573041705,0,0.000475559061057161,0.554177089769597,0.193267119701422
"TCGA.YL.A8SR.01B",0.159886939334893,0,0.000500120110713996,0,0,0.0904326380223371,0,0,0,0,0,0.45565479516494,0.293525507367116
"TCGA.J4.A83M.01A",0.164025281529946,0,0.000378578070618541,0,0,0.0797397886062861,0,0.0450401133538629,0,0,0,0.547824507235719,0.162991731203567
"TCGA.J9.A52E.01A",0.240654870960132,0.000547554720785277,0.000320781859185516,0,0,0.149423176418784,0,0.0175385899450399,0,0,0.000684320291894342,0.340934913165415,0.249895792638764
"TCGA.Y6.A8TL.01A",0.25093055900497,0.000254203062864963,0,0,0,0.112269586148704,0,0.0699561654528419,0,0.00046010000377877,0.000736772975561628,0.377663790507311,0.187728822843968
"TCGA.KK.A7AZ.01A",0.328760245158969,0,0,0,0,0.162486314494316,0,0.238232534127433,0,0,0.00182010664751535,0.13768295354462,0.131017846027147
"TCGA.HC.8256.01A",0.264958226003089,0,0,0,0,0.0661805322329088,0,0.012028767874878,0,0,0,0.452303071761555,0.204529402127569
"TCGA.HC.7738.01A",0.307223306564367,0,0,0,0,0.034612591364144,0,0.00394891675146799,0,0,0.000176044416387026,0.44319439445817,0.210844746445464
"TCGA.HC.8265.01A",0.213000187077545,0,0.000572277198027904,0,0,0.0716493974608146,0,0.07007376004456,0,0.000142510728967996,0.000405843787140432,0.46478673569735,0.179369288005594
"TCGA.HI.7171.01A",0.23330308084129,0,0.00014495275121448,0,0,0.159875224694749,0,0.112525048533441,0,0,0.000400804566679076,0.327058788368892,0.166692100243734
