,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes
TCGA-G2-A3VY-01A,0.012,0.000,0.003,0.000,0.008,0.000,0.905,0.003,0.020,0.000,0.014,0.031,0.002,0.000,0.000,0.000
TCGA-G2-AA3F-01A,0.000,0.000,0.000,0.006,0.000,0.000,0.919,0.000,0.015,0.007,0.014,0.037,0.001,0.000,0.000,0.000
TCGA-DK-A3X2-01A,0.000,0.000,0.000,0.003,0.003,0.000,0.959,0.000,0.015,0.000,0.008,0.011,0.000,0.000,0.000,0.000
TCGA-CU-A72E-01A,0.000,0.000,0.003,0.001,0.000,0.000,0.846,0.000,0.035,0.056,0.027,0.026,0.000,0.000,0.004,0.001
TCGA-GC-A4ZW-01A,0.000,0.000,0.004,0.021,0.011,0.000,0.913,0.005,0.022,0.000,0.005,0.018,0.000,0.000,0.000,0.000
TCGA-XF-A9SU-01A,0.019,0.000,0.012,0.003,0.000,0.000,0.669,0.013,0.038,0.142,0.045,0.055,0.001,0.000,0.002,0.001
TCGA-DK-A6B0-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.942,0.001,0.034,0.000,0.005,0.016,0.000,0.000,0.000,0.000
TCGA-ZF-AA5N-01A,0.004,0.000,0.000,0.000,0.000,0.000,0.955,0.000,0.025,0.001,0.005,0.007,0.000,0.000,0.003,0.000
TCGA-FD-A43P-01A,0.020,0.005,0.034,0.032,0.025,0.000,0.696,0.029,0.024,0.043,0.005,0.072,0.001,0.000,0.011,0.002
TCGA-BT-A20U-01A,0.000,0.000,0.007,0.000,0.000,0.000,0.824,0.004,0.026,0.086,0.005,0.042,0.000,0.000,0.005,0.000
TCGA-FJ-A3Z9-01A,0.000,0.000,0.000,0.001,0.000,0.000,0.978,0.000,0.013,0.000,0.003,0.005,0.000,0.000,0.000,0.000
TCGA-YC-A8S6-01A,0.000,0.000,0.022,0.000,0.000,0.000,0.462,0.042,0.264,0.065,0.095,0.026,0.021,0.000,0.001,0.000
TCGA-UY-A78N-01A,0.000,0.000,0.001,0.002,0.000,0.000,0.899,0.002,0.015,0.044,0.025,0.010,0.000,0.000,0.000,0.000
TCGA-2F-A9KP-01A,0.000,0.001,0.000,0.000,0.000,0.000,0.912,0.002,0.049,0.000,0.027,0.007,0.001,0.000,0.001,0.000
TCGA-DK-A3IL-01A,0.001,0.010,0.000,0.004,0.000,0.000,0.881,0.000,0.016,0.027,0.041,0.017,0.000,0.000,0.001,0.000
TCGA-XF-AAN0-01A,0.011,0.000,0.012,0.009,0.000,0.000,0.809,0.004,0.030,0.024,0.009,0.088,0.000,0.000,0.001,0.001
TCGA-FD-A62N-01A,0.029,0.002,0.037,0.035,0.039,0.000,0.362,0.069,0.043,0.174,0.023,0.179,0.001,0.000,0.004,0.002
TCGA-XF-AAN8-01A,0.001,0.005,0.006,0.002,0.001,0.000,0.000,0.010,0.135,0.642,0.026,0.138,0.007,0.000,0.019,0.009
TCGA-FD-A6TG-01A,0.013,0.000,0.008,0.006,0.000,0.000,0.589,0.020,0.041,0.153,0.056,0.104,0.005,0.000,0.003,0.001
TCGA-GD-A3OP-01A,0.002,0.000,0.007,0.002,0.000,0.000,0.687,0.020,0.075,0.094,0.040,0.057,0.015,0.000,0.000,0.000
