"","T Cells","Fibroblasts","Macrophages","Cancer Cells","B Cells","Endothelial Cells","Mast Cells","DC"
"TCGA.B6.A0RN.01A",0,0.716190495931722,0.00624386232747639,0.172823619908297,0,0.0978490503008665,0.000276698182353835,0.00661627334928398
"TCGA.BH.A2L8.01A",0.0056465257876448,0.493009829330407,0.10128733308316,0.135975212980467,0,0.2188081838612,0.00814851089398418,0.0371244040631378
"TCGA.E2.A108.01A",0,0.463074694187139,0.150748243094342,0.00873629211943415,0,0.374242776769893,0,0.00319799382919179
"TCGA.AN.A046.01A",0.0030606286080351,0.460201209689475,0.0692896631592088,0.273703871322864,0.000404253285606619,0.192449321619432,0.000202578955571008,0.00068847335980764
"TCGA.E2.A576.01A",0.000911323301192058,0.174333845645557,0.0116629382969758,0.675347979322189,0,0.137743913434086,0,0
"TCGA.A2.A3XX.01A",0.00332111946871196,0.268286527621278,0.048786560333125,0.401723424184155,0.000594925819318854,0.27708114467229,0.000206297901121212,0
"TCGA.C8.A137.01A",0,0.517829475452933,0,0.317557429148542,0,0.163833449005386,0.000433665025844791,0.000345981367294208
"TCGA.A7.A4SC.01A",0,0.569602221406982,0.0178019296538039,0.0656688486615539,0,0.346113494514566,0.000408284162428655,0.000405221600665127
"TCGA.E2.A15M.01A",0.000545481077482081,0.391030173057219,0.084886061479092,0.0142304987904694,0,0.506199478680563,0.00173142559461304,0.00137688132056065
"TCGA.A8.A08I.01A",0,0.0557772651851423,0.291284918337517,0.14211455024455,0.0148175464226676,0.494374264572725,0.00163145523739805,0
"TCGA.AC.A2FF.01A",0,0.626317828693949,0.014884938851938,0.0387656440445923,0,0.314838519990563,0.00443681918445157,0.00075624923450587
"TCGA.E2.A1L6.01A",0,0.403828571726155,0.0272851029290292,0.237285524007522,0,0.329020955278442,0.00180179960918998,0.00077804644966186
"TCGA.A7.A13E.01B",0,0.291338882093244,0.0141516585824686,0,0,0.694509459324288,0,0
"TCGA.AR.A24S.01A",0.000274369570786212,0.528193052199105,0.0710484673756525,0.110672977889091,0,0.287227046308236,0.00239207922177375,0.000192007435356066
"TCGA.E2.A155.01A",0,0.106040375125793,0.00240252815518548,0.628521420480246,0.000532049057375653,0.259336884148263,0.00316674303313766,0
"TCGA.C8.A12M.01A",0.000769778420516444,0.110328073805118,0,0.335325820484673,0.000667524704436885,0.547365642039794,0.00554316054546092,0
"TCGA.E2.A14W.01A",0,0.264119360314166,0.00667086920435307,0.638095568459797,0,0.0911142020216842,0,0
"TCGA.B6.A0RQ.01A",0,0.142225406776734,0.000223957870013686,0.436663816715131,7.4773477380404e-05,0.41758435173138,0.00322769342935996,0
"TCGA.EW.A1IW.01A",0.000123120918409712,0.395846206730577,0.0383068416088665,0.255015355713839,0,0.308685076116194,0.00167156227192444,0.000351836640190042
"TCGA.A1.A0SM.01A",0,0.65627409059896,0.0317717643983439,0.149604958839175,0,0.161403276372717,7.46742686581736e-05,0.000871235522146369
"TCGA.E9.A1R6.01A",0,0.456666320375743,0.0224094874591589,0.30792110040123,0,0.212622553009677,0.000252904977731295,0.000127633776460005
"TCGA.A2.A0CQ.01A",0,0.181081591799957,0.0932318325889116,0.480241778376434,0,0.244703202988355,0,0.000741594246342509
"TCGA.OL.A5D7.01A",0.0747432933822044,0.0807650008028155,0.12961047042984,0.455484950967269,0,0.239139075927323,0,0.0202572084905477
"TCGA.D8.A143.01A",0.00288646113051562,0.170092034304885,0.0368713750481362,0.399094529476885,0,0.39045981435976,0.000595785679818232,0
