,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes
TCGA-BB-8596-01A,0.001,0.000,0.021,0.000,0.001,0.000,0.470,0.030,0.083,0.283,0.030,0.075,0.003,0.000,0.000,0.000
TCGA-CR-6493-01A,0.000,0.000,0.006,0.004,0.000,0.000,0.936,0.005,0.040,0.001,0.001,0.004,0.000,0.000,0.000,0.002
TCGA-CV-A6JT-01A,0.000,0.000,0.014,0.006,0.000,0.000,0.811,0.023,0.043,0.055,0.016,0.023,0.002,0.000,0.006,0.001
TCGA-BA-A4IF-01A,0.002,0.000,0.009,0.010,0.000,0.000,0.893,0.010,0.018,0.027,0.022,0.005,0.001,0.000,0.001,0.001
TCGA-CN-4725-01A,0.000,0.000,0.004,0.004,0.000,0.000,0.837,0.007,0.048,0.012,0.064,0.008,0.002,0.000,0.001,0.012
TCGA-WA-A7H4-01A,0.013,0.000,0.020,0.003,0.000,0.000,0.703,0.020,0.044,0.138,0.039,0.016,0.002,0.000,0.000,0.000
TCGA-CV-5441-01A,0.004,0.000,0.004,0.011,0.010,0.000,0.872,0.012,0.048,0.020,0.009,0.006,0.001,0.000,0.001,0.000
TCGA-CR-7367-01A,0.012,0.002,0.011,0.008,0.012,0.002,0.568,0.009,0.062,0.232,0.030,0.031,0.005,0.000,0.002,0.014
TCGA-CR-5249-01A,0.028,0.050,0.061,0.015,0.011,0.000,0.676,0.050,0.046,0.032,0.003,0.022,0.003,0.000,0.002,0.001
TCGA-F7-A620-01A,0.015,0.000,0.012,0.045,0.008,0.000,0.801,0.034,0.038,0.013,0.014,0.014,0.002,0.001,0.003,0.001
TCGA-QK-A8Z9-01B,0.002,0.000,0.029,0.011,0.012,0.000,0.530,0.036,0.035,0.278,0.002,0.061,0.002,0.000,0.000,0.000
TCGA-IQ-7630-01A,0.000,0.000,0.012,0.016,0.000,0.000,0.886,0.020,0.021,0.017,0.001,0.025,0.001,0.000,0.001,0.000
TCGA-CN-4738-01A,0.008,0.000,0.023,0.013,0.002,0.000,0.824,0.038,0.042,0.016,0.001,0.024,0.006,0.000,0.002,0.001
TCGA-CQ-5331-01A,0.008,0.000,0.030,0.062,0.001,0.000,0.697,0.053,0.074,0.008,0.007,0.040,0.002,0.000,0.003,0.015
TCGA-CV-7418-01A,0.002,0.000,0.005,0.017,0.002,0.000,0.861,0.016,0.028,0.015,0.003,0.048,0.002,0.000,0.000,0.000
TCGA-D6-6516-01A,0.001,0.000,0.007,0.034,0.007,0.000,0.834,0.017,0.072,0.003,0.003,0.011,0.005,0.000,0.005,0.001
TCGA-CV-5444-01A,0.007,0.000,0.019,0.014,0.001,0.000,0.435,0.032,0.075,0.266,0.033,0.114,0.002,0.001,0.000,0.000
TCGA-CN-A6V7-01A,0.000,0.000,0.003,0.015,0.003,0.000,0.947,0.006,0.008,0.000,0.000,0.015,0.001,0.000,0.000,0.000
TCGA-CV-A45Z-01A,0.003,0.000,0.013,0.017,0.000,0.000,0.807,0.023,0.028,0.066,0.001,0.038,0.002,0.001,0.001,0.001
TCGA-CR-6478-01A,0.014,0.001,0.048,0.056,0.003,0.000,0.598,0.059,0.051,0.078,0.001,0.082,0.001,0.000,0.006,0.002
TCGA-CN-6021-01A,0.022,0.001,0.005,0.003,0.005,0.000,0.858,0.012,0.057,0.006,0.003,0.007,0.003,0.000,0.008,0.008
TCGA-CQ-6224-01A,0.004,0.000,0.025,0.000,0.000,0.000,0.450,0.044,0.054,0.331,0.028,0.062,0.000,0.000,0.000,0.000
TCGA-HD-7754-01A,0.006,0.000,0.014,0.002,0.000,0.000,0.664,0.013,0.061,0.169,0.001,0.064,0.003,0.000,0.001,0.000
TCGA-F7-A622-01A,0.000,0.000,0.001,0.001,0.000,0.000,0.930,0.000,0.037,0.001,0.009,0.005,0.005,0.000,0.005,0.006
TCGA-P3-A6T2-01A,0.000,0.000,0.003,0.009,0.000,0.000,0.918,0.000,0.034,0.024,0.000,0.010,0.001,0.000,0.000,0.000
TCGA-CR-7383-01A,0.008,0.000,0.028,0.007,0.000,0.000,0.623,0.033,0.057,0.144,0.021,0.074,0.002,0.000,0.001,0.000
TCGA-CN-A49A-01A,0.002,0.000,0.003,0.010,0.000,0.000,0.767,0.002,0.040,0.119,0.045,0.011,0.000,0.000,0.000,0.000
TCGA-TN-A7HJ-01A,0.004,0.000,0.006,0.002,0.000,0.000,0.919,0.009,0.047,0.003,0.001,0.003,0.003,0.000,0.001,0.001
TCGA-CN-4736-01A,0.004,0.000,0.020,0.015,0.033,0.000,0.525,0.024,0.063,0.126,0.051,0.135,0.003,0.000,0.001,0.000
TCGA-CN-4730-01A,0.000,0.000,0.000,0.005,0.000,0.000,0.949,0.005,0.021,0.005,0.010,0.003,0.001,0.000,0.000,0.001
TCGA-CV-7433-01A,0.002,0.000,0.027,0.016,0.025,0.000,0.514,0.023,0.066,0.214,0.003,0.108,0.001,0.000,0.001,0.001
TCGA-CV-6934-01A,0.003,0.000,0.018,0.005,0.016,0.000,0.330,0.024,0.104,0.372,0.031,0.094,0.002,0.000,0.000,0.000
TCGA-CV-6941-01A,0.006,0.000,0.017,0.009,0.000,0.000,0.715,0.019,0.048,0.145,0.011,0.025,0.004,0.000,0.000,0.002
TCGA-RS-A6TP-01A,0.000,0.000,0.000,0.051,0.000,0.000,0.895,0.001,0.041,0.000,0.000,0.010,0.000,0.000,0.000,0.000
TCGA-CV-5978-01A,0.009,0.000,0.010,0.001,0.000,0.000,0.550,0.019,0.033,0.222,0.002,0.150,0.003,0.000,0.000,0.000
TCGA-CV-5977-01A,0.000,0.000,0.001,0.014,0.000,0.000,0.946,0.005,0.023,0.003,0.002,0.004,0.001,0.000,0.001,0.000
TCGA-CV-A6JU-01A,0.000,0.000,0.009,0.000,0.000,0.000,0.835,0.016,0.038,0.044,0.029,0.026,0.002,0.000,0.001,0.000
TCGA-CV-7102-01A,0.000,0.000,0.026,0.004,0.000,0.001,0.699,0.011,0.076,0.105,0.019,0.056,0.001,0.000,0.001,0.000
TCGA-CR-7368-01A,0.018,0.000,0.012,0.043,0.000,0.000,0.789,0.022,0.054,0.032,0.002,0.022,0.004,0.000,0.002,0.000
TCGA-D6-A74Q-01A,0.028,0.000,0.008,0.019,0.000,0.000,0.821,0.011,0.031,0.059,0.002,0.011,0.007,0.000,0.002,0.001
TCGA-D6-6824-01A,0.015,0.000,0.022,0.007,0.007,0.000,0.574,0.034,0.094,0.150,0.007,0.077,0.005,0.001,0.001,0.004
TCGA-CV-7440-01A,0.009,0.000,0.001,0.006,0.000,0.000,0.908,0.006,0.056,0.009,0.003,0.002,0.001,0.000,0.000,0.001
TCGA-CR-6477-01A,0.007,0.000,0.029,0.009,0.000,0.000,0.715,0.028,0.060,0.065,0.014,0.068,0.003,0.000,0.001,0.001
TCGA-UF-A71B-01A,0.018,0.000,0.007,0.008,0.002,0.000,0.798,0.010,0.038,0.081,0.004,0.024,0.002,0.000,0.007,0.001
TCGA-QK-A6IF-01A,0.017,0.119,0.062,0.020,0.015,0.017,0.578,0.045,0.014,0.089,0.007,0.015,0.001,0.001,0.000,0.000
TCGA-CQ-5332-01A,0.003,0.000,0.008,0.006,0.000,0.000,0.758,0.008,0.039,0.144,0.001,0.029,0.002,0.000,0.000,0.001
TCGA-HD-8224-01A,0.002,0.000,0.006,0.015,0.002,0.000,0.716,0.010,0.067,0.086,0.033,0.056,0.006,0.000,0.000,0.000
TCGA-BB-8601-01A,0.002,0.000,0.001,0.000,0.000,0.000,0.962,0.004,0.011,0.003,0.006,0.000,0.002,0.000,0.000,0.008
TCGA-CN-5355-01A,0.015,0.000,0.006,0.002,0.001,0.000,0.647,0.011,0.101,0.150,0.032,0.012,0.004,0.000,0.001,0.016
TCGA-H7-A76A-01A,0.043,0.016,0.038,0.021,0.009,0.000,0.517,0.101,0.032,0.142,0.001,0.070,0.001,0.006,0.001,0.002
TCGA-D6-A6EP-01A,0.010,0.000,0.001,0.001,0.013,0.000,0.645,0.002,0.034,0.263,0.018,0.007,0.001,0.003,0.001,0.000
TCGA-CN-5369-01A,0.033,0.000,0.022,0.052,0.000,0.000,0.651,0.040,0.094,0.057,0.010,0.033,0.001,0.000,0.003,0.002
TCGA-CN-6988-01A,0.000,0.000,0.001,0.004,0.000,0.000,0.937,0.004,0.031,0.009,0.013,0.000,0.000,0.000,0.000,0.001
TCGA-BA-A6DE-01A,0.004,0.000,0.004,0.016,0.000,0.000,0.876,0.006,0.051,0.015,0.021,0.003,0.002,0.001,0.001,0.001
TCGA-D6-8569-01A,0.000,0.000,0.017,0.015,0.000,0.000,0.818,0.025,0.059,0.037,0.013,0.011,0.002,0.000,0.001,0.001
TCGA-CR-7401-01A,0.001,0.000,0.021,0.002,0.002,0.001,0.779,0.029,0.058,0.073,0.014,0.015,0.005,0.000,0.001,0.001
TCGA-CV-7177-01A,0.002,0.000,0.009,0.002,0.000,0.000,0.672,0.015,0.031,0.233,0.001,0.029,0.005,0.000,0.000,0.000
TCGA-CV-7238-01A,0.017,0.000,0.013,0.005,0.034,0.000,0.695,0.021,0.073,0.042,0.055,0.039,0.003,0.000,0.001,0.001
TCGA-CV-7247-01A,0.000,0.000,0.007,0.001,0.000,0.000,0.802,0.008,0.057,0.077,0.035,0.012,0.001,0.000,0.000,0.000
TCGA-CQ-7072-01A,0.000,0.000,0.020,0.000,0.000,0.000,0.479,0.024,0.037,0.394,0.025,0.021,0.000,0.000,0.000,0.000
TCGA-CV-A45T-01A,0.026,0.017,0.050,0.016,0.027,0.001,0.682,0.043,0.052,0.031,0.022,0.021,0.004,0.000,0.006,0.003
TCGA-KU-A6H7-01A,0.006,0.000,0.005,0.063,0.003,0.000,0.788,0.037,0.018,0.010,0.000,0.067,0.000,0.001,0.001,0.000
TCGA-BA-4075-01A,0.000,0.000,0.002,0.001,0.000,0.000,0.900,0.008,0.029,0.017,0.007,0.023,0.004,0.000,0.006,0.003
TCGA-DQ-5624-01A,0.008,0.000,0.019,0.000,0.000,0.000,0.786,0.028,0.035,0.075,0.033,0.012,0.003,0.000,0.000,0.001
TCGA-BA-A6DD-01A,0.029,0.000,0.009,0.027,0.000,0.000,0.789,0.020,0.041,0.064,0.001,0.014,0.001,0.000,0.004,0.000
TCGA-KU-A66S-01A,0.006,0.000,0.008,0.005,0.003,0.000,0.872,0.011,0.018,0.050,0.008,0.012,0.006,0.000,0.000,0.000
TCGA-CV-7254-01A,0.019,0.023,0.029,0.002,0.005,0.000,0.495,0.046,0.058,0.226,0.015,0.079,0.003,0.000,0.000,0.000
TCGA-CV-5976-01A,0.000,0.000,0.015,0.003,0.000,0.000,0.858,0.007,0.032,0.035,0.034,0.014,0.001,0.000,0.000,0.000
TCGA-CR-7374-01A,0.034,0.001,0.033,0.002,0.016,0.003,0.763,0.034,0.043,0.045,0.013,0.007,0.003,0.000,0.000,0.001
TCGA-CR-5250-01A,0.027,0.010,0.062,0.007,0.000,0.000,0.744,0.028,0.039,0.070,0.002,0.006,0.002,0.002,0.001,0.000
TCGA-CV-A6JZ-01A,0.000,0.000,0.007,0.062,0.039,0.000,0.648,0.034,0.035,0.062,0.000,0.110,0.001,0.000,0.001,0.000
TCGA-CV-6935-01A,0.001,0.000,0.006,0.001,0.000,0.000,0.878,0.010,0.023,0.054,0.007,0.019,0.000,0.000,0.000,0.000
TCGA-CV-6954-01A,0.000,0.000,0.009,0.005,0.000,0.000,0.762,0.037,0.057,0.093,0.003,0.031,0.001,0.000,0.001,0.001
TCGA-CQ-A4CH-01A,0.005,0.000,0.007,0.002,0.000,0.000,0.812,0.008,0.067,0.014,0.042,0.024,0.002,0.000,0.014,0.003
TCGA-CN-6020-01A,0.004,0.000,0.010,0.007,0.000,0.000,0.752,0.011,0.051,0.114,0.008,0.025,0.001,0.000,0.009,0.008
TCGA-CV-7425-01A,0.000,0.000,0.020,0.029,0.001,0.000,0.842,0.030,0.057,0.004,0.001,0.008,0.006,0.000,0.002,0.000
TCGA-BB-A5HU-01A,0.002,0.000,0.020,0.009,0.000,0.000,0.786,0.019,0.024,0.115,0.003,0.015,0.002,0.000,0.004,0.001
TCGA-HD-7831-01A,0.009,0.000,0.015,0.000,0.000,0.001,0.305,0.019,0.054,0.535,0.021,0.037,0.003,0.000,0.000,0.000
TCGA-CR-7364-01A,0.010,0.000,0.021,0.000,0.000,0.000,0.863,0.027,0.035,0.023,0.008,0.003,0.005,0.000,0.002,0.001
TCGA-CN-A63W-01A,0.001,0.000,0.002,0.018,0.000,0.000,0.922,0.005,0.026,0.010,0.009,0.004,0.002,0.002,0.000,0.001
TCGA-D6-A6EK-01A,0.012,0.000,0.029,0.012,0.000,0.000,0.857,0.033,0.026,0.001,0.000,0.011,0.005,0.008,0.003,0.002
TCGA-BA-5557-01A,0.000,0.000,0.019,0.005,0.001,0.001,0.670,0.016,0.069,0.027,0.002,0.131,0.001,0.000,0.038,0.020
TCGA-BA-6869-01A,0.012,0.000,0.005,0.012,0.000,0.000,0.908,0.010,0.029,0.013,0.004,0.000,0.002,0.000,0.004,0.001
TCGA-CV-7090-01A,0.001,0.000,0.018,0.026,0.000,0.000,0.693,0.017,0.090,0.035,0.001,0.113,0.001,0.000,0.003,0.000
TCGA-T3-A92M-01A,0.021,0.000,0.012,0.025,0.022,0.000,0.662,0.028,0.035,0.152,0.001,0.040,0.001,0.000,0.000,0.000
TCGA-MT-A67F-01A,0.000,0.000,0.044,0.074,0.036,0.000,0.647,0.036,0.092,0.008,0.001,0.037,0.011,0.000,0.011,0.002
TCGA-CN-A63V-01A,0.000,0.000,0.005,0.006,0.001,0.000,0.742,0.010,0.043,0.136,0.015,0.035,0.002,0.000,0.003,0.001
TCGA-CV-7415-01A,0.012,0.000,0.019,0.032,0.001,0.000,0.709,0.014,0.045,0.116,0.003,0.048,0.000,0.000,0.000,0.000
TCGA-CV-6003-01A,0.000,0.000,0.007,0.003,0.000,0.000,0.941,0.008,0.021,0.004,0.006,0.007,0.001,0.000,0.001,0.000
TCGA-CN-6016-01A,0.006,0.000,0.020,0.006,0.001,0.001,0.328,0.017,0.056,0.443,0.018,0.096,0.003,0.004,0.000,0.000
TCGA-H7-A6C4-01A,0.007,0.000,0.011,0.003,0.002,0.001,0.855,0.017,0.041,0.009,0.030,0.009,0.008,0.000,0.005,0.001
TCGA-CV-5966-01A,0.000,0.000,0.009,0.030,0.000,0.000,0.838,0.002,0.030,0.045,0.005,0.040,0.000,0.000,0.001,0.000
TCGA-BA-4076-01A,0.000,0.000,0.010,0.004,0.000,0.000,0.933,0.011,0.027,0.005,0.000,0.000,0.004,0.000,0.004,0.000
TCGA-CN-4735-01A,0.010,0.000,0.020,0.027,0.001,0.000,0.657,0.073,0.030,0.127,0.000,0.052,0.001,0.000,0.000,0.000
TCGA-CV-6955-01A,0.000,0.000,0.008,0.016,0.000,0.000,0.890,0.045,0.020,0.000,0.000,0.013,0.004,0.001,0.001,0.001
TCGA-CR-6491-01A,0.004,0.000,0.004,0.014,0.000,0.000,0.918,0.006,0.038,0.008,0.002,0.002,0.002,0.000,0.001,0.002
TCGA-BA-5558-01A,0.001,0.000,0.008,0.010,0.006,0.000,0.815,0.015,0.079,0.008,0.009,0.028,0.008,0.000,0.008,0.005
TCGA-CN-4728-01A,0.003,0.000,0.022,0.001,0.011,0.000,0.348,0.038,0.050,0.346,0.008,0.171,0.002,0.000,0.000,0.001
TCGA-BB-A5HZ-01A,0.001,0.000,0.005,0.003,0.000,0.000,0.891,0.006,0.038,0.022,0.020,0.003,0.004,0.000,0.001,0.004
TCGA-UP-A6WW-01A,0.012,0.000,0.014,0.012,0.000,0.000,0.776,0.038,0.024,0.070,0.000,0.045,0.001,0.006,0.002,0.001
TCGA-CV-7407-01A,0.000,0.000,0.013,0.020,0.000,0.000,0.863,0.055,0.021,0.001,0.000,0.025,0.000,0.000,0.000,0.000
TCGA-CV-7416-01A,0.000,0.000,0.009,0.006,0.000,0.000,0.757,0.011,0.053,0.069,0.029,0.064,0.001,0.000,0.000,0.000
TCGA-CN-5361-01A,0.000,0.000,0.010,0.022,0.000,0.000,0.622,0.010,0.058,0.235,0.001,0.039,0.002,0.000,0.000,0.000
TCGA-CV-7100-01A,0.000,0.000,0.010,0.063,0.000,0.000,0.753,0.016,0.070,0.062,0.000,0.021,0.001,0.000,0.003,0.000
TCGA-TN-A7HL-01A,0.017,0.005,0.010,0.069,0.027,0.000,0.686,0.068,0.017,0.004,0.000,0.085,0.001,0.010,0.001,0.001
TCGA-UF-A718-01A,0.014,0.000,0.012,0.013,0.005,0.000,0.811,0.019,0.045,0.062,0.006,0.008,0.003,0.000,0.001,0.001
TCGA-CQ-5324-01A,0.000,0.000,0.007,0.011,0.000,0.000,0.827,0.011,0.026,0.086,0.000,0.030,0.001,0.000,0.001,0.001
TCGA-DQ-5629-01A,0.004,0.000,0.002,0.008,0.000,0.000,0.910,0.006,0.030,0.033,0.002,0.003,0.000,0.000,0.000,0.000
TCGA-BA-A6DJ-01A,0.000,0.000,0.004,0.038,0.002,0.000,0.875,0.008,0.035,0.018,0.001,0.014,0.002,0.000,0.003,0.001
