"","Monocytes","DC","Fibroblasts","Cancer Cells","CD4 T","NK","CD8 T"
"TCGA.A6.6649.01A",0.178680084217989,0.123547327023916,0.359636400971949,0.134959218581249,0.00142710875579857,0.0265684769712847,0.175181383477814
"TCGA.A6.3809.01B",0.0297267757097687,0,0.0406196601557904,0.696137941028531,0,0.233386514072779,0.000129109033131241
"TCGA.AY.4070.01A",0.114844655515781,0.115118177785581,0.339958508913266,0.274066832982161,0.0287917125021273,0,0.127220112301083
"TCGA.G4.6299.01A",0.0820878612269268,0.377622455781654,0.350631640615847,0,0.0462711801973439,0,0.143386862178228
"TCGA.AA.A02O.01A",0.0718793307746074,0.0724152855526903,0.169743087657868,0.285390465788864,0.40057183022597,0,0
"TCGA.AA.3972.01A",0.0131132260084825,0.0799234388912664,0.211370180572553,0.270557520195873,0.40021236258969,0,0.0248232717421351
"TCGA.NH.A50T.01A",0,0.116690962230121,0.199926328531952,0.161241266586844,0.400704871812445,0,0.121436570838638
"TCGA.DM.A0XD.01A",0.0362283130601497,0.0497412927251719,0.154997884829089,0.391964289650082,0.342524219022524,0,0.0245440007129837
"TCGA.AU.6004.01A",0.175363739363473,0.128871656652378,0.295189032370888,0.165043852921637,0,0.0476753588676369,0.187856359823987
"TCGA.AA.3841.01A",0.29361853241463,0.0816374240043605,0.362072085544047,0.109613258336743,0,0,0.15305869970022
"TCGA.DM.A28E.01A",0,0.184829529684798,0.119966312039277,0.175092092169115,0.52011206610681,0,0
"TCGA.AA.A00E.01A",0.23742278300424,0.121314713583962,0.361836004456759,0.180238941251963,0,0.000701782310459437,0.0984857753926166
"TCGA.AA.3514.01A",0.317032799689828,0.287263192484398,0.34224486920547,0,0.0514282573722665,0,0.0020308812480369
"TCGA.AA.A01F.01A",0.0875952576679696,0.0460499333924918,0.0835451638889819,0.409042540622661,0.363533735742535,0,0.0102333686853607
"TCGA.A6.5665.01B",0.11730546964006,8.59250568483765e-05,0.239998854124387,0.482438749449796,0,0.160171001728908,0
"TCGA.G4.6315.01A",0.102102679932259,0.247135743669627,0.243652903463825,0.0947727038260987,0.159227436523914,0,0.153108532584276
"TCGA.F4.6459.01A",0.257147548886364,0.0562638485165967,0.531765711872966,0.0160557385583909,0.00223590088688038,0.00293340926376798,0.133597842015034
"TCGA.D5.6926.01A",0.0727955501641174,0.290453196944408,0.545388347711271,0,0.0025291772384224,0,0.0888337279417811
"TCGA.CK.6747.01A",0.103641505896817,0.169614918750989,0.311877836755261,0.044233774612027,0.102810422772705,0,0.2678215412122
"TCGA.DM.A1D8.01A",0.00441744121655036,0.0728703317863369,0.11114864792253,0.305451974858488,0.396965522592309,0,0.109146081623785
"TCGA.AA.3858.01A",0.12789714311355,0.436549747642223,0.321461915769829,0,0.101271713303759,0,0.0128194801706388
"TCGA.AA.3522.01A",0.0337952744824813,0.463915100245583,0.182529222044284,0,0.319760403227651,0,0
"TCGA.G4.6314.01A",0.0592679596345985,0.213031797698397,0.494664304889086,0,0.143816534251114,0,0.0892194035268044
"TCGA.AA.3544.01A",0.117657059384654,0.583169323149421,0.15325455429091,0,0.10966870767802,0,0.0362503554969945
"TCGA.NH.A6GA.01A",0.0325350911330677,0.440488435925677,0.310431524223421,0,0.21327471074682,0,0.00327023797101437
"TCGA.D5.6537.01A",0.0718391477160015,0.490099921064584,0.3272573675834,0,0,0,0.110803563636014
"TCGA.AZ.4684.01A",0.143057328294338,0.249323072434902,0.310679842455803,0.101267864341447,0.176497643359727,0,0.0191742491137833
"TCGA.G4.6302.01A",0.207779189538081,0.0465310452496414,0.694339883657668,0,0,0,0.0513498815546098
"TCGA.AA.3862.01A",0.0987779637751226,0.374521692385559,0.152590187953718,0.0981548548212179,0.157146815220399,0,0.118808485843984
"TCGA.A6.2685.01A",0.279690027368687,0.277251270086041,0.427115508015493,0,0,0,0.0159431945297801
