"","Monocytes","DC","Fibroblasts","Cancer Cells","CD4 T","NK","CD8 T"
"TCGA.G7.7501.01A",0.216684934169786,0.20369178634523,0.407378685804443,0.131904235146668,0,0.0197514421501907,0.0205889163836824
"TCGA.DW.7836.01A",0.218776386398787,0.081299672190445,0.582457445291025,0.0959238667288136,0,0,0.021542629390929
"TCGA.HE.A5NI.01A",0.140865108189039,0,0.0685089441737148,0.790625947637247,0,0,0
"TCGA.G7.A8LE.01A",0.138610934383551,0.0389220814487548,0.523112923240643,0.121370757702424,0,0.176825872758911,0.0011574304657162
"TCGA.Y8.A895.01A",0.142262994582809,0.00609205529603025,0.242548478565292,0.607293015811335,0,0.00180345574453304,0
"TCGA.UZ.A9PQ.01A",0.0198409999614795,0.0394689801873374,0.294972251171935,0.299427787658835,0,0.346177375632723,0.000112605387690004
"TCGA.BQ.5884.01A",0.50136485073661,0.000600692152463164,0.495472194451384,0,0,0.000696214466456069,0.00186604819308703
"TCGA.BQ.5893.01A",0.0905758035184062,0.0721286240648928,0.288003089984384,0.2958303708651,0.224537910417463,0,0.0289242011497542
"TCGA.UZ.A9PV.01A",0.0668323597581736,0,0.368003479413391,0.328639281282118,0,0.236524879546317,0
"TCGA.B9.4113.01A",0.237737337916487,0.00075411905919114,0.241488823636092,0.241649744105498,0,0.278369975282732,0
"TCGA.B3.3926.01A",0.135277744567908,0.084206492514413,0.446015756459091,0.10755280387494,0,0.22521618451684,0.00173101806680812
"TCGA.2Z.A9J3.01A",0.0986183298370269,0,0.249299119073994,0.652082551088979,0,0,0
"TCGA.Y8.A8RZ.01A",0.0339527518540689,0.132501036307107,0.143998858831195,0.382533006759306,0.271184785261897,0,0.0358295609864263
"TCGA.AT.A5NU.01A",0.0986667156241067,0,0.30805174526231,0.532903708355232,0,0.0603778307583512,0
"TCGA.G7.6792.01A",0.296933652199046,0,0.517796626448384,0.18526972135257,0,0,0
"TCGA.5P.A9KC.01A",0.385168865226345,0,0.401354961074815,0.21347617369884,0,0,0
"TCGA.Y8.A8S0.01A",0.143050808725266,0.11179037457627,0.475149739651176,0.16182196250104,0,0.108101801444809,8.5313101438008e-05
"TCGA.B1.A655.01A",0.270181999253581,0,0.307764782340532,0.422053218405887,0,0,0
"TCGA.J7.8537.01A",0.430735730845906,0.142394712536364,0.424817511247337,0,0,0.000575919913245307,0.00147612545714782
"TCGA.KV.A6GD.01A",0.436409089613697,0.0664019721104914,0.245799492848491,0.17198745713148,0,0.0373948120562625,0.0420071762395774
"TCGA.G7.A4TM.01A",0.152040287438749,0.153982507366482,0.33604132131639,0.20943288755104,0,0.122018617345047,0.0264843789822919
"TCGA.G7.6790.01A",0.25401498553211,0,0.387095750263352,0.291022769318889,0,0.0678664948856497,0
"TCGA.A4.8515.01A",0.187898525412269,0.00167999369756374,0.554282392319607,0.252317748470397,0,0.00382134010016378,0
"TCGA.BQ.7049.01A",0.358531301881365,0.0339002894997381,0.550446418028982,0.0385344804067574,0,0.0150349033623929,0.00355260682076452
"TCGA.SX.A7SL.01A",0.0216578043811636,0.0429215930350224,0.23658413588768,0.504220914070061,0.0931452921735479,0,0.101470260452525
"TCGA.A4.7734.01A",0.169294447399684,0.28475131982145,0.542678278813341,0,0,0.00176983025108502,0.00150612371444035
"TCGA.BQ.7053.01A",0.114736091145396,0.0482399885893285,0.363714518351379,0.40742371018223,0,0.0658856917316662,0
"TCGA.G7.6797.01A",0.117575979904403,0.00574423472276428,0.535726079271669,0.303200332803415,0,0.0377533732977486,0
"TCGA.IZ.8196.01A",0.156767295178882,0,0.53936299059585,0.115591510446778,0,0.18827820377849,0
"TCGA.P4.A5EB.01A",0.351282878862955,0,0.42502896392618,0.223688157210865,0,0,0
"TCGA.BQ.7058.01A",0.107991364477558,0.00870410822532187,0.0546490149451117,0.737113696293262,0,0,0.0915418160587464
"TCGA.B9.A8YI.01A",0.0500829697813515,0.143526850744734,0.120108950165267,0.609147147050571,0,0,0.0771340822580771
"TCGA.HE.7128.01A",0.524172621959473,0.0324622715361963,0.216604044642082,0.199293952200965,0,0.0274671096612836,0
"TCGA.4A.A93Y.01A",0.672722137178184,0.137423959550021,0.170959775753999,0.0188941275177969,0,0,0
"TCGA.HE.A5NF.01A",0.402839972372332,0,0.151165300306507,0.445994727321161,0,0,0
"TCGA.B1.A654.01A",0.127707994892391,0.257942657923226,0.277821311243704,0,0.336528035940679,0,0
"TCGA.DW.7834.01A",0.4023372836019,0.00980704826399488,0.337877351895101,0.249342053331691,0,0,0.00063626290731239
