"","Monocytes","DC","Fibroblasts","Cancer Cells","CD4 T","NK","CD8 T"
"TCGA.35.4122.01A",0.211887648667261,0.581407013863728,0.145151210900742,0,0.0615541265682688,0,0
"TCGA.55.7726.01A",0.204092690079422,0,0.519621062577153,0.276286247343424,0,0,0
"TCGA.62.A46Y.01A",0.259959601160048,0.387379043732475,0.212025473822768,0.0376269098035279,0.00204447366007516,0.0204150621511486,0.0805494356699578
"TCGA.55.6980.01A",0.429130041800387,0.105227584020058,0.333423192914271,0.129579438552666,0,0,0.00263974271261784
"TCGA.05.4430.01A",0.314987719050886,0.344018679192788,0.340993601756326,0,0,0,0
"TCGA.67.3772.01A",0.0879816975495639,0.682659388458059,0.227514003607452,0,0.00184491038492508,0,0
"TCGA.MP.A4SY.01A",0.312753702001358,0.126183001642908,0.55870858202527,0,0,0,0.00235471433046421
"TCGA.78.7148.01A",0.128216315694989,0.257697469139418,0.37784441089703,0.151915509649162,0,0.00291184440153447,0.0814144502178671
"TCGA.35.3615.01A",0.0227238268704064,0.592635008577074,0.152965398062483,0,0.231675766490037,0,0
"TCGA.55.A493.01A",0.41644117055302,0.000418473145837038,0.368773597830394,0.0998297219826001,0,0.0694868295064099,0.045050206981738
"TCGA.49.6744.01A",0.283693337332762,0.281284948165051,0.356868498503922,0.00150726476483606,0.000451586716964782,0.00522774878667721,0.0709666157297866
"TCGA.49.4494.01A",0.250802406044563,0.456033847860042,0.293163746095395,0,0,0,0
"TCGA.78.7143.01A",0.357076212424814,0.250401036717131,0.281947005646076,0.0222121754512235,0,0.0820122235504217,0.00635134621033403
"TCGA.99.AA5R.01A",0.260474241406854,0.105590786624438,0.233554494845397,0.0988399693323969,0,0.211564343607791,0.0899761641831231
"TCGA.55.8085.01A",0.275055054197676,0.327942160955228,0.271745851306267,0,0,0.00652840308610898,0.11872853045472
"TCGA.44.8117.01A",0.0691408242762879,0.330126797794369,0.414257937250064,0.000185510070737684,0.161751431485601,0,0.0245374991229407
"TCGA.55.8506.01A",0.379652523697853,0.138858559357223,0.476972020131232,0.000506882855663016,0,0.0027700944838062,0.00123991947422314
"TCGA.NJ.A7XG.01A",0.0470500277084362,0.538140479626522,0.296516840933316,0,0.118292651731726,0,0
"TCGA.05.4384.01A",0.274287197007055,0.28421766611197,0.420958378706914,0,0,0.0205367581740604,0
"TCGA.64.1679.01A",0.458580439618483,0.0886558545122689,0.452763705869248,0,0,0,0
"TCGA.73.4666.01A",0.350186429926937,0.394660388212148,0.255153181860915,0,0,0,0
"TCGA.55.8616.01A",0.138125281416018,0.207215223500198,0.328759681511678,0.259656289686184,0,0,0.0662435238859231
