"","cellFractions.B.Cells","cellFractions.DC","cellFractions.Endothelial.Cells","cellFractions.Fibroblasts","cellFractions.Macrophages","cellFractions.Mast.Cells","cellFractions.T.Cells","cellFractions.otherCells"
"TCGA.06.5856.01A",9.26951161054794e-08,0.119586525529826,0.121463976904951,0.0229480937645473,0.0840818452488944,2.54610497427153e-06,5.78783724680903e-10,0.651916919172907
"TCGA.28.1753.01A",1.35450048247462e-05,0.407037358072149,0.20351625320564,0.0361808456797244,0.104119319181709,0.00032143542583373,3.19438935034312e-09,0.24881124023573
"TCGA.28.5218.01A",3.23291871036794e-07,0.170988582699508,0.229563683800855,0.354252546333826,0.245191141285997,3.60273416341464e-06,7.78736587417081e-08,4.19801208742713e-08
"TCGA.32.1970.01A",9.30749854254677e-05,0.0311247849046927,0.0650761738074381,0.0109506489082519,0.039814165341083,2.70995600901562e-05,1.9577427893148e-11,0.852914052473441
"TCGA.28.5204.01A",5.40577421596561e-07,1.31812773979591e-05,0.0939428191262377,0.00947675871815516,0.0721911897634397,1.14520764182148e-10,4.7258806583319e-08,0.824375463164021
"TCGA.12.3653.01A",7.97814183356247e-08,3.76414603851601e-08,0.0662822273252571,0.0207376707240388,0.08308050555256,3.05315767126218e-05,1.86495105362903e-07,0.829868760903447
"TCGA.06.0187.01A",3.50284243153286e-06,0.0110619884712625,0.0896646955688215,0.00984151625277952,0.071084725131869,1.50099973015344e-05,2.21669054576106e-08,0.818328539568629
"TCGA.19.2624.01A",4.48494154850921e-08,0.0293501031751087,0.0522727525229246,0.0056979172429002,0.0179643035741132,1.49165914766972e-05,5.73492171884623e-08,0.894699904694844
"TCGA.12.3652.01A",3.38506310179672e-07,0.0922958764223808,0.05976755882382,0.0109832793317831,0.0326381102678461,9.61501446106167e-06,4.10916228852468e-08,0.804305180541776
"TCGA.12.5299.01A",7.30390778259098e-08,0.08344078892779,0.0751145726473344,0.0158486605647039,0.106090488294546,1.28207503689314e-05,1.49863376910297e-07,0.719492445912802
"TCGA.06.0749.01A",7.41001053645801e-06,6.00236694340173e-08,0.0435126606549397,0.00240672412172894,0.124334955714235,5.6259734998314e-05,1.68058501713817e-07,0.82968176168139
"TCGA.06.0158.01A",3.15142875536184e-08,0.0695976194163328,0.088847678842824,0.00730899731745556,0.0613051499760411,1.4387102809459e-05,7.40546790375192e-08,0.772926061775571
"TCGA.19.1390.01A",1.60967974999174e-08,0.113352154991082,0.0738746141052771,0.00829008142972275,0.0308358913708201,2.77681449868747e-05,3.94522990038876e-09,0.773619469916083
"TCGA.28.2510.01A",2.34409505513239e-06,0.0791039175905536,0.0636564751242747,0.0131427195226698,0.0278441662683764,1.52148178989237e-05,3.89810332949463e-09,0.816235158683068
"TCGA.32.2615.01A",4.99260119568698e-08,0.0812525161255945,0.0690978315911501,0.0153524590208643,0.0700441739948043,4.29014501955493e-08,6.64820716065544e-09,0.764252919791917
"TCGA.76.4929.01A",4.78196202512978e-08,0.17046526630174,0.0829150367070509,0.00720263322171551,0.0709604945091529,7.27382060787756e-05,1.22252751637127e-08,0.668383771009366
"TCGA.06.0178.01A",0.00111316455612234,1.73795175112325e-05,0.0219486839660614,0.00688175084639553,0.0896983854604171,3.20785464019299e-09,4.77921900244166e-10,0.880340631967716
"TCGA.41.5651.01A",3.52535893515259e-08,0.0321795852400642,0.0791382169850567,0.00405788498363409,0.0246628267852754,5.02867562052162e-06,1.25347459124996e-08,0.859956409542014
"TCGA.14.2554.01A",3.25189795622051e-07,7.1343580232956e-08,0.0525231525862265,0.00939228887268506,0.113152308644063,2.18769704174327e-05,1.36589623159265e-08,0.82490996273427
"TCGA.06.2559.01A",6.34646331963579e-08,0.0378633271031942,0.0831545741071382,0.0126885206318144,0.0462828993679993,1.30052182925107e-06,1.37046032096364e-08,0.820009301098788
"TCGA.14.0787.01A",3.9565305713287e-09,0.121408017866878,0.0524955277180876,0.00816600756482986,0.0539187855359216,3.25765143342464e-06,5.8547006575656e-08,0.764008341159312
"TCGA.12.0618.01A",4.19079568145976e-08,0.0525349353450633,0.0524434916354655,0.00468220429411686,0.0340804657009701,3.72020479008511e-07,8.5115780631269e-10,0.856258488244791
"TCGA.14.1034.01A",2.65565946414656e-07,0.0572223072131114,0.0881845203274547,0.00923325428103878,0.110719463902285,4.79626419789771e-05,1.2590309379163e-09,0.734592224809154
"TCGA.06.0743.01A",0.00148882257356706,0.00113273335627994,0.0499336410662163,0.00416435871983886,0.041562808262289,3.26198562542911e-05,8.98405536904773e-09,0.901685007181499
"TCGA.16.1045.01B",1.6173889260525e-07,0.116903453303873,0.167743522453356,0.0200101499223781,0.308279526942732,0.000108790902810814,3.1532156166804e-07,0.386954079414395
"TCGA.76.4927.01A",2.58533657191105e-05,0.0591691841217125,0.155763340178742,0.0252516718443736,0.122270655287655,2.14906690314707e-05,6.3105945694228e-10,0.637497803901707
"TCGA.32.2638.01A",2.16097368758938e-08,0.0654698387188727,0.162265941969625,0.0192916839678138,0.0934208595557618,7.70222392484914e-07,1.31731443788156e-08,0.659550870782653
"TCGA.14.1825.01A",8.50317947956232e-09,0.0582094803347617,0.0719817998739665,0.00677600634673844,0.0391812535561222,5.18469832700876e-06,5.09663768371388e-09,0.823846261590267
"TCGA.32.2632.01A",4.60460378323088e-05,2.60994142312106e-08,0.104572368042481,0.0135383163680251,0.205780343603812,7.27926638543785e-05,1.36303854183083e-09,0.675990105821543
"TCGA.14.1823.01A",0.00086291936413525,6.12002280283415e-06,0.0274156456140869,0.00621408382108384,0.107588153882296,0.000118604204372418,1.13182552689917e-08,0.857794461772967
"TCGA.12.3650.01A",0.000196071044780583,1.90453862458399e-08,0.0737765598252055,0.00766654122862784,0.0888075181603753,4.07633366425397e-06,3.29096090590583e-09,0.829549211070999
