sample_id,cancer_type,reference_dataset,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes
TCGA-CR-7376-01A,HNSC,simu_bulk_2ds_ref,0.014,0.001,0.049,0.019,0.028,0,0.252,0.032,0.095,0.292,0.029,0.142,0.007,0,0.031,0.008
TCGA-CR-7391-01A,HNSC,simu_bulk_2ds_ref,0.013,0.001,0.044,0.003,0.022,0.001,0.552,0.043,0.107,0.098,0.039,0.028,0.006,0,0.028,0.016
TCGA-T2-A6X2-01A,HNSC,simu_bulk_2ds_ref,0,0.001,0.01,0.042,0.004,0,0.786,0.013,0.066,0.053,0,0.016,0,0,0.008,0.001
TCGA-BA-4074-01A,HNSC,simu_bulk_2ds_ref,0,0,0.014,0,0,0,0.805,0.004,0.043,0.122,0.003,0.004,0.004,0,0,0
TCGA-CN-6022-01A,HNSC,simu_bulk_2ds_ref,0.001,0.002,0.029,0,0.003,0,0.58,0.03,0.066,0.177,0.023,0.076,0.003,0,0.008,0.002
TCGA-CN-A6V3-01A,HNSC,simu_bulk_2ds_ref,0.019,0.001,0.017,0.033,0.001,0,0.794,0.016,0.065,0.013,0.001,0.014,0.001,0,0.023,0.002
TCGA-QK-A8Z7-01A,HNSC,simu_bulk_2ds_ref,0.005,0.001,0.014,0,0.003,0.001,0.869,0.005,0.035,0.044,0.007,0.005,0.005,0,0.006,0
TCGA-CN-A497-01A,HNSC,simu_bulk_2ds_ref,0.008,0.003,0.017,0.004,0.007,0,0.792,0.026,0.063,0.063,0.006,0.007,0.002,0,0,0.001
TCGA-F7-A50G-01A,HNSC,simu_bulk_2ds_ref,0.001,0.002,0.02,0.016,0.021,0,0.711,0.034,0.091,0.029,0.014,0.02,0.004,0,0.028,0.009
TCGA-IQ-A61I-01A,HNSC,simu_bulk_2ds_ref,0.021,0.001,0.044,0.015,0.001,0,0.807,0.022,0.029,0.009,0.003,0.014,0,0,0.029,0.006
TCGA-CR-7373-01A,HNSC,simu_bulk_2ds_ref,0.005,0.004,0.045,0.014,0.029,0,0.731,0.018,0.079,0.018,0.004,0.031,0.002,0,0.019,0
TCGA-CN-A63T-01A,HNSC,simu_bulk_2ds_ref,0.007,0.002,0.023,0.012,0.008,0,0.774,0.014,0.043,0.036,0.014,0.04,0.002,0,0.01,0.017
TCGA-CN-6019-01A,HNSC,simu_bulk_2ds_ref,0.008,0.007,0.018,0,0.007,0,0.323,0.023,0.058,0.366,0.019,0.15,0.006,0,0.013,0
TCGA-CR-7386-01A,HNSC,simu_bulk_2ds_ref,0.002,0.001,0.036,0.002,0.017,0,0.377,0.042,0.083,0.312,0.027,0.073,0.003,0,0.024,0.001
TCGA-HD-A6HZ-01A,HNSC,simu_bulk_2ds_ref,0.028,0.001,0.045,0.001,0.012,0.001,0.611,0.033,0.072,0.083,0.027,0.041,0.005,0,0.02,0.021
TCGA-QK-A6IH-01A,HNSC,simu_bulk_2ds_ref,0,0,0.004,0.005,0.005,0,0.89,0.002,0.036,0.044,0,0.006,0,0,0.005,0.002
TCGA-CN-6011-01A,HNSC,simu_bulk_2ds_ref,0,0.004,0.001,0.017,0.021,0,0.856,0.004,0.042,0.027,0,0.005,0.001,0,0.015,0.008
TCGA-CR-6474-01A,HNSC,simu_bulk_2ds_ref,0.008,0.003,0.023,0,0.002,0,0.498,0.021,0.077,0.311,0.025,0.019,0.003,0,0.01,0.002
TCGA-CV-6939-01A,HNSC,simu_bulk_2ds_ref,0.016,0.009,0.03,0.01,0.018,0,0.645,0.044,0.105,0.073,0.004,0.024,0.007,0,0.01,0.003
TCGA-D6-8568-01A,HNSC,simu_bulk_2ds_ref,0.013,0.003,0.011,0,0.006,0,0.674,0.01,0.109,0.087,0.042,0.007,0.005,0,0.011,0.02
TCGA-HD-A634-01A,HNSC,simu_bulk_2ds_ref,0.001,0,0.006,0,0.005,0,0.953,0.001,0.019,0.009,0.004,0.001,0,0,0,0
TCGA-CV-A45O-01A,HNSC,simu_bulk_2ds_ref,0,0,0.01,0.01,0.012,0,0.822,0.012,0.056,0,0.004,0.017,0.002,0,0.049,0.007
TCGA-T3-A92N-01A,HNSC,simu_bulk_2ds_ref,0,0,0.006,0.02,0,0,0.891,0.004,0.03,0.009,0,0.031,0,0,0.01,0
TCGA-CV-7438-01A,HNSC,simu_bulk_2ds_ref,0.016,0.001,0.031,0,0,0,0.727,0.031,0.05,0.079,0.028,0.022,0.001,0,0.012,0.002
TCGA-CV-A6K1-01A,HNSC,simu_bulk_2ds_ref,0,0,0.006,0.014,0,0,0.893,0,0.059,0.004,0.005,0.002,0.001,0,0.012,0.002
TCGA-CN-5363-01A,HNSC,simu_bulk_2ds_ref,0.006,0.002,0.013,0.025,0.002,0,0.682,0.009,0.077,0.108,0.024,0.042,0.001,0,0.009,0
TCGA-CV-6956-01A,HNSC,simu_bulk_2ds_ref,0,0.001,0.001,0.001,0,0,0.869,0.003,0.06,0.03,0.023,0.001,0.002,0,0.007,0.002
TCGA-CV-7263-01A,HNSC,simu_bulk_2ds_ref,0.014,0,0.023,0.001,0.013,0,0.621,0.031,0.063,0.122,0.027,0.063,0.007,0,0.014,0
TCGA-CN-A49C-01A,HNSC,simu_bulk_2ds_ref,0.009,0.001,0.02,0.007,0,0,0.858,0.013,0.049,0,0,0.006,0.003,0,0.022,0.011
TCGA-CV-7097-01A,HNSC,simu_bulk_2ds_ref,0.001,0,0.015,0.016,0.001,0.001,0.723,0.004,0.047,0.094,0.02,0.058,0.001,0,0.009,0.01
TCGA-IQ-A6SG-01A,HNSC,simu_bulk_2ds_ref,0,0,0.01,0,0,0,0.902,0.004,0.023,0.027,0.001,0.004,0,0,0.024,0.005
TCGA-UF-A7JC-01A,HNSC,simu_bulk_2ds_ref,0,0.002,0.004,0.004,0.002,0,0.911,0.003,0.049,0,0.003,0.001,0.002,0,0.017,0.003
TCGA-QK-A6II-01A,HNSC,simu_bulk_2ds_ref,0,0,0.004,0.015,0,0,0.906,0.01,0.033,0,0.003,0.001,0,0,0.022,0.004
TCGA-CN-A49B-01A,HNSC,simu_bulk_2ds_ref,0,0.002,0.027,0.024,0.003,0,0.755,0.013,0.055,0.042,0,0.052,0,0,0.026,0.001
TCGA-IQ-A61E-01A,HNSC,simu_bulk_2ds_ref,0,0.001,0.027,0.015,0.004,0,0.828,0.006,0.04,0.04,0.01,0.01,0.002,0,0.012,0.006
TCGA-BA-A4IH-01A,HNSC,simu_bulk_2ds_ref,0.012,0.004,0.029,0.014,0.002,0.001,0.754,0.02,0.073,0.045,0.02,0.005,0.003,0,0.012,0.006
TCGA-H7-8502-01A,HNSC,simu_bulk_2ds_ref,0,0,0.002,0.006,0,0,0.822,0,0.092,0.054,0,0.012,0,0,0.01,0.001
TCGA-CV-7406-01A,HNSC,simu_bulk_2ds_ref,0,0,0.01,0,0,0,0.78,0.012,0.056,0.085,0.039,0.006,0.005,0,0.007,0
TCGA-CV-7414-01A,HNSC,simu_bulk_2ds_ref,0,0,0.017,0.003,0,0,0.811,0.009,0.056,0.069,0.014,0.003,0.002,0.003,0.013,0
TCGA-HD-7229-01A,HNSC,simu_bulk_2ds_ref,0.012,0.003,0.02,0.031,0.001,0,0.811,0.01,0.055,0.019,0,0.013,0.001,0,0.025,0
TCGA-CV-6961-01A,HNSC,simu_bulk_2ds_ref,0.002,0.007,0.01,0.003,0.002,0.001,0.719,0.02,0.087,0.066,0.034,0.034,0.001,0,0.01,0.002
TCGA-TN-A7HI-01A,HNSC,simu_bulk_2ds_ref,0.045,0.001,0.025,0.009,0.021,0,0.808,0.007,0.011,0.045,0,0.026,0.001,0,0,0.001
TCGA-CQ-5333-01A,HNSC,simu_bulk_2ds_ref,0.001,0.002,0.049,0.01,0.023,0,0.545,0.043,0.032,0.042,0.021,0.228,0.002,0.001,0,0
TCGA-CN-4733-01A,HNSC,simu_bulk_2ds_ref,0.078,0.001,0.082,0.001,0.048,0,0.367,0.066,0.112,0.133,0.038,0.048,0.004,0,0.016,0.005
TCGA-CR-6488-01A,HNSC,simu_bulk_2ds_ref,0.002,0.002,0.026,0,0.007,0.001,0.588,0.019,0.082,0.104,0.043,0.093,0.007,0,0.024,0.003
TCGA-BB-4225-01A,HNSC,simu_bulk_2ds_ref,0.02,0.007,0.061,0.013,0.022,0,0.717,0.067,0.043,0.02,0.002,0.017,0.001,0,0.009,0
TCGA-BA-A4IG-01A,HNSC,simu_bulk_2ds_ref,0.014,0.016,0.02,0.006,0.002,0,0.852,0.016,0.048,0.001,0,0.002,0.001,0,0.014,0.007
TCGA-CR-7393-01A,HNSC,simu_bulk_2ds_ref,0.009,0.002,0.038,0,0.025,0.023,0.455,0.062,0.121,0.166,0.04,0.014,0.008,0,0.024,0.013
TCGA-T2-A6X0-01A,HNSC,simu_bulk_2ds_ref,0.028,0.001,0.017,0.013,0.014,0,0.773,0.011,0.042,0.037,0.002,0.036,0.003,0,0.022,0.002
TCGA-F7-A623-01A,HNSC,simu_bulk_2ds_ref,0.008,0,0.011,0.008,0.024,0,0.816,0.008,0.067,0.001,0.007,0.006,0.002,0,0.038,0.004
TCGA-IQ-7632-01A,HNSC,simu_bulk_2ds_ref,0.02,0.001,0.01,0.001,0,0,0.882,0.006,0.049,0,0.014,0.001,0.001,0,0.012,0.003
TCGA-QK-A652-01A,HNSC,simu_bulk_2ds_ref,0.003,0,0.032,0,0.014,0.001,0.715,0.028,0.065,0.055,0.037,0.013,0.004,0,0.025,0.008
TCGA-CR-7388-01A,HNSC,simu_bulk_2ds_ref,0.046,0.003,0.043,0,0.01,0.001,0.598,0.028,0.089,0.08,0.022,0.019,0.007,0,0.027,0.028
TCGA-BA-A6DG-01A,HNSC,simu_bulk_2ds_ref,0.001,0.002,0.014,0,0.009,0,0.479,0.01,0.068,0.297,0.04,0.046,0.002,0,0.017,0.015
TCGA-UF-A7JT-01A,HNSC,simu_bulk_2ds_ref,0.006,0.001,0.022,0.058,0.026,0,0.635,0.001,0.082,0.044,0.008,0.099,0.001,0,0.01,0.006
TCGA-CN-A6V6-01A,HNSC,simu_bulk_2ds_ref,0.037,0,0.035,0.043,0.003,0,0.711,0.036,0.042,0.02,0.014,0.026,0.002,0,0.031,0.001
TCGA-CR-6473-01A,HNSC,simu_bulk_2ds_ref,0.005,0.001,0.027,0.01,0,0,0.868,0.008,0.034,0.017,0.012,0.001,0,0,0.012,0.004
TCGA-CQ-7069-01A,HNSC,simu_bulk_2ds_ref,0.002,0.002,0.005,0.004,0.005,0,0.714,0.007,0.111,0.082,0.033,0.004,0.005,0,0.016,0.01
TCGA-CQ-6219-01A,HNSC,simu_bulk_2ds_ref,0,0.002,0.035,0.025,0.021,0,0.644,0.05,0.056,0.084,0.009,0.059,0.002,0,0.012,0.001
TCGA-IQ-A6SH-01A,HNSC,simu_bulk_2ds_ref,0.005,0.002,0.024,0.007,0.011,0,0.812,0.013,0.064,0.022,0.002,0.025,0.001,0,0.01,0.001
TCGA-IQ-7631-01A,HNSC,simu_bulk_2ds_ref,0,0.001,0,0.002,0,0,0.659,0.004,0.05,0.277,0.001,0.002,0.004,0,0,0
TCGA-CR-7398-01A,HNSC,simu_bulk_2ds_ref,0,0.001,0.027,0,0.007,0,0.776,0.014,0.044,0.099,0.006,0.006,0.015,0,0.002,0.003
TCGA-UF-A71E-01A,HNSC,simu_bulk_2ds_ref,0.004,0.001,0.004,0.003,0,0,0.896,0.005,0.034,0.02,0,0.002,0.001,0,0.027,0.003
TCGA-UF-A719-01A,HNSC,simu_bulk_2ds_ref,0.001,0.001,0.017,0.007,0.006,0,0.809,0.005,0.056,0.03,0.007,0.002,0.004,0,0.052,0.002
TCGA-CN-6023-01A,HNSC,simu_bulk_2ds_ref,0.014,0.003,0.031,0.01,0.031,0,0.761,0.019,0.037,0.008,0.005,0.077,0.002,0,0,0
TCGA-CV-7422-01A,HNSC,simu_bulk_2ds_ref,0.005,0.01,0.018,0.003,0.001,0,0.713,0.014,0.06,0.092,0.012,0.019,0.002,0,0.027,0.023
TCGA-CX-A4AQ-01A,HNSC,simu_bulk_2ds_ref,0.023,0.054,0.067,0,0.009,0.001,0.561,0.093,0.045,0.097,0.006,0.042,0.002,0.001,0,0
TCGA-CQ-5330-01A,HNSC,simu_bulk_2ds_ref,0,0.001,0.042,0.001,0.014,0.001,0.531,0.034,0.095,0.168,0.037,0.069,0.002,0,0.005,0
TCGA-P3-A6T3-01A,HNSC,simu_bulk_2ds_ref,0,0,0.006,0,0,0,0.956,0.003,0.011,0.008,0,0.001,0,0,0.007,0.006
TCGA-HD-A6I0-01A,HNSC,simu_bulk_2ds_ref,0,0,0.009,0.012,0.001,0,0.916,0.001,0.038,0,0.004,0.002,0.002,0,0.005,0.009
TCGA-CV-6950-01A,HNSC,simu_bulk_2ds_ref,0.001,0.003,0.015,0.004,0.007,0,0.758,0.004,0.048,0.113,0.021,0.023,0.001,0,0.003,0
TCGA-CR-7380-01A,HNSC,simu_bulk_2ds_ref,0.002,0.004,0.021,0,0.007,0,0.699,0.015,0.078,0.11,0.018,0.021,0.01,0,0.013,0.002
TCGA-DQ-7588-01A,HNSC,simu_bulk_2ds_ref,0,0,0.001,0.003,0,0,0.917,0.001,0.053,0.016,0,0,0.001,0,0.004,0.003
TCGA-BA-6873-01A,HNSC,simu_bulk_2ds_ref,0.001,0.003,0.027,0.007,0.001,0,0.778,0.014,0.07,0.071,0.01,0.009,0.001,0,0.006,0
TCGA-CR-6472-01A,HNSC,simu_bulk_2ds_ref,0.001,0.002,0.013,0.001,0.001,0,0.864,0.005,0.054,0.033,0.01,0.001,0.002,0,0.009,0.004
TCGA-UF-A7JH-01A,HNSC,simu_bulk_2ds_ref,0.002,0.003,0.017,0.007,0.011,0,0.646,0.022,0.078,0.132,0.019,0.045,0.002,0,0.012,0.004
TCGA-BA-4077-01B,HNSC,simu_bulk_2ds_ref,0.003,0.002,0.029,0.027,0,0,0.714,0.059,0.052,0.033,0.01,0.041,0.004,0,0.026,0
TCGA-CV-7411-01A,HNSC,simu_bulk_2ds_ref,0.002,0,0.011,0.005,0.008,0,0.819,0.006,0.046,0.054,0.018,0.002,0.001,0,0.022,0.006
TCGA-MT-A67A-01A,HNSC,simu_bulk_2ds_ref,0,0,0,0.02,0.001,0,0.912,0.007,0.024,0,0.007,0.003,0.004,0,0.011,0.009
TCGA-D6-6826-01A,HNSC,simu_bulk_2ds_ref,0.007,0.003,0.019,0,0.005,0.001,0.644,0.011,0.082,0.095,0.019,0.071,0.005,0,0.024,0.013
TCGA-CR-7404-01A,HNSC,simu_bulk_2ds_ref,0.025,0.013,0.037,0.013,0.013,0,0.684,0.023,0.077,0.022,0.022,0.035,0.006,0,0.022,0.007
TCGA-D6-A6EM-01A,HNSC,simu_bulk_2ds_ref,0.014,0.001,0.022,0.018,0.012,0,0.797,0.015,0.041,0.002,0.012,0.06,0.001,0.001,0,0.003
TCGA-CR-7379-01A,HNSC,simu_bulk_2ds_ref,0.009,0.002,0.011,0,0.004,0,0.686,0.01,0.064,0.125,0.027,0.023,0.004,0,0.015,0.019
TCGA-CV-7236-01A,HNSC,simu_bulk_2ds_ref,0.004,0.005,0.015,0.003,0,0,0.685,0.021,0.098,0.12,0.024,0.01,0.002,0,0.012,0
TCGA-CN-4727-01A,HNSC,simu_bulk_2ds_ref,0,0,0.004,0.002,0,0,0.87,0.001,0.055,0.038,0.023,0.001,0.001,0,0.006,0
TCGA-CQ-5327-01A,HNSC,simu_bulk_2ds_ref,0,0.001,0.02,0.021,0.021,0,0.718,0.032,0.067,0.023,0.008,0.052,0.002,0,0.022,0.012
TCGA-C9-A480-01A,HNSC,simu_bulk_2ds_ref,0,0.001,0.01,0.017,0.001,0,0.851,0.015,0.067,0,0.014,0.002,0.002,0,0.018,0.004
TCGA-CV-A6JO-01B,HNSC,simu_bulk_2ds_ref,0,0.001,0.017,0.029,0.014,0,0.828,0.018,0.057,0,0,0.015,0.001,0,0.02,0.001
TCGA-CR-6492-01A,HNSC,simu_bulk_2ds_ref,0.016,0.001,0.019,0.004,0,0,0.791,0.016,0.059,0.033,0.01,0.012,0.003,0,0.027,0.009
TCGA-CV-6933-01A,HNSC,simu_bulk_2ds_ref,0,0.007,0.013,0,0.001,0,0.693,0.007,0.042,0.081,0.001,0.111,0.002,0,0.024,0.019
TCGA-BA-6872-01A,HNSC,simu_bulk_2ds_ref,0.001,0.001,0.014,0.002,0.008,0,0.809,0.006,0.061,0.071,0,0.005,0.002,0,0.013,0.006
TCGA-BB-4223-01A,HNSC,simu_bulk_2ds_ref,0.013,0.037,0.027,0.021,0.026,0.001,0.727,0.036,0.05,0.041,0.001,0.01,0.004,0,0.006,0
TCGA-UF-A7JJ-01A,HNSC,simu_bulk_2ds_ref,0.041,0,0.031,0.001,0.025,0,0.457,0.025,0.063,0.229,0.01,0.071,0.004,0,0.042,0
TCGA-RS-A6TO-01A,HNSC,simu_bulk_2ds_ref,0,0.003,0.008,0.022,0.002,0,0.763,0.012,0.039,0.084,0.001,0.061,0,0,0.005,0
TCGA-CR-7372-01A,HNSC,simu_bulk_2ds_ref,0.007,0.003,0.017,0,0.006,0,0.668,0.011,0.102,0.092,0.046,0.009,0.007,0,0.015,0.017
TCGA-D6-6827-01A,HNSC,simu_bulk_2ds_ref,0,0.003,0.015,0,0,0.007,0.812,0.028,0.033,0.08,0.005,0.008,0.005,0,0.002,0.001
TCGA-CV-7437-01A,HNSC,simu_bulk_2ds_ref,0.005,0,0.009,0,0,0,0.911,0.016,0.012,0.011,0,0.033,0,0,0.002,0
TCGA-BA-5151-01A,HNSC,simu_bulk_2ds_ref,0.006,0.007,0.019,0.003,0.002,0.001,0.722,0.011,0.09,0.044,0.024,0.015,0.006,0,0.024,0.028
TCGA-CV-A461-01A,HNSC,simu_bulk_2ds_ref,0.005,0,0.043,0.029,0.041,0,0.655,0.07,0.041,0.048,0.002,0.055,0.003,0.001,0.008,0
TCGA-BA-5559-01A,HNSC,simu_bulk_2ds_ref,0.031,0.001,0.062,0.024,0.054,0,0.506,0.052,0.057,0.058,0.024,0.114,0.005,0,0.012,0
