sample_id,cancer_type,reference_dataset,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes
TCGA-E1-A7YE-01A,LGG,simu_bulk_2ds_ref,0,0.002,0.002,0,0,0,0.695,0,0.041,0,0.006,0.252,0.001,0,0,0.001
TCGA-CS-5393-01A,LGG,simu_bulk_2ds_ref,0,0.01,0.004,0,0.001,0,0.808,0.003,0.032,0,0.009,0.13,0.003,0,0,0
TCGA-HT-7858-01A,LGG,simu_bulk_2ds_ref,0,0.011,0.001,0,0.002,0,0.767,0.007,0.024,0,0.014,0.171,0.001,0.001,0,0
TCGA-DU-A76L-01A,LGG,simu_bulk_2ds_ref,0,0.002,0.006,0,0,0,0.619,0,0.092,0.044,0.051,0.18,0.003,0,0.003,0
TCGA-FG-8188-01A,LGG,simu_bulk_2ds_ref,0,0,0.001,0,0,0,0.855,0,0.033,0,0.013,0.097,0.001,0,0,0
TCGA-HT-7480-01A,LGG,simu_bulk_2ds_ref,0,0.008,0.002,0,0.003,0.001,0.9,0.003,0.017,0,0.018,0.041,0.007,0,0,0
TCGA-FG-5965-01B,LGG,simu_bulk_2ds_ref,0,0.003,0.002,0,0.001,0,0.828,0.004,0.037,0,0.03,0.086,0.003,0.001,0.003,0.003
TCGA-W9-A837-01A,LGG,simu_bulk_2ds_ref,0,0.004,0.003,0,0.003,0.002,0.916,0.003,0.012,0,0.012,0.039,0.006,0,0,0
TCGA-HT-7485-01A,LGG,simu_bulk_2ds_ref,0,0.007,0.003,0,0.001,0,0.858,0,0.008,0,0.006,0.116,0.002,0,0,0
TCGA-HT-8011-01A,LGG,simu_bulk_2ds_ref,0,0.003,0.001,0,0.001,0,0.864,0.001,0.052,0,0.01,0.066,0.003,0,0,0
TCGA-DU-A7TC-01A,LGG,simu_bulk_2ds_ref,0,0.001,0.004,0,0.007,0.001,0.897,0.005,0.014,0,0.003,0.062,0.005,0,0,0
TCGA-DU-A76R-01A,LGG,simu_bulk_2ds_ref,0,0.004,0.002,0,0.001,0.001,0.898,0.001,0.026,0.001,0.02,0.042,0.004,0,0,0
TCGA-DH-5140-01A,LGG,simu_bulk_2ds_ref,0,0.007,0.003,0,0,0,0.873,0.005,0.031,0.022,0.006,0.05,0.002,0,0,0
TCGA-TM-A84F-01A,LGG,simu_bulk_2ds_ref,0,0.004,0.008,0,0.009,0,0.663,0.012,0.052,0,0.015,0.232,0.001,0.003,0,0
TCGA-HT-8563-01A,LGG,simu_bulk_2ds_ref,0,0.001,0.022,0,0.01,0,0.378,0.001,0.044,0.022,0.015,0.501,0,0.002,0.004,0
TCGA-HT-7691-01A,LGG,simu_bulk_2ds_ref,0,0.003,0.003,0,0,0,0.788,0.001,0.043,0,0.009,0.152,0.001,0,0,0
TCGA-P5-A72X-01A,LGG,simu_bulk_2ds_ref,0,0.004,0.001,0,0.003,0,0.791,0.001,0.077,0,0.029,0.093,0.001,0,0,0
TCGA-HT-8108-01A,LGG,simu_bulk_2ds_ref,0,0.009,0.001,0,0,0,0.813,0.001,0.024,0,0.005,0.144,0.002,0,0,0.001
TCGA-S9-A7J1-01A,LGG,simu_bulk_2ds_ref,0,0.005,0.002,0,0,0,0.882,0.001,0.02,0,0.014,0.073,0.002,0,0,0
TCGA-HT-A5R5-01A,LGG,simu_bulk_2ds_ref,0,0.007,0.004,0,0.002,0,0.762,0.001,0.021,0,0.029,0.167,0.005,0,0,0
TCGA-P5-A781-01A,LGG,simu_bulk_2ds_ref,0,0.005,0.002,0,0.002,0,0.873,0,0.025,0,0.007,0.081,0.005,0,0,0
TCGA-FN-7833-01A,LGG,simu_bulk_2ds_ref,0,0.006,0.006,0,0,0,0.679,0,0.038,0,0.009,0.241,0.001,0,0.005,0.016
TCGA-E1-A7YV-01A,LGG,simu_bulk_2ds_ref,0,0.002,0,0.001,0,0,0.887,0.001,0.059,0,0.029,0.016,0.002,0,0.001,0.001
TCGA-TQ-A7RM-01A,LGG,simu_bulk_2ds_ref,0,0,0,0.002,0,0,0.959,0,0.027,0,0.003,0.008,0,0,0,0
TCGA-DU-5849-01A,LGG,simu_bulk_2ds_ref,0,0.007,0.002,0,0.008,0.001,0.878,0.002,0.027,0,0.014,0.055,0.006,0,0,0
TCGA-TQ-A8XE-01A,LGG,simu_bulk_2ds_ref,0,0.005,0.002,0,0,0,0.882,0.004,0.011,0,0.013,0.076,0.001,0,0,0.006
TCGA-S9-A6WO-01A,LGG,simu_bulk_2ds_ref,0,0.003,0.001,0,0,0,0.851,0.001,0.014,0,0.005,0.123,0.002,0,0,0
TCGA-DU-A7TD-01A,LGG,simu_bulk_2ds_ref,0,0.002,0,0,0,0,0.737,0.001,0.06,0.001,0,0.194,0.001,0,0.004,0
TCGA-TM-A84G-01A,LGG,simu_bulk_2ds_ref,0,0.005,0.002,0,0.001,0,0.937,0.001,0.027,0,0.015,0.01,0.001,0,0,0
TCGA-DB-5273-01A,LGG,simu_bulk_2ds_ref,0,0.003,0.005,0,0,0,0.754,0,0.045,0,0.011,0.18,0.001,0.001,0,0
TCGA-DB-A4XB-01A,LGG,simu_bulk_2ds_ref,0,0.007,0.002,0,0.006,0.001,0.893,0.006,0.004,0,0.001,0.07,0.009,0,0,0
TCGA-HT-7620-01A,LGG,simu_bulk_2ds_ref,0,0.008,0.001,0,0,0,0.867,0,0.026,0,0.006,0.087,0.004,0,0,0
TCGA-TM-A84B-01A,LGG,simu_bulk_2ds_ref,0,0.005,0.002,0,0.004,0,0.929,0.001,0.034,0,0.007,0.017,0.001,0,0,0
TCGA-TM-A7CF-01A,LGG,simu_bulk_2ds_ref,0,0.004,0.003,0,0.008,0.001,0.925,0.004,0.007,0,0.002,0.041,0.005,0,0,0
TCGA-FG-5964-01A,LGG,simu_bulk_2ds_ref,0,0.006,0.003,0,0.003,0,0.747,0.023,0.036,0,0.011,0.168,0.004,0,0,0
TCGA-DU-5874-01A,LGG,simu_bulk_2ds_ref,0,0.009,0.002,0,0.001,0,0.926,0.001,0.043,0,0.008,0.009,0.001,0,0,0
TCGA-DU-A5TT-01A,LGG,simu_bulk_2ds_ref,0,0.002,0.001,0,0.003,0,0.849,0.001,0.032,0.012,0.012,0.083,0.005,0,0,0
TCGA-HT-7695-01A,LGG,simu_bulk_2ds_ref,0,0.005,0.003,0,0.004,0.001,0.908,0.002,0.021,0,0.014,0.034,0.008,0,0,0
TCGA-S9-A7R2-01A,LGG,simu_bulk_2ds_ref,0,0.005,0.003,0,0.023,0,0.694,0,0.018,0.007,0.01,0.233,0.005,0.001,0,0
TCGA-DU-8164-01A,LGG,simu_bulk_2ds_ref,0,0.004,0.002,0,0.001,0,0.924,0.003,0.021,0,0.011,0.027,0.005,0,0,0.001
TCGA-TQ-A7RF-01A,LGG,simu_bulk_2ds_ref,0,0.002,0,0,0.003,0,0.847,0.005,0.026,0,0.025,0.089,0.002,0,0,0
TCGA-FG-6692-01A,LGG,simu_bulk_2ds_ref,0,0,0.001,0,0.001,0,0.842,0,0.059,0.002,0,0.094,0,0,0,0
TCGA-DU-7013-01A,LGG,simu_bulk_2ds_ref,0,0.006,0,0,0.002,0,0.84,0.003,0.037,0,0.004,0.104,0.002,0,0.002,0
TCGA-P5-A733-01A,LGG,simu_bulk_2ds_ref,0,0,0.002,0,0,0,0.913,0,0.019,0,0.01,0.056,0,0,0,0
TCGA-CS-4938-01B,LGG,simu_bulk_2ds_ref,0,0.002,0.004,0,0,0,0.869,0,0.004,0,0.001,0.116,0.003,0,0,0
TCGA-DB-A64O-01A,LGG,simu_bulk_2ds_ref,0,0.003,0.001,0,0.001,0,0.868,0,0.019,0,0.02,0.082,0.003,0,0,0
TCGA-HW-8320-01A,LGG,simu_bulk_2ds_ref,0,0.004,0.001,0,0,0,0.858,0.001,0.019,0,0.015,0.098,0.002,0,0,0.002
TCGA-HT-7694-01A,LGG,simu_bulk_2ds_ref,0,0.003,0.005,0,0.006,0.004,0.904,0.003,0.024,0,0.014,0.028,0.009,0,0,0
TCGA-P5-A77W-01A,LGG,simu_bulk_2ds_ref,0,0.003,0,0,0,0,0.941,0.004,0.029,0,0.017,0.004,0.001,0,0,0
TCGA-HT-7473-01A,LGG,simu_bulk_2ds_ref,0,0.008,0.001,0,0.004,0,0.704,0.001,0.017,0,0.001,0.263,0.002,0,0,0
TCGA-CS-5396-01A,LGG,simu_bulk_2ds_ref,0,0.01,0.005,0,0.002,0,0.85,0.003,0.038,0.008,0.024,0.058,0.001,0,0.001,0
TCGA-CS-6669-01A,LGG,simu_bulk_2ds_ref,0,0.006,0.008,0,0.014,0.008,0.909,0.007,0.011,0,0.007,0.02,0.009,0,0,0
TCGA-FG-A70Y-01A,LGG,simu_bulk_2ds_ref,0,0.003,0.005,0,0,0,0.808,0,0.03,0,0.011,0.141,0,0.001,0,0
TCGA-FG-8185-01A,LGG,simu_bulk_2ds_ref,0,0.001,0.001,0,0,0,0.882,0.004,0.023,0,0.016,0.072,0.001,0,0,0.001
TCGA-QH-A6CY-01A,LGG,simu_bulk_2ds_ref,0,0.004,0.003,0,0.007,0.002,0.906,0.002,0.013,0,0.01,0.048,0.006,0,0,0
TCGA-S9-A6WE-01A,LGG,simu_bulk_2ds_ref,0,0.003,0.003,0,0.002,0,0.879,0.002,0.028,0,0.016,0.064,0.002,0,0,0
TCGA-HT-7875-01A,LGG,simu_bulk_2ds_ref,0,0.005,0.002,0,0.001,0,0.923,0.002,0.019,0,0.012,0.03,0.004,0,0,0.001
TCGA-DU-A5TS-01A,LGG,simu_bulk_2ds_ref,0,0.002,0,0,0,0,0.838,0.001,0.024,0,0.013,0.121,0,0,0,0
TCGA-CS-6668-01A,LGG,simu_bulk_2ds_ref,0,0.011,0.001,0,0,0,0.929,0.007,0.023,0,0.007,0.016,0.005,0,0,0
TCGA-DB-A4XA-01A,LGG,simu_bulk_2ds_ref,0,0.005,0.002,0,0.003,0,0.789,0.006,0.047,0,0.018,0.127,0.001,0,0,0
TCGA-P5-A5EZ-01A,LGG,simu_bulk_2ds_ref,0,0.005,0,0.002,0.011,0,0.807,0.001,0.047,0,0.006,0.121,0,0,0,0
TCGA-DU-5855-01A,LGG,simu_bulk_2ds_ref,0,0.007,0.001,0,0.001,0,0.752,0.008,0.026,0,0.031,0.169,0.003,0,0,0.001
TCGA-HW-A5KJ-01A,LGG,simu_bulk_2ds_ref,0,0,0.001,0.001,0.005,0.001,0.894,0.005,0.059,0,0.033,0.002,0,0,0,0
TCGA-R8-A6MK-01A,LGG,simu_bulk_2ds_ref,0,0.003,0.002,0,0,0,0.902,0,0.012,0,0.004,0.073,0.003,0,0,0
TCGA-DH-A7UR-01A,LGG,simu_bulk_2ds_ref,0,0.001,0.002,0,0.001,0.001,0.88,0.003,0.073,0,0.023,0.013,0.002,0,0,0
TCGA-HT-7680-01A,LGG,simu_bulk_2ds_ref,0.001,0.007,0.003,0,0,0,0.834,0,0.004,0,0.013,0.134,0.002,0,0.001,0
TCGA-WY-A85D-01A,LGG,simu_bulk_2ds_ref,0,0,0.003,0,0,0,0.838,0,0.013,0,0.004,0.136,0.003,0.002,0,0
TCGA-FG-A4MU-01B,LGG,simu_bulk_2ds_ref,0,0.001,0.002,0,0,0,0.711,0,0.058,0.035,0.003,0.181,0.001,0,0.009,0
TCGA-S9-A6TY-01A,LGG,simu_bulk_2ds_ref,0,0.007,0.001,0,0.002,0.001,0.951,0.005,0.011,0,0.007,0.011,0.004,0,0,0
TCGA-DU-7309-01A,LGG,simu_bulk_2ds_ref,0,0.005,0.003,0,0.003,0.002,0.858,0.006,0.027,0,0.031,0.061,0.005,0,0,0
TCGA-TQ-A7RN-01A,LGG,simu_bulk_2ds_ref,0,0.004,0.002,0,0,0,0.902,0.002,0.023,0,0.014,0.048,0.003,0,0,0
TCGA-HT-A615-01A,LGG,simu_bulk_2ds_ref,0,0.01,0.003,0,0.004,0,0.797,0.003,0.021,0,0.008,0.149,0.003,0,0,0
TCGA-E1-A7YL-01A,LGG,simu_bulk_2ds_ref,0,0,0.008,0,0.008,0,0.733,0,0.029,0.013,0.02,0.185,0.001,0,0.002,0
TCGA-DH-A66B-01A,LGG,simu_bulk_2ds_ref,0,0.008,0.003,0,0.001,0,0.691,0.007,0.023,0,0.008,0.257,0.002,0,0,0
TCGA-TQ-A7RW-01A,LGG,simu_bulk_2ds_ref,0,0.009,0.001,0,0,0,0.766,0.007,0.02,0,0.014,0.181,0.001,0,0,0
TCGA-QH-A86X-01A,LGG,simu_bulk_2ds_ref,0,0.004,0.001,0,0.002,0,0.893,0.006,0.016,0,0.021,0.054,0.002,0,0,0
TCGA-DB-A4XF-01A,LGG,simu_bulk_2ds_ref,0,0.006,0.001,0,0.004,0,0.836,0.004,0.029,0,0.015,0.1,0.004,0,0,0
TCGA-HT-7605-01A,LGG,simu_bulk_2ds_ref,0,0.005,0.003,0,0.006,0.001,0.88,0.001,0.026,0,0.011,0.058,0.009,0,0,0
TCGA-TQ-A7RK-01A,LGG,simu_bulk_2ds_ref,0,0,0.001,0,0,0,0.915,0,0.015,0,0.002,0.065,0.002,0,0,0
TCGA-E1-A7YK-01A,LGG,simu_bulk_2ds_ref,0,0,0.002,0,0.003,0,0.656,0,0.046,0,0.005,0.279,0,0.009,0,0
TCGA-CS-5397-01A,LGG,simu_bulk_2ds_ref,0,0.008,0.002,0,0.002,0,0.838,0.001,0.024,0,0.008,0.11,0.006,0,0,0
TCGA-DU-5853-01A,LGG,simu_bulk_2ds_ref,0,0.006,0.002,0,0.007,0.001,0.799,0.018,0.023,0,0.016,0.126,0.002,0,0,0
TCGA-HT-7902-01A,LGG,simu_bulk_2ds_ref,0,0.004,0.001,0,0.004,0,0.882,0,0.025,0,0.019,0.058,0.004,0.002,0,0
TCGA-HT-7479-01A,LGG,simu_bulk_2ds_ref,0,0.006,0.001,0,0,0,0.798,0,0.037,0,0.005,0.151,0.002,0,0,0
TCGA-HT-7477-01B,LGG,simu_bulk_2ds_ref,0,0.001,0,0.002,0.002,0,0.87,0.001,0.054,0,0.014,0.052,0.002,0,0,0.003
TCGA-TM-A84O-01A,LGG,simu_bulk_2ds_ref,0,0.011,0.002,0,0.003,0,0.824,0.006,0.044,0,0.012,0.093,0.004,0,0,0
TCGA-DH-5141-01A,LGG,simu_bulk_2ds_ref,0,0,0.003,0,0,0,0.792,0,0.046,0,0.043,0.116,0,0,0,0
TCGA-FG-8186-01A,LGG,simu_bulk_2ds_ref,0,0.005,0.003,0,0.001,0,0.822,0.004,0.022,0,0.011,0.128,0.004,0,0,0
TCGA-HT-8012-01A,LGG,simu_bulk_2ds_ref,0,0.008,0.003,0,0.001,0.001,0.858,0.006,0.037,0,0.019,0.061,0.005,0,0,0
TCGA-HT-7686-01A,LGG,simu_bulk_2ds_ref,0,0.005,0.004,0,0,0,0.668,0,0.047,0,0.015,0.257,0.001,0.001,0,0
TCGA-HT-7475-01A,LGG,simu_bulk_2ds_ref,0,0.003,0,0,0.006,0.002,0.945,0.004,0.02,0,0.006,0.009,0.003,0,0.001,0
TCGA-FG-A87Q-01A,LGG,simu_bulk_2ds_ref,0,0.001,0.001,0,0.003,0,0.748,0,0.037,0,0.006,0.203,0.001,0,0,0
TCGA-S9-A6TX-01A,LGG,simu_bulk_2ds_ref,0,0.003,0.002,0,0,0,0.858,0.003,0.038,0,0.028,0.068,0.001,0,0,0
TCGA-HT-8013-01A,LGG,simu_bulk_2ds_ref,0,0.005,0.002,0,0,0,0.683,0,0.033,0,0.007,0.268,0.002,0.001,0,0
TCGA-TM-A7C4-01A,LGG,simu_bulk_2ds_ref,0,0.004,0.002,0,0.006,0.001,0.91,0.005,0.015,0,0.008,0.043,0.006,0,0,0
TCGA-DH-5143-01A,LGG,simu_bulk_2ds_ref,0,0.008,0.004,0,0.003,0,0.825,0.001,0.015,0,0.012,0.128,0.004,0,0,0
TCGA-HT-7606-01A,LGG,simu_bulk_2ds_ref,0,0.004,0.002,0,0,0,0.892,0.005,0.043,0,0.004,0.048,0.001,0,0,0.001
TCGA-WY-A859-01A,LGG,simu_bulk_2ds_ref,0,0.002,0.004,0,0.009,0.006,0.904,0.006,0.014,0,0.009,0.038,0.009,0,0,0
TCGA-HT-7483-01A,LGG,simu_bulk_2ds_ref,0,0.006,0.001,0,0,0,0.829,0.001,0.051,0,0.029,0.078,0.004,0,0,0
TCGA-VW-A7QS-01A,LGG,simu_bulk_2ds_ref,0,0.002,0.002,0,0,0,0.945,0.007,0.015,0,0.002,0.026,0,0,0,0
TCGA-P5-A5EV-01A,LGG,simu_bulk_2ds_ref,0,0.002,0.003,0,0.001,0,0.863,0,0.029,0,0.003,0.095,0,0.003,0,0
TCGA-DU-6400-01A,LGG,simu_bulk_2ds_ref,0,0.009,0.003,0,0.005,0,0.911,0.005,0.024,0,0.007,0.029,0.006,0,0,0
TCGA-VV-A86M-01A,LGG,simu_bulk_2ds_ref,0,0.004,0.001,0,0,0,0.818,0.01,0.029,0,0.005,0.133,0,0,0,0
TCGA-QH-A6X9-01A,LGG,simu_bulk_2ds_ref,0,0.005,0.002,0.001,0.001,0,0.911,0.001,0.014,0,0.004,0.058,0.004,0,0,0
TCGA-HT-A618-01A,LGG,simu_bulk_2ds_ref,0,0.011,0.002,0,0.005,0,0.692,0.001,0.046,0,0.013,0.229,0.001,0.002,0,0
TCGA-FG-6691-01A,LGG,simu_bulk_2ds_ref,0,0.005,0.003,0,0,0,0.744,0,0.021,0,0.011,0.216,0.001,0,0,0
TCGA-S9-A6WI-01A,LGG,simu_bulk_2ds_ref,0,0.004,0.007,0,0.019,0.013,0.871,0.007,0.024,0,0.016,0.028,0.011,0,0,0
TCGA-DU-7011-01A,LGG,simu_bulk_2ds_ref,0,0.007,0.002,0,0,0,0.713,0.003,0.064,0,0.019,0.188,0.002,0.001,0,0
TCGA-DU-6405-01A,LGG,simu_bulk_2ds_ref,0,0.001,0.001,0,0,0,0.88,0,0.016,0,0,0.099,0.002,0,0,0
TCGA-HT-7609-01A,LGG,simu_bulk_2ds_ref,0,0.008,0,0,0,0,0.836,0.001,0.012,0,0.002,0.14,0.001,0,0,0
TCGA-TM-A84S-01A,LGG,simu_bulk_2ds_ref,0,0.003,0.003,0,0,0,0.861,0,0.021,0,0.007,0.101,0.002,0,0,0
TCGA-DU-8168-01A,LGG,simu_bulk_2ds_ref,0,0.011,0.001,0,0.002,0.001,0.901,0.011,0.035,0,0.014,0.017,0.006,0,0,0.001
TCGA-FG-A87N-01A,LGG,simu_bulk_2ds_ref,0,0.007,0,0,0,0,0.893,0.002,0.024,0,0,0.072,0.001,0,0,0
TCGA-DB-5278-01A,LGG,simu_bulk_2ds_ref,0,0.005,0.003,0,0.002,0.001,0.887,0.002,0.024,0,0.016,0.056,0.005,0,0,0
TCGA-FG-A4MY-01A,LGG,simu_bulk_2ds_ref,0,0.002,0.001,0,0.002,0,0.854,0.001,0.025,0,0.029,0.084,0.001,0.003,0,0
TCGA-E1-A7YN-01A,LGG,simu_bulk_2ds_ref,0,0.004,0.01,0,0.028,0,0.49,0,0.068,0.019,0.053,0.321,0.002,0,0.005,0
TCGA-DU-7010-01A,LGG,simu_bulk_2ds_ref,0,0.006,0,0,0.001,0,0.894,0,0.043,0,0.009,0.043,0.002,0,0,0
TCGA-S9-A7J0-01A,LGG,simu_bulk_2ds_ref,0,0.001,0,0,0,0,0.935,0.005,0.017,0,0.002,0.038,0.002,0,0,0
TCGA-WY-A85A-01A,LGG,simu_bulk_2ds_ref,0,0.002,0.001,0,0,0,0.89,0.001,0.015,0,0.002,0.088,0.001,0,0,0
TCGA-TQ-A7RQ-01A,LGG,simu_bulk_2ds_ref,0,0.005,0.002,0,0.004,0.002,0.936,0.004,0.016,0,0.015,0.014,0.004,0,0,0
TCGA-HT-7873-01B,LGG,simu_bulk_2ds_ref,0,0.003,0.002,0,0,0,0.891,0.001,0.024,0,0.012,0.059,0.004,0,0.001,0.003
TCGA-DU-8167-01A,LGG,simu_bulk_2ds_ref,0,0.006,0.001,0,0.001,0,0.74,0,0.041,0,0.018,0.19,0.002,0,0,0
TCGA-S9-A6U2-01A,LGG,simu_bulk_2ds_ref,0,0.007,0.002,0,0,0,0.851,0.005,0.027,0,0.022,0.084,0.002,0,0,0
TCGA-S9-A7IQ-01A,LGG,simu_bulk_2ds_ref,0,0.003,0.007,0,0.011,0.011,0.9,0.005,0.011,0,0.016,0.024,0.012,0,0,0
TCGA-HW-7487-01A,LGG,simu_bulk_2ds_ref,0,0.006,0.004,0,0.004,0.005,0.905,0.004,0.019,0,0.012,0.032,0.009,0,0,0
TCGA-FG-5963-01A,LGG,simu_bulk_2ds_ref,0,0.003,0.007,0,0.011,0,0.635,0.01,0.039,0.017,0.012,0.262,0.003,0.001,0,0
TCGA-HT-A5RA-01A,LGG,simu_bulk_2ds_ref,0,0.001,0.002,0,0.001,0,0.829,0,0.064,0.026,0.001,0.071,0.001,0,0.003,0.001
TCGA-HT-A4DV-01A,LGG,simu_bulk_2ds_ref,0,0.004,0.003,0,0.007,0,0.844,0.004,0.018,0,0.02,0.095,0.005,0.001,0,0
TCGA-DH-A66G-01A,LGG,simu_bulk_2ds_ref,0,0.008,0.003,0,0.006,0.001,0.795,0.013,0.026,0,0.025,0.11,0.008,0,0.003,0.001
TCGA-DU-7015-01A,LGG,simu_bulk_2ds_ref,0,0.01,0.004,0,0,0,0.746,0,0.02,0,0.007,0.21,0.003,0,0,0
TCGA-R8-A73M-01A,LGG,simu_bulk_2ds_ref,0,0.001,0.005,0,0.001,0,0.928,0.005,0.014,0,0.007,0.037,0.003,0,0,0
TCGA-TQ-A7RJ-01A,LGG,simu_bulk_2ds_ref,0,0.005,0.002,0,0.001,0,0.828,0,0.021,0,0.009,0.131,0.003,0,0,0
TCGA-DU-A7TJ-01A,LGG,simu_bulk_2ds_ref,0,0.002,0,0,0,0,0.853,0.001,0.04,0.001,0.001,0.101,0.001,0,0,0
TCGA-TM-A84C-01A,LGG,simu_bulk_2ds_ref,0,0.002,0,0,0,0,0.877,0.001,0.002,0.001,0.001,0.114,0.001,0,0,0
TCGA-DB-5280-01A,LGG,simu_bulk_2ds_ref,0,0.003,0.003,0,0.001,0,0.878,0,0.033,0,0.01,0.07,0.001,0,0,0
TCGA-TQ-A7RH-01A,LGG,simu_bulk_2ds_ref,0,0.006,0,0.001,0,0,0.817,0.003,0.022,0,0.009,0.138,0.003,0,0,0
TCGA-RY-A847-01A,LGG,simu_bulk_2ds_ref,0,0.005,0.003,0,0.003,0.001,0.809,0.003,0.031,0,0.011,0.129,0.003,0,0,0
TCGA-HW-A5KL-01A,LGG,simu_bulk_2ds_ref,0,0.002,0,0,0,0,0.866,0,0.025,0,0.004,0.102,0,0,0,0
TCGA-DU-8163-01A,LGG,simu_bulk_2ds_ref,0,0.006,0.004,0,0,0,0.784,0,0.029,0,0.009,0.164,0.003,0,0,0
TCGA-HT-7603-01A,LGG,simu_bulk_2ds_ref,0,0.002,0.005,0,0.009,0.001,0.912,0.004,0.016,0,0.009,0.031,0.009,0,0,0
TCGA-HT-8105-01A,LGG,simu_bulk_2ds_ref,0,0.01,0.004,0,0.006,0.001,0.868,0.006,0.053,0,0.016,0.024,0.009,0,0.004,0
TCGA-P5-A72W-01A,LGG,simu_bulk_2ds_ref,0,0,0.003,0,0.002,0,0.848,0.002,0.019,0,0.008,0.116,0.001,0,0,0
TCGA-DB-5281-01A,LGG,simu_bulk_2ds_ref,0,0.005,0.003,0,0.003,0,0.842,0.003,0.042,0,0.032,0.064,0.005,0,0,0
TCGA-DB-A64S-01A,LGG,simu_bulk_2ds_ref,0,0.004,0.001,0,0,0,0.685,0,0.04,0,0.02,0.247,0.002,0,0,0
TCGA-HT-8109-01A,LGG,simu_bulk_2ds_ref,0,0.008,0.003,0,0.005,0.002,0.875,0.001,0.024,0,0.014,0.06,0.008,0,0,0
TCGA-WY-A85B-01A,LGG,simu_bulk_2ds_ref,0,0.001,0.001,0,0,0,0.771,0.002,0.022,0,0.006,0.196,0.001,0,0,0
TCGA-E1-5302-01A,LGG,simu_bulk_2ds_ref,0,0.005,0.003,0,0.001,0,0.819,0,0.015,0,0.007,0.145,0.005,0,0,0
TCGA-DB-5275-01A,LGG,simu_bulk_2ds_ref,0,0.005,0.002,0,0.001,0,0.871,0.002,0.025,0,0.016,0.072,0.005,0,0,0.001
TCGA-E1-A7YJ-01A,LGG,simu_bulk_2ds_ref,0,0,0.001,0,0.006,0,0.794,0,0.048,0,0,0.149,0,0,0.001,0
TCGA-FG-6688-01A,LGG,simu_bulk_2ds_ref,0,0.004,0.003,0,0,0,0.712,0,0.027,0.026,0.017,0.203,0.006,0.002,0,0
TCGA-TM-A84M-01A,LGG,simu_bulk_2ds_ref,0,0.007,0.002,0,0,0,0.952,0.008,0.012,0,0.011,0.005,0.001,0,0,0.001
TCGA-HT-A617-01A,LGG,simu_bulk_2ds_ref,0,0.004,0.005,0,0.016,0,0.737,0.015,0.016,0.024,0.001,0.18,0.003,0,0,0
TCGA-CS-5390-01A,LGG,simu_bulk_2ds_ref,0,0.009,0.002,0,0.002,0.001,0.92,0.001,0.03,0,0.01,0.022,0.004,0,0,0
TCGA-CS-6188-01A,LGG,simu_bulk_2ds_ref,0,0.001,0.001,0,0,0,0.811,0,0.04,0.004,0.017,0.124,0.002,0,0,0
TCGA-QH-A6CU-01A,LGG,simu_bulk_2ds_ref,0,0,0.004,0,0,0,0.812,0,0.023,0,0.002,0.157,0.001,0,0,0
TCGA-S9-A89Z-01A,LGG,simu_bulk_2ds_ref,0,0.001,0.001,0,0,0,0.667,0.002,0.064,0,0.025,0.234,0.001,0.005,0,0
TCGA-VM-A8CF-01A,LGG,simu_bulk_2ds_ref,0,0,0.003,0,0.004,0,0.629,0,0.031,0,0.017,0.314,0,0.001,0,0
TCGA-DU-A5TP-01A,LGG,simu_bulk_2ds_ref,0,0.002,0.001,0,0,0,0.685,0.001,0.036,0,0.002,0.268,0.003,0,0.002,0
TCGA-S9-A7IS-01A,LGG,simu_bulk_2ds_ref,0,0.005,0,0.001,0,0,0.91,0.009,0.038,0,0.002,0.034,0,0,0,0
TCGA-VM-A8C8-01A,LGG,simu_bulk_2ds_ref,0,0,0.003,0,0.001,0,0.858,0,0.011,0,0.001,0.121,0.004,0,0,0
TCGA-DB-A4XG-01A,LGG,simu_bulk_2ds_ref,0,0.007,0.002,0,0.001,0,0.945,0.002,0.017,0,0.008,0.013,0.005,0,0,0
TCGA-S9-A6TS-01A,LGG,simu_bulk_2ds_ref,0,0.002,0.002,0,0.002,0,0.8,0.005,0.03,0,0.017,0.137,0.003,0,0,0
TCGA-HT-7690-01A,LGG,simu_bulk_2ds_ref,0,0.004,0.004,0.001,0.01,0,0.722,0.007,0.049,0,0.02,0.176,0.002,0.005,0,0
TCGA-DU-8166-01A,LGG,simu_bulk_2ds_ref,0,0.007,0.001,0,0.001,0,0.861,0.003,0.025,0,0.014,0.081,0.005,0,0.001,0.002
TCGA-HT-7476-01A,LGG,simu_bulk_2ds_ref,0,0.005,0.003,0,0.005,0.001,0.783,0.003,0.059,0,0.058,0.079,0.003,0,0,0
TCGA-DU-6401-01A,LGG,simu_bulk_2ds_ref,0,0.001,0.001,0,0,0,0.743,0.001,0.113,0,0.041,0.099,0,0,0,0
TCGA-DH-5142-01A,LGG,simu_bulk_2ds_ref,0,0.007,0.004,0.001,0,0,0.723,0.004,0.024,0,0.01,0.213,0.001,0.01,0,0.003
TCGA-DU-6404-01A,LGG,simu_bulk_2ds_ref,0,0.004,0.002,0,0.006,0,0.876,0.008,0.052,0.001,0.004,0.046,0.003,0,0,0
