"","cellFractions.B.Cells","cellFractions.Endothelial.Cells","cellFractions.Fibroblasts","cellFractions.Macrophages","cellFractions.NK","cellFractions.T.Cells","cellFractions.otherCells"
"TCGA.UB.A7MA.01A",1.80480521584721e-05,0.0591807456386729,0.0148275729748336,0.00929496527354974,5.60866976600713e-10,0.027542185576395,0.889136481923523
"TCGA.DD.AAD0.01A",1.13179242240656e-08,0.00925809368968416,2.40120723751876e-07,0.00588177364863034,2.35905372105407e-09,0.00365416982888369,0.9812057090351
"TCGA.BC.4072.01B",2.97103523359389e-08,0.0285912888435394,0.0102972429012554,0.0497652478014664,0.0104861214449814,0.0350287426889377,0.865831326609467
"TCGA.DD.AACD.01A",6.01648433715275e-09,0.0310408497795113,4.02342644810864e-10,0.0373051239974562,0.000807988338702723,5.51167704105551e-09,0.930846025953826
"TCGA.DD.A3A5.01A",1.25424640276777e-08,0.0394050230212704,0.00793693506337588,0.00738906101675373,7.30045859929723e-09,0.0142471304175146,0.931021830638163
"TCGA.ZP.A9D1.01A",7.74045389477829e-09,0.0418375233011792,0.0160423628016782,0.0102198662984641,3.38226628222074e-08,0.0188226093347477,0.913077596700814
"TCGA.ZP.A9D0.01A",7.58352782844999e-08,0.0194451226335557,0.00475572347079079,0.00936766741590431,1.87677125116051e-08,5.25882434392437e-05,0.966378803633319
"TCGA.CC.A7IK.01A",1.26785070931096e-06,0.0212708186198175,2.83215072225384e-09,0.00983226932426967,0.00174209415756155,3.64359309131808e-09,0.967153543571898
"TCGA.WQ.AB4B.01A",5.40042691161508e-08,0.0268459101120548,0.00555925162975541,0.0083149573404899,9.01329017866383e-09,0.00788668876280421,0.951393129137336
"TCGA.FV.A4ZQ.01A",0.0225542972117452,1.16329186851905e-09,1.2056118344793e-08,0.0894084593418404,0.0897608861566687,1.12707684580365e-08,0.798276332799567
"TCGA.G3.A25S.01A",3.01444896983966e-08,0.00363310803436505,5.24492377126955e-09,0.032570239138917,0.00406093621230894,2.44404619760487e-09,0.959735678780949
"TCGA.NI.A4U2.01A",4.95432231912561e-08,0.0368872052134683,3.2295624650227e-06,0.00463670896277575,3.14247289228355e-06,1.34527532366853e-06,0.958468318969852
"TCGA.RC.A7SK.01A",1.78017588231658e-05,0.0202421325493272,0.00412629174994939,0.00724126445846496,3.60375984331206e-08,0.00379064603736746,0.964581827408469
"TCGA.DD.AADS.01A",3.77033121575965e-09,0.0076624572728341,3.29613410955969e-10,0.0304239563839175,0.0193305757588693,2.02843391199637e-05,0.942562722145315
"TCGA.DD.A73F.01A",4.94942014868052e-06,0.0167779114235474,1.74470910388152e-09,0.0438962980138552,0.0305364228826333,1.44749948708852e-08,0.908784402040112
"TCGA.DD.A11C.01A",2.02701142112887e-09,0.0787301434833351,0.00282779225521042,0.013793230867113,5.74502836982215e-08,0.0070889818482698,0.897559792068777
"TCGA.FV.A23B.01A",1.34054548361239e-08,0.0327355362802154,5.70195069208346e-10,0.0146815632677105,4.85268655383321e-05,0.00916687478055698,0.943367484830329
"TCGA.DD.AADD.01A",1.04903087120342e-07,0.0150145193425537,6.75714667830493e-09,0.0195931776454341,0.0036904812218743,0.00208930555049074,0.959612404579413
"TCGA.DD.AACO.01A",1.07895453334192e-09,0.0204991639887399,1.25253183333277e-09,0.0163641364130111,0.00497193629396067,0.00873419277266245,0.94943056820014
"TCGA.RC.A6M3.01A",0.00556055453581246,0.0164382762950474,6.95074454327143e-10,0.0148555323310634,0.00274243159388994,2.09371304505218e-07,0.960402995177808
"TCGA.DD.AAED.01A",7.43676803815946e-09,0.00292628564411787,1.00777591291623e-09,0.00624210337266061,3.84534270058871e-05,0.0047354933548826,0.986057655756789
"TCGA.BC.A10X.01A",2.56557481254164e-09,0.0172839065504996,0.0243492114931478,0.0283876003228158,0.00227107762019247,0.000254837123582957,0.927453364324187
