"","cellFractions.B.Cells","cellFractions.Endothelial.Cells","cellFractions.Fibroblasts","cellFractions.Macrophages","cellFractions.NK","cellFractions.T.Cells","cellFractions.otherCells"
"TCGA.AA.3949.01A",0.0130268762311125,0.0237411401425851,0.104966272825811,0.0658713953491822,0.0347315361397174,0.0323540326645601,0.725308746647031
"TCGA.DM.A1D9.01A",3.65833600360776e-07,0.00489721830799282,0.0326587419646841,0.00494417699903559,4.21178067798457e-09,0.00182340411030044,0.955676088572606
"TCGA.D5.6930.01A",0.0658304070180346,0.061113979167505,0.082237943437968,0.0216131179881102,0.00481166831902124,0.0239163880485379,0.740476496020823
"TCGA.AA.3980.01A",0.000843722448669875,0.00829585156146424,0.0234624155134781,0.0261486624188392,0.0183883331295042,0.00619438250125398,0.91666663242679
"TCGA.CA.5797.01A",0.0066844715759788,0.0807563906473446,0.0702208511783312,0.010726244187391,1.53591368236693e-09,0.0197965666026356,0.811815474272405
"TCGA.AA.3494.01A",0.0035017045730145,0.0355605550598813,0.0190117414913934,0.00853108891954162,3.69868931128404e-09,0.0192667778178656,0.914128128439614
"TCGA.D5.6531.01A",3.47710917488814e-08,0.0189581767740503,0.0474903306275701,0.0248751782450925,0.00847355161009209,0.000500763073887491,0.899701964898216
"TCGA.AZ.4615.01A",5.69130410923831e-06,2.12653292763782e-08,0.097227975421231,0.0431408626303813,0.0465804541244819,1.84166093069943e-08,0.813044976837858
"TCGA.A6.5656.01B",1.95549495645961e-08,2.15738927900139e-09,0.250637987577693,0.000365267558799979,8.59598311368809e-05,8.32369098866479e-06,0.748902439629043
"TCGA.A6.2684.01A.1",2.19333293632283e-07,0.219707736220599,0.13204616311711,0.0385115576755408,1.32356312117302e-08,0.0481072081113185,0.561627102306508
"TCGA.CM.4743.01A",0.00616730236051266,0.0329991949797104,0.0204861753071405,0.00500554022246108,5.91352504349683e-08,0.0189339082498999,0.916407819745025
"TCGA.AA.A01K.01A",0.0200840563347203,0.0208674322107956,0.0908890558738434,0.0117627249161689,1.66295136081331e-09,0.013968199540203,0.842428529461317
"TCGA.NH.A50U.01A",1.70928245492918e-08,0.0413564595891579,0.0353987841484406,0.0109467194804499,6.10873658910992e-10,0.00366725643362559,0.908630762644628
"TCGA.D5.6928.01A",0.200008497193532,6.03568427707317e-06,0.195246209133851,0.123496203823363,0.14935948432928,0.0378338304722813,0.294049739363416
"TCGA.DM.A28K.01A",0.00267771626734771,0.0293378117242945,0.0107117494101468,0.00932692681068489,1.3117194443063e-08,0.00616015623777299,0.941785626432559
"TCGA.AY.6196.01A",0.156245004612872,0.0581085438856523,0.540312028656644,0.148678626429697,3.11387805791553e-07,0.0966554790483221,5.97900720131141e-09
"TCGA.CM.5344.01A",3.07645380991097e-06,0.0389771207746458,0.158398953356814,0.0067012023203336,9.41193154502629e-09,0.00270967708487883,0.793209960597586
"TCGA.G4.6309.01A",0.00482492131975444,0.0192402697125818,0.0274874259230566,0.0110119654307422,7.91178254907828e-09,0.0181007599722152,0.919334649729867
"TCGA.CM.6165.01A",5.42820813456278e-08,0.0168406502953181,0.112192541200327,0.0178958229455021,1.09042750352612e-08,0.00415452309804426,0.848916397274452
"TCGA.AY.5543.01A",0.00747204346537407,0.00695021333148725,0.0119086706697303,0.00863134524629413,0.00179191893841981,0.011613786052175,0.951632022296519
"TCGA.CM.6167.01A",5.98336626652596e-07,0.368825555177386,0.631110255120586,3.49077542179198e-08,5.016399380575e-06,5.85394576135267e-05,6.00652470139464e-10
"TCGA.AA.3664.01A",0.00138169455487221,0.00751758846028054,0.0179700107228394,0.0108029182928212,0.000512940381393187,0.00943470481234724,0.952380142775446
"TCGA.AZ.4313.01A",4.01286805893133e-08,0.039385086451914,0.0138020992548876,0.00651997834281877,5.57458846072533e-09,0.012873855322043,0.927418934925068
"TCGA.AA.3530.01A",0.0278167032202206,0.00718060027107609,0.0190538490680417,0.0183065073206797,2.22052338994274e-08,0.0164097639449594,0.911232553969789
"TCGA.AA.3877.01A",2.26773472840025e-08,0.018443977353635,0.103617167977884,0.0272753693528665,0.000652549850631492,0.0116532596289161,0.838357653158719
"TCGA.D5.6535.01A",0.0194828616992111,0.00373444527154592,0.043326969629343,0.0141207205309206,0.0044587732181267,0.000393632142836802,0.914482597508016
