,B Cells_marker_mean,CAFs_marker_mean,CD4 T_marker_mean,CD8 T_marker_mean,DC_marker_mean,Endothelial Cells_marker_mean,Macrophages_marker_mean,Mast Cells_marker_mean,Monocytes_marker_mean,Myofibroblasts_marker_mean,NK_marker_mean,Neutrophils_marker_mean,Cancer Cells_marker_mean
TCGA-76-4926-01B,2.647,54.449,25.798,1.000,5.001,85.752,582.862,1.000,1.000,41.152,3.405,5.713,1.000
TCGA-14-0790-01B,3.844,513.098,17.226,1.281,1.932,88.725,219.666,1.000,1.000,43.010,10.173,3.258,1.000
TCGA-06-5858-01A,5.230,102.901,64.332,1.000,8.451,220.470,982.381,1.000,1.000,114.879,4.173,14.965,1.859
TCGA-26-5135-01A,3.879,199.310,62.069,1.622,8.113,241.624,838.041,1.228,1.263,144.258,24.422,9.768,2.485
TCGA-27-1834-01A,3.650,119.519,75.277,6.916,18.753,59.314,849.152,1.000,1.355,36.996,14.658,14.504,1.000
TCGA-06-0129-01A,3.055,67.803,92.558,1.499,21.464,83.165,1959.020,1.000,1.000,11.106,10.564,20.609,1.000
TCGA-41-3915-01A,3.895,151.626,76.792,8.350,9.698,164.915,2078.363,12.831,3.368,182.587,17.291,30.570,2.841
TCGA-06-2562-01A,4.550,127.781,53.085,1.000,5.783,126.296,700.268,1.000,4.556,111.264,12.551,11.301,1.299
TCGA-28-1747-01C,3.305,100.617,80.951,2.927,11.033,93.414,983.388,1.000,1.000,22.364,9.437,16.112,1.000
TCGA-06-2563-01A,4.815,508.484,39.247,3.671,7.867,159.188,438.708,1.000,1.336,49.825,11.863,10.911,1.392
TCGA-28-5216-01A,4.424,134.734,40.591,2.502,5.343,104.262,856.865,1.000,1.000,186.353,9.041,5.541,1.105
TCGA-28-2509-01A,4.487,40.537,53.938,1.524,4.168,40.799,830.926,36.336,1.595,112.769,11.804,6.667,1.364
TCGA-19-2625-01A,3.738,21.104,22.135,1.000,1.675,48.331,689.585,1.000,1.000,288.875,5.672,6.837,1.000
TCGA-02-2483-01A,2.367,131.105,41.008,1.535,8.347,165.318,1009.429,1.000,1.257,54.015,24.524,8.882,1.000
TCGA-15-0742-01A,5.244,212.766,16.126,1.000,2.314,141.036,405.984,1.000,1.000,80.909,6.509,5.914,1.031
TCGA-06-5413-01A,7.475,207.978,81.435,6.925,14.788,187.864,1789.173,11.988,7.374,135.471,32.587,18.895,3.929
TCGA-06-0125-01A,3.455,174.256,25.315,1.221,3.468,159.201,285.066,1.000,1.416,89.347,3.765,8.617,1.000
TCGA-26-1442-01A,2.109,19.112,30.679,1.000,9.097,64.129,287.580,2.705,1.000,57.095,2.886,8.608,1.000
TCGA-06-0646-01A,4.810,144.933,75.318,1.247,11.025,112.216,1082.417,11.855,3.258,125.136,14.710,19.586,1.000
TCGA-12-5295-01A,2.413,141.090,70.881,5.225,10.168,163.648,1826.758,1.000,1.000,22.690,12.612,10.337,1.000
TCGA-41-4097-01A,5.178,79.990,55.608,4.425,13.702,122.052,1133.344,1.000,2.129,106.786,16.146,22.254,5.437
TCGA-06-5418-01A,3.769,61.244,44.396,1.000,7.317,63.740,873.192,1.000,2.196,57.400,5.903,18.108,1.000
TCGA-19-4065-01A,5.756,81.713,83.983,4.561,12.437,47.093,1366.203,19.319,2.014,34.360,14.592,14.471,1.000
TCGA-06-0168-01A,3.528,85.151,79.079,2.513,7.846,178.316,2116.167,3.378,2.765,99.061,20.592,11.592,2.263
TCGA-06-0190-01A,5.027,217.933,76.612,4.324,9.873,122.985,1525.611,1.000,7.125,249.096,22.374,27.884,4.826
TCGA-19-5960-01A,2.299,114.031,20.471,1.000,4.313,39.581,342.425,1.000,1.000,23.455,10.074,3.590,1.232
TCGA-06-5414-01A,3.089,125.430,63.000,1.333,6.442,139.767,1313.974,1.000,3.872,50.029,12.697,15.378,1.000
TCGA-32-1982-01A,4.301,268.987,61.361,7.987,7.694,530.674,1080.989,1.000,1.027,101.439,31.201,32.090,1.256
TCGA-06-0645-01A,3.833,154.532,136.928,1.956,17.555,227.930,3267.113,5.144,4.750,118.226,20.850,23.363,1.453
TCGA-19-2629-01A,1.523,338.424,81.541,1.517,6.450,135.888,1497.713,1.000,1.000,38.909,18.300,10.624,1.000
TCGA-06-0174-01A,3.125,240.894,34.371,1.774,5.114,181.788,703.013,1.000,1.000,80.869,5.290,7.755,1.164
TCGA-32-4213-01A,3.945,150.864,78.728,4.434,10.691,248.394,2703.164,2.583,2.720,135.891,11.414,11.629,2.285
TCGA-12-0821-01A,2.741,65.243,25.816,1.527,3.012,205.975,504.313,21.996,1.019,75.885,10.484,4.445,1.679
TCGA-76-4928-01B,4.637,68.985,39.795,1.000,8.716,137.885,1058.677,1.000,1.352,140.596,14.939,10.040,53.243
TCGA-02-2485-01A,4.163,45.936,32.385,4.189,3.352,128.509,500.317,1.000,1.000,34.432,29.879,3.865,1.451
TCGA-06-0138-01A,3.295,94.830,55.392,2.697,10.484,160.262,1180.173,1.000,1.996,53.559,13.529,19.074,1.000
TCGA-15-1444-01A,1.549,77.464,79.074,1.000,6.583,131.652,1050.843,1.000,1.000,38.803,6.249,18.816,1.000
TCGA-06-0750-01A,5.874,119.446,49.000,2.280,5.535,178.282,1051.369,1.960,4.633,218.776,17.577,15.928,2.545
TCGA-27-2526-01A,4.068,41.500,26.617,11.621,3.532,111.174,641.795,1.000,1.000,20.041,33.128,2.594,1.000
TCGA-27-2528-01A,3.475,405.310,23.614,1.118,2.633,251.515,219.916,1.438,1.000,160.925,2.909,2.234,2.759
TCGA-06-2564-01A,3.263,102.600,59.488,1.923,13.567,123.872,802.811,1.000,1.000,71.488,6.117,17.977,1.000
TCGA-06-0130-01A,10.988,426.525,129.144,29.515,36.955,59.511,2935.412,1.448,11.317,257.118,110.856,34.489,3.156
TCGA-06-2567-01A,4.218,44.853,84.847,2.880,10.949,117.457,946.066,1.000,8.014,65.264,37.020,43.703,1.800
TCGA-12-0619-01A,5.572,74.243,101.841,3.429,6.327,125.716,1720.573,1.000,2.368,38.477,12.899,23.675,3.186
TCGA-19-2620-01A,1.895,76.421,22.040,2.148,4.320,119.964,430.005,1.000,1.000,66.685,3.539,11.516,1.000
TCGA-28-5215-01A,6.061,242.011,66.737,5.576,8.547,133.468,1522.345,1.000,1.190,104.230,10.017,11.621,1.371
TCGA-06-0878-01A,3.793,197.106,71.239,2.436,7.485,93.925,775.294,1.000,7.101,110.247,8.607,17.034,3.032
TCGA-26-5134-01A,5.804,252.502,36.078,2.142,4.241,72.824,691.941,1.526,1.000,50.044,13.321,4.446,1.032
TCGA-26-5136-01B,5.850,69.042,58.177,3.489,9.200,78.354,1112.362,1.000,1.455,47.189,22.748,12.610,1.962
TCGA-14-0871-01A,14.534,233.490,13.356,3.626,1.275,65.265,189.659,1.000,1.848,39.935,6.343,2.850,16.077
TCGA-27-2523-01A,3.606,303.604,32.791,5.783,6.931,89.405,579.595,1.000,1.000,50.598,4.802,3.640,1.000
TCGA-06-5410-01A,3.753,90.519,201.116,1.197,35.091,144.036,4971.309,1.000,24.416,68.837,27.032,44.034,1.361
TCGA-CV-5442-01A,2.386,8.869,5.841,1.187,1.616,12.571,27.512,2.109,1.000,8.303,5.329,1.065,75.220
TCGA-CR-7392-01A,93.146,1116.517,105.554,27.808,13.699,181.472,392.220,109.333,8.697,122.737,57.487,15.454,309.194
TCGA-UF-A71A-01A,6.066,208.152,89.899,1.000,4.443,100.307,121.261,8.786,1.066,335.147,3.552,1.000,1589.779
TCGA-CN-A642-01A,8.217,104.668,22.725,19.065,4.739,61.539,526.329,50.997,1.000,44.441,89.850,1.303,110.153
TCGA-CV-A45U-01A,11.530,169.287,20.397,16.009,5.245,21.509,134.907,26.539,1.000,43.772,43.800,1.000,292.338
TCGA-CN-6012-01A,91.538,290.630,40.007,12.453,7.278,184.373,442.999,12.045,3.047,60.535,67.319,6.576,2364.263
TCGA-CV-A45W-01A,269.529,379.271,53.643,28.168,15.010,150.287,482.879,31.474,7.895,80.075,90.116,4.276,2642.524
TCGA-CV-A6K0-01B,13.683,710.627,65.113,21.093,33.702,94.412,266.368,18.164,3.496,111.770,77.537,3.802,59.073
TCGA-QK-A6VB-01A,7.590,168.936,9.591,1.017,1.000,64.406,54.676,1.292,1.000,62.308,4.347,1.000,2251.385
TCGA-CV-6959-01A,16.259,277.206,64.936,6.591,8.434,93.077,244.674,24.093,8.551,78.804,18.182,10.016,183.579
TCGA-HD-7832-01A,5.581,130.009,33.082,6.329,1.616,33.718,464.511,2.914,1.000,33.847,34.708,1.000,126.495
TCGA-CV-7255-01A,2.177,160.872,6.195,1.000,1.000,53.403,22.149,8.209,1.000,32.291,2.693,1.026,462.681
TCGA-CR-5243-01A,67.288,283.011,61.565,22.629,7.930,126.725,133.171,53.997,1.088,146.678,68.262,1.090,1105.156
TCGA-P3-A6T5-01A,6.989,288.743,15.280,2.056,2.530,55.949,98.427,12.555,1.504,75.714,9.227,1.371,49.688
TCGA-CV-6952-01A,9.245,299.243,28.454,6.937,4.497,41.421,178.562,13.415,3.182,18.385,23.522,1.521,64.738
TCGA-D6-A6ES-01A,3.045,25.800,3.183,1.080,3.106,26.525,66.586,12.891,1.000,40.273,9.239,1.000,91.734
TCGA-CN-5366-01A,6.113,243.117,46.330,13.233,3.818,81.236,322.224,19.044,2.008,92.373,49.517,1.569,653.639
TCGA-CQ-6223-01A,10.319,122.561,20.810,3.860,3.497,22.768,131.566,52.827,2.168,20.501,12.561,1.826,17.706
TCGA-F7-7848-01A,47.810,331.789,52.684,15.829,18.013,130.817,279.536,20.004,5.757,48.430,54.935,14.279,892.804
TCGA-CV-A6JM-01A,18.189,142.236,5.092,1.365,1.000,33.296,151.164,13.485,1.342,135.836,11.612,1.000,826.098
TCGA-CN-5359-01A,16.273,1039.153,157.966,31.379,16.466,178.083,654.877,37.227,17.813,125.427,68.362,42.426,115.120
TCGA-P3-A5QA-01A,11.264,622.533,126.134,1.604,1.714,32.202,15.481,3.932,1.000,991.477,6.534,1.000,456.250
TCGA-CN-4734-01A,5.896,230.413,40.351,27.148,6.686,69.715,222.274,32.491,5.128,48.309,71.641,1.791,125.183
TCGA-CV-6441-01A,3.953,13.040,7.258,1.123,2.065,15.427,107.182,6.218,1.000,19.177,5.121,1.000,2099.764
TCGA-CV-A6JY-01A,10.558,63.985,7.366,1.648,2.048,60.166,40.721,42.558,1.000,11.747,5.398,1.940,41.780
TCGA-D6-6825-01A,9.233,392.070,71.592,33.855,23.235,112.567,512.095,34.000,3.069,49.565,83.806,13.427,190.628
TCGA-CR-5247-01A,7.479,746.309,17.024,1.000,1.000,63.727,30.220,23.693,1.000,264.416,1.242,1.000,731.008
TCGA-CV-7410-01A,169.988,465.170,110.697,24.303,42.717,143.899,412.326,22.924,2.290,93.482,59.630,2.446,16.899
TCGA-CV-7091-01A,5.370,298.862,30.753,8.346,3.708,58.898,111.264,21.717,1.317,118.954,21.012,1.783,271.099
TCGA-BA-5153-01A,59.583,146.225,62.062,55.552,8.693,133.708,290.962,32.547,1.209,67.983,171.915,1.540,1804.665
TCGA-CV-7428-01A,6.775,196.009,32.946,16.651,8.792,59.037,297.366,14.144,3.236,74.337,64.287,2.256,267.174
TCGA-CX-7086-01A,9.809,59.233,14.984,4.428,5.369,64.092,125.918,7.007,1.123,17.463,12.243,4.487,113.147
TCGA-CN-5364-01A,2.722,208.948,30.450,1.789,12.821,74.807,283.429,17.623,1.000,36.372,20.400,1.340,547.537
TCGA-BA-A6DB-01A,18.856,539.182,45.249,29.502,31.231,59.713,289.196,119.743,4.224,64.965,137.024,2.213,42.424
TCGA-CQ-5325-01A,122.301,522.179,106.548,46.273,30.875,110.106,989.124,54.281,6.689,49.558,137.254,3.606,88.233
TCGA-CN-4731-01A,6.931,144.018,9.817,15.803,2.840,22.246,55.464,12.519,1.000,107.009,10.882,1.570,1484.028
TCGA-CV-7427-01A,3.300,72.898,59.350,19.781,17.408,51.042,464.689,22.133,1.239,23.710,89.005,2.565,37.993
TCGA-CR-6467-01A,119.009,48.411,95.365,86.593,29.046,87.734,366.764,34.905,2.734,52.733,235.000,2.116,2467.156
TCGA-CV-7183-01A,1.971,145.557,7.761,1.594,1.504,101.109,16.333,6.700,1.000,22.186,4.797,1.000,30.413
TCGA-CV-A6JN-01A,5.048,122.798,10.248,3.953,4.963,32.137,164.452,11.937,1.099,19.003,18.702,2.585,50.125
TCGA-D6-A6EN-01A,8.360,55.392,26.805,41.470,10.613,42.951,1215.165,17.285,1.873,26.590,466.423,3.638,657.492
TCGA-CQ-A4C7-01A,7.419,614.163,24.489,3.708,2.394,89.304,220.477,2.831,1.405,141.246,25.940,1.566,304.108
TCGA-CV-5435-01A,7.442,420.644,82.776,1.128,2.702,86.236,77.371,20.923,1.000,306.559,10.876,1.000,1876.214
TCGA-CR-7370-01A,21.846,415.577,28.121,11.356,4.926,115.889,218.796,26.452,1.987,77.833,36.472,2.648,1750.194
TCGA-CN-4722-01A,24.486,432.760,14.747,4.234,5.323,133.485,58.969,12.452,2.220,86.287,12.691,1.000,50.366
TCGA-F7-8489-01A,20.402,314.155,68.778,17.720,15.569,88.535,258.435,22.162,1.000,42.350,56.264,3.237,419.054
TCGA-CV-A6K2-01A,3.680,174.848,31.766,4.314,4.784,21.625,245.733,8.637,1.394,21.010,35.666,6.133,43.066
TCGA-HD-8634-01A,3.640,110.837,15.934,2.561,5.382,43.556,52.010,10.769,1.248,8.218,9.303,1.805,55.117
TCGA-CN-6994-01A,5.504,708.376,36.897,3.567,8.833,60.977,248.512,29.706,2.405,90.016,18.134,1.759,133.105
TCGA-D6-A4Z9-01A,9.361,262.503,49.537,2.601,6.985,52.695,129.431,23.816,3.310,36.385,16.140,4.419,111.768
TCGA-CR-7376-01A,35.531,2790.718,166.262,44.211,31.277,184.896,1098.407,122.272,17.731,196.298,153.514,7.758,45.923
TCGA-CR-7391-01A,27.552,550.585,56.843,25.788,27.785,151.837,248.720,107.991,8.729,82.223,69.252,10.778,70.804
TCGA-T2-A6X2-01A,3.486,228.953,23.259,12.517,4.079,45.841,306.278,3.571,1.000,60.705,58.657,1.000,33.971
TCGA-BA-4074-01A,9.299,127.115,90.956,1.055,3.673,27.460,88.849,4.282,1.161,233.255,5.129,4.876,389.621
TCGA-CN-6022-01A,12.645,434.719,79.325,2.322,15.776,121.904,705.272,39.737,6.738,358.993,21.207,5.517,553.308
TCGA-CN-A6V3-01A,33.417,106.924,27.513,17.058,5.094,34.118,172.078,11.922,1.997,32.961,36.755,1.611,270.939
TCGA-QK-A8Z7-01A,20.308,171.249,13.359,6.345,2.093,75.514,49.003,24.478,1.000,78.945,7.497,1.003,1067.807
TCGA-CN-A497-01A,24.859,391.044,32.059,3.923,5.312,109.408,123.707,53.521,8.640,53.311,17.738,4.233,1761.751
TCGA-F7-A50G-01A,8.266,178.707,29.633,13.790,13.975,48.198,278.177,38.562,1.180,19.939,49.207,4.544,34.163
TCGA-IQ-A61I-01A,36.869,19.055,16.123,8.913,3.416,48.549,278.785,6.114,1.693,21.713,60.687,5.255,741.035
TCGA-CR-7373-01A,30.540,148.698,74.442,15.256,7.654,64.721,573.241,13.961,13.612,47.201,83.223,1.935,158.453
TCGA-CN-A63T-01A,21.967,253.295,53.127,9.899,5.527,75.469,374.466,11.562,23.362,58.006,56.726,5.955,531.223
TCGA-CN-6019-01A,20.750,2054.369,110.715,16.419,16.360,190.310,704.563,71.128,10.711,344.745,68.194,8.344,486.363
TCGA-CR-7386-01A,8.044,1609.541,89.448,13.169,13.928,111.710,696.821,64.241,4.057,165.525,65.418,5.168,11.621
TCGA-HD-A6HZ-01A,48.023,391.359,119.314,7.928,16.908,139.368,316.032,49.952,7.941,56.411,31.906,12.159,271.815
TCGA-QK-A6IH-01A,3.788,162.163,13.664,1.736,1.365,26.458,145.220,2.546,1.000,63.374,10.075,1.000,80.421
TCGA-CN-6011-01A,4.038,92.312,75.269,7.127,3.273,54.063,381.506,4.922,3.783,82.464,53.897,3.914,122.793
TCGA-CR-6474-01A,15.801,1855.831,105.316,5.021,7.751,191.109,206.599,97.762,11.132,191.342,20.250,20.130,118.770
TCGA-CV-6939-01A,40.687,457.496,80.163,24.931,15.108,158.419,308.604,76.117,7.900,154.698,69.164,3.668,1285.832
TCGA-D6-8568-01A,25.301,1009.579,126.887,3.801,5.419,162.211,149.037,39.042,20.520,111.102,14.435,34.422,348.966
TCGA-HD-A634-01A,32.766,14.666,2.496,1.000,1.000,78.421,43.386,1.000,2.231,28.190,3.512,1.015,540.448
TCGA-CV-A45O-01A,1.000,36.294,7.996,4.130,2.980,22.360,121.321,2.021,1.062,11.909,11.114,7.164,10.695
TCGA-T3-A92N-01A,9.470,102.177,19.555,6.633,2.760,32.325,284.379,4.772,1.000,25.049,54.269,1.685,2747.444
TCGA-CV-7438-01A,24.354,634.171,41.919,2.597,5.806,67.968,247.146,9.318,2.218,194.679,15.848,1.164,410.812
TCGA-CV-A6K1-01A,12.212,120.767,7.400,3.889,1.713,69.328,219.689,13.604,2.699,97.067,38.006,1.000,362.106
TCGA-CN-5363-01A,20.100,386.311,54.458,17.304,5.980,115.306,502.336,8.252,2.677,99.410,65.050,2.394,117.003
TCGA-CV-6956-01A,3.203,136.039,4.907,1.000,1.000,44.583,12.138,1.956,1.000,46.246,1.000,1.000,156.808
TCGA-CV-7263-01A,30.287,649.959,52.084,5.849,11.367,122.237,227.622,59.060,3.862,126.920,34.247,2.914,105.287
TCGA-CN-A49C-01A,17.375,51.587,15.795,4.947,8.379,50.032,161.101,14.637,1.000,24.891,28.629,1.325,537.697
TCGA-CV-7097-01A,11.060,549.193,73.141,3.999,4.183,80.236,772.378,14.208,16.587,135.313,38.043,2.688,156.895
TCGA-IQ-A6SG-01A,3.963,101.481,14.315,1.608,1.564,46.590,59.427,11.229,2.990,42.534,5.660,2.695,142.292
TCGA-UF-A7JC-01A,2.116,198.139,10.576,1.000,1.260,41.948,29.797,3.745,1.000,25.495,2.675,1.000,291.137
TCGA-QK-A6II-01A,1.377,14.519,5.038,1.306,2.179,24.748,75.606,4.317,1.000,10.308,15.388,1.000,266.913
TCGA-CN-A49B-01A,6.546,127.441,51.660,16.351,8.075,52.361,1021.151,12.669,2.116,53.118,53.398,2.857,1307.803
TCGA-IQ-A61E-01A,9.374,158.220,25.894,8.781,2.051,32.861,253.061,17.073,4.102,59.258,35.893,1.000,57.648
TCGA-BA-A4IH-01A,37.713,173.680,31.604,25.072,4.832,158.978,220.347,5.543,1.158,79.573,44.417,1.000,431.739
TCGA-H7-8502-01A,3.215,260.482,43.287,2.535,2.647,96.756,248.023,2.654,3.388,53.071,9.177,5.748,163.794
TCGA-CV-7406-01A,4.948,445.021,17.200,1.367,7.470,162.120,55.749,34.540,4.938,156.167,5.007,1.566,2619.007
TCGA-CV-7414-01A,3.356,248.615,14.559,2.362,3.450,84.918,81.070,45.612,1.000,89.589,47.860,1.000,2408.601
TCGA-HD-7229-01A,21.663,59.493,41.136,14.876,2.382,32.800,168.369,23.253,1.213,18.137,43.947,2.927,407.333
TCGA-CV-6961-01A,6.661,355.860,27.279,7.194,6.126,106.078,142.989,6.106,14.797,79.587,24.070,12.423,1410.551
TCGA-TN-A7HI-01A,216.125,173.930,27.259,22.058,8.406,68.816,402.592,100.577,3.021,133.961,162.002,2.480,2593.085
TCGA-CQ-5333-01A,12.180,44.660,97.255,22.673,18.490,51.152,2899.705,19.376,1.000,71.402,128.367,7.241,280.866
TCGA-CN-4733-01A,269.345,879.817,144.648,66.519,33.612,204.693,773.436,150.846,10.949,102.219,177.605,6.986,122.904
TCGA-CR-6488-01A,4.707,617.724,60.684,7.311,14.529,106.131,388.059,115.629,2.564,108.328,24.595,5.952,144.744
TCGA-BB-4225-01A,66.548,43.676,74.386,46.684,9.478,53.111,346.509,14.459,2.064,68.991,127.621,1.004,2378.174
TCGA-BA-A4IG-01A,34.903,92.211,30.634,8.601,11.293,40.484,92.588,7.504,1.468,21.597,24.972,1.000,1429.605
TCGA-CR-7393-01A,25.185,694.257,121.187,23.558,56.468,157.094,314.188,174.653,6.813,72.768,80.568,7.884,69.913
TCGA-T2-A6X0-01A,55.255,130.153,49.123,32.505,6.664,100.080,413.167,46.084,1.082,44.405,60.040,1.453,2944.680
TCGA-F7-A623-01A,19.599,124.743,20.804,6.089,4.330,59.497,118.149,9.798,4.769,52.550,20.682,5.874,46.009
TCGA-IQ-7632-01A,28.537,46.284,12.675,2.099,1.049,35.200,21.792,10.389,1.000,35.208,6.194,1.356,404.119
TCGA-QK-A652-01A,8.143,494.186,31.543,7.878,17.067,65.581,183.717,35.012,2.763,101.789,26.327,4.880,31.423
TCGA-CR-7388-01A,158.177,521.523,74.269,12.132,18.139,156.851,165.853,135.021,18.869,97.050,51.004,39.307,504.109
TCGA-BA-A6DG-01A,10.393,888.010,47.724,6.465,4.327,142.232,297.324,5.625,5.332,242.100,18.778,16.139,265.483
TCGA-UF-A7JT-01A,26.265,169.787,42.035,47.250,7.475,63.600,1439.726,2.180,9.695,53.088,292.769,4.418,144.350
TCGA-CN-A6V6-01A,84.751,182.007,48.207,65.725,13.164,60.479,515.935,53.551,1.696,50.388,129.304,3.377,3522.868
TCGA-CR-6473-01A,18.482,54.845,18.189,5.471,2.885,91.756,22.134,13.584,1.135,54.449,20.433,1.000,832.090
TCGA-CQ-7069-01A,4.238,404.369,48.566,2.040,2.367,148.566,47.503,29.611,6.971,73.096,6.510,3.463,38.681
TCGA-CQ-6219-01A,7.421,573.477,57.292,23.313,13.815,62.853,822.609,66.188,1.500,83.652,143.228,3.654,141.669
TCGA-IQ-A6SH-01A,12.232,166.659,27.080,6.966,3.203,55.616,271.807,20.020,4.128,47.334,53.710,1.031,142.817
TCGA-IQ-7631-01A,6.718,358.672,11.391,1.000,1.000,153.668,19.479,13.536,1.000,116.313,1.267,1.562,336.438
TCGA-CR-7398-01A,6.428,721.514,77.058,3.926,5.498,94.732,126.018,192.471,11.672,126.791,11.407,10.620,2904.611
TCGA-UF-A71E-01A,12.226,241.092,5.618,1.000,1.278,43.705,34.759,4.126,1.829,64.250,6.130,1.000,607.463
TCGA-UF-A719-01A,6.524,61.596,10.241,3.445,1.409,42.173,82.226,2.715,2.526,48.302,16.149,1.000,477.527
TCGA-CN-6023-01A,45.221,91.297,65.256,65.213,13.978,97.053,853.451,87.167,2.485,26.153,216.053,3.004,4559.278
TCGA-CV-7422-01A,17.185,201.569,27.291,7.625,6.000,98.511,190.725,25.687,2.969,68.932,27.330,2.137,493.756
TCGA-CX-A4AQ-01A,127.426,137.597,67.955,17.033,32.125,122.775,365.869,4.810,4.967,142.428,68.033,3.211,488.257
TCGA-CQ-5330-01A,8.980,779.531,112.949,16.986,20.420,192.419,1364.856,14.252,7.624,249.004,73.033,6.204,193.697
TCGA-P3-A6T3-01A,2.010,156.378,8.754,1.000,1.000,10.732,38.653,1.323,1.000,32.171,2.444,1.000,80.490
TCGA-HD-A6I0-01A,4.700,49.868,9.177,5.128,1.756,38.915,325.947,19.303,3.292,63.899,63.152,1.000,177.393
TCGA-CV-6950-01A,7.746,424.533,17.266,5.200,2.857,80.262,178.215,8.771,2.173,89.784,21.276,1.352,222.624
TCGA-CR-7380-01A,14.069,266.554,55.223,5.581,14.061,116.920,214.099,57.588,2.730,107.043,18.154,2.966,61.268
TCGA-DQ-7588-01A,4.253,152.950,6.818,1.000,1.000,20.852,2.767,1.768,1.000,9.866,1.733,1.000,146.883
TCGA-BA-6873-01A,11.108,411.880,62.798,9.455,6.136,69.583,206.702,5.625,1.000,37.005,31.292,1.051,207.557
TCGA-CR-6472-01A,15.706,247.452,11.488,4.463,4.148,70.372,36.192,31.930,1.000,66.188,31.606,1.000,5777.324
TCGA-UF-A7JH-01A,10.346,595.010,27.211,7.250,10.619,111.440,384.478,6.778,1.347,132.584,37.344,2.038,225.815
TCGA-BA-4077-01B,11.849,228.707,73.024,17.922,13.844,43.409,411.694,41.405,1.824,115.450,75.627,3.735,1806.927
TCGA-CV-7411-01A,8.362,254.845,13.010,3.418,2.214,63.817,60.213,14.158,1.000,47.031,8.278,1.000,18.827
TCGA-MT-A67A-01A,7.045,42.345,3.227,7.202,2.206,30.048,60.888,43.339,1.000,14.673,46.685,1.169,59.673
TCGA-D6-6826-01A,15.318,433.833,101.104,9.342,16.529,109.235,743.693,27.482,18.122,63.037,24.689,37.673,324.432
TCGA-CR-7404-01A,84.401,193.243,72.089,23.630,19.757,107.573,450.330,40.232,5.547,135.728,103.203,6.085,2295.038
TCGA-D6-A6EM-01A,41.453,89.893,23.828,21.254,9.600,58.656,1007.701,31.071,8.167,61.365,168.086,2.629,750.419
TCGA-CR-7379-01A,30.039,375.495,56.675,2.645,3.578,109.968,231.504,34.619,9.200,110.905,14.062,30.241,219.050
TCGA-CV-7236-01A,6.756,335.723,53.811,3.463,5.517,109.200,146.778,8.313,1.502,135.920,14.649,1.000,379.399
TCGA-CN-4727-01A,4.283,220.815,9.242,1.000,1.000,98.560,26.877,4.714,1.818,80.979,1.879,7.058,238.159
TCGA-CQ-5327-01A,8.851,99.227,40.797,24.697,10.778,59.233,847.136,16.406,1.669,30.920,112.952,4.104,68.519
TCGA-C9-A480-01A,3.267,48.634,12.419,6.894,5.263,31.784,61.409,4.215,1.000,31.482,20.189,1.118,135.822
TCGA-CV-A6JO-01B,3.460,70.660,18.737,18.091,4.854,32.225,372.228,8.813,2.037,15.214,96.050,2.073,34.757
TCGA-CR-6492-01A,33.530,197.319,36.503,6.049,7.393,62.707,188.759,39.708,2.793,42.628,22.954,11.743,302.490
TCGA-CV-6933-01A,5.876,222.764,61.193,1.764,6.888,59.925,310.133,5.721,10.104,148.344,7.730,3.493,149.424
TCGA-BA-6872-01A,8.610,357.081,28.675,2.339,1.998,92.027,105.675,79.294,2.721,52.694,8.128,1.833,72.970
TCGA-BB-4223-01A,65.959,35.566,70.716,64.620,21.612,85.230,285.279,20.010,1.939,92.553,105.452,2.592,1817.133
TCGA-UF-A7JJ-01A,110.095,1687.681,91.077,27.153,15.135,78.830,552.617,36.868,4.450,246.569,75.169,9.482,70.745
TCGA-RS-A6TO-01A,6.598,433.699,41.621,11.419,3.401,32.620,472.615,1.323,3.150,148.507,68.880,2.215,439.091
TCGA-CR-7372-01A,9.116,709.464,29.415,3.581,6.267,122.702,90.415,114.242,4.801,75.665,10.766,1.943,57.198
TCGA-D6-6827-01A,10.020,150.007,20.404,4.588,9.148,91.286,96.795,13.123,2.499,57.664,11.406,2.208,188.036
TCGA-CV-7437-01A,6.614,120.281,16.630,1.000,7.634,33.754,132.562,15.014,1.000,33.311,7.310,1.000,1870.687
TCGA-BA-5151-01A,12.926,357.204,55.526,5.227,4.494,123.446,149.705,27.996,10.860,40.842,11.467,26.916,50.520
TCGA-CV-A461-01A,21.854,204.776,47.558,59.244,19.876,42.279,643.767,107.925,3.736,107.714,211.816,1.751,388.959
TCGA-BA-5559-01A,66.654,403.874,120.881,96.008,33.994,125.634,1204.102,49.182,5.880,82.174,250.371,8.543,1095.505
TCGA-CN-4723-01A,33.763,497.573,68.682,10.443,8.490,96.562,320.822,28.488,4.487,112.671,26.137,4.530,1042.699
TCGA-F7-A624-01A,71.760,8.169,41.856,84.571,15.841,34.917,1513.588,3.019,8.528,123.010,413.318,3.039,1319.858
TCGA-CV-A463-01A,10.903,50.653,6.025,6.633,2.364,32.479,41.575,12.442,1.000,12.364,16.987,1.000,11.918
TCGA-BB-4228-01A,20.884,128.073,31.697,11.317,6.638,51.882,169.752,34.243,1.223,111.977,39.583,1.396,2224.299
TCGA-CV-6953-01A,39.382,52.549,18.603,5.748,5.254,25.655,111.666,13.525,6.520,10.755,24.537,1.006,26.629
