	0
541	BCL7B
542	BCR
543	BDH2
544	BEGAIN
545	BEND4
546	BEND5
547	BEND7
548	BEX1
549	BEX2
550	BEX4
551	BFSP1
552	BHLHE40
553	BHLHE41
554	BICD1
555	BICD2
556	BID
557	BIK
558	BIN1
559	BIRC3
560	BIRC5
561	BIRC6
562	BIVM
563	BLNK
564	BLOC1S2
565	BLOC1S4
566	BLOC1S6
567	BLVRA
568	BLVRB
569	BMF
570	BMP1
571	BMP8B
572	BMPR1A
573	BMPR2
574	BNC2
575	BNIP1
576	BNIP3
577	BNIP3L
578	BOD1
579	BPGM
580	BRAF
581	BRIP1
582	BRK1
583	BRWD3
584	BSCL2
585	BST2
586	BTAF1
587	BTBD11
588	BTG2
589	BTG3
590	BTK
591	BTLA
592	BTN2A1
593	BTN2A2
594	BTN3A1
595	BTN3A2
596	BTN3A3
597	BTNL9
598	BUB1
599	BUB1B
600	BUB3
601	C11orf24
602	C11orf45
603	C11orf49
604	C11orf54
605	C11orf74
606	C11orf80
607	C11orf96
608	C12orf4
609	C12orf42
610	C12orf45
611	C12orf57
612	C12orf60
613	C12orf75
614	C14orf37
615	C15orf39
616	C15orf48
617	C15orf53
618	C16orf45
619	C16orf52
620	C16orf54
621	C16orf62
622	C16orf70
623	C16orf74
624	C16orf86
625	C16orf95
626	C17orf107
627	C17orf53
628	C17orf99
629	C19orf12
630	C19orf25
631	C19orf38
632	C19orf48
633	C19orf53
634	C19orf66
635	C1QA
636	C1QB
637	C1QBP
638	C1QC
639	C1QTNF1
640	C1QTNF3
641	C1QTNF6
642	C1R
643	C1RL
644	C1S
645	C1orf106
646	C1orf115
647	C1orf122
648	C1orf123
649	C1orf174
650	C1orf198
651	C1orf21
652	C1orf53
653	C1orf54
654	C1orf61
655	C2
656	C20orf194
657	C20orf27
658	C21orf2
659	C21orf58
660	C21orf59
661	C21orf91
662	C2CD2
663	C2CD4D
664	C2CD5
665	C2orf40
666	C2orf69
667	C2orf74
668	C2orf76
669	C2orf81
670	C2orf88
671	C3
672	C3AR1
673	C3orf14
674	C3orf52
675	C3orf58
676	C3orf62
677	C3orf67
678	C4orf46
679	C4orf48
680	C5AR1
681	C5AR2
682	C5orf24
683	C5orf30
684	C5orf34
685	C5orf42
686	C6orf120
687	C6orf132
688	C6orf136
689	C6orf48
690	C6orf62
691	C7orf25
692	C7orf31
693	C8orf33
694	C8orf58
695	C9orf116
696	C9orf16
697	C9orf40
698	C9orf72
699	CA2
700	CA5B
701	CA8
702	CAB39
703	CAB39L
704	CABIN1
705	CABLES1
706	CACNA1D
707	CACNA2D2
708	CACNA2D3
709	CACNB2
710	CACNB3
711	CADM1
712	CADPS
713	CAGE1
714	CALCOCO1
715	CALCRL
716	CALD1
717	CALHM2
718	CALM1
719	CALM3
720	CALU
721	CAMK1
722	CAMK1D
723	CAMK2G
724	CAMK2N1
725	CAMK4
726	CAMKK1
727	CAMLG
728	CAMSAP1
729	CAMSAP2
730	CAND2
731	CAP1
732	CAPG
733	CAPN1
734	CAPN12
735	CAPN2
736	CAPZA1
737	CAPZB
738	CARD11
739	CARD6
740	CARD9
741	CARNS1
742	CARS
743	CARS2
744	CASC3
745	CASC4
746	CASD1
747	CASP1
748	CASP10
749	CASP6
750	CASS4
751	CAT
752	CAV1
753	CAV2
754	CBFA2T3
755	CBL
756	CBLN3
757	CBR1
758	CBR3
759	CBX1
760	CBX2
761	CBX3
762	CBX6
763	CBX7
764	CBY1
765	CC2D2A
766	CCBE1
767	CCDC102A
768	CCDC102B
769	CCDC106
770	CCDC112
771	CCDC115
772	CCDC125
773	CCDC137
774	CCDC149
775	CCDC152
776	CCDC167
777	CCDC170
778	CCDC24
779	CCDC28B
780	CCDC43
781	CCDC50
782	CCDC58
783	CCDC6
784	CCDC65
785	CCDC68
786	CCDC69
787	CCDC74A
788	CCDC80
789	CCDC85C
790	CCDC88A
791	CCDC88B
792	CCDC88C
793	CCDC92
794	CCDC93
795	CCL13
796	CCL18
797	CCL2
798	CCL20
799	CCL23
800	CCL5
801	CCNA2
802	CCNB1
803	CCNB1IP1
804	CCNB2
805	CCNC
806	CCND1
807	CCND2
808	CCND3
809	CCNE1
810	CCNF
811	CCNG1
812	CCNG2
813	CCNI
814	CCNJL
815	CCNL2
816	CCNT2
817	CCNY
818	CCNYL1
819	CCR1
820	CCR10
821	CCR2
822	CCR4
823	CCR5
824	CCR7
825	CCRL2
826	CCSAP
827	CCSER1
828	CCSER2
829	CCT2
830	CCT5
831	CCT6A
832	CCT8
833	CD101
834	CD109
835	CD14
836	CD151
837	CD163
838	CD163L1
839	CD164
840	CD19
841	CD1C
842	CD1E
843	CD2
844	CD200
845	CD200R1
846	CD209
847	CD22
848	CD244
849	CD27
850	CD274
851	CD28
852	CD2AP
853	CD2BP2
854	CD300A
855	CD300C
856	CD300E
857	CD302
858	CD320
859	CD34
860	CD36
861	CD38
862	CD3D
863	CD3E
864	CD4
865	CD40
866	CD40LG
867	CD44
868	CD46
869	CD47
870	CD5
871	CD52
872	CD53
873	CD55
874	CD58
875	CD59
876	CD6
877	CD63
878	CD70
879	CD72
880	CD74
881	CD79A
882	CD79B
883	CD80
884	CD81
885	CD82
886	CD83
887	CD86
888	CD8A
889	CD8B
890	CD9
891	CD93
892	CD96
893	CD99
894	CDADC1
895	CDC14A
896	CDC14B
897	CDC20
898	CDC25A
899	CDC25B
900	CDC25C
901	CDC27
902	CDC37
903	CDC42
904	CDC42BPA
905	CDC42BPB
906	CDC42EP1
907	CDC42EP2
908	CDC42SE1
909	CDC42SE2
910	CDC45
911	CDC6
912	CDCA2
913	CDCA3
914	CDCA5
915	CDCA7
916	CDCA7L
917	CDCA8
918	CDCP1
919	CDH1
920	CDH13
921	CDH23
922	CDH24
923	CDIP1
924	CDK1
925	CDK10
926	CDK14
927	CDK15
928	CDK16
929	CDK18
930	CDK19
931	CDK2AP2
932	CDK4
933	CDK5
934	CDK5R1
935	CDK6
936	CDKL2
937	CDKN1A
938	CDKN1B
939	CDKN1C
940	CDKN2A
941	CDKN2AIP
942	CDKN2B
943	CDKN2C
944	CDKN2D
945	CDR2
946	CDS1
947	CDS2
948	CDT1
949	CDV3
950	CDYL
951	CDYL2
952	CEACAM1
953	CEACAM4
954	CEBPA
955	CEBPB
956	CEBPD
957	CEBPG
958	CELSR1
959	CEND1
960	CENPA
961	CENPE
962	CENPF
963	CENPM
964	CENPP
965	CENPV
966	CENPW
967	CEP112
968	CEP128
969	CEP19
970	CEP55
971	CEP68
972	CEP70
973	CEP85
974	CEPT1
975	CERCAM
976	CERK
977	CERS2
978	CERS4
979	CERS6
980	CES1
981	CES4A
982	CETN2
983	CETP
984	CFB
985	CFD
986	CFDP1
987	CFH
988	CFHR1
989	CFL2
990	CGGBP1
991	CH25H
992	CHAF1A
993	CHAF1B
994	CHCHD1
995	CHCHD10
996	CHCHD2
997	CHCHD3
998	CHCHD6
999	CHD7
1000	CHDH
1001	CHEK1
1002	CHEK2
1003	CHI3L2
1004	CHIC2
1005	CHID1
1006	CHIT1
1007	CHKA
1008	CHML
1009	CHMP1B
1010	CHMP2B
1011	CHMP4C
1012	CHMP6
1013	CHMP7
1014	CHN1
1015	CHN2
1016	CHP1
1017	CHPT1
1018	CHRNA1
1019	CHRNA10
1020	CHRNA5
1021	CHRNA6
1022	CHRNE
1023	CHST15
1024	CHST2
1025	CHST3
1026	CHST7
1027	CHSY1
1028	CHTOP
1029	CIB1
1030	CIB2
1031	CIC
1032	CIITA
1033	CIR1
1034	CIRBP
1035	CISD1
1036	CISD2
1037	CISD3
1038	CISH
1039	CIT
1040	CITED2
1041	CITED4
1042	CKAP2
1043	CKAP2L
1044	CKB
1045	CKM
1046	CKS2
1047	CLASP2
1048	CLCC1
1049	CLCN3
1050	CLCN5
1051	CLCN7
1052	CLDN1
1053	CLDN12
1054	CLDN15
1055	CLDN4
1056	CLDN5
1057	CLDN7
1058	CLDND1
1059	CLDND2
1060	CLEC10A
1061	CLEC11A
1062	CLEC17A
1063	CLEC4A
1064	CLEC5A
1065	CLEC7A
1066	CLIC1
1067	CLIC2
1068	CLIC3
1069	CLIC4
1070	CLIC5
1071	CLIP4
1072	CLK4
1073	CLMN
1074	CLMP
1075	CLN5
1076	CLN6
1077	CLNS1A
1078	CLPB
1079	CLPP
1080	CLPTM1L
1081	CLSTN3
1082	CLTA
1083	CLTB
1084	CLTC
1085	CLTCL1
1086	CLU
1087	CLUAP1
1088	CMAS
1089	CMBL
1090	CMIP
1091	CMKLR1
1092	CMPK1
1093	CMPK2
1094	CMTM2
1095	CMTM3
1096	CMTM4
1097	CMTM6
1098	CMTM7
1099	CMTM8
1100	CNDP2
1101	CNFN
1102	CNIH3
1103	CNKSR1
1104	CNKSR3
1105	CNN3
1106	CNOT1
1107	CNOT6L
1108	CNP
1109	CNPY4
1110	CNR1
1111	CNRIP1
1112	CNST
1113	CNTNAP2
1114	COA4
1115	COA6
1116	COBL
1117	COBLL1
1118	COCH
1119	COG2
1120	COL15A1
1121	COL16A1
1122	COL17A1
1123	COL18A1
1124	COL19A1
1125	COL1A1
1126	COL1A2
1127	COL22A1
1128	COL23A1
1129	COL24A1
1130	COL27A1
1131	COL3A1
1132	COL4A1
1133	COL4A2
1134	COL4A3
1135	COL4A3BP
1136	COL4A4
1137	COL5A1
1138	COL5A2
1139	COL5A3
1140	COL6A1
1141	COL6A2
1142	COL6A3
1143	COL7A1
1144	COL8A1
1145	COL9A2
1146	COL9A3
1147	COLEC11
1148	COLEC12
1149	COLQ
1150	COMMD5
1151	COMMD7
1152	COMMD8
1153	COMMD9
1154	COMT
1155	COPB2
1156	COPE
1157	COPRS
1158	COPS3
1159	COPS4
1160	COPS8
1161	COPZ2
1162	COQ10B
1163	COQ2
1164	COQ7
1165	CORO1B
1166	CORO1C
1167	CORO6
1168	COX5A
1169	COX5B
1170	COX6B1
1171	COX7A1
1172	CP
1173	CPA3
1174	CPD
1175	CPE
1176	CPEB2
1177	CPEB4
1178	CPED1
1179	CPLX1
1180	CPM
1181	CPNE2
1182	CPNE3
1183	CPNE5
1184	CPNE7
1185	CPNE8
1186	CPPED1
1187	CPQ
1188	CPSF2
1189	CPT1A
