,B Cells_marker_mean,CAFs_marker_mean,CD4 T_marker_mean,CD8 T_marker_mean,DC_marker_mean,Endothelial Cells_marker_mean,Macrophages_marker_mean,Mast Cells_marker_mean,Monocytes_marker_mean,Myofibroblasts_marker_mean,NK_marker_mean,Neutrophils_marker_mean,Cancer Cells_marker_mean
TCGA-OR-A5K6-01A,4.999,4.376,8.437,1.000,1.000,75.687,143.909,1.000,1.000,382.991,1.763,1.000,30.640
TCGA-OR-A5JR-01A,1.214,13.228,15.521,2.350,1.914,137.555,132.689,3.827,1.000,1109.762,18.492,1.421,12.409
TCGA-OR-A5L6-01A,4.781,9.158,13.430,1.000,1.000,46.876,58.517,1.234,1.000,627.232,17.387,1.000,33.796
TCGA-OR-A5JI-01A,1.216,18.770,6.373,2.030,1.575,78.298,63.976,1.544,1.000,524.505,7.863,1.000,4.152
TCGA-OR-A5J2-01A,22.353,55.420,6.252,1.570,2.283,156.468,88.139,2.254,1.136,771.840,5.430,1.000,86.644
TCGA-OR-A5LL-01A,4.651,13.063,25.466,1.000,1.000,29.525,71.493,1.000,1.000,990.831,8.264,67.975,37.653
TCGA-OR-A5K1-01A,2.144,13.549,11.846,1.000,1.914,192.584,84.025,2.502,1.492,1065.563,30.164,1.000,119.030
TCGA-PK-A5HA-01A,1.289,20.731,31.019,2.422,5.275,107.824,467.360,3.009,1.137,330.270,15.823,1.503,49.943
TCGA-OR-A5LR-01A,3.029,12.457,102.519,1.008,1.968,73.175,122.292,7.574,1.000,880.416,5.171,1.000,324.371
TCGA-OR-A5JX-01A,5.090,3.707,4.097,1.000,1.000,134.217,74.399,1.000,1.000,603.606,8.019,1.369,5.498
TCGA-OU-A5PI-01A,5.483,63.528,25.632,1.030,1.248,62.396,89.596,1.000,1.000,557.846,4.399,1.000,4.501
TCGA-OR-A5JA-01A,6.810,5.129,42.592,1.000,1.000,69.337,106.336,1.000,1.000,487.942,6.113,1.000,85.370
TCGA-OR-A5KY-01A,61.441,34.040,25.227,1.182,1.742,97.816,288.089,1.000,1.000,575.207,4.246,1.753,1.283
TCGA-OR-A5L9-01A,1.000,3.098,5.218,1.000,1.000,25.903,58.691,6.351,1.000,446.421,9.387,1.000,4.933
TCGA-PK-A5H9-01A,6.984,10.083,19.580,1.899,5.771,193.934,125.588,7.090,2.993,971.499,17.451,1.424,176.026
TCGA-OR-A5JK-01A,5.973,7.142,11.780,19.533,1.475,40.479,333.952,1.000,1.209,619.598,58.052,1.830,22.148
TCGA-OR-A5LJ-01A,16.441,18.564,6.712,8.331,1.000,44.040,93.945,1.000,1.000,582.970,16.205,1.000,37.448
TCGA-OR-A5K9-01A,7.696,20.331,17.648,1.000,1.000,85.010,58.601,1.000,1.000,636.333,1.000,1.000,2.398
TCGA-OR-A5LA-01A,1.877,8.533,14.729,1.241,2.197,94.457,246.554,132.920,1.000,646.799,18.963,1.000,31.143
TCGA-OR-A5JP-01A,11.348,35.288,15.456,1.000,1.000,100.731,98.667,1.898,1.000,526.286,2.325,1.000,52.315
TCGA-OR-A5LE-01A,79.290,1.000,1.000,1.000,1.000,77.521,16.780,1.000,1.000,14.992,1.663,1.000,45.380
TCGA-OR-A5JB-01A,12.451,12.916,48.519,36.170,3.900,36.543,1720.044,4.617,1.527,138.374,200.259,6.031,209.889
TCGA-OR-A5J3-01A,34.356,9.738,15.168,1.000,1.000,93.811,45.676,1.734,1.000,188.984,12.120,1.000,47.125
TCGA-OR-A5JQ-01A,14.026,37.965,22.761,7.448,6.321,101.496,270.873,11.509,1.000,377.458,25.871,1.087,33.202
TCGA-OR-A5J7-01A,92.121,10.102,8.337,1.000,1.000,160.562,52.803,1.000,1.000,1059.322,3.281,1.000,28.684
TCGA-OR-A5KZ-01A,6.301,237.559,7.572,1.346,4.353,247.658,141.787,1.000,1.000,954.708,14.930,1.000,35.029
TCGA-OR-A5KW-01A,3.125,11.801,4.161,1.000,1.000,66.966,60.148,1.000,1.000,172.971,19.393,1.000,2.726
TCGA-PA-A5YG-01A,1.394,18.134,20.226,5.455,5.269,164.289,247.369,94.030,1.000,595.562,39.806,1.782,12.467
TCGA-OR-A5J9-01A,14.562,37.343,6.871,1.000,1.000,195.592,40.369,1.000,3.317,748.571,14.237,1.000,2.532
TCGA-OR-A5K4-01A,2.303,7.758,63.966,1.000,1.000,39.571,28.485,1.000,1.000,1699.230,8.392,1.000,44.952
TCGA-OR-A5K2-01A,179.350,3.924,7.619,1.000,1.250,113.634,210.457,1.000,1.000,1097.365,3.097,1.000,3.886
TCGA-OR-A5JO-01A,4.190,70.193,64.165,9.648,31.203,255.543,1484.622,186.179,8.223,1230.162,186.000,2.797,179.114
TCGA-OR-A5KU-01A,19.941,14.980,4.153,1.000,1.000,47.684,44.562,1.110,1.000,399.181,4.791,1.000,3.829
TCGA-OR-A5LB-01A,12.022,6.163,3.938,1.000,1.000,144.781,34.869,1.000,1.000,22.532,2.352,1.000,7.248
TCGA-OR-A5L8-01A,21.886,175.922,6.048,1.000,1.000,37.215,43.907,1.000,1.000,284.786,5.137,1.000,20.022
TCGA-OR-A5J8-01A,11.489,1056.071,93.369,20.589,8.627,198.227,3725.449,9.731,2.497,48.516,94.084,4.492,1.000
TCGA-OR-A5LS-01A,34.327,12.336,17.769,1.000,1.000,38.421,114.993,2.497,1.000,529.180,7.363,1.000,25.736
TCGA-OR-A5JW-01A,3.110,7.590,109.374,1.000,1.017,95.560,78.037,2.925,1.000,494.111,1.859,1.471,1.187
TCGA-OR-A5JC-01A,3.752,9.940,11.253,1.000,2.279,67.473,142.271,1.691,1.000,797.327,12.629,1.000,57.456
TCGA-OR-A5LP-01A,1.660,45.510,22.862,1.387,1.909,88.658,400.133,16.104,1.000,646.804,13.874,1.545,23.872
TCGA-OR-A5J1-01A,3.410,6.912,6.565,1.000,1.834,45.067,178.564,1.610,1.000,677.657,6.143,1.371,2.537
TCGA-OR-A5K0-01A,257.154,8.195,1.679,1.000,1.000,29.637,57.469,1.000,1.000,332.305,4.692,1.000,73.247
TCGA-OR-A5K8-01A,1.618,4.152,12.496,1.000,1.000,31.330,28.645,1.000,1.000,394.500,4.355,1.000,2.005
TCGA-OR-A5L5-01A,30.112,55.603,19.837,3.119,4.419,44.708,240.145,69.591,2.337,1079.699,33.085,1.135,186.705
TCGA-OR-A5KT-01A,17.449,83.367,37.110,2.565,7.434,440.183,862.784,1.000,7.170,1577.409,26.823,6.190,10.924
TCGA-OR-A5JF-01A,8.751,5.839,48.418,1.000,1.000,61.848,29.591,1.000,1.000,662.529,2.698,1.000,11.742
TCGA-OR-A5L4-01A,1.700,5.662,21.176,1.000,1.000,154.954,98.851,1.000,1.000,656.056,5.423,1.000,6.667
TCGA-OR-A5JS-01A,45.614,3.430,4.467,1.188,1.000,75.121,37.671,1.000,1.000,977.897,12.190,1.000,17.934
TCGA-OR-A5K5-01A,117.696,3.971,1.726,1.000,1.000,95.341,97.444,1.000,1.000,808.447,4.608,1.000,34.520
TCGA-OR-A5JG-01A,4.336,10.114,54.461,1.000,1.000,80.354,145.427,3.724,1.000,661.960,2.760,1.000,1.000
TCGA-PK-A5H8-01A,1.669,5.560,18.832,1.000,1.000,75.892,227.522,1.000,1.774,1364.149,7.906,2.767,23.213
TCGA-HQ-A5NE-01A,5.369,567.181,22.747,1.836,3.487,99.538,96.703,14.072,6.587,142.637,8.992,4.193,2855.507
TCGA-FD-A5BT-01A,33.050,1542.629,50.865,23.785,12.801,91.903,2150.435,57.024,13.852,1006.376,204.480,2.683,4555.372
TCGA-DK-A3IQ-01A,16.046,3868.392,35.394,1.000,1.255,122.145,191.448,70.504,1.755,1560.722,4.659,1.081,1063.299
TCGA-ZF-AA4X-01A,6.486,23.275,7.581,1.018,3.612,24.764,11.816,6.174,1.000,7.862,3.095,2.043,2044.543
TCGA-GD-A3OQ-01A,3.788,530.572,10.916,1.525,2.414,49.793,40.682,6.449,1.669,72.862,4.425,1.880,2532.893
TCGA-ZF-AA51-01A,21.829,276.635,27.655,8.421,6.464,63.043,276.888,10.212,2.514,68.074,37.650,3.209,1274.329
TCGA-FD-A3SS-01A,5.158,172.974,6.394,1.000,1.000,25.625,33.994,3.031,1.000,147.528,2.064,10.654,2812.517
TCGA-DK-AA71-01A,4.469,120.730,5.815,3.883,1.000,62.405,104.418,1.683,1.000,62.670,12.182,1.000,5564.088
TCGA-4Z-AA83-01A,2.161,393.308,13.202,1.169,2.578,97.848,110.638,4.609,1.190,89.984,7.207,7.712,2010.306
TCGA-ZF-A9R4-01A,8.373,19.472,9.373,3.896,1.755,43.332,118.983,1.000,1.000,17.893,35.589,1.000,2958.130
TCGA-BT-A20P-01A,6.943,173.751,3.932,7.656,1.000,50.398,28.261,1.000,1.003,64.539,3.737,1.553,3829.171
TCGA-HQ-A2OE-01A,7.445,31.881,10.195,3.568,4.467,42.282,43.782,4.084,1.445,43.759,4.549,29.230,2409.781
TCGA-R3-A69X-01A,22.853,740.521,49.331,9.494,31.350,132.447,318.558,83.629,9.925,649.484,26.887,19.788,2505.048
TCGA-BT-A3PH-01A,2.986,133.591,5.880,1.000,1.000,83.200,51.722,2.903,1.000,49.797,2.873,24.603,2836.260
TCGA-UY-A9PA-01A,2.693,66.723,22.760,15.899,5.067,57.477,187.496,13.627,1.000,14.352,40.640,1.704,3057.447
TCGA-BL-A13J-01B,23.955,571.876,56.705,10.759,9.329,58.474,117.117,1.467,2.253,110.803,10.162,15.422,1091.001
TCGA-CF-A3MI-01A,1.684,31.322,3.876,1.157,1.527,61.938,19.767,10.435,1.000,37.586,6.280,1.000,1384.041
TCGA-XF-AAMW-01A,9.988,883.628,29.790,1.717,6.368,87.285,272.730,5.104,1.790,73.700,8.433,4.798,2960.166
TCGA-H4-A2HQ-01A,13.654,81.189,10.407,13.078,1.000,48.216,59.046,2.807,1.000,95.498,5.521,1.000,2816.999
TCGA-HQ-A5ND-01A,4.544,141.419,7.371,4.665,1.000,21.678,32.273,3.570,1.000,64.925,15.240,1.720,2894.578
TCGA-K4-A6FZ-01A,7.577,68.117,33.641,6.473,7.868,93.467,270.445,34.292,5.443,29.716,21.582,11.189,2947.058
TCGA-DK-A3IV-01A,26.351,49.293,45.600,13.108,15.306,42.752,203.198,21.339,1.000,22.284,37.537,3.165,1602.842
TCGA-E7-A3X6-01A,9.841,275.198,23.244,13.181,2.719,78.755,249.987,8.479,1.000,119.154,66.836,13.879,2730.550
TCGA-BT-A42F-01A,70.258,110.961,35.194,15.108,10.219,55.138,548.970,29.261,5.904,32.745,115.338,6.055,69.767
TCGA-UY-A8OB-01A,1.347,98.294,17.435,6.869,1.404,7.502,165.280,3.478,3.566,80.600,46.312,1.000,3302.765
TCGA-DK-A1A3-01A,9.510,482.610,26.614,5.362,6.508,104.172,314.042,36.919,1.278,119.840,15.739,1.413,3864.657
TCGA-DK-AA6X-01A,10.296,280.360,22.206,7.761,16.135,56.136,132.984,25.974,2.729,60.137,9.037,8.150,2364.853
TCGA-G2-A3IE-01A,10.014,63.609,8.817,1.000,1.000,32.216,46.893,13.286,1.000,25.478,4.011,1.000,1669.580
TCGA-FD-A5BU-01A,30.213,723.367,35.141,3.614,9.286,87.907,758.045,38.606,1.341,506.668,37.057,2.540,554.527
TCGA-C4-A0EZ-01A,6.021,74.130,4.907,2.205,2.098,120.384,78.584,1.808,1.000,167.073,6.749,1.000,796.182
TCGA-FD-A3B3-01A,64.920,1007.233,72.421,26.056,13.371,94.435,742.315,61.467,8.828,267.173,131.473,19.352,548.827
TCGA-FD-A5BZ-01A,21.917,2961.667,15.246,1.000,2.719,91.916,125.624,56.610,1.886,599.841,2.360,1.877,4748.806
TCGA-C4-A0F7-01A,6.386,158.143,7.021,1.085,1.416,94.058,35.938,10.629,3.052,118.961,3.402,1.000,2291.655
TCGA-XF-AAMR-01A,4.848,819.919,19.285,1.414,11.731,100.670,221.656,70.217,2.025,3382.644,11.140,5.319,1622.481
TCGA-XF-AAN7-01A,7.969,571.266,16.259,2.426,4.493,329.123,345.056,4.911,1.919,203.995,15.883,1.714,191.679
TCGA-UY-A8OD-01A,13.890,428.413,15.290,7.184,5.459,71.931,136.168,32.539,1.191,761.596,18.837,7.468,1711.418
TCGA-FD-A3SP-01A,22.040,2372.801,132.177,16.455,15.256,170.183,1067.388,52.528,14.054,699.862,117.545,8.564,1588.343
TCGA-DK-A2HX-01A,7.328,1062.286,21.301,2.168,5.768,103.668,265.007,48.213,2.559,943.711,7.230,2.255,1929.220
TCGA-CF-A8HX-01A,2.347,76.223,4.143,1.000,1.000,15.625,10.827,1.000,1.000,26.552,1.158,2.064,923.707
TCGA-E7-A85H-01A,12.993,178.068,13.278,8.958,4.752,52.826,233.429,2.307,1.000,107.204,32.717,1.182,2473.399
TCGA-ZF-A9RL-01A,3.784,62.940,14.109,1.000,1.000,19.410,5.232,1.000,1.000,15.098,1.417,2.400,2554.552
TCGA-UY-A9PB-01A,84.232,1149.850,66.697,31.813,7.643,76.043,1320.781,30.923,11.586,414.869,173.943,5.770,1197.258
TCGA-GV-A3JV-01A,19.035,220.699,27.884,11.284,5.441,100.052,201.916,13.735,1.000,88.425,37.457,1.000,1639.485
TCGA-GD-A6C6-01A,8.533,43.066,2.440,1.000,1.000,47.633,133.652,3.671,1.000,81.345,15.301,1.000,4399.813
TCGA-XF-A9SW-01A,21.582,855.533,27.496,3.156,14.362,205.692,438.111,76.381,5.355,3775.302,18.556,9.773,674.892
TCGA-GV-A3QI-01A,27.790,24.500,5.387,3.838,1.000,168.146,21.934,1.360,1.000,45.427,3.553,1.000,689.071
TCGA-UY-A9PE-01A,25.168,235.378,3.906,1.021,1.123,42.796,49.886,11.149,1.115,315.713,4.357,1.000,2997.793
TCGA-E7-A97P-01A,8.369,498.629,23.328,68.856,5.869,83.918,354.613,12.621,1.398,219.840,266.591,2.897,3055.099
TCGA-G2-AA3D-01A,11.463,54.786,5.012,1.207,3.347,23.254,21.593,9.337,1.000,13.638,4.045,2.325,2546.824
TCGA-BL-A3JM-01A,8.189,71.039,16.926,15.012,4.160,93.120,232.080,15.838,1.000,81.701,34.918,1.307,1785.922
TCGA-GV-A3JZ-01A,8.357,247.438,12.424,3.886,1.696,93.599,192.154,7.180,1.000,108.716,12.006,2.040,2395.949
TCGA-ZF-A9R5-01A,12.448,52.342,10.342,4.639,2.683,37.948,44.200,1.000,1.000,23.255,14.132,1.000,2840.332
TCGA-UY-A9PH-01A,39.658,251.488,52.549,18.724,16.033,118.279,865.590,17.413,21.302,77.100,74.638,4.953,2987.815
TCGA-E7-A7XN-01A,4.028,24.993,23.489,70.932,12.232,30.292,515.735,6.470,1.096,20.643,334.826,2.623,3912.875
TCGA-XF-A9T8-01A,7.352,294.661,48.432,31.280,7.868,102.775,758.035,27.447,2.872,85.550,140.640,44.411,2316.015
TCGA-DK-A3X1-01A,4.998,470.740,4.690,1.150,1.000,41.263,32.355,11.758,1.592,64.116,4.172,1.000,1202.181
TCGA-E5-A4TZ-01A,6.522,17.547,7.140,1.303,1.980,44.553,103.800,13.531,1.000,11.410,3.366,2.457,1299.753
TCGA-XF-AAN3-01A,6.194,597.093,31.614,2.117,11.126,26.964,161.306,22.099,2.484,204.361,8.687,3.372,1846.254
TCGA-E7-A7DV-01A,6.045,410.367,189.545,4.901,6.490,35.166,3608.044,2.065,12.636,312.103,33.548,9.564,2173.142
TCGA-BT-A20O-01A,71.595,460.003,201.104,189.194,32.228,117.894,3945.757,125.539,7.441,122.270,705.290,15.417,17.730
TCGA-XF-AAMY-01A,9.206,684.248,16.594,1.000,4.420,113.764,135.866,31.402,11.315,201.736,8.090,5.476,2286.733
TCGA-BT-A20V-01A,6.088,53.096,35.358,6.204,5.095,13.292,171.578,1.509,5.143,101.401,41.483,1.448,2430.516
TCGA-GC-A3BM-01A,9.985,228.928,10.667,7.614,2.542,82.503,93.953,2.400,1.247,48.673,7.659,1.211,2447.819
TCGA-K4-A4AB-01B,6.709,651.884,16.484,1.533,3.968,62.421,280.410,21.880,1.100,371.088,6.359,2.756,2971.254
TCGA-FD-A5C0-01A,7.232,348.729,11.865,3.134,7.058,43.040,103.226,42.431,2.726,584.410,7.003,4.553,3424.070
TCGA-G2-A2EK-01A,16.781,199.656,16.952,1.685,7.441,35.378,25.813,20.725,1.000,208.271,5.056,1.717,1645.492
TCGA-CF-A1HR-01A,10.258,170.372,10.563,5.741,5.521,89.298,72.647,20.074,1.000,108.920,16.562,7.986,2439.144
TCGA-GC-A3RD-01A,5.404,177.721,10.224,1.265,1.408,35.562,59.035,4.717,3.177,61.000,3.590,1.988,1512.447
TCGA-E7-A5KE-01A,6.715,15.434,3.559,1.000,1.000,42.970,4.789,1.210,1.000,15.776,1.304,7.657,3265.723
TCGA-ZF-A9R9-01A,12.946,558.626,7.139,1.000,1.572,37.389,74.376,20.415,1.000,390.814,5.412,1.379,459.147
TCGA-DK-A1AB-01A,16.040,953.029,40.404,4.773,6.203,48.569,302.880,32.143,1.450,388.543,26.313,4.148,912.565
TCGA-GU-A42R-01A,3.393,68.485,4.748,2.714,1.000,69.286,21.407,3.526,1.000,31.753,5.530,1.308,2529.818
TCGA-E7-A5KF-01A,5.016,102.886,5.718,1.000,1.000,39.749,6.141,1.000,1.000,8.554,1.556,1.000,4803.925
TCGA-ZF-AA54-01A,6.160,178.632,126.823,9.051,23.433,172.958,3270.925,21.367,2.299,630.187,58.984,6.839,95.860
TCGA-CF-A3MF-01A,1.174,16.450,1.630,1.000,1.000,38.355,3.298,1.092,1.000,22.289,1.027,1.000,642.049
TCGA-E7-A6ME-01A,15.317,54.555,11.162,25.155,2.044,72.666,166.652,32.400,1.896,109.171,51.027,3.477,1276.713
TCGA-DK-AA6M-01A,10.520,315.273,69.565,3.379,14.204,92.289,1357.647,85.500,1.101,157.692,57.128,6.451,2125.013
TCGA-CF-A47W-01A,4.497,67.106,7.187,1.000,1.000,53.924,22.349,2.010,1.000,62.377,6.631,1.000,3977.341
TCGA-XF-A9ST-01A,11.457,116.050,2.004,1.000,3.130,52.602,13.566,2.540,1.000,85.264,1.026,168.863,2223.185
TCGA-FD-A3SN-01A,21.380,1447.683,8.135,3.807,1.232,53.703,131.766,11.386,2.723,211.116,36.097,2.918,1717.139
TCGA-FD-A3B6-01A,9.923,270.941,43.648,26.301,10.215,75.548,840.393,5.661,6.512,65.848,189.357,9.212,3145.558
TCGA-ZF-A9R7-01A,32.569,63.923,23.493,55.032,9.756,43.533,346.311,122.745,1.000,23.672,235.789,12.726,2356.866
TCGA-BT-A3PK-01A,7.177,266.348,29.301,3.475,2.875,234.868,251.171,19.317,4.084,222.767,16.946,24.463,610.182
TCGA-FD-A62P-01A,5.860,780.531,25.387,13.042,8.655,63.691,294.218,16.814,6.642,198.141,54.487,5.183,1942.360
TCGA-LC-A66R-01A,58.911,211.400,42.269,26.577,8.300,108.698,388.242,27.356,6.236,183.137,94.112,8.380,2003.941
TCGA-DK-AA76-01A,2.893,25.203,2.467,1.000,1.000,54.769,7.573,1.447,1.000,15.181,1.000,1.000,2047.504
TCGA-DK-AA6T-01A,837.785,94.881,14.854,27.051,317.837,31.245,263.783,3.209,1.490,70.782,67.644,1.056,84.240
TCGA-XF-AAMH-01A,7.373,265.835,5.379,188.330,1.000,69.147,108.347,17.415,1.000,155.496,1.916,1.056,5263.590
TCGA-FD-A43U-01A,109.001,880.618,60.381,10.823,11.263,138.957,841.550,63.599,35.379,462.973,81.397,5.888,1796.172
TCGA-GC-A6I3-01A,82.896,332.614,25.109,14.391,10.377,41.472,412.213,28.292,5.675,165.170,100.858,2.050,3113.453
TCGA-GC-A6I1-01A,160.438,83.701,58.837,36.053,21.496,39.474,1545.989,5.387,11.203,96.808,180.268,7.660,925.870
TCGA-FD-A3B8-01A,43.245,1297.424,205.347,48.275,27.897,176.724,1712.216,137.312,22.575,1195.511,155.087,29.229,975.438
TCGA-XF-A8HD-01A,18.595,256.807,14.631,36.758,3.524,71.533,400.749,4.065,2.339,130.536,140.046,2.359,2509.071
TCGA-ZF-A9R2-01A,3.014,243.947,4.213,1.000,1.000,28.221,16.716,1.000,1.000,11.057,1.857,1.000,3332.637
TCGA-FD-A62S-01A,39.594,1735.915,85.813,5.278,19.257,109.701,770.561,51.906,2.415,629.350,30.312,5.977,855.930
TCGA-BT-A0S7-01A,15.118,91.167,14.230,28.173,4.958,149.325,119.787,7.759,1.985,93.728,7.864,17.811,1016.267
TCGA-CF-A8HY-01A,7.404,264.020,4.911,1.981,1.656,99.014,24.408,6.581,1.000,52.267,4.123,1.000,3067.463
TCGA-FD-A3B4-01A,52.411,558.354,34.555,8.458,11.137,64.557,391.437,91.528,3.267,319.388,62.900,3.484,199.880
TCGA-ZF-A9RF-01A,12.562,14.958,151.978,70.840,7.378,25.923,1527.124,8.002,1.448,52.448,277.589,6.254,1620.689
TCGA-FD-A3SQ-01A,42.426,1534.167,24.098,2.928,6.263,118.834,295.441,47.433,1.694,801.057,12.133,5.772,1540.847
TCGA-4Z-AA7Q-01A,29.625,80.120,25.290,29.136,5.720,65.441,355.801,6.999,2.190,81.395,113.097,3.501,1151.252
TCGA-DK-AA6S-01A,6.771,1638.181,23.137,5.540,5.115,67.192,204.898,24.475,5.857,297.233,36.819,1.911,3138.636
TCGA-LT-A8JT-01A,8.875,225.186,19.062,3.438,2.467,37.492,68.230,6.118,1.000,28.716,8.862,1.000,2135.840
TCGA-BT-A2LD-01A,12.177,187.130,13.721,5.521,2.535,49.241,180.768,9.530,1.607,188.868,14.257,31.095,7564.616
TCGA-DK-A6B2-01A,22.291,511.795,43.501,9.951,15.131,114.449,494.379,52.220,3.573,192.589,31.182,8.297,2121.202
TCGA-DK-A3IM-01A,7.132,38.592,6.036,1.000,1.141,18.305,38.536,1.892,1.000,20.380,2.610,1.705,266.668
TCGA-GU-A766-01A,15.614,51.840,52.788,34.829,10.692,166.828,710.016,8.395,99.880,370.311,256.230,8.607,854.104
TCGA-LT-A5Z6-01A,26.019,26.100,8.939,9.879,2.989,45.251,100.213,5.850,1.000,13.671,23.231,5.573,1127.599
TCGA-BL-A0C8-01B,14.120,26.443,11.514,1.000,1.619,126.294,44.879,1.471,1.101,76.371,3.567,38.414,802.095
TCGA-FT-A3EE-01A,9.672,129.760,9.153,1.050,12.595,70.961,57.219,10.907,1.000,31.981,2.822,2.467,1927.961
TCGA-G2-AA3C-01A,11.586,46.929,113.616,3.321,14.167,60.430,3328.622,1.955,26.824,171.381,60.967,6.548,350.840
TCGA-KQ-A41S-01A,4.386,1006.560,12.104,2.634,2.530,122.734,282.808,26.350,1.215,109.547,9.539,12.406,1221.822
TCGA-DK-A3IU-01A,121.057,584.476,98.022,71.340,30.950,70.061,1089.529,39.804,13.759,942.137,408.197,53.166,4203.658
TCGA-BT-A0YX-01A,7.995,97.383,20.153,14.335,4.455,54.853,259.513,47.067,2.002,36.155,36.444,8.628,1620.499
TCGA-2F-A9KO-01A,24.130,310.549,35.360,30.197,10.566,51.732,383.121,8.118,3.797,215.570,102.294,2.899,1887.264
TCGA-DK-AA6L-01A,8.211,207.252,41.415,3.978,7.786,38.641,294.983,18.272,2.618,72.645,25.590,6.562,3908.112
TCGA-XF-A9SP-01A,31.271,1303.297,18.587,4.610,6.793,123.372,361.040,72.353,3.044,947.222,15.938,2.123,2365.816
TCGA-E7-A4XJ-01A,4.520,79.856,3.376,1.000,3.940,50.035,8.609,5.226,1.000,37.613,1.345,1.000,2016.918
TCGA-XF-A8HB-01A,7.588,28.813,4.532,1.000,1.000,42.675,82.411,1.000,1.000,27.484,1.031,1.000,1743.947
