,B Cells_marker_mean,CAFs_marker_mean,CD4 T_marker_mean,CD8 T_marker_mean,DC_marker_mean,Endothelial Cells_marker_mean,Macrophages_marker_mean,Mast Cells_marker_mean,Monocytes_marker_mean,Myofibroblasts_marker_mean,NK_marker_mean,Neutrophils_marker_mean,Cancer Cells_marker_mean
TCGA-OR-A5KO-01A,8.435,12.258,13.241,1.000,1.000,77.441,20.543,1.000,1.000,544.766,1.963,1.000,18.349
TCGA-OR-A5JJ-01A,18.415,19.688,4.290,4.015,1.000,70.515,77.885,1.054,1.000,37.729,16.218,1.000,4.121
TCGA-OR-A5JL-01A,3.512,1.733,20.340,1.000,1.660,111.817,242.637,1.000,4.303,15.675,12.458,1.000,92.429
TCGA-OR-A5KV-01A,5.472,77.046,2.424,6.717,1.000,82.201,41.162,1.473,1.000,946.129,2.824,1.000,12.227
TCGA-OR-A5JE-01A,95.771,7.091,6.054,1.000,1.129,121.509,279.617,1.299,1.000,2185.945,2.600,1.070,13.630
TCGA-PK-A5HB-01A,2.797,13.464,86.831,1.000,1.000,383.493,65.112,3.188,1.000,2080.948,1.856,1.000,2.981
TCGA-OR-A5JM-01A,29.256,12.518,7.832,1.000,1.000,61.609,20.350,1.000,1.000,455.866,1.000,1.000,35.844
TCGA-OR-A5JD-01A,1.134,12.027,12.553,2.856,3.830,47.083,129.286,3.014,1.000,374.533,13.601,1.164,1.916
TCGA-OR-A5LN-01A,1.035,5.901,7.892,3.176,1.000,41.003,124.965,1.648,1.000,659.830,14.267,1.190,38.906
TCGA-OR-A5K6-01A,4.999,4.376,8.437,1.000,1.000,75.687,143.909,1.000,1.000,382.991,1.763,1.000,30.640
TCGA-OR-A5JR-01A,1.214,13.228,15.521,2.350,1.914,137.552,132.687,3.827,1.000,1109.744,18.491,1.421,12.409
TCGA-OR-A5L6-01A,4.781,9.158,13.430,1.000,1.000,46.875,58.516,1.234,1.000,627.229,17.387,1.000,33.796
TCGA-OR-A5JI-01A,1.216,18.770,6.373,2.030,1.575,78.298,63.975,1.544,1.000,524.502,7.863,1.000,4.152
TCGA-OR-A5J2-01A,22.353,55.419,6.251,1.570,2.282,156.466,88.137,2.254,1.136,771.828,5.430,1.000,86.643
TCGA-OR-A5LL-01A,4.651,13.063,25.465,1.000,1.000,29.524,71.490,1.000,1.000,990.800,8.264,67.973,37.652
TCGA-OR-A5K1-01A,2.144,13.549,11.846,1.000,1.913,192.581,84.024,2.502,1.492,1065.548,30.163,1.000,119.029
TCGA-PK-A5HA-01A,1.289,20.730,31.019,2.422,5.275,107.822,467.355,3.009,1.137,330.266,15.823,1.503,49.943
TCGA-OR-A5LR-01A,3.029,12.457,102.518,1.008,1.968,73.174,122.291,7.573,1.000,880.404,5.171,1.000,324.367
TCGA-OR-A5JX-01A,5.090,3.707,4.097,1.000,1.000,134.215,74.398,1.000,1.000,603.600,8.019,1.369,5.498
TCGA-OU-A5PI-01A,5.483,63.527,25.631,1.030,1.248,62.394,89.594,1.000,1.000,557.835,4.399,1.000,4.501
TCGA-OR-A5JA-01A,6.810,5.129,42.591,1.000,1.000,69.336,106.334,1.000,1.000,487.934,6.113,1.000,85.369
TCGA-OR-A5KY-01A,61.440,34.039,25.226,1.182,1.742,97.815,288.087,1.000,1.000,575.203,4.246,1.753,1.283
TCGA-OR-A5L9-01A,1.000,3.098,5.218,1.000,1.000,25.902,58.691,6.351,1.000,446.421,9.387,1.000,4.933
TCGA-PK-A5H9-01A,6.984,10.083,19.580,1.899,5.771,193.930,125.586,7.090,2.992,971.478,17.451,1.424,176.023
TCGA-OR-A5JK-01A,5.973,7.142,11.780,19.533,1.475,40.479,333.951,1.000,1.209,619.595,58.052,1.830,22.148
TCGA-OR-A5LJ-01A,16.441,18.564,6.712,8.331,1.000,44.040,93.945,1.000,1.000,582.969,16.205,1.000,37.448
TCGA-OR-A5K9-01A,7.696,20.331,17.647,1.000,1.000,85.006,58.599,1.000,1.000,636.309,1.000,1.000,2.398
TCGA-OR-A5LA-01A,1.877,8.533,14.729,1.241,2.197,94.457,246.554,132.919,1.000,646.798,18.963,1.000,31.143
TCGA-OR-A5JP-01A,11.347,35.287,15.456,1.000,1.000,100.726,98.663,1.898,1.000,526.260,2.324,1.000,52.313
TCGA-OR-A5LE-01A,79.288,1.000,1.000,1.000,1.000,77.519,16.780,1.000,1.000,14.992,1.663,1.000,45.378
TCGA-OR-A5JB-01A,12.451,12.916,48.519,36.169,3.900,36.543,1720.035,4.617,1.527,138.374,200.258,6.031,209.888
TCGA-OR-A5J3-01A,34.356,9.738,15.168,1.000,1.000,93.810,45.676,1.734,1.000,188.983,12.120,1.000,47.125
TCGA-OR-A5JQ-01A,14.026,37.964,22.761,7.447,6.321,101.495,270.869,11.508,1.000,377.452,25.871,1.087,33.201
TCGA-OR-A5J7-01A,92.117,10.101,8.337,1.000,1.000,160.556,52.801,1.000,1.000,1059.280,3.281,1.000,28.683
TCGA-OR-A5KZ-01A,6.301,237.545,7.571,1.346,4.353,247.644,141.779,1.000,1.000,954.654,14.929,1.000,35.027
TCGA-OR-A5KW-01A,3.125,11.801,4.161,1.000,1.000,66.967,60.148,1.000,1.000,172.972,19.393,1.000,2.726
TCGA-PA-A5YG-01A,1.394,18.134,20.225,5.455,5.269,164.287,247.367,94.030,1.000,595.558,39.806,1.782,12.467
TCGA-OR-A5J9-01A,14.562,37.342,6.871,1.000,1.000,195.589,40.368,1.000,3.317,748.562,14.237,1.000,2.532
TCGA-OR-A5K4-01A,2.303,7.757,63.963,1.000,1.000,39.569,28.483,1.000,1.000,1699.162,8.392,1.000,44.950
TCGA-OR-A5K2-01A,179.342,3.924,7.619,1.000,1.250,113.629,210.448,1.000,1.000,1097.314,3.097,1.000,3.886
TCGA-OR-A5JO-01A,4.190,70.193,64.165,9.648,31.203,255.543,1484.623,186.179,8.223,1230.163,186.000,2.797,179.114
TCGA-OR-A5KU-01A,19.941,14.980,4.153,1.000,1.000,47.684,44.561,1.110,1.000,399.179,4.791,1.000,3.829
TCGA-OR-A5LB-01A,12.022,6.163,3.938,1.000,1.000,144.780,34.869,1.000,1.000,22.532,2.352,1.000,7.248
TCGA-OR-A5L8-01A,21.885,175.918,6.048,1.000,1.000,37.214,43.906,1.000,1.000,284.779,5.137,1.000,20.022
TCGA-OR-A5J8-01A,11.489,1056.069,93.369,20.589,8.627,198.226,3725.441,9.731,2.497,48.516,94.083,4.492,1.000
TCGA-OR-A5LS-01A,34.327,12.336,17.769,1.000,1.000,38.420,114.990,2.497,1.000,529.168,7.363,1.000,25.736
TCGA-OR-A5JW-01A,3.110,7.590,109.372,1.000,1.017,95.559,78.036,2.925,1.000,494.104,1.859,1.471,1.187
TCGA-OR-A5JC-01A,3.752,9.940,11.253,1.000,2.279,67.473,142.269,1.691,1.000,797.318,12.629,1.000,57.455
TCGA-OR-A5LP-01A,1.660,45.510,22.862,1.387,1.909,88.658,400.132,16.104,1.000,646.801,13.874,1.545,23.871
TCGA-OR-A5J1-01A,3.410,6.911,6.565,1.000,1.834,45.066,178.561,1.610,1.000,677.648,6.143,1.371,2.537
TCGA-OR-A5K0-01A,257.132,8.195,1.679,1.000,1.000,29.634,57.464,1.000,1.000,332.277,4.691,1.000,73.241
TCGA-OR-A5K8-01A,1.618,4.152,12.496,1.000,1.000,31.330,28.645,1.000,1.000,394.499,4.355,1.000,2.005
TCGA-OR-A5L5-01A,30.111,55.603,19.837,3.119,4.419,44.707,240.144,69.591,2.337,1079.693,33.085,1.135,186.704
TCGA-OR-A5KT-01A,17.449,83.366,37.109,2.565,7.434,440.180,862.779,1.000,7.170,1577.399,26.823,6.189,10.924
TCGA-OR-A5JF-01A,8.751,5.839,48.418,1.000,1.000,61.848,29.590,1.000,1.000,662.525,2.698,1.000,11.742
TCGA-OR-A5L4-01A,1.700,5.662,21.176,1.000,1.000,154.951,98.849,1.000,1.000,656.045,5.422,1.000,6.667
TCGA-OR-A5JS-01A,45.613,3.430,4.467,1.188,1.000,75.119,37.670,1.000,1.000,977.866,12.189,1.000,17.933
TCGA-OR-A5K5-01A,117.694,3.971,1.726,1.000,1.000,95.338,97.442,1.000,1.000,808.428,4.608,1.000,34.519
TCGA-OR-A5JG-01A,4.336,10.114,54.460,1.000,1.000,80.354,145.426,3.724,1.000,661.956,2.760,1.000,1.000
TCGA-PK-A5H8-01A,1.669,5.560,18.832,1.000,1.000,75.890,227.517,1.000,1.774,1364.122,7.906,2.767,23.212
TCGA-HQ-A5NE-01A,5.369,567.173,22.747,1.836,3.487,99.537,96.701,14.072,6.587,142.635,8.992,4.192,2855.467
TCGA-FD-A5BT-01A,33.050,1542.626,50.865,23.785,12.801,91.903,2150.430,57.024,13.852,1006.374,204.479,2.683,4555.361
TCGA-DK-A3IQ-01A,16.045,3868.356,35.394,1.000,1.255,122.144,191.446,70.504,1.755,1560.708,4.659,1.081,1063.289
TCGA-ZF-AA4X-01A,6.486,23.274,7.580,1.018,3.611,24.763,11.816,6.174,1.000,7.861,3.095,2.043,2044.479
TCGA-GD-A3OQ-01A,3.788,530.554,10.916,1.525,2.413,49.791,40.681,6.449,1.669,72.859,4.425,1.880,2532.807
TCGA-ZF-AA51-01A,21.829,276.632,27.654,8.421,6.464,63.042,276.885,10.212,2.514,68.073,37.649,3.209,1274.316
TCGA-FD-A3SS-01A,5.158,172.970,6.394,1.000,1.000,25.625,33.993,3.031,1.000,147.525,2.064,10.654,2812.452
TCGA-DK-AA71-01A,4.469,120.727,5.815,3.883,1.000,62.404,104.416,1.683,1.000,62.669,12.182,1.000,5563.948
TCGA-4Z-AA83-01A,2.161,393.300,13.201,1.169,2.578,97.846,110.636,4.609,1.190,89.983,7.207,7.712,2010.267
TCGA-ZF-A9R4-01A,8.373,19.472,9.373,3.896,1.755,43.331,118.978,1.000,1.000,17.893,35.588,1.000,2958.017
TCGA-BT-A20P-01A,6.943,173.749,3.932,7.656,1.000,50.397,28.260,1.000,1.003,64.538,3.737,1.553,3829.115
TCGA-HQ-A2OE-01A,7.445,31.880,10.194,3.568,4.467,42.281,43.781,4.084,1.445,43.758,4.548,29.229,2409.729
TCGA-R3-A69X-01A,22.853,740.511,49.330,9.494,31.349,132.445,318.554,83.627,9.925,649.475,26.887,19.788,2505.014
TCGA-BT-A3PH-01A,2.986,133.588,5.880,1.000,1.000,83.198,51.720,2.903,1.000,49.796,2.873,24.602,2836.196
TCGA-UY-A9PA-01A,2.693,66.721,22.759,15.898,5.067,57.475,187.491,13.627,1.000,14.352,40.639,1.704,3057.355
TCGA-BL-A13J-01B,23.954,571.839,56.701,10.758,9.328,58.471,117.109,1.467,2.253,110.796,10.161,15.421,1090.930
TCGA-CF-A3MI-01A,1.684,31.322,3.876,1.157,1.527,61.938,19.767,10.435,1.000,37.586,6.280,1.000,1384.032
TCGA-XF-AAMW-01A,9.988,883.607,29.789,1.717,6.368,87.282,272.724,5.104,1.790,73.698,8.433,4.798,2960.097
TCGA-H4-A2HQ-01A,13.653,81.186,10.407,13.077,1.000,48.214,59.044,2.807,1.000,95.495,5.520,1.000,2816.903
TCGA-HQ-A5ND-01A,4.544,141.418,7.371,4.665,1.000,21.678,32.273,3.570,1.000,64.924,15.240,1.720,2894.556
TCGA-K4-A6FZ-01A,7.577,68.115,33.641,6.473,7.868,93.465,270.439,34.292,5.443,29.716,21.582,11.189,2946.994
TCGA-DK-A3IV-01A,26.350,49.291,45.599,13.107,15.306,42.751,203.191,21.338,1.000,22.283,37.535,3.165,1602.782
TCGA-E7-A3X6-01A,9.841,275.192,23.243,13.180,2.719,78.754,249.982,8.478,1.000,119.152,66.835,13.879,2730.492
TCGA-BT-A42F-01A,70.258,110.961,35.193,15.108,10.219,55.137,548.968,29.261,5.904,32.745,115.338,6.055,69.767
TCGA-UY-A8OB-01A,1.347,98.294,17.435,6.869,1.404,7.502,165.280,3.478,3.566,80.600,46.312,1.000,3302.756
TCGA-DK-A1A3-01A,9.510,482.601,26.614,5.362,6.508,104.170,314.036,36.918,1.278,119.838,15.739,1.413,3864.582
TCGA-DK-AA6X-01A,10.296,280.356,22.206,7.761,16.134,56.135,132.982,25.974,2.729,60.136,9.037,8.150,2364.816
TCGA-G2-A3IE-01A,10.014,63.608,8.817,1.000,1.000,32.216,46.893,13.286,1.000,25.477,4.011,1.000,1669.557
TCGA-FD-A5BU-01A,30.213,723.352,35.140,3.614,9.286,87.905,758.030,38.605,1.341,506.658,37.057,2.540,554.516
TCGA-C4-A0EZ-01A,6.020,74.126,4.907,2.205,2.098,120.378,78.580,1.808,1.000,167.065,6.749,1.000,796.145
TCGA-FD-A3B3-01A,64.918,1007.202,72.419,26.055,13.370,94.432,742.292,61.465,8.828,267.165,131.469,19.352,548.810
TCGA-FD-A5BZ-01A,21.917,2961.629,15.246,1.000,2.719,91.915,125.622,56.609,1.886,599.833,2.360,1.877,4748.745
TCGA-C4-A0F7-01A,6.386,158.142,7.021,1.085,1.416,94.058,35.937,10.629,3.052,118.960,3.402,1.000,2291.639
TCGA-XF-AAMR-01A,4.848,819.903,19.285,1.414,11.730,100.668,221.651,70.215,2.025,3382.575,11.139,5.319,1622.448
TCGA-XF-AAN7-01A,7.969,571.247,16.259,2.426,4.493,329.112,345.045,4.911,1.918,203.989,15.883,1.714,191.673
TCGA-UY-A8OD-01A,13.889,428.407,15.290,7.184,5.459,71.930,136.166,32.538,1.191,761.585,18.836,7.468,1711.394
TCGA-FD-A3SP-01A,22.040,2372.800,132.176,16.455,15.256,170.183,1067.388,52.528,14.054,699.862,117.545,8.564,1588.342
TCGA-DK-A2HX-01A,7.328,1062.256,21.300,2.168,5.768,103.665,265.000,48.212,2.559,943.685,7.230,2.255,1929.165
TCGA-CF-A8HX-01A,2.347,76.222,4.143,1.000,1.000,15.625,10.827,1.000,1.000,26.552,1.158,2.064,923.696
TCGA-E7-A85H-01A,12.992,178.064,13.277,8.958,4.752,52.825,233.424,2.307,1.000,107.201,32.717,1.182,2473.346
TCGA-ZF-A9RL-01A,3.784,62.939,14.109,1.000,1.000,19.409,5.232,1.000,1.000,15.097,1.417,2.400,2554.497
TCGA-UY-A9PB-01A,84.232,1149.843,66.697,31.813,7.643,76.043,1320.773,30.923,11.586,414.867,173.942,5.770,1197.252
TCGA-GV-A3JV-01A,19.035,220.695,27.883,11.284,5.441,100.051,201.914,13.735,1.000,88.423,37.457,1.000,1639.462
TCGA-GD-A6C6-01A,8.533,43.066,2.440,1.000,1.000,47.633,133.652,3.671,1.000,81.345,15.301,1.000,4399.799
TCGA-XF-A9SW-01A,21.582,855.524,27.496,3.156,14.361,205.690,438.106,76.380,5.355,3775.262,18.556,9.773,674.885
TCGA-GV-A3QI-01A,27.788,24.499,5.387,3.838,1.000,168.140,21.933,1.359,1.000,45.425,3.553,1.000,689.044
TCGA-UY-A9PE-01A,25.167,235.375,3.906,1.021,1.123,42.796,49.885,11.149,1.115,315.709,4.357,1.000,2997.756
TCGA-E7-A97P-01A,8.369,498.618,23.327,68.855,5.869,83.916,354.605,12.621,1.398,219.835,266.585,2.897,3055.029
TCGA-G2-AA3D-01A,11.463,54.785,5.012,1.207,3.347,23.254,21.593,9.337,1.000,13.637,4.045,2.325,2546.767
TCGA-BL-A3JM-01A,8.189,71.038,16.926,15.012,4.160,93.118,232.076,15.837,1.000,81.699,34.917,1.307,1785.894
TCGA-GV-A3JZ-01A,8.357,247.431,12.424,3.886,1.696,93.597,192.149,7.180,1.000,108.713,12.005,2.040,2395.887
TCGA-ZF-A9R5-01A,12.448,52.338,10.342,4.639,2.683,37.946,44.198,1.000,1.000,23.253,14.132,1.000,2840.159
TCGA-UY-A9PH-01A,39.658,251.484,52.548,18.724,16.033,118.278,865.579,17.413,21.302,77.099,74.637,4.953,2987.778
TCGA-E7-A7XN-01A,4.028,24.992,23.489,70.930,12.232,30.291,515.725,6.470,1.096,20.642,334.819,2.623,3912.800
TCGA-XF-A9T8-01A,7.352,294.657,48.431,31.279,7.868,102.773,758.026,27.446,2.872,85.549,140.638,44.410,2315.987
TCGA-DK-A3X1-01A,4.998,470.737,4.690,1.150,1.000,41.263,32.354,11.758,1.592,64.116,4.172,1.000,1202.174
TCGA-E5-A4TZ-01A,6.521,17.546,7.140,1.303,1.980,44.551,103.795,13.530,1.000,11.410,3.366,2.457,1299.695
TCGA-XF-AAN3-01A,6.194,597.088,31.613,2.117,11.126,26.963,161.304,22.099,2.484,204.359,8.687,3.372,1846.237
TCGA-E7-A7DV-01A,6.045,410.367,189.544,4.901,6.490,35.166,3608.041,2.065,12.636,312.102,33.548,9.564,2173.140
TCGA-BT-A20O-01A,71.596,460.011,201.108,189.198,32.229,117.896,3945.828,125.542,7.441,122.272,705.303,15.418,17.730
TCGA-XF-AAMY-01A,9.206,684.238,16.594,1.000,4.420,113.762,135.864,31.402,11.315,201.734,8.090,5.476,2286.701
TCGA-BT-A20V-01A,6.088,53.096,35.357,6.204,5.095,13.292,171.577,1.509,5.143,101.400,41.483,1.448,2430.499
TCGA-GC-A3BM-01A,9.985,228.922,10.666,7.613,2.542,82.500,93.950,2.400,1.247,48.672,7.659,1.211,2447.751
TCGA-K4-A4AB-01B,6.709,651.873,16.484,1.533,3.968,62.420,280.405,21.879,1.100,371.081,6.358,2.756,2971.200
TCGA-FD-A5C0-01A,7.232,348.723,11.865,3.134,7.058,43.039,103.225,42.431,2.726,584.400,7.003,4.553,3424.012
TCGA-G2-A2EK-01A,16.781,199.653,16.951,1.685,7.441,35.377,25.812,20.725,1.000,208.267,5.056,1.717,1645.464
TCGA-CF-A1HR-01A,10.258,170.370,10.563,5.741,5.521,89.297,72.646,20.074,1.000,108.919,16.561,7.986,2439.114
TCGA-GC-A3RD-01A,5.404,177.718,10.223,1.265,1.408,35.561,59.034,4.717,3.177,60.999,3.590,1.988,1512.427
TCGA-E7-A5KE-01A,6.714,15.434,3.559,1.000,1.000,42.969,4.789,1.210,1.000,15.775,1.304,7.656,3265.628
TCGA-ZF-A9R9-01A,12.946,558.620,7.139,1.000,1.572,37.389,74.375,20.415,1.000,390.810,5.412,1.379,459.143
TCGA-DK-A1AB-01A,16.039,952.975,40.402,4.772,6.203,48.566,302.863,32.141,1.450,388.522,26.312,4.148,912.514
TCGA-GU-A42R-01A,3.393,68.482,4.748,2.714,1.000,69.283,21.406,3.526,1.000,31.752,5.530,1.308,2529.721
TCGA-E7-A5KF-01A,5.016,102.882,5.718,1.000,1.000,39.747,6.141,1.000,1.000,8.554,1.556,1.000,4803.714
TCGA-ZF-AA54-01A,6.160,178.633,126.824,9.051,23.433,172.959,3270.950,21.367,2.299,630.192,58.985,6.839,95.861
TCGA-CF-A3MF-01A,1.174,16.450,1.630,1.000,1.000,38.355,3.298,1.092,1.000,22.289,1.027,1.000,642.045
TCGA-E7-A6ME-01A,15.317,54.554,11.162,25.154,2.044,72.664,166.648,32.400,1.896,109.168,51.025,3.477,1276.683
TCGA-DK-AA6M-01A,10.520,315.271,69.564,3.378,14.204,92.289,1357.636,85.499,1.101,157.690,57.128,6.451,2124.996
TCGA-CF-A47W-01A,4.497,67.104,7.187,1.000,1.000,53.923,22.349,2.010,1.000,62.376,6.631,1.000,3977.266
TCGA-XF-A9ST-01A,11.457,116.048,2.003,1.000,3.130,52.601,13.566,2.540,1.000,85.262,1.026,168.860,2223.152
TCGA-FD-A3SN-01A,21.380,1447.678,8.135,3.807,1.232,53.702,131.766,11.386,2.723,211.116,36.097,2.918,1717.134
TCGA-FD-A3B6-01A,9.923,270.941,43.648,26.301,10.215,75.548,840.391,5.661,6.512,65.848,189.357,9.212,3145.552
TCGA-ZF-A9R7-01A,32.569,63.922,23.493,55.031,9.756,43.532,346.305,122.742,1.000,23.672,235.785,12.726,2356.824
TCGA-BT-A3PK-01A,7.177,266.346,29.301,3.474,2.875,234.867,251.170,19.317,4.084,222.765,16.946,24.463,610.178
TCGA-FD-A62P-01A,5.860,780.528,25.386,13.042,8.655,63.691,294.216,16.814,6.642,198.141,54.487,5.183,1942.352
TCGA-LC-A66R-01A,58.910,211.395,42.268,26.576,8.300,108.696,388.232,27.356,6.236,183.133,94.109,8.380,2003.891
TCGA-DK-AA76-01A,2.893,25.203,2.467,1.000,1.000,54.768,7.572,1.447,1.000,15.181,1.000,1.000,2047.465
TCGA-DK-AA6T-01A,837.772,94.880,14.853,27.051,317.832,31.244,263.779,3.209,1.490,70.781,67.643,1.056,84.239
TCGA-XF-AAMH-01A,7.373,265.827,5.379,188.324,1.000,69.145,108.343,17.414,1.000,155.492,1.916,1.056,5263.426
TCGA-FD-A43U-01A,109.001,880.618,60.381,10.823,11.263,138.957,841.550,63.599,35.379,462.972,81.397,5.888,1796.171
TCGA-GC-A6I3-01A,82.895,332.612,25.108,14.391,10.377,41.472,412.209,28.291,5.675,165.169,100.857,2.050,3113.429
TCGA-GC-A6I1-01A,160.437,83.700,58.836,36.053,21.496,39.474,1545.980,5.387,11.203,96.808,180.267,7.660,925.864
TCGA-FD-A3B8-01A,43.244,1297.419,205.346,48.275,27.896,176.723,1712.209,137.312,22.575,1195.506,155.086,29.229,975.433
TCGA-XF-A8HD-01A,18.594,256.805,14.631,36.758,3.524,71.532,400.746,4.065,2.339,130.535,140.045,2.359,2509.054
TCGA-ZF-A9R2-01A,3.014,243.942,4.213,1.000,1.000,28.220,16.716,1.000,1.000,11.056,1.857,1.000,3332.559
TCGA-FD-A62S-01A,39.594,1735.899,85.813,5.278,19.257,109.700,770.554,51.906,2.415,629.344,30.311,5.977,855.922
TCGA-BT-A0S7-01A,15.117,91.166,14.230,28.172,4.958,149.323,119.786,7.759,1.985,93.727,7.864,17.811,1016.254
TCGA-CF-A8HY-01A,7.404,264.018,4.911,1.981,1.656,99.014,24.408,6.581,1.000,52.266,4.123,1.000,3067.442
TCGA-FD-A3B4-01A,52.409,558.334,34.554,8.458,11.136,64.555,391.423,91.525,3.267,319.376,62.898,3.484,199.873
TCGA-ZF-A9RF-01A,12.562,14.958,151.976,70.839,7.378,25.923,1527.109,8.002,1.448,52.448,277.586,6.254,1620.673
TCGA-FD-A3SQ-01A,42.425,1534.138,24.097,2.928,6.263,118.832,295.435,47.433,1.694,801.041,12.133,5.771,1540.817
TCGA-4Z-AA7Q-01A,29.625,80.119,25.290,29.135,5.720,65.440,355.797,6.999,2.190,81.394,113.096,3.501,1151.240
TCGA-DK-AA6S-01A,6.771,1638.159,23.137,5.540,5.115,67.191,204.896,24.474,5.857,297.229,36.819,1.911,3138.593
TCGA-LT-A8JT-01A,8.875,225.180,19.062,3.438,2.467,37.491,68.229,6.118,1.000,28.715,8.861,1.000,2135.785
TCGA-BT-A2LD-01A,12.176,187.128,13.721,5.520,2.535,49.240,180.766,9.530,1.607,188.866,14.257,31.094,7564.534
TCGA-DK-A6B2-01A,22.291,511.789,43.500,9.951,15.131,114.447,494.373,52.219,3.573,192.586,31.181,8.297,2121.176
TCGA-DK-A3IM-01A,7.131,38.591,6.036,1.000,1.141,18.304,38.534,1.892,1.000,20.379,2.610,1.704,266.655
TCGA-GU-A766-01A,15.613,51.840,52.787,34.829,10.691,166.826,710.007,8.395,99.879,370.306,256.227,8.607,854.093
TCGA-LT-A5Z6-01A,26.018,26.100,8.939,9.878,2.989,45.250,100.211,5.850,1.000,13.671,23.231,5.573,1127.574
TCGA-BL-A0C8-01B,14.119,26.441,11.513,1.000,1.619,126.284,44.875,1.471,1.101,76.365,3.567,38.411,802.032
TCGA-FT-A3EE-01A,9.672,129.759,9.153,1.050,12.595,70.961,57.219,10.907,1.000,31.980,2.822,2.467,1927.940
TCGA-G2-AA3C-01A,11.586,46.929,113.615,3.321,14.167,60.430,3328.605,1.955,26.824,171.381,60.966,6.548,350.839
TCGA-KQ-A41S-01A,4.386,1006.541,12.103,2.634,2.530,122.732,282.803,26.349,1.215,109.545,9.539,12.406,1221.798
TCGA-DK-A3IU-01A,121.056,584.471,98.021,71.339,30.950,70.061,1089.520,39.804,13.759,942.130,408.194,53.166,4203.625
TCGA-BT-A0YX-01A,7.995,97.383,20.153,14.335,4.455,54.853,259.510,47.067,2.002,36.154,36.443,8.628,1620.485
TCGA-2F-A9KO-01A,24.129,310.542,35.359,30.196,10.566,51.731,383.112,8.118,3.797,215.565,102.292,2.899,1887.217
TCGA-DK-AA6L-01A,8.211,207.249,41.415,3.978,7.786,38.640,294.979,18.272,2.618,72.644,25.590,6.562,3908.059
TCGA-XF-A9SP-01A,31.271,1303.281,18.587,4.610,6.793,123.371,361.036,72.352,3.044,947.210,15.938,2.123,2365.787
TCGA-E7-A4XJ-01A,4.520,79.856,3.376,1.000,3.940,50.035,8.609,5.226,1.000,37.612,1.345,1.000,2016.904
TCGA-XF-A8HB-01A,7.588,28.813,4.531,1.000,1.000,42.674,82.409,1.000,1.000,27.483,1.031,1.000,1743.920
