,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes
TCGA-Q1-A6DV-01A,0.007,0.001,0.000,0.035,0.000,0.000,0.888,0.026,0.021,0.015,0.000,0.000,0.003,0.000,0.003,0.000
TCGA-EK-A3GN-01A,0.000,0.000,0.000,0.010,0.000,0.000,0.959,0.003,0.009,0.018,0.000,0.000,0.000,0.000,0.000,0.000
TCGA-ZJ-A8QQ-01A,0.000,0.000,0.000,0.029,0.000,0.000,0.929,0.002,0.025,0.000,0.000,0.010,0.000,0.000,0.003,0.000
TCGA-LP-A5U3-01A,0.000,0.000,0.007,0.061,0.000,0.000,0.866,0.020,0.022,0.000,0.000,0.022,0.001,0.000,0.001,0.000
TCGA-VS-A94Z-01A,0.022,0.000,0.014,0.163,0.018,0.000,0.614,0.016,0.046,0.025,0.000,0.079,0.001,0.000,0.001,0.000
TCGA-EK-A2PG-01A,0.001,0.000,0.000,0.019,0.000,0.000,0.954,0.000,0.014,0.000,0.000,0.010,0.000,0.000,0.000,0.000
TCGA-DG-A2KL-01A,0.000,0.000,0.006,0.021,0.000,0.000,0.642,0.042,0.044,0.210,0.000,0.032,0.002,0.000,0.001,0.001
TCGA-EA-A6QX-01A,0.027,0.000,0.009,0.034,0.000,0.000,0.802,0.007,0.040,0.033,0.001,0.040,0.004,0.002,0.001,0.000
TCGA-VS-A9UT-01A,0.111,0.000,0.028,0.028,0.046,0.000,0.437,0.020,0.039,0.056,0.014,0.220,0.000,0.000,0.000,0.001
TCGA-C5-A8ZZ-01A,0.003,0.000,0.003,0.007,0.000,0.000,0.745,0.005,0.030,0.178,0.006,0.021,0.002,0.000,0.000,0.000
TCGA-VS-A959-01A,0.038,0.000,0.008,0.030,0.000,0.000,0.776,0.027,0.024,0.047,0.001,0.046,0.001,0.000,0.001,0.000
TCGA-VS-A950-01A,0.030,0.000,0.003,0.011,0.000,0.000,0.876,0.004,0.042,0.017,0.004,0.009,0.001,0.000,0.002,0.001
TCGA-VS-A9UM-01A,0.020,0.000,0.009,0.049,0.001,0.000,0.780,0.021,0.047,0.031,0.000,0.038,0.001,0.002,0.002,0.000
TCGA-DS-A0VM-01A,0.000,0.000,0.009,0.031,0.000,0.000,0.838,0.011,0.024,0.058,0.000,0.027,0.001,0.000,0.000,0.000
TCGA-VS-A957-01A,0.000,0.000,0.000,0.029,0.000,0.000,0.936,0.010,0.012,0.000,0.000,0.012,0.000,0.000,0.000,0.000
TCGA-EA-A3HR-01A,0.000,0.000,0.003,0.019,0.000,0.000,0.903,0.017,0.035,0.007,0.008,0.007,0.001,0.000,0.001,0.000
TCGA-C5-A2M2-01A,0.003,0.000,0.000,0.035,0.000,0.000,0.947,0.000,0.008,0.006,0.000,0.000,0.000,0.000,0.000,0.000
TCGA-VS-A9UV-01A,0.014,0.000,0.000,0.032,0.000,0.000,0.913,0.001,0.027,0.000,0.000,0.009,0.002,0.000,0.001,0.001
TCGA-EX-A3L1-01A,0.005,0.000,0.008,0.008,0.000,0.000,0.873,0.015,0.039,0.015,0.001,0.009,0.003,0.000,0.024,0.001
TCGA-VS-A9UU-01A,0.013,0.001,0.002,0.016,0.000,0.000,0.910,0.008,0.030,0.002,0.000,0.000,0.001,0.000,0.004,0.013
TCGA-MY-A5BE-01A,0.043,0.009,0.064,0.083,0.099,0.000,0.422,0.098,0.022,0.038,0.002,0.114,0.003,0.003,0.000,0.000
TCGA-VS-A94W-01A,0.007,0.000,0.027,0.052,0.006,0.000,0.734,0.078,0.027,0.023,0.001,0.039,0.001,0.003,0.001,0.000
TCGA-C5-A3HD-01B,0.000,0.000,0.001,0.012,0.000,0.000,0.976,0.001,0.008,0.000,0.000,0.000,0.001,0.000,0.000,0.000
TCGA-JX-A3PZ-01A,0.000,0.000,0.000,0.033,0.000,0.000,0.852,0.024,0.021,0.030,0.001,0.036,0.000,0.001,0.001,0.000
TCGA-IR-A3LA-01A,0.001,0.000,0.001,0.011,0.000,0.000,0.915,0.007,0.011,0.037,0.000,0.017,0.000,0.000,0.000,0.000
TCGA-C5-A3HE-01A,0.014,0.000,0.000,0.072,0.000,0.000,0.836,0.010,0.023,0.006,0.000,0.033,0.002,0.000,0.004,0.000
TCGA-Q1-A6DT-01A,0.000,0.000,0.000,0.017,0.000,0.000,0.939,0.004,0.021,0.000,0.002,0.012,0.001,0.000,0.003,0.000
TCGA-C5-A7CL-01A,0.001,0.000,0.001,0.025,0.000,0.000,0.881,0.005,0.041,0.020,0.003,0.017,0.004,0.000,0.002,0.000
TCGA-IR-A3LK-01A,0.000,0.000,0.000,0.043,0.000,0.000,0.895,0.011,0.019,0.000,0.000,0.029,0.001,0.000,0.000,0.000
TCGA-MA-AA3X-01A,0.000,0.000,0.007,0.005,0.001,0.008,0.803,0.002,0.055,0.002,0.009,0.104,0.001,0.000,0.002,0.002
TCGA-C5-A7XC-01A,0.027,0.000,0.003,0.032,0.000,0.000,0.737,0.024,0.050,0.086,0.001,0.017,0.004,0.018,0.001,0.001
TCGA-VS-A94Y-01A,0.001,0.000,0.003,0.023,0.000,0.000,0.892,0.010,0.023,0.041,0.001,0.003,0.001,0.001,0.001,0.000
TCGA-EK-A2PM-01A,0.000,0.000,0.000,0.001,0.000,0.000,0.960,0.000,0.010,0.023,0.002,0.004,0.000,0.000,0.000,0.000
TCGA-FU-A3TQ-01A,0.001,0.000,0.015,0.024,0.000,0.000,0.841,0.036,0.038,0.026,0.000,0.013,0.002,0.002,0.001,0.001
TCGA-EX-A69M-01A,0.028,0.000,0.002,0.061,0.004,0.000,0.801,0.018,0.022,0.000,0.000,0.053,0.005,0.000,0.005,0.000
TCGA-ZJ-AAX4-01A,0.001,0.001,0.008,0.029,0.012,0.000,0.759,0.036,0.043,0.017,0.000,0.089,0.002,0.000,0.001,0.000
TCGA-FU-A40J-01A,0.001,0.000,0.000,0.052,0.000,0.000,0.848,0.025,0.026,0.036,0.000,0.002,0.001,0.004,0.002,0.000
TCGA-VS-A8QF-01A,0.023,0.000,0.006,0.024,0.001,0.000,0.851,0.012,0.024,0.009,0.001,0.045,0.002,0.000,0.001,0.001
TCGA-Q1-A73R-01A,0.001,0.000,0.001,0.039,0.000,0.000,0.852,0.001,0.027,0.065,0.007,0.005,0.000,0.000,0.000,0.000
TCGA-VS-A9V0-01A,0.000,0.000,0.000,0.010,0.000,0.000,0.946,0.005,0.022,0.005,0.011,0.000,0.000,0.000,0.000,0.000
TCGA-UC-A7PF-01A,0.014,0.000,0.004,0.088,0.000,0.000,0.669,0.090,0.024,0.061,0.000,0.047,0.001,0.001,0.001,0.000
TCGA-C5-A1BQ-01C,0.000,0.000,0.001,0.094,0.000,0.000,0.820,0.000,0.022,0.003,0.000,0.059,0.000,0.000,0.000,0.000
TCGA-C5-A1MN-01A,0.000,0.000,0.004,0.012,0.000,0.000,0.932,0.005,0.032,0.009,0.000,0.005,0.000,0.000,0.000,0.000
TCGA-VS-A8EB-01A,0.000,0.000,0.000,0.049,0.000,0.000,0.901,0.010,0.015,0.008,0.000,0.007,0.001,0.006,0.000,0.000
TCGA-MY-A5BD-01A,0.000,0.000,0.001,0.029,0.000,0.000,0.919,0.023,0.009,0.013,0.001,0.002,0.001,0.001,0.000,0.000
TCGA-C5-A3HF-01A,0.018,0.000,0.003,0.028,0.001,0.000,0.808,0.026,0.029,0.072,0.000,0.012,0.002,0.000,0.000,0.000
TCGA-HM-A6W2-01A,0.010,0.000,0.002,0.001,0.000,0.000,0.844,0.001,0.034,0.080,0.004,0.024,0.000,0.000,0.001,0.000
TCGA-C5-A2LS-01A,0.001,0.000,0.000,0.016,0.000,0.000,0.957,0.015,0.008,0.002,0.000,0.000,0.000,0.000,0.000,0.000
TCGA-C5-A8YT-01A,0.001,0.000,0.000,0.025,0.000,0.000,0.635,0.003,0.041,0.269,0.001,0.008,0.002,0.015,0.001,0.000
