"","B Cells","Endothelial Cells","Fibroblasts","Macrophages","Cancer Cells","T Cells","Mast Cells"
"TCGA.BI.A20A.01A",0.00102484753438378,0.765055126220429,0.157345278051486,0.0730387759792177,0,0.00353597221448351,0
"TCGA.C5.A2LV.01A",0.0629736626395685,0.610222500352437,0.19052357830524,0.0421432185532431,0.0935865404574203,0,0.000550499692091334
"TCGA.C5.A2LZ.01A",0.00294413805010312,0.87244101301473,0.0952521801289277,0.0256462743014435,0.000267248521405635,0.00129692492211121,0.00215222106127871
"TCGA.Q1.A6DV.01A",0,0.72153325651994,0.275538757227442,0.00163156786221652,0,0,0.00129641839040072
"TCGA.EK.A3GN.01A",0,0.630261606991303,0.325954711207348,0.00438075323933189,0.039402928562017,0,0
"TCGA.ZJ.A8QQ.01A",0.0376318846233844,0.685306936687505,0.0676020736936346,0.0075821900968944,0.200650878641725,0.00119174285608363,3.42934007721455e-05
"TCGA.LP.A5U3.01A",0.00384253614666614,0.91373024059847,0.0368570995785397,0.044767023984496,0,0.000803099691828306,0
"TCGA.VS.A94Z.01A",0,0.865598173132226,0.0594386076010563,0.0749632192667182,0,0,0
"TCGA.EK.A2PG.01A",0.00242075842206555,0.417960567267181,0.248824932189555,0.0111223992411553,0.319671342880044,0,0
"TCGA.DG.A2KL.01A",0,0.555228975070607,0.413747154667337,0.031023870262056,0,0,0
"TCGA.EA.A6QX.01A",0.00156563375823854,0.845987106478671,0.0936865166236767,0.0563353181991904,0,0.00102451212673596,0.00140091281348719
"TCGA.VS.A9UT.01A",0,0.4212966291644,0.19959913012973,0.37910424070587,0,0,0
"TCGA.C5.A8ZZ.01A",0,0.37193063708696,0.62103948273709,0.00702988017594983,0,0,0
"TCGA.VS.A959.01A",0.00271356899523747,0.588463460859663,0.31182103285278,0.0968610336573261,0,0,0.000140903634994275
"TCGA.VS.A950.01A",0,0.425335903771036,0.548075666797643,0.0238694228955915,0.000860964515886927,0.00178276275266332,7.52792671795077e-05
"TCGA.VS.A9UM.01A",0.00128469602312723,0.701280941802472,0.252285416211634,0.041631178922441,0,0.00255445532219345,0.000963311718131627
"TCGA.DS.A0VM.01A",0,0.604949372944398,0.331229932801275,0.0638206942543273,0,0,0
"TCGA.VS.A957.01A",0,0.667435909173997,0.28341736223983,0.0105089515585513,0.0386377770276216,0,0
"TCGA.EA.A3HR.01A",0,0.643830023683168,0.337535171966072,0.00711407900325784,0.0115207253475019,0,0
"TCGA.C5.A2M2.01A",0.0023182422546736,0.693973950539584,0.293662850940145,0.00855262991472752,0.000461474258855007,0.00103085209201506,0
"TCGA.VS.A9UV.01A",0,0.550329331976128,0.3709079654367,0.0196628875968495,0.0590998149903226,0,0
"TCGA.EX.A3L1.01A",0,0.662708124817067,0.303851919056011,0.0286650724488417,0,0.00474769889784444,2.71847802362396e-05
"TCGA.VS.A9UU.01A",0.00424149324336457,0.715665870042214,0.185182101048807,0.000761882323975638,0.0941089140580797,0,3.97392835589075e-05
"TCGA.MY.A5BE.01A",0.00427510836829639,0.57499049180104,0.110392675194804,0.135073262732929,3.81340739710991e-05,0.172550910829824,0.00267941699913573
"TCGA.VS.A94W.01A",0.00261739371610094,0.815765404467047,0.117446585130316,0.0628779976723058,0,0,0.00129261901423058
"TCGA.C5.A3HD.01B",0.000653382669193882,0.803011568540591,0.186948051936141,0.00885509400685825,0,0,0.000531902847216912
"TCGA.JX.A3PZ.01A",0,0.58503955925293,0.319203574710878,0.0736474149671892,0.0221094510690032,0,0
"TCGA.IR.A3LA.01A",0,0.406293407672038,0.395056342345684,0.0214984023849684,0.177151847597309,0,0
"TCGA.C5.A3HE.01A",0.0489153642487773,0.614508332264236,0.125513728325287,0.0501189490759537,0.155441096697249,0,0.00550252938849651
"TCGA.Q1.A6DT.01A",0.00170481700665524,0.506707721244079,0.447805113177164,0.0237332829346602,0.0200490656374416,0,0
"TCGA.C5.A7CL.01A",0,0.786132812799457,0.184353534841872,0.026986408339555,0,0.00128700784556793,0.00124023617354782
"TCGA.IR.A3LK.01A",0.0271457899517842,0.524365838467825,0.394077533049186,0.0418122875896881,0.0124489814693214,0,0.000149569472195473
"TCGA.MA.AA3X.01A",0.0046588075247518,0.603439746018538,0.271465962837709,0.120435483619001,0,0,0
"TCGA.C5.A7XC.01A",0.000678001874322023,0.727347822356159,0.244614160740396,0.0259287678417193,0,0,0.00143124718740384
"TCGA.VS.A94Y.01A",0,0.677302154675687,0.278358885236104,0.0431490624251389,0,0.00109171069155537,9.81869715150616e-05
"TCGA.EK.A2PM.01A",0,0.256626999302513,0.496768535198403,0.0434298624934079,0.203174603005676,0,0
"TCGA.FU.A3TQ.01A",0.00373966421244828,0.702685036956133,0.268089750875993,0.0242567353597292,0,0,0.00122881259569643
"TCGA.EX.A69M.01A",0,0.850890512937115,0.0557567371319568,0.074369413126063,0.0189833368048647,0,0
"TCGA.ZJ.AAX4.01A",0.00226420599267831,0.672367914545538,0.19439643798533,0.129826964182333,0.000609495293559776,0,0.000534982000560811
"TCGA.FU.A40J.01A",0.0581351138587567,0.614214611584747,0.27993603466862,0.0104303896829048,0.0331573582028364,0,0.00412649200213523
"TCGA.VS.A8QF.01A",0.00209127066340856,0.514723994795012,0.332549610523327,0.120499701220861,0.030135422797392,0,0
"TCGA.Q1.A73R.01A",0.00276389272484058,0.651779648966984,0.339750506611739,0.00396853267147233,0,0.00163614816572743,0.000101270859237514
"TCGA.VS.A9V0.01A",0,0.526412326910728,0.444820707838179,0.00772251939648858,0.0210444458546043,0,0
"TCGA.UC.A7PF.01A",0.000926209534202243,0.72790696537458,0.203351284523808,0.0639041209439966,0,0.00307244871222026,0.000838970911193013
"TCGA.C5.A1BQ.01C",0.00282410526653107,0.853377640242301,0.0831135715571484,0.0585802653937119,0,0.00185804235539325,0.000246375184914723
"TCGA.C5.A1MN.01A",0,0.708490544020908,0.243481977987026,0.0480274779920666,0,0,0
"TCGA.VS.A8EB.01A",0.0550756191945376,0.548562019748267,0.269935162046358,0.0113892214471862,0.115037977563652,0,0
