"","B Cells","Endothelial Cells","Fibroblasts","Macrophages","Cancer Cells","T Cells","Mast Cells"
"TCGA.3Z.A93Z.01A",0,0.679142012661401,0.286545459935681,0.0338141413698081,0,0,0.00049838603311059
"TCGA.CZ.5454.01A",0,0.526831819624698,0.193903432581766,0.279264747793536,0,0,0
"TCGA.A3.3358.01A",0,0.807282837085327,0.0845192556237754,0.10751772966696,0,0,0.000680177623938216
"TCGA.CJ.6031.01A",0,0.472467677879013,0.412396412647705,0.114784320033973,0,0,0.00035158943930861
"TCGA.BP.4790.01A",0,0.674173967905482,0.288293512138539,0.0368267435212773,0,0,0.000705776434701123
"TCGA.B0.5699.01A",0,0.841479799900512,0.118345775201381,0.0401744248981068,0,0,0
"TCGA.CJ.4635.01A",0,0.694121567864885,0.199421972115357,0.106354835291765,0,0,0.000101624727992266
"TCGA.A3.A8CQ.01A",0,0.779642314238124,0.213704011534008,0.00665367422786818,0,0,0
"TCGA.AK.3447.01A",0,0.289657998301514,0.12590847412806,0.203122255564503,0.381311272005923,0,0
"TCGA.BP.4159.01A",0,0.573350008450542,0.400774782549381,0.0257317468480345,0,0,0.000143462152042984
"TCGA.B0.5698.01A",0,0.882060860486018,0.0572445074756062,0.060668549416702,0,0,2.60826216738587e-05
"TCGA.A3.A8OU.01A",0,0.715681381472847,0.257606922248069,0.0267116962790841,0,0,0
"TCGA.A3.3380.01A",0,0.70189509652219,0.268604893214029,0.0287836457149304,0,0,0.000716364548850563
"TCGA.BP.4998.01A",0,0.683724394168763,0.280710723744828,0.0355648820864094,0,0,0
"TCGA.A3.3383.01A",0.00305831075750916,0.759329277145721,0.160969078211599,0.0756386844681722,0,0,0.00100464941699873
"TCGA.BP.4353.01A",0,0.783079863860344,0.163702246786112,0.0527700724758243,0,0,0.00044781687771967
"TCGA.CJ.5686.01A",0,0.756391914211493,0.116720264236295,0.126887821552212,0,0,0
"TCGA.EU.5907.01A",0,0.779962575989503,0.144296683543309,0.0757407404671888,0,0,0
"TCGA.B0.4703.01A",0,0.542796045970291,0.445248476349912,0.0116481877532213,0,0,0.000307289926575889
"TCGA.B0.5119.01A",0,0.791792212678717,0.190730222734293,0.0174775645869893,0,0,0
"TCGA.B0.4822.01A",0,0.652122933383601,0.225108901437817,0.122768165178582,0,0,0
