"","T Cells","Macrophages","NK","Cancer Cells","Endothelial Cells","Monocyte","B Cells","DC","Mast Cells","Fibroblasts"
"TCGA.2Z.A9JR.01A",0,0.0647833249531382,0,0.602797117872468,0.162344982416637,0,0,0,0,0.170074574757757
"TCGA.A4.A6HP.01A",0,0.11954332580277,0,0.642723055400481,0.0993860004758185,0,0,0,0,0.138347618320931
"TCGA.F9.A97G.01A",0,0.173797863085614,0,0.588529111313105,0.0944597928915444,0,0,0,0,0.143213232709736
"TCGA.2Z.A9J9.01A",0,0,0,0.437262545353985,0.384587854997162,0,0,0,0,0.178149599648853
"TCGA.A4.A5Y0.01A",0,0,0,0.84552190502283,0.0882136808572452,0,0,0,0,0.0662644141199244
"TCGA.2Z.A9JD.01A",0,0,0,0.783022025122129,0.125527244195582,0,0,0,0,0.0914507306822897
"TCGA.A4.7828.01A",0,0,0,0.349328895410889,0.366867613244921,0,0,0,0,0.283803491344191
"TCGA.MH.A857.01A",0,0.0427613768866983,0,0.610145102853245,0.224528115006411,0,0,0,0,0.122565405253645
"TCGA.2Z.A9J2.01A",0,0.058125950601748,0,0.882611483589068,0.0252557975124471,0,0,0,0,0.034006768296737
"TCGA.A4.8518.01A",0,0.0171345971453331,0,0.814229572544256,0.0905175157995157,0,0,0,0,0.0781183145108949
"TCGA.A4.7585.01A",0,0.133102175675796,0,0.508817208489461,0.162986152215847,0,0,0,0,0.195094463618895
"TCGA.BQ.7046.01A",0,0.085636908601155,0,0.588100097460525,0.167515557842106,0,0,0,0,0.158747436096214
"TCGA.BQ.5886.01A",0,0.0603884723755934,0,0.863689356175205,0.0390388912245178,0,0,0,0,0.0368832802246839
"TCGA.4A.A93X.01A",0,0.00395530962934461,0,0.927489766219733,0.0444672492074247,0,0,0,0,0.0240876749434975
"TCGA.IA.A40X.01A",0,0.0338014778335637,0,0.678288623035015,0.160061538975274,0,0,0,0,0.127848360156148
"TCGA.BQ.5888.01A",0,0.0479814772959199,0,0.682702375608107,0.111251513831371,0,0,0,0,0.158064633264602
"TCGA.A4.7915.01A",0,0.0207670548967853,0,0.509304528750188,0.244285080683124,0,0,0,0,0.225643335669903
