,B Cells_marker_mean,CD4 T_marker_mean,CD8 T_marker_mean,DC_marker_mean,Endothelial Cells_marker_mean,Fibroblasts_marker_mean,Macrophages_marker_mean,Mast Cells_marker_mean,NK_marker_mean,Neutrophils_marker_mean,Cancer Cells_marker_mean
IPILUNG052.T1,56.958,954.555,197.636,549.257,1.000,20.141,40.410,11.633,1059.448,250.445,34.988
IPILUNG076.T1,17.020,188.435,30.115,69.318,13.990,86.996,126.103,128.549,127.763,133.626,687.740
IPILUNG077.T1,599.483,526.847,130.024,290.740,17.264,26.714,119.043,69.016,434.388,71.373,72.408
IPIMEL252.T1,925.702,250.770,96.216,448.834,4.898,1.234,18.656,17.366,195.750,13.271,15.957
IPIMEL283.T1,1.000,123.947,4.192,32.696,37.524,141.356,538.932,1.000,36.369,430.119,3.101
IPIMEL325.T1,4.939,166.235,71.713,71.415,13.231,813.153,56.946,1.705,230.701,91.169,1.000
IPICRC057.T1,32.031,345.882,65.994,123.230,8.299,11.751,63.056,1.000,197.084,283.005,1302.693
IPICRC058.T1,15.272,193.322,171.927,286.117,11.278,4.458,159.753,3.560,1569.263,1002.621,251.092
IPICRC060.T1,15.136,115.272,13.516,68.577,9.465,11.574,33.571,20.773,62.696,166.450,1418.863
IPICRC063.T1,103.090,482.474,145.757,198.267,14.985,216.045,140.818,99.793,724.839,260.846,214.938
IPICRC064.T1,150.160,370.044,175.409,613.856,2.787,3.903,58.025,38.323,2551.902,655.724,408.182
IPICRC067.T1,149.784,124.937,15.303,72.325,23.195,202.487,49.089,126.071,116.319,69.828,1642.081
IPIGYN091.T1,1.000,4.589,2.531,27.928,7.953,16.874,8.684,2.264,4.116,13.118,1468.812
IPIGYN093.T1,2.444,232.616,48.690,87.769,35.978,170.356,229.252,75.207,267.612,296.278,651.848
IPIGYN095.T1,53.262,103.216,18.196,26.151,83.508,112.254,453.383,1.000,114.018,684.237,388.501
IPIGYN096.T1,2.220,8.052,1.660,16.958,19.911,106.145,27.254,3.445,17.120,37.882,669.169
IPIKID027.T1,5.310,361.349,412.450,124.563,90.481,65.866,161.236,20.519,1341.310,70.004,36.177
IPIKID047.T1,10.817,165.104,59.216,112.108,91.694,3.987,425.347,28.192,5968.423,96.484,32.698
IPIKID071.T1,11.323,185.365,128.162,316.016,28.794,6.779,740.936,6.748,1313.045,307.758,6.685
IPIKID092.T1,51.812,287.818,698.904,233.821,19.447,21.001,216.772,4.345,1504.516,74.245,15.551
IPIKID093.T2,6.724,242.617,101.055,100.315,251.222,182.227,475.627,269.724,830.459,175.598,8.698
IPIMELB002.T1,11.205,109.238,292.276,172.405,8.107,6.755,122.331,1.599,884.212,83.465,1.000
IPIMELB003.T1,4.798,28.253,90.405,35.582,13.584,54.296,26.932,1.000,197.166,29.998,1.275
IPIMELB003.T2,8.856,25.318,23.961,23.711,25.597,83.532,29.280,1.206,69.317,49.106,1.210
IPIMELB003.T3,6.502,157.089,45.069,54.639,113.933,533.310,318.588,3.388,86.754,1026.546,2.814
IPIPDAC037.T1,199.209,142.053,35.708,96.422,61.446,947.817,210.462,97.471,79.487,169.826,613.269
IPISRC012.T1,9.030,365.651,79.068,119.053,235.682,280.107,547.566,1571.708,268.581,265.968,3.284
IPIHEP003.T1,128.364,1093.018,311.660,202.298,5.382,7.909,79.410,8.544,839.549,49.179,29.121
IPIHEP017.T1,35.658,426.178,58.454,155.848,14.671,82.055,84.631,2.468,745.153,331.826,792.815
IPIHNSC065.T1,17.244,167.695,66.731,163.935,45.179,48.190,117.820,136.228,1750.890,248.764,298.617
IPIHNSC073.T1,22.767,144.473,41.334,169.352,30.869,28.868,30.946,16.884,918.375,89.098,580.976
IPIKID093.T1,16.032,592.292,134.205,115.961,14.997,8.991,276.493,159.808,893.033,125.774,2.441
IPIKID094.T1,38.833,666.535,245.192,200.777,38.550,140.887,474.840,28.991,776.354,347.482,27.640
IPIKID094.T2,5.624,382.793,59.366,112.309,41.086,856.594,488.045,2.507,249.868,473.266,23.277
IPIPNET010.T1,2.345,1.269,1.000,4.259,19.076,16.042,41.877,2.556,2.097,12.897,155.631
IPIPNET014.T1,52.063,83.485,31.763,64.979,234.641,36.308,72.512,77.979,138.573,96.015,257.069
IPISRC001.T1,9.352,100.321,139.241,68.075,46.102,2044.879,206.674,31.465,297.957,38.172,7.000
IPISRC003.T1,4.859,86.329,25.806,65.091,17.711,835.540,245.990,10.225,526.261,158.161,1.416
IPISRC004.T1,18.673,67.082,443.590,228.632,31.720,497.700,175.658,511.142,514.165,66.895,1.809
IPISRC009.T1,8.368,78.988,658.884,350.688,10.790,472.781,174.398,12.257,1068.063,293.478,1.644
IPISRC011.T1,27.875,478.222,162.429,232.095,50.363,160.850,543.535,19.360,1361.372,449.362,2.394
IPISRC013.T1,21.740,91.879,43.871,50.347,66.559,1678.141,410.704,43.388,133.486,59.326,4.792
IPIBLAD033.T1,1.000,3.039,1.000,30.010,1.234,4.897,33.321,47.280,16.989,40.344,1767.986
IPIGYN084.T1,184.928,619.189,191.070,354.411,39.367,12.070,287.503,36.231,743.003,72.383,93.577
IPIGYN085.T1,11.944,417.298,482.541,337.815,16.622,92.514,202.095,8.394,1427.336,284.828,109.607
IPIGYN086.T1,53.034,60.746,238.948,55.052,10.793,309.034,78.713,8.094,100.620,82.381,872.320
IPIGYN087.T1,1.000,4.858,11.525,27.979,2.250,28.181,80.926,5.398,82.629,687.596,1425.687
IPIGYN088.T1,10.005,86.538,60.870,149.725,39.496,1404.820,177.388,28.105,900.733,72.079,710.772
IPIGYN089.T1,80.665,531.233,55.056,540.863,23.665,46.937,379.903,14.734,12353.814,237.604,28.945
IPIHNSC031.T1,691.940,680.515,270.745,398.138,6.900,7.563,75.532,3.900,521.096,28.522,36.182
IPIHNSC061.T1,3.547,44.258,11.822,17.235,3.301,105.438,18.018,6.884,32.272,40.051,1112.381
IPIHNSC069.T1,1.725,6.639,16.179,15.676,10.506,124.507,60.337,3.942,70.987,48.422,644.252
IPIHNSC070.T1,67.074,644.096,92.789,440.258,18.190,225.902,96.715,18.200,1525.534,59.896,71.279
IPIKID083.T1,6.052,42.724,665.731,91.705,16.047,12.064,572.742,6.331,1863.319,82.559,22.071
IPIKID084.T1,14.612,386.629,286.862,154.881,21.527,17.457,299.937,7.871,1088.963,97.916,151.145
IPIKID085.T1,115.183,329.808,436.010,428.798,32.747,6.257,353.302,10.131,2573.735,170.178,11.348
IPIKID086.T1,10.560,150.605,117.494,181.007,24.714,8.014,378.293,35.569,1718.247,442.032,39.583
IPIKID086.T2,21.487,179.886,66.756,180.725,43.824,9.439,364.677,26.986,1086.844,379.722,93.345
IPIKID088.T1,19.105,454.870,124.076,226.559,375.765,119.901,334.798,116.557,1351.581,431.819,41.146
IPIKID089.T1,7.521,120.239,143.873,114.317,25.612,2.198,1042.126,14.816,1007.288,411.966,11.011
IPIKID090.T1,9.260,53.292,961.969,52.311,25.068,1.369,484.697,7.000,1614.086,73.965,9.919
IPIKID091.T1,9.705,98.764,342.015,207.093,26.804,8.816,604.651,6.499,1649.717,153.598,52.353
IPICRC048.T1,133.289,695.531,88.952,183.995,5.375,33.841,46.908,13.034,728.284,207.496,694.191
IPIGYN027.T1,167.544,701.552,464.228,362.026,23.669,253.674,34.622,2.007,1470.168,23.540,20.916
IPIGYN059.T1,2.097,25.748,82.757,93.633,9.253,33.420,118.585,16.997,477.552,619.648,397.820
IPIGYN060.T1,416.276,332.247,214.699,119.864,9.369,121.447,40.734,1.901,286.188,29.256,843.376
IPIHEP012.T1,16.160,924.459,116.457,178.821,42.780,38.591,125.640,172.904,848.240,196.828,23.299
IPIHNSC054.T1,115.345,2063.182,354.342,569.660,20.716,433.757,99.707,107.702,885.972,151.609,1.408
IPIHNSC059.T1,282.086,1282.002,335.304,580.621,10.735,19.530,31.609,111.289,2565.720,27.164,2.539
IPIHNSC060.T1,19.301,749.439,164.708,556.669,26.445,74.169,208.835,113.093,1495.706,556.958,1.661
IPILUNG055.T1,4.192,242.515,136.319,189.956,1.000,10.897,1.000,3.041,298.438,10.998,254.750
IPIMEL253.T1,413.994,413.606,146.015,370.527,22.322,11.951,204.199,1.000,713.125,125.026,14.812
IPIMEL273.T1,748.617,962.799,195.427,453.504,10.756,12.642,55.650,29.711,187.580,32.334,5.823
IPIMEL274.T1,263.507,1014.302,1036.421,377.106,8.036,15.036,74.755,1.270,989.059,21.501,1.000
IPIMEL301.T1,32.874,342.903,368.428,104.231,13.057,135.156,97.409,18.802,253.948,50.422,1.747
IPIPNET009.T1,15.821,194.162,25.469,83.448,210.372,50.285,81.209,194.801,506.078,167.428,167.845
IPICRC039.T1,603.589,622.656,152.315,318.827,13.425,48.933,44.657,73.044,584.689,165.225,468.493
IPICRC040.T2,313.796,493.017,49.094,224.183,23.695,50.590,162.510,53.662,625.153,280.270,293.787
IPIHEP015.T1,14.878,539.031,34.150,69.987,390.420,93.001,284.065,144.903,524.429,806.192,8.848
IPIHNSC026.T1,938.025,1431.689,228.894,575.522,8.370,3.120,26.527,17.948,595.527,36.594,5.097
IPIHNSC057.T1,529.798,1033.802,85.498,226.570,63.327,200.345,232.031,708.929,165.996,129.715,66.564
IPIHNSC062.T1,36.597,1224.541,557.375,397.085,21.087,264.822,100.977,381.107,1467.105,296.512,1.388
IPIHNSC063.T1,61.169,1230.116,383.123,621.114,31.610,62.008,157.991,89.406,2133.541,320.764,1.383
IPIKID048.T1,26.023,15.362,74.477,64.414,5.510,1.526,424.512,18.186,267.108,2638.889,1.000
IPIKID049.T1,82.514,1597.071,681.141,183.322,72.183,3.789,85.947,1.000,813.174,104.371,2.739
IPIMEL255.T1,1128.546,809.758,119.628,528.117,7.897,5.606,29.944,1.000,426.279,23.635,1.000
IPIMEL271.T1,65.138,386.113,309.517,123.450,42.807,154.368,598.572,1.000,479.220,106.747,1.000
IPIMEL298.T1,1794.322,494.061,130.403,365.315,5.262,11.301,80.689,3.774,272.555,27.592,1.091
IPIMEL056.T1,100.713,19.236,1065.166,819.962,4.713,1.954,19.764,1.000,8141.058,8.778,1.000
IPIMEL069.T1,1025.881,485.268,108.804,462.421,2.918,1.000,20.481,1.000,372.326,16.682,1.478
