"","T Cells","NK","Macrophages","B Cells","Endothelial Cells","Cancer Cells","Fibroblasts"
"TCGA.DU.6396.01A",0,0,0.196785117152703,0,0.786009944520779,0.017204938326518,0
"TCGA.S9.A7QW.01A",0,0,0,0,0.46959773118455,0.53040226881545,0
"TCGA.FG.7643.01A",0,0,0,0,0.675436092236049,0.324563907763951,0
"TCGA.S9.A7R4.01A",0,0,0.028812194290741,0,0.78669272418051,0.184495081528749,0
"TCGA.DU.A6S8.01A",0,0,0,0,0.494925149099032,0.505074850900968,0
"TCGA.HT.7601.01A",0,0,0.278506144528853,0,0.676251165854015,0.0452426896171319,0
"TCGA.HT.7854.01A",0,0,0.140835896159555,0,0.747669450711744,0.111494653128701,0
"TCGA.QH.A6X3.01A",0,0,0.0551840822878529,0,0.626944516877468,0.317871400834679,0
"TCGA.P5.A5F0.01A",0,0,0,0,0.536731153792639,0.46326884620736,0
"TCGA.CS.5395.01A",0,0,0,0,0.638591890437685,0.361408109562315,0
"TCGA.DU.6402.01A",0,0,0.157044791911319,0,0.813469677955294,0.0294855301333877,0
"TCGA.VM.A8CE.01A",0,0,0,0,0.748403554635314,0.251596445364686,0
"TCGA.HT.7467.01A",0,0,0,0,0.697032847064554,0.302967152935446,0
"TCGA.DB.A4XC.01A",0,0,0.0316525794722507,0,0.653657880154253,0.314689540373497,0
"TCGA.RY.A83X.01A",0,0,0,0,0.675203840889231,0.324796159110769,0
"TCGA.HT.A5R9.01A",0,0,0,0,0.547951875542156,0.452048124457844,0
"TCGA.S9.A6WD.01A",0,0,0,0,0.536664112357942,0.463335887642058,0
"TCGA.F6.A8O4.01A",0,0,0,0,0.494977629755232,0.505022370244768,0
"TCGA.TQ.A7RV.01A",0,0,0,0,0.569420329294694,0.430579670705306,0
"TCGA.FG.7637.01A",0,0,0,0,0.682036688490654,0.317963311509346,0
"TCGA.FG.6689.01A",0,0,0.0137519688945471,0,0.734808774722298,0.251439256383155,0
"TCGA.E1.A7YO.01A",0,0,0,0,0.695712069790202,0.304287930209798,0
"TCGA.FG.7638.01B",0,0,0,0,0.686220502533207,0.313779497466793,0
"TCGA.S9.A7QZ.01A",0,0,0,0,0.630456584859474,0.369543415140526,0
"TCGA.P5.A5F2.01A",0,0,0,0,0.638523575149382,0.361476424850618,0
"TCGA.R8.A6YH.01A",0,0,0,0,0.60279256490012,0.39720743509988,0
"TCGA.E1.A7YS.01A",0,0,0,0,0.591068958497806,0.408931041502194,0
"TCGA.HT.7880.01A",0,0,0,0,0.622230338419199,0.377769661580801,0
"TCGA.DU.5852.01A",0,0,0.0681632310204959,0,0.754589668966988,0.177247100012517,0
"TCGA.E1.A7Z4.01A",0,0,0.0537459724922819,0,0.550604063152013,0.395649964355705,0
"TCGA.DU.7298.01A",0,0,0,0,0.635923217046734,0.364076782953266,0
"TCGA.HT.7478.01A",0,0,0.151826774475722,0,0.74550623817937,0.102666987344908,0
"TCGA.DU.A5TU.01A",0,0,0.140835011598041,0,0.576309512859894,0.282855475542065,0
"TCGA.DU.6399.01A",0,0,0.0348559570222965,0,0.668347256963651,0.296796786014052,0
"TCGA.RY.A83Y.01A",0,0,0.00790215570953582,0,0.65767412002854,0.334423724261924,0
"TCGA.DU.7300.01A",0,0,0.00684464084420831,0,0.680047995129145,0.313107364026646,0
"TCGA.S9.A7IX.01A",0,0,0.0867523028714315,0,0.679298571731171,0.233949125397398,0
"TCGA.HT.8558.01A",0,0,0,0,0.527956335693395,0.472043664306605,0
"TCGA.S9.A7IY.01A",0,0,0.0331736008077138,0,0.772304335892051,0.194522063300235,0
"TCGA.DB.A64W.01A",0,0,0,0,0.527636622713749,0.472363377286251,0
"TCGA.S9.A7IZ.01A",0,0,0.0317906864537676,0,0.703012636560587,0.265196676985646,0
"TCGA.DU.6410.01A",0,0,0,0,0.553441801198946,0.446558198801054,0
"TCGA.R8.A6MO.01A",0,0,0,0,0.706981690828545,0.293018309171455,0
"TCGA.P5.A780.01A",0,0,0,0,0.761308092210644,0.238691907789356,0
"TCGA.QH.A6XC.01A",0,0,0.0238686450844613,0,0.656695830210839,0.319435524704699,0
"TCGA.E1.A7YD.01A",0,0,0,0,0.665565940505702,0.334434059494298,0
"TCGA.E1.A7YI.01A",0,0,0,0,0.753867129112886,0.246132870887114,0
"TCGA.DU.8158.01A",0,0,0.244950578593085,0,0.586477021435396,0.168572399971518,0
