"","T Cells","NK","Macrophages","B Cells","Endothelial Cells","Cancer Cells","Fibroblasts"
"TCGA.MI.A75C.01A",0,0,0.279412490785548,0,0.120601017045407,0.599986492169045,0
"TCGA.DD.A39W.01A",0,0,0.157280602703329,0,0.406265888021863,0.436453509274808,0
"TCGA.DD.A4NA.01A",0,0,0.0960681367564452,0,0.698492281260846,0.205439581982709,0
"TCGA.DD.AAVY.01A",0,0,0.0801581509208303,0,0.476423732124873,0.443418116954296,0
"TCGA.DD.A1EC.01A",0,0.161301840560012,0.237151751238153,0,0.491364619070508,0.110181789131327,0
"TCGA.5C.AAPD.01A",0,0,0.418086409289309,0,0.317520669733865,0.253342020216865,0.0110509007599614
"TCGA.BC.4073.01B",0,0.00201073097689533,0.517000418131441,0,0.338560069024218,0.062636999571791,0.0797917822956548
"TCGA.WQ.A9G7.01A",0,0,0.0158660903666662,0,0.223122857780602,0.716148521972167,0.0448625298805649
"TCGA.CC.A7II.01A",0,0,0,0,0.112740753179537,0.766250421399555,0.121008825420907
"TCGA.CC.A8HS.01A",0,0,0,0,0.442359610676473,0.557640389323527,0
"TCGA.DD.AAEA.01A",0,0,0.459790695118738,0,0.0893963878267558,0.450812917054506,0
"TCGA.DD.A4ND.01A",0,0,0.129709552529934,0,0.633691274212824,0.0532010358595674,0.183398137397675
"TCGA.ZP.A9D2.01A",0,0,0.151167306119941,0,0.499029896769019,0.152489711969785,0.197313085141255
"TCGA.DD.AADI.01A",0,0,0.175430709132098,0,0.359021132582495,0.381094153174843,0.0844540051105627
"TCGA.2Y.A9GX.01A",0,0,0.330892160965961,0,0.370107953264752,0,0.298999885769287
"TCGA.DD.AACY.01A",0,0,0.0888153919696879,0,0.588889918151296,0.321312267207445,0.000982422671570928
"TCGA.DD.A73D.01A",0,0,0.0028438229224119,0,0.322256547434238,0.67489962964335,0
"TCGA.DD.AAE9.01A",0,0,0.231446219456765,0,0.274618212020055,0.49393556852318,0
"TCGA.ED.A7XO.01A",0,0,0.19723786672652,0,0.461410916920419,0.252967489364316,0.088383726988745
"TCGA.DD.AADM.01A",0,0,0.425581721067798,0,0.173039611977535,0.369355914552998,0.0320227524016694
"TCGA.FV.A3R3.01A",0,0,0.152492339299728,0,0.683317539461236,0.0705560399444355,0.0936340812946004
"TCGA.DD.AACL.01A",0,0,0.532587854482559,0,0.0778323783983209,0.389579767119121,0
"TCGA.DD.A4NJ.01A",0,0,0.215043662094201,0,0.586453009258949,0.19850332864685,0
"TCGA.DD.AADU.01A",0,0,0.423131303508571,0,0.22148759540597,0.355381101085458,0
"TCGA.CC.A7IF.01A",0,0,0.0789145402213668,0,0.393821724967586,0.527263734811047,0
"TCGA.CC.A5UE.01A",0,0,0.162461999869269,0,0.180602334018653,0.656935666112079,0
"TCGA.DD.AAVW.01A",0,0,0.0922204317838926,0,0.582666840060317,0.151006009662535,0.174106718493256
"TCGA.CC.A9FW.01A",0,0,0.10439087313023,0,0.231930503519327,0.663678623350443,0
"TCGA.DD.A4NQ.01A",0,0,0.422770095635622,0,0.204968814033771,0.348237335080714,0.0240237552498929
"TCGA.DD.A3A7.01A",0,0,0.168023255642566,0,0.12288810422937,0.709088640128064,0
"TCGA.EP.A2KA.01A",0,0.0175116243789553,0.315188713537209,0,0.439762024449086,0.22753763763475,0
"TCGA.ED.A7PZ.01A",0,0,0,0,0.146444913946315,0.853555086053685,0
"TCGA.G3.A25U.01A",0,0,0.0386864287409631,0,0.474737823599472,0.486575747659565,0
"TCGA.RC.A7SH.01A",0,0,0,0,0.359525655366438,0.640474344633562,0
"TCGA.G3.AAV1.01A",0,0,0.0911757923330473,0,0.597872931279924,0.310951276387029,0
"TCGA.2Y.A9GZ.01A",0,0,0.0118680290250191,0,0.619617030409027,0.368514940565954,0
"TCGA.DD.AA3A.01A",0,0,0.0250568577399439,0,0.420266977856147,0.554676164403909,0
"TCGA.2Y.A9HA.01A",0,0,0.135521932080523,0,0.404367666780635,0.460110401138842,0
"TCGA.DD.AADK.01A",0,0,0.17407803066885,0,0.400139492043687,0.336227047278416,0.0895554300090466
"TCGA.G3.A5SI.01A",0,0,0.0542758451657596,0,0.369976835324216,0.575747319510024,0
"TCGA.DD.A4NI.01A",0,0,0.252229999103177,0,0.605858876326147,0.141911124570676,0
"TCGA.DD.A73A.01A",0,0.00162721522303754,0.334181857089482,0,0.382746869099525,0.281444058587955,0
"TCGA.MR.A8JO.01A",0,0,0.0803639140305287,0,0.762740818324396,0.117777030079217,0.0391182375658582
"TCGA.5R.AA1C.01A",0,0,0.381005734082851,0,0.266793060679959,0.35220120523719,0
"TCGA.ZS.A9CG.01A",0,0,0.10957817611433,0,0.503792840490231,0.386628983395439,0
"TCGA.DD.A4NH.01A",0,0,0.276198309921628,0,0.43467158425755,0.244839248073654,0.0442908577471683
"TCGA.FV.A4ZP.01A",0,0,0.250043013538596,0,0.0344780282947246,0.691760657233698,0.0237183009329812
"TCGA.DD.AACJ.01A",0,0,0.289943802874344,0,0.10456536171157,0.605490835414086,0
"TCGA.DD.AAVZ.01A",0,0,0.131750525467409,0,0.478022128918117,0.390227345614474,0
"TCGA.DD.AAVR.01A",0,0,0.34699689055368,0,0.491674251013934,0.108265282722115,0.0530635757102703
