,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes
TCGA-77-8153-01A,0.011,0.000,0.001,0.008,0.003,0.000,0.908,0.006,0.015,0.043,0.001,0.004,0.001,0.000,0.000,0.000
TCGA-21-1083-01A,0.026,0.001,0.009,0.025,0.001,0.000,0.736,0.004,0.020,0.073,0.012,0.089,0.000,0.000,0.003,0.000
TCGA-85-8049-01A,0.042,0.012,0.021,0.004,0.014,0.000,0.439,0.040,0.079,0.217,0.021,0.103,0.005,0.001,0.001,0.001
TCGA-34-8456-01A,0.023,0.003,0.011,0.004,0.003,0.000,0.744,0.024,0.034,0.084,0.030,0.036,0.002,0.001,0.000,0.000
TCGA-33-6737-01A,0.000,0.000,0.003,0.010,0.000,0.000,0.792,0.005,0.059,0.074,0.015,0.035,0.002,0.000,0.005,0.001
TCGA-77-8140-01A,0.018,0.003,0.000,0.004,0.000,0.000,0.907,0.003,0.036,0.012,0.001,0.012,0.001,0.000,0.001,0.000
TCGA-39-5028-01A,0.036,0.000,0.007,0.007,0.001,0.000,0.652,0.012,0.029,0.192,0.006,0.044,0.003,0.002,0.006,0.001
TCGA-34-5240-01A,0.009,0.000,0.002,0.002,0.000,0.000,0.793,0.001,0.020,0.090,0.002,0.077,0.002,0.001,0.000,0.000
TCGA-79-5596-01A,0.000,0.002,0.001,0.006,0.000,0.000,0.839,0.009,0.028,0.088,0.004,0.019,0.001,0.000,0.001,0.001
TCGA-56-8308-01A,0.031,0.004,0.012,0.005,0.009,0.000,0.700,0.016,0.045,0.116,0.013,0.043,0.003,0.002,0.000,0.001
TCGA-90-7964-01A,0.004,0.000,0.003,0.005,0.000,0.000,0.810,0.009,0.038,0.023,0.013,0.091,0.001,0.002,0.002,0.000
TCGA-18-3408-01A,0.009,0.000,0.005,0.002,0.000,0.000,0.791,0.021,0.020,0.059,0.007,0.073,0.004,0.009,0.000,0.000
TCGA-18-4721-01A,0.047,0.004,0.018,0.010,0.023,0.000,0.594,0.015,0.033,0.114,0.009,0.128,0.001,0.002,0.001,0.000
TCGA-22-5478-01A,0.018,0.008,0.018,0.010,0.002,0.000,0.690,0.011,0.043,0.130,0.010,0.056,0.001,0.001,0.000,0.000
TCGA-66-2773-01A,0.013,0.000,0.005,0.007,0.011,0.000,0.746,0.007,0.032,0.063,0.012,0.091,0.002,0.000,0.008,0.001
TCGA-22-5479-01A,0.027,0.000,0.001,0.010,0.000,0.000,0.799,0.009,0.023,0.085,0.002,0.041,0.000,0.002,0.000,0.000
TCGA-39-5019-01A,0.016,0.004,0.006,0.005,0.017,0.000,0.718,0.022,0.032,0.118,0.014,0.044,0.003,0.001,0.000,0.000
TCGA-NK-A5CR-01A,0.012,0.000,0.002,0.002,0.000,0.000,0.919,0.002,0.007,0.035,0.000,0.019,0.000,0.000,0.000,0.000
TCGA-39-5040-01A,0.019,0.010,0.004,0.013,0.000,0.002,0.811,0.011,0.052,0.022,0.024,0.029,0.001,0.000,0.002,0.000
TCGA-77-A5G6-01A,0.006,0.005,0.002,0.006,0.011,0.001,0.911,0.008,0.023,0.009,0.002,0.015,0.000,0.000,0.000,0.000
TCGA-98-A539-01A,0.007,0.004,0.002,0.011,0.000,0.000,0.773,0.015,0.049,0.053,0.024,0.060,0.000,0.000,0.000,0.001
TCGA-85-6175-01A,0.013,0.000,0.019,0.003,0.009,0.000,0.289,0.046,0.056,0.452,0.003,0.108,0.001,0.001,0.000,0.000
TCGA-34-5927-01A,0.007,0.001,0.006,0.004,0.010,0.002,0.842,0.006,0.022,0.058,0.021,0.020,0.000,0.000,0.000,0.000
TCGA-85-8350-01A,0.026,0.000,0.009,0.012,0.011,0.000,0.629,0.023,0.064,0.145,0.024,0.051,0.003,0.002,0.000,0.000
TCGA-NC-A5HM-01A,0.016,0.000,0.011,0.013,0.002,0.000,0.903,0.001,0.016,0.015,0.001,0.016,0.000,0.000,0.004,0.000
TCGA-22-4591-01A,0.010,0.000,0.002,0.008,0.012,0.000,0.875,0.008,0.023,0.016,0.001,0.041,0.001,0.000,0.001,0.000
TCGA-85-6561-01A,0.040,0.011,0.017,0.008,0.018,0.000,0.462,0.020,0.046,0.248,0.013,0.101,0.006,0.001,0.001,0.007
TCGA-98-A53B-01A,0.007,0.006,0.005,0.027,0.008,0.000,0.734,0.008,0.045,0.049,0.003,0.101,0.004,0.002,0.001,0.000
TCGA-39-5039-01A,0.025,0.000,0.001,0.006,0.004,0.000,0.666,0.000,0.068,0.161,0.018,0.048,0.002,0.001,0.000,0.001
TCGA-68-A59I-01A,0.049,0.014,0.022,0.004,0.009,0.001,0.610,0.012,0.041,0.163,0.024,0.044,0.004,0.000,0.002,0.001
TCGA-90-7766-01A,0.058,0.020,0.013,0.031,0.000,0.000,0.743,0.028,0.019,0.036,0.000,0.043,0.004,0.000,0.003,0.000
TCGA-66-2744-01A,0.037,0.019,0.015,0.039,0.008,0.000,0.563,0.010,0.064,0.066,0.012,0.158,0.001,0.004,0.003,0.001
TCGA-22-4594-01A,0.121,0.008,0.017,0.005,0.005,0.000,0.600,0.019,0.021,0.113,0.019,0.067,0.001,0.000,0.002,0.000
TCGA-77-A5GF-01A,0.027,0.002,0.007,0.006,0.009,0.000,0.788,0.007,0.025,0.072,0.008,0.045,0.002,0.000,0.000,0.000
TCGA-60-2711-01A,0.023,0.000,0.008,0.020,0.008,0.000,0.826,0.019,0.027,0.044,0.006,0.018,0.001,0.000,0.000,0.000
TCGA-33-4566-01A,0.004,0.000,0.001,0.045,0.000,0.000,0.803,0.005,0.026,0.025,0.002,0.087,0.000,0.001,0.002,0.000
TCGA-43-2576-01A,0.052,0.000,0.005,0.007,0.009,0.000,0.487,0.004,0.038,0.203,0.014,0.177,0.001,0.003,0.001,0.001
TCGA-37-4135-01A,0.039,0.000,0.000,0.004,0.000,0.000,0.864,0.000,0.009,0.046,0.007,0.027,0.000,0.000,0.002,0.000
TCGA-98-7454-01A,0.047,0.018,0.019,0.027,0.001,0.000,0.395,0.023,0.099,0.212,0.031,0.108,0.008,0.000,0.003,0.009
TCGA-92-8065-01A,0.063,0.001,0.011,0.018,0.001,0.000,0.713,0.008,0.038,0.023,0.001,0.117,0.004,0.001,0.002,0.000
TCGA-52-7812-01A,0.009,0.000,0.003,0.040,0.032,0.000,0.763,0.013,0.020,0.027,0.002,0.090,0.000,0.000,0.000,0.000
TCGA-63-A5MM-01A,0.005,0.000,0.009,0.039,0.000,0.000,0.607,0.012,0.100,0.134,0.004,0.083,0.000,0.001,0.006,0.000
TCGA-56-A5DR-01A,0.004,0.000,0.002,0.013,0.000,0.000,0.805,0.010,0.023,0.109,0.000,0.031,0.002,0.000,0.000,0.001
TCGA-56-8082-01A,0.003,0.000,0.002,0.008,0.001,0.000,0.890,0.006,0.023,0.048,0.001,0.016,0.000,0.000,0.000,0.000
TCGA-98-A538-01A,0.028,0.000,0.002,0.011,0.015,0.000,0.790,0.009,0.027,0.064,0.000,0.050,0.002,0.000,0.001,0.001
TCGA-94-8490-01A,0.002,0.000,0.000,0.016,0.002,0.000,0.913,0.005,0.020,0.026,0.006,0.005,0.004,0.000,0.001,0.000
TCGA-52-7810-01A,0.000,0.000,0.001,0.003,0.000,0.000,0.943,0.006,0.017,0.014,0.011,0.004,0.000,0.000,0.000,0.000
TCGA-NC-A5HJ-01A,0.006,0.007,0.011,0.033,0.020,0.000,0.498,0.028,0.096,0.046,0.022,0.224,0.000,0.006,0.000,0.001
