,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,1-others,Cancer Cells
TCGA-99-8025-01A,0.021,0.003,0.006,0.002,0.002,0.000,0.013,0.064,0.070,0.027,0.053,0.003,0.000,0.000,0.000,0.736,0.736
TCGA-44-A47G-01A,0.039,0.026,0.031,0.010,0.029,0.001,0.068,0.060,0.125,0.015,0.176,0.006,0.001,0.005,0.000,0.408,0.408
TCGA-55-8615-01A,0.010,0.000,0.008,0.001,0.002,0.000,0.013,0.025,0.053,0.012,0.048,0.005,0.000,0.002,0.000,0.820,0.820
TCGA-73-7499-01A,0.023,0.001,0.032,0.021,0.032,0.000,0.023,0.029,0.036,0.009,0.137,0.001,0.000,0.005,0.000,0.651,0.651
TCGA-86-7711-01A,0.019,0.001,0.010,0.006,0.000,0.000,0.002,0.029,0.095,0.025,0.109,0.000,0.000,0.057,0.002,0.645,0.645
TCGA-86-8075-01A,0.017,0.003,0.024,0.000,0.001,0.001,0.010,0.050,0.190,0.019,0.129,0.009,0.000,0.011,0.000,0.535,0.535
TCGA-86-7955-01A,0.017,0.000,0.001,0.006,0.000,0.000,0.003,0.025,0.001,0.010,0.003,0.001,0.000,0.006,0.000,0.925,0.925
TCGA-55-8513-01A,0.022,0.022,0.017,0.000,0.002,0.001,0.048,0.086,0.071,0.026,0.213,0.012,0.001,0.012,0.000,0.466,0.466
TCGA-MP-A4TC-01A,0.008,0.001,0.017,0.018,0.008,0.000,0.002,0.039,0.198,0.010,0.111,0.004,0.000,0.013,0.000,0.572,0.572
TCGA-05-4420-01A,0.030,0.000,0.005,0.003,0.000,0.000,0.002,0.037,0.040,0.024,0.034,0.002,0.000,0.007,0.000,0.813,0.813
TCGA-86-8280-01A,0.035,0.013,0.038,0.000,0.024,0.002,0.057,0.087,0.114,0.022,0.118,0.010,0.001,0.002,0.000,0.477,0.477
TCGA-78-7166-01A,0.019,0.000,0.003,0.006,0.000,0.000,0.004,0.009,0.017,0.014,0.017,0.000,0.000,0.001,0.000,0.908,0.908
TCGA-91-8499-01A,0.009,0.005,0.018,0.008,0.018,0.000,0.004,0.034,0.042,0.014,0.077,0.003,0.000,0.000,0.000,0.769,0.769
TCGA-71-6725-01A,0.005,0.000,0.001,0.000,0.001,0.000,0.016,0.059,0.003,0.016,0.070,0.000,0.000,0.003,0.000,0.826,0.826
TCGA-69-7980-01A,0.006,0.001,0.016,0.021,0.020,0.000,0.033,0.058,0.070,0.024,0.112,0.001,0.001,0.003,0.000,0.634,0.634
TCGA-L9-A8F4-01A,0.059,0.014,0.029,0.002,0.038,0.001,0.028,0.029,0.088,0.020,0.126,0.002,0.001,0.005,0.000,0.558,0.558
TCGA-05-4433-01A,0.000,0.003,0.022,0.000,0.016,0.001,0.021,0.049,0.030,0.010,0.163,0.004,0.000,0.008,0.000,0.672,0.672
TCGA-55-A492-01A,0.023,0.000,0.005,0.001,0.001,0.000,0.004,0.034,0.004,0.033,0.045,0.002,0.000,0.000,0.000,0.848,0.848
TCGA-73-4675-01A,0.014,0.000,0.008,0.000,0.001,0.001,0.019,0.028,0.108,0.029,0.077,0.007,0.000,0.001,0.000,0.707,0.707
TCGA-50-5936-01A,0.005,0.000,0.021,0.000,0.000,0.001,0.009,0.050,0.105,0.002,0.104,0.004,0.000,0.004,0.001,0.692,0.692
TCGA-44-7662-01A,0.018,0.001,0.018,0.013,0.016,0.001,0.001,0.057,0.219,0.027,0.094,0.005,0.000,0.005,0.000,0.525,0.525
TCGA-78-7154-01A,0.000,0.001,0.010,0.002,0.002,0.000,0.011,0.058,0.045,0.014,0.046,0.002,0.000,0.000,0.000,0.809,0.809
TCGA-05-4244-01A,0.003,0.001,0.006,0.001,0.011,0.000,0.033,0.038,0.022,0.011,0.140,0.005,0.000,0.007,0.000,0.720,0.720
TCGA-73-7498-01A,0.022,0.001,0.015,0.000,0.010,0.006,0.030,0.106,0.078,0.065,0.054,0.007,0.001,0.006,0.000,0.600,0.600
TCGA-50-5933-01A,0.008,0.001,0.017,0.007,0.012,0.000,0.005,0.088,0.144,0.020,0.203,0.004,0.000,0.008,0.000,0.483,0.483
TCGA-55-8507-01A,0.008,0.003,0.009,0.003,0.003,0.000,0.016,0.062,0.058,0.032,0.098,0.004,0.000,0.003,0.001,0.702,0.702
TCGA-S2-AA1A-01A,0.115,0.037,0.030,0.001,0.025,0.005,0.048,0.077,0.164,0.016,0.070,0.007,0.001,0.004,0.000,0.399,0.399
TCGA-95-7948-01A,0.023,0.000,0.001,0.005,0.005,0.000,0.033,0.030,0.038,0.019,0.031,0.002,0.000,0.001,0.000,0.812,0.812
TCGA-67-3774-01A,0.033,0.001,0.023,0.001,0.019,0.000,0.033,0.081,0.094,0.037,0.092,0.003,0.001,0.001,0.000,0.580,0.580
