"","cellFractions.CD4.T","cellFractions.CD8.T","cellFractions.DC","cellFractions.Fibroblasts","cellFractions.Monocytes","cellFractions.NK","cellFractions.otherCells"
"TCGA.33.AASI.01A",0.019881423598533,0.00792746478820315,4.97981827014418e-08,0.0457065406287478,0.0281469391078016,0.0185027014987275,0.879834880579804
"TCGA.56.A4ZJ.01A",3.92449378479988e-09,0.000123693344012007,9.99495747028765e-08,0.593260938556372,0.406535883338728,7.93801496179217e-05,7.3720203809288e-10
"TCGA.34.5239.01A",4.89632506091334e-08,0.00520968206818436,2.4379468356935e-06,0.956461267786741,0.0383240990640159,2.43336828368877e-06,3.08026886621633e-08
"TCGA.66.2754.01A",9.40238840861268e-08,0.00302745090538639,1.63540211045305e-08,0.123972298617295,0.0287370837827507,0.000813624928160401,0.843449431388502
"TCGA.66.2756.01A",8.85151205460465e-08,0.00757120305676624,4.44391581506525e-09,0.281867279432804,0.0463278215240071,0.0154105155568695,0.648823087470517
"TCGA.58.8390.01A",0.0195925885989566,3.35856008642247e-08,1.29479788214936e-07,0.773195389458738,0.0126852045150892,0.00169501142903725,0.19283164293279
"TCGA.77.A5GB.01B",1.8352485371716e-07,0.00824536892043364,1.01247788433275e-06,0.519855289202727,0.110102001161571,0.00794264309043639,0.353853501622094
"TCGA.O2.A52S.01A",0.0364691556463782,1.03619597911469e-07,2.88227117819674e-07,0.0438452813146173,0.114944152169939,0.0649065240446255,0.739834494977724
"TCGA.60.2713.01A",1.00367179211172e-05,1.49400018279509e-07,2.1082504580546e-08,0.717522112237755,0.282465105864963,2.54865736851701e-06,2.60394692325776e-08
"TCGA.37.A5EN.01A",0.0385126535509724,0.0169123252545286,2.12627096232317e-08,0.136878376656877,0.0216206582557741,0.00631345670885994,0.779762508310278
"TCGA.56.8626.01A",0.126293700711881,0.0252545240069805,8.62916090295635e-08,0.555279540780035,0.270767845594659,0.0224042276277254,7.49871095145085e-08
"TCGA.L3.A4E7.01A",2.40990020085799e-09,0.00925341070790672,3.02567032667733e-06,0.307992272350819,0.128817357392183,0.00735566184471251,0.546578269624151
"TCGA.22.5472.01A",2.52966619588401e-08,6.33300175963571e-09,0.000108826882386854,0.445138213360466,0.167826185778747,0.00299713666615646,0.38392960568258
"TCGA.63.A5MW.01A",0.00363382717117925,1.25040787101643e-05,1.52978517595062e-05,0.994455145607242,1.50325833612511e-05,0.00186248644243936,5.70626530833248e-06
"TCGA.63.A5M9.01A",1.26683861748429e-07,0.00958647230836431,2.06015555444121e-08,0.383321486050918,0.0805560082387314,0.000716572432991542,0.525819313683577
