"","cellFractions.CD4.T","cellFractions.CD8.T","cellFractions.DC","cellFractions.Fibroblasts","cellFractions.Monocytes","cellFractions.NK","cellFractions.otherCells"
"TCGA.XK.AAJ3.01A",0.0920679786494396,3.53843765543984e-08,2.26548148899393e-08,0.217470032845474,0.0100477127906398,0.00928936750092675,0.671124850174329
"TCGA.EJ.5512.01A",0.325557239702966,1.37330207639586e-06,3.66384407440677e-08,0.546587238483768,2.33066888278896e-09,0.0426913728806165,0.0851627366614633
"TCGA.H9.A6BY.01A",0.196206873667265,7.30324231469755e-08,8.79722327977442e-07,0.419909437633559,9.92835004916943e-06,0.00858480756452999,0.375288000029846
"TCGA.HC.8264.01B",0.150399100316999,1.02660032392832e-08,0.00258128587243433,0.814752412379543,1.05442267822281e-05,0.0322318761903592,2.47707478791626e-05
"TCGA.G9.6369.01A",0.0781052224368052,1.91704690565037e-05,8.96008147675202e-08,0.165459921684555,0.00283141543257082,0.0106786215638274,0.74290555881237
"TCGA.EJ.A7NM.01A",0.158312358703261,3.77918171733841e-07,2.94998636428464e-08,0.328945463617766,0.0260707906305148,0.0210753599047943,0.465595619725628
"TCGA.KK.A59Y.01A",0.0896245211534906,3.27000324786614e-07,1.26185461631129e-07,0.180331391867356,0.00415114514677015,0.0128655691961713,0.713026919450425
"TCGA.KK.A8IK.01A",0.0145214414103158,4.08723940577954e-10,5.64667592498212e-08,0.0434314065884549,0.00976743143645248,0.00470557635210874,0.927574087337185
"TCGA.KK.A7B0.01A",0.206403264323517,3.75716283571993e-07,1.51937125844263e-08,0.398816022407007,0.0224030650708933,0.0246379775986637,0.347739279689922
"TCGA.G9.A9S0.01A",0.0853277829099519,2.37898063575912e-08,1.13878342709245e-09,0.175163061899444,0.0102005185206626,0.0117638889555123,0.71754472278584
"TCGA.CH.5769.01A",0.166586343178907,6.35968762795125e-08,5.81596098497321e-08,0.368545759764778,0.0095146150830343,0.0200973611515157,0.435255799065279
"TCGA.YL.A8SK.01B",0.263703859651637,1.19336882283002e-07,1.56647533511204e-07,0.632012591705557,0.0111831144658207,0.0465999177198296,0.0465002404727396
"TCGA.EJ.7786.01A",0.205649688918313,8.48904196637017e-08,3.76510070847705e-08,0.457254128975318,0.000732857093203339,0.026990090041315,0.309373112430424
"TCGA.VP.A875.01A",0.0434763885275921,2.39133345722783e-06,5.69897365370092e-08,0.108107435499309,0.0025316891604324,0.011550794729172,0.834331243760301
"TCGA.EJ.A46D.01A",0.273441587067895,2.5853911171752e-07,7.99498691780922e-07,0.497292882448679,0.00802911497454137,0.0303512946179387,0.190884062853142
"TCGA.J4.A67L.01A",0.132636504135411,2.82940710105675e-06,7.84014684146852e-08,0.327122079428424,0.0176122593752882,0.0189251275896015,0.503701121662706
"TCGA.G9.6363.01A",0.179695332302515,6.4046582909939e-08,5.47023771315693e-08,0.589668525584231,1.38296066150077e-05,0.00924221463335546,0.221379979124323
"TCGA.HC.A9TE.01A",0.106605098150478,2.04872186940664e-09,1.30926286115906e-09,0.258586232710609,0.00750318775793796,0.012485849029408,0.614819628993582
"TCGA.J4.A6G3.01A",0.210453300628737,3.44363657045106e-07,8.63477882689784e-08,0.408093563973678,0.0278979185912473,0.0219149927921463,0.331639793302746
"TCGA.KK.A7B3.01A",0.157334489576883,2.52520055303263e-08,7.3569460691471e-08,0.384916081513697,0.0135818109602894,0.0227773759355423,0.421390143192122
"TCGA.YL.A8HJ.01A",0.151368326305477,4.51467918910746e-08,4.46980385830943e-05,0.82644211605384,3.27104522399294e-07,0.0221423951217453,2.09222904089001e-06
"TCGA.ZG.A9NI.01A",0.298650227182013,4.80535025084587e-07,6.17534509605758e-08,0.624629948784324,1.67042096646645e-09,0.0150725959817694,0.0616466840929971
"TCGA.VN.A88R.01A",0.0830638784762329,9.85928010306601e-06,2.09544560997748e-08,0.189770094123948,0.0164437324151614,0.00903460210810597,0.701677812641992
"TCGA.EJ.5530.01A",0.145383265600047,1.52813581494158e-09,3.01075480498888e-07,0.419678208519022,1.17578828869059e-06,0.015619735187509,0.419317312301517
"TCGA.HC.7752.01A",0.0411616197432163,7.3749927729508e-08,1.22475530755529e-07,0.0854877552401876,0.000484778020824118,0.00433949767499847,0.868526153095315
"TCGA.EJ.5521.01A",0.159203006706396,1.0079024055853e-06,2.831658391894e-08,0.350495557285031,0.0157826006626049,0.0190919815738291,0.455425817553149
"TCGA.YL.A9WX.01A",0.23355932816512,3.02573809564227e-08,2.02111864812929e-07,0.455877074637509,0.0193476483271227,0.0296546830647845,0.261561033436218
"TCGA.KK.A6E5.01A",0.124652458776382,5.12521217844716e-07,1.56609224923277e-07,0.285411830122626,0.00852608472647887,0.0174621635454448,0.563946793698625
"TCGA.TP.A8TT.01A",0.198817286448239,0.000266143791434867,8.24752940402745e-09,0.301684057871674,0.0163577963923152,0.0194622307558049,0.463412476493002
"TCGA.KK.A7AY.01A",0.0620267513483909,7.17782785082595e-09,7.28708889581098e-07,0.149489772834114,0.00940869445518062,0.00860444023759788,0.770469605237999
"TCGA.HC.7213.01A",0.0953056386382731,1.44091117754241e-08,2.51376635904344e-06,0.282148002174679,0.0164680010713538,0.00791070413230703,0.598165125807916
"TCGA.EJ.5517.01A",0.255524804422548,1.13106232549566e-08,3.3196983596358e-06,0.597201382152268,4.99447252600024e-09,0.0208711963420525,0.126399281079675
"TCGA.CH.5751.01A",0.125840162264691,0.0197894775691231,1.13021330771613e-07,0.161183278979869,0.027197153061564,0.0247839966258161,0.641205818477605
"TCGA.HC.7820.01A",0.164959589960529,3.71783525075483e-08,4.16970693733129e-07,0.290031430341261,0.00470415295873658,0.0251561997930005,0.515148172797426
"TCGA.J4.A6G1.01A",0.301712352822093,8.53988041444822e-07,7.75106475275565e-07,0.632060516235502,0.0250938655513585,0.0411314949710526,1.41325476768902e-07
"TCGA.EJ.5503.01A",0.320090118570114,0.000114234476816536,2.61208047680785e-06,0.620437493065037,0.0177292180761223,0.0416247623424244,1.56138900888284e-06
"TCGA.YL.A8SA.01A",0.0310313031479027,3.1080382810907e-08,0.00339452089694673,0.0742967935394654,0.0117122488713141,0.00748160554082512,0.872083496923163
"TCGA.TP.A8TV.01A",0.0309397122743768,1.4632346296227e-05,1.84486544408042e-08,0.0895857650344271,0.00388262265841181,0.00631494117131452,0.869262308066519
"TCGA.ZG.A9LM.01A",0.0790787330157095,1.02170885198482e-07,4.23675884195959e-08,0.241827702881575,0.00766188273254634,0.00752299601464747,0.663908540817048
"TCGA.J4.A6M7.01A",0.21865101879195,3.69208446188816e-08,7.83256633570673e-09,0.508288600073491,4.12325630944439e-07,0.0168153640396681,0.256244560015849
"TCGA.ZG.A9M4.01A",0.0858744599015768,0.00541007266784108,2.32821400801043e-08,0.129610787170309,0.0148843599211211,0.0316664939518412,0.732553803105171
"TCGA.CH.5745.01A",0.205957894190817,3.29688878009434e-08,6.36283461521591e-08,0.45145448509083,0.0129154254876395,0.0319710233381202,0.297701075295359
"TCGA.KK.A8IG.01A",0.210182702869172,3.64743177380284e-07,6.45328856650058e-05,0.555632029111269,1.97235217452951e-09,0.0182705769611152,0.21584979145725
"TCGA.HC.7821.01A",0.077188900934276,1.81866709273305e-07,5.83186488136659e-09,0.281380087321487,0.0119670439530813,0.0028834898810226,0.626580290211559
"TCGA.QU.A6IM.01A",0.200627267869461,4.04322668961207e-08,5.69362088388661e-07,0.396760508346772,0.00371123856046403,0.0235165669043512,0.375383808524596
"TCGA.ZG.A8QZ.01A",0.269638682790584,2.75935298236838e-05,4.97730731774477e-08,0.612582336658606,0.0067233604891137,0.0246229382403974,0.0864050385184025
"TCGA.HC.8261.01A",0.112282937021322,8.70399685921376e-08,1.47483917101469e-08,0.207111182338664,0.0174899632875616,0.0178324312478837,0.645283384316209
"TCGA.EJ.8469.01A",0.0942887597085849,3.83751558440236e-07,9.19347408129982e-08,0.218526565020652,0.00474602038421115,0.00991064888151909,0.672527530318734
"TCGA.2A.A8W3.01A",0.108473180410792,7.53456085629808e-08,8.89037960410129e-09,0.208349029851696,0.00749207962518611,0.0148554309736562,0.660830194902682
"TCGA.J9.A8CL.01A",0.135481628589926,1.5032839301383e-08,2.56496555555989e-08,0.455250137013182,0.00596222573828953,0.00942324910990952,0.393882718866198
"TCGA.KK.A7AQ.01A",0.0784862868214396,1.53889353992467e-07,8.99878962135569e-09,0.17732432867756,0.00638863997740142,0.0109709065957414,0.726829675039714
"TCGA.EJ.A65D.01A",0.0282380391647561,5.704755455469e-09,0.00449965214703242,0.0657139386864917,0.00148288576447988,0.00589103687318705,0.894174441659297
"TCGA.EJ.5519.01A",0.10826372763319,2.54835808264793e-05,7.84196603236444e-08,0.215156724720352,0.00871228157644222,0.0143683437593844,0.653473360310145
"TCGA.HC.7737.01A",0.195416836519566,6.40428038952528e-05,5.70524562901901e-09,0.402094097559227,0.0213533679531988,0.0211383333845719,0.359933316074296
"TCGA.ZG.A9LY.01A",0.197327618156062,6.88064755809153e-08,3.20240140755696e-07,0.391320928929398,0.0151621031141977,0.0217954546338694,0.374393506119857
"TCGA.EJ.A7NF.01A",0.0985288677318882,9.85499513981434e-09,5.59369157843698e-09,0.177458947466845,0.00351820231493405,0.0128719560393426,0.707622010998304
"TCGA.KK.A6E3.01A",0.154511814767716,6.19231006563003e-07,2.64439016176308e-06,0.831699178662777,9.35688119492869e-06,0.013776183896011,2.02171132498181e-07
