gene_name,gene_ids,n_cells,total_counts,n_counts
CYP17A1,,7038,,9440.509
CYP19A1,,1626,,10460.014
CYP1A1,,357,,2140.8787
CYP1A2,,17095,,30815.174
CYP1B1,ENSG00000138061,22840,39.0,167553.98
CYP20A1,ENSG00000119004,83709,849.0,497426.16
CYP21A2,,564,,2592.753
CYP24A1,,2996,,17718.123
CYP26A1,,1094,,7314.2144
CYP26B1,,1234,,6634.5913
CYP27A1,ENSG00000135929,29131,25.0,194186.16
CYP27B1,ENSG00000111012,4174,,23264.584
CYP27C1,,11523,,19583.191
CYP2A6,,425,,1036.4764
CYP2A7,,194,,425.4777
CYP2B6,,10738,,15996.081
CYP2C18,,3275,,16402.82
CYP2C19,,692,,2200.6956
CYP2C8,,1610,,5892.58
CYP2C9,,3066,,13367.639
CYP2D6,,5098,,24018.861
CYP2E1,,3318,,15512.958
CYP2F1,,672,,1947.7528
CYP2J2,,7759,,43271.59
CYP2R1,ENSG00000186104,22216,252.0,127911.1
CYP2S1,ENSG00000167600,16031,73.0,98373.47
CYP2U1,ENSG00000155016,16267,39.0,101877.766
CYP2W1,,8914,,16623.709
CYP39A1,,5362,,32547.068
CYP3A4,,2744,,8146.6177
CYP3A43,,6799,,9573.591
CYP3A5,ENSG00000106258,34212,59.0,216168.22
CYP3A7,,2422,,9258.872
CYP46A1,,13668,22.0,38227.516
CYP4A11,,2596,,6060.1504
CYP4A22,,888,,2275.8376
CYP4B1,,4644,,24569.46
CYP4F11,,6499,,26297.89
CYP4F12,,4632,,27493.715
CYP4F2,,3662,,22448.484
CYP4F22,ENSG00000171954,1508,124.0,8504.366
CYP4F3,,15212,,68165.72
CYP4F8,,9737,,17538.93
CYP4V2,ENSG00000145476,46361,136.0,217557.2
CYP4X1,,6548,,42746.84
CYP4Z1,,107,,589.2267
CYP51A1,ENSG00000001630,39684,12.0,223802.67
CYP7A1,,524,,926.1899
CYP7B1,ENSG00000172817,6015,,35006.453
CYP8B1,,8095,,7419.75
CYR61,,50620,,395290.34
CYS1,,3193,,21358.412
CYSLTR1,ENSG00000173198,32288,360.0,193472.89
CYSLTR2,ENSG00000152207,2060,19.0,10490.219
CYSRT1,,1310,,8240.739
CYSTM1,ENSG00000120306,132878,600.0,986910.7
CYTH1,ENSG00000108669,84241,1093.0,562663.94
CYTH2,ENSG00000105443,93977,692.0,575106.56
CYTH3,ENSG00000008256,28113,177.0,171958.27
CYTH4,ENSG00000100055,48203,1562.0,320593.7
CYTIP,ENSG00000115165,98731,5062.0,807138.94
CYTL1,ENSG00000170891,11660,,84030.94
CYYR1,ENSG00000166265,7905,15.0,57916.74
D2HGDH,ENSG00000180902,40454,316.0,244980.36
DAAM1,ENSG00000100592,79974,408.0,510097.06
DAAM2,,13840,,59016.695
DAB1,,3394,,15522.233
DAB2,ENSG00000153071,68283,167.0,483008.9
DAB2IP,,19898,20.0,119346.67
DACH1,,7342,12.0,45725.4
DACH2,,1235,,2611.2847
DACT1,,4552,,29041.566
DACT2,,1098,,6774.481
DACT3,ENSG00000197380,19649,13.0,81011.34
DAD1,ENSG00000129562,227949,4642.0,1835457.5
DAG1,ENSG00000173402,65201,76.0,394662.72
DAGLA,,6594,,36283.93
DAGLB,ENSG00000164535,39720,113.0,218283.77
DAK,,8677,,51797.98
DALRD3,ENSG00000178149,60360,469.0,380449.38
DAND5,,20483,,59005.336
DAO,,631,,1517.4219
DAP,ENSG00000112977,108352,548.0,729861.8
DAP3,ENSG00000132676,128099,1160.0,864472.06
DAPK1,ENSG00000196730,35561,80.0,218070.45
DAPK2,ENSG00000035664,25687,802.0,129628.32
DAPK3,ENSG00000167657,59748,450.0,395262.12
DAPL1,ENSG00000163331,21447,105.0,129103.8
DAPP1,ENSG00000070190,44883,535.0,256817.62
DARS,ENSG00000115866,132200,1164.0,914435.06
DARS2,ENSG00000117593,19561,60.0,108574.555
DAW1,,3788,,4696.301
DAXX,ENSG00000204209,73863,850.0,466047.16
DAZAP1,ENSG00000071626,100021,934.0,665636.5
DAZAP2,ENSG00000183283,209248,5034.0,1631239.8
DBF4,ENSG00000006634,60556,581.0,373064.28
DBF4B,ENSG00000161692,17986,52.0,68872.305
DBH,,323,,1562.7651
DBI,ENSG00000155368,250072,5828.0,2205726.0
DBN1,ENSG00000113758,48508,890.0,321545.28
DBNDD1,ENSG00000003249,19615,,116758.7
DBNDD2,,18158,,114842.04
DBNL,ENSG00000136279,133839,2855.0,929435.4
DBP,ENSG00000105516,40417,303.0,226434.64
DBR1,ENSG00000138231,36976,158.0,187460.3
DBT,ENSG00000137992,50233,173.0,232246.75
DBX2,,2932,,18610.75
DCAF10,ENSG00000122741,73007,312.0,393941.94
DCAF11,ENSG00000100897,74003,1126.0,454788.16
DCAF12,ENSG00000198876,50750,301.0,311374.47
DCAF12L2,,152,,882.72736
DCAF13,ENSG00000164934,90781,744.0,575464.75
DCAF15,ENSG00000132017,28546,417.0,182620.6
DCAF16,ENSG00000163257,56387,271.0,293380.4
DCAF17,ENSG00000115827,23988,92.0,128499.34
DCAF4,ENSG00000119599,20579,93.0,96253.414
DCAF4L1,,3207,,14403.381
DCAF4L2,,651,,3474.3164
DCAF5,ENSG00000139990,61478,540.0,374781.4
DCAF6,ENSG00000143164,73508,424.0,469307.06
DCAF7,ENSG00000136485,117904,891.0,744851.2
DCAF8,ENSG00000132716,70569,450.0,440931.28
DCAKD,ENSG00000172992,37201,114.0,209232.6
DCANP1,,228,,437.0075
DCBLD1,ENSG00000164465,32537,78.0,162072.31
DCBLD2,,53830,,336410.66
DCC,,3391,,19011.705
DCDC1,,8331,,11128.711
DCDC2,,9866,,37009.555
DCDC2B,,1784,,7750.256
DCHS1,,12767,,74999.34
DCHS2,,643,,3105.395
DCK,ENSG00000156136,77974,1401.0,519527.2
DCLK1,,13147,,84466.51
DCLK2,ENSG00000170390,16012,,103504.6
DCLK3,,184,,1143.7203
DCLRE1A,ENSG00000198924,12184,63.0,70853.52
DCLRE1B,ENSG00000118655,17454,99.0,97280.734
DCLRE1C,ENSG00000152457,48368,495.0,289415.25
DCN,,41165,,324443.12
DCP1A,ENSG00000272886,77523,552.0,452881.75
DCP1B,ENSG00000151065,19778,145.0,114438.84
DCP2,ENSG00000172795,82441,717.0,502020.53
DCPS,ENSG00000110063,55522,913.0,352251.22
DCST2,,1089,,6261.8403
DCSTAMP,,2132,,12444.345
DCT,,1122,,7394.3403
DCTD,ENSG00000129187,89943,830.0,582123.06
DCTN1,ENSG00000204843,66987,470.0,417597.75
DCTN2,ENSG00000175203,130059,1741.0,899244.4
DCTN3,ENSG00000137100,150935,2222.0,1080770.9
DCTN4,ENSG00000132912,65560,196.0,415231.75
DCTN5,ENSG00000166847,69222,499.0,378809.6
DCTN6,ENSG00000104671,105805,847.0,719969.25
DCTPP1,ENSG00000179958,104284,1004.0,714045.56
DCUN1D1,ENSG00000043093,77749,371.0,473929.75
DCUN1D2,ENSG00000150401,29567,41.0,109375.06
DCUN1D3,ENSG00000188215,23020,42.0,129983.87
DCUN1D4,ENSG00000109184,37948,79.0,218401.34
DCUN1D5,ENSG00000137692,90828,787.0,586264.25
DCX,,13644,,68198.33
DCXR,ENSG00000169738,151435,2025.0,1135434.9
DDA1,ENSG00000130311,103403,987.0,647147.2
DDAH1,,41580,,276643.28
DDAH2,ENSG00000213722,120103,1119.0,851215.75
DDB1,ENSG00000167986,106433,889.0,684025.1
DDB2,ENSG00000134574,57624,1080.0,355236.66
DDC,,2818,,12684.106
DDHD1,ENSG00000100523,50801,665.0,288493.3
DDHD2,ENSG00000085788,43600,289.0,234698.97
DDI2,ENSG00000197312,53731,239.0,299032.5
DDIAS,ENSG00000165490,5722,39.0,20141.521
DDIT3,ENSG00000175197,101327,328.0,721676.75
DDIT4,ENSG00000168209,172077,5474.0,1407544.1
DDIT4L,,2920,,19388.273
DDN,,207,,1096.396
DDO,,3956,,21494.75
DDOST,ENSG00000244038,149774,1675.0,1056276.0
DDR1,,63205,,434235.88
DDR2,,21298,12.0,140406.23
DDRGK1,ENSG00000198171,122564,1411.0,850344.25
DDT,ENSG00000099977,195076,2619.0,1528231.0
DDTL,,11520,15.0,51600.92
DDX1,ENSG00000079785,112517,796.0,750986.2
DDX10,ENSG00000178105,53993,314.0,299328.5
DDX11,ENSG00000013573,26389,317.0,158265.14
DDX17,ENSG00000100201,206127,2637.0,1566100.9
DDX18,ENSG00000088205,177892,2074.0,1290683.6
DDX19A,ENSG00000168872,55771,336.0,317700.84
DDX19B,ENSG00000157349,55230,713.0,343980.84
DDX20,ENSG00000064703,24309,137.0,141355.27
DDX21,ENSG00000165732,164817,2034.0,1187958.1
DDX23,ENSG00000174243,66896,668.0,420551.06
DDX24,ENSG00000089737,197628,3433.0,1500987.6
DDX25,,12619,,28352.234
DDX26B,ENSG00000165359,9224,180.0,61317.156
DDX27,ENSG00000124228,109158,1219.0,724722.0
DDX28,ENSG00000182810,21151,146.0,126532.38
DDX31,ENSG00000125485,18878,70.0,109347.125
DDX39A,ENSG00000123136,108187,1903.0,736152.6
DDX39B,ENSG00000198563,68173,429.0,440977.38
DDX3X,ENSG00000215301,182025,2526.0,1362078.0
DDX3Y,ENSG00000067048,63216,790.0,411793.7
DDX4,,233,,798.3751
DDX41,ENSG00000183258,65789,613.0,418688.12
DDX42,ENSG00000198231,84998,509.0,546654.75
DDX43,ENSG00000080007,4066,34.0,22461.314
DDX46,ENSG00000145833,171858,2199.0,1225935.9
DDX47,ENSG00000213782,23493,29.0,123922.875
DDX49,ENSG00000105671,69465,588.0,447660.12
DDX5,ENSG00000108654,306826,18641.0,2834370.8
DDX50,ENSG00000107625,76077,891.0,481086.44
DDX51,ENSG00000185163,43359,125.0,191172.2
DDX52,ENSG00000278053,85268,600.0,521964.0
DDX54,ENSG00000123064,76926,790.0,498748.06
DDX55,ENSG00000111364,52371,263.0,285736.34
DDX56,ENSG00000136271,74663,535.0,471244.9
DDX58,ENSG00000107201,34295,308.0,193535.45
DDX59,ENSG00000118197,42015,357.0,235928.16
DDX6,ENSG00000110367,116612,1580.0,793377.56
DDX60,ENSG00000137628,36535,620.0,225723.89
DDX60L,ENSG00000181381,46498,458.0,272535.6
DEAF1,ENSG00000177030,46498,279.0,296074.3
DEC1,,2746,,4146.911
DECR1,ENSG00000104325,120508,1701.0,832717.1
DECR2,ENSG00000242612,33518,53.0,184764.64
DEDD,ENSG00000158796,49313,252.0,283668.44
DEDD2,ENSG00000160570,83980,751.0,556333.25
DEF6,ENSG00000023892,58457,2504.0,406950.9
DEF8,ENSG00000140995,88600,414.0,561559.8
DEFA3,,1177,,11154.04
DEFA4,,118,,1050.682
DEFA5,,107,,746.6738
DEFB1,,24927,34.0,193285.44
DEFB4A,,218,,1410.7563
DEGS1,ENSG00000143753,119451,1317.0,822544.9
DEGS2,ENSG00000168350,14796,20.0,80541.41
DEK,ENSG00000124795,205115,4807.0,1626682.2
DENND1A,ENSG00000119522,31201,107.0,154863.14
DENND1B,ENSG00000213047,55646,852.0,340429.6
DENND1C,ENSG00000205744,24757,688.0,159672.97
DENND2A,,22171,,92674.63
DENND2C,,19630,,64736.035
DENND2D,ENSG00000162777,58872,1026.0,394836.12
DENND3,ENSG00000105339,48038,266.0,298860.5
DENND4A,ENSG00000174485,40808,320.0,242609.61
DENND4B,ENSG00000198837,36126,249.0,213057.69
DENND4C,ENSG00000137145,51037,149.0,300846.3
DENND5A,ENSG00000184014,48365,153.0,301167.2
DENND5B,ENSG00000170456,31297,28.0,129872.24
DENND6A,ENSG00000174839,45937,143.0,214537.0
DENND6B,ENSG00000205593,31930,417.0,157405.0
DENR,ENSG00000139726,137857,1433.0,929402.94
DEPDC1,ENSG00000024526,19737,71.0,120654.31
DEPDC1B,ENSG00000035499,14741,121.0,85756.74
DEPDC4,,12764,,32523.102
DEPDC5,ENSG00000100150,18502,69.0,87630.17
DEPDC7,,5506,,29977.059
DEPTOR,ENSG00000155792,17715,,108355.07
DERA,ENSG00000023697,72760,391.0,465098.03
DERL1,ENSG00000136986,112415,1456.0,738534.75
DERL2,ENSG00000072849,102871,1026.0,686342.25
DERL3,ENSG00000099958,17980,360.0,126157.96
DES,,3225,,22614.008
DESI1,ENSG00000100418,96261,712.0,571051.75
DESI2,ENSG00000121644,75819,338.0,492986.12
DET1,ENSG00000140543,17970,33.0,74742.56
DEXI,ENSG00000182108,54206,334.0,356557.56
DFFA,ENSG00000160049,90004,464.0,534656.5
DFFB,ENSG00000169598,28069,95.0,101702.65
DFNA5,ENSG00000105928,14132,,88752.836
DFNB31,ENSG00000095397,10269,456.0,68786.96
DFNB59,,2042,,10611.187
DGAT1,ENSG00000185000,47169,276.0,291213.75
DGAT2,ENSG00000062282,12960,32.0,77001.625
DGCR14,ENSG00000100056,19302,290.0,115331.22
DGCR2,ENSG00000070413,48583,307.0,305866.16
DGCR6,ENSG00000183628,27058,89.0,154840.7
DGCR6L,ENSG00000128185,123345,1347.0,849673.4
DGCR8,ENSG00000128191,32914,203.0,181131.5
DGKA,ENSG00000065357,44741,426.0,275911.75
DGKB,,19185,,39479.36
DGKD,ENSG00000077044,40942,189.0,242099.6
DGKE,ENSG00000153933,39321,201.0,169411.25
DGKG,,13146,,80780.64
DGKH,ENSG00000102780,43071,258.0,224473.7
DGKI,,4690,,27601.383
DGKK,,159,,245.27795
DGKQ,ENSG00000145214,13753,107.0,81564.26
DGKZ,ENSG00000149091,74374,1459.0,482571.66
DGUOK,ENSG00000114956,166557,2385.0,1213365.1
DHCR24,ENSG00000116133,64230,83.0,441926.0
DHCR7,ENSG00000172893,44729,160.0,276534.34
DHDDS,ENSG00000117682,43054,255.0,249451.1
DHDH,,5426,,31900.45
DHFR,ENSG00000228716,58857,516.0,365792.78
DHFRL1,ENSG00000178700,10497,109.0,65303.73
DHH,,575,,3395.9187
DHODH,ENSG00000102967,36715,139.0,163105.69
DHPS,ENSG00000095059,110846,1137.0,762753.7
DHRS1,ENSG00000157379,49153,369.0,292154.12
DHRS11,ENSG00000278535,23505,69.0,141759.89
DHRS12,ENSG00000102796,30243,218.0,184495.4
DHRS13,ENSG00000167536,23841,141.0,150855.36
DHRS2,,1872,,5931.3345
DHRS3,ENSG00000162496,80222,75.0,531226.2
DHRS4,ENSG00000157326,44519,271.0,273223.12
DHRS4L2,ENSG00000187630,76199,673.0,488542.5
DHRS7,ENSG00000100612,167149,3032.0,1267691.5
DHRS7B,ENSG00000109016,54238,235.0,312789.22
DHRS9,ENSG00000073737,13736,18.0,91789.47
DHRSX,ENSG00000169084,66481,382.0,413411.06
DHTKD1,ENSG00000181192,57313,198.0,288235.88
DHX15,ENSG00000109606,101181,786.0,653626.6
DHX16,ENSG00000204560,45594,377.0,273588.56
DHX29,ENSG00000067248,100450,563.0,644500.0
DHX30,ENSG00000132153,91269,676.0,558439.5
DHX32,ENSG00000089876,35392,73.0,211873.73
DHX33,ENSG00000005100,43864,136.0,229863.62
DHX34,ENSG00000134815,20145,76.0,118935.016
DHX35,ENSG00000101452,21729,92.0,97353.84
DHX36,ENSG00000174953,151098,1626.0,1051372.1
DHX37,ENSG00000150990,26659,195.0,141427.84
DHX38,ENSG00000140829,50459,450.0,312931.34
DHX40,ENSG00000108406,53809,224.0,342136.1
DHX57,ENSG00000163214,34636,221.0,169941.77
DHX58,ENSG00000108771,19028,443.0,119723.914
DHX8,ENSG00000067596,50906,245.0,293287.28
DHX9,ENSG00000135829,105722,891.0,692493.5
DIABLO,ENSG00000184047,32298,116.0,173504.03
DIAPH1,ENSG00000131504,92740,1413.0,602229.06
DIAPH2,ENSG00000147202,45499,224.0,287646.28
DIAPH3,ENSG00000139734,19923,65.0,107461.04
DICER1,ENSG00000100697,86515,382.0,558878.94
DIDO1,ENSG00000101191,63641,462.0,394331.16
DIEXF,ENSG00000117597,34435,163.0,153487.2
DIMT1,ENSG00000086189,61906,461.0,383247.4
DIO1,,1281,,4080.3188
DIO2,,8803,,59229.32
DIO3,,1216,,7533.148
DIP2A,ENSG00000160305,73992,500.0,432908.03
DIP2B,ENSG00000066084,47116,135.0,285306.94
DIP2C,,22471,,134163.14
DIRAS1,,7279,,44294.156
DIRAS2,,12655,,51492.746
DIRAS3,ENSG00000162595,11096,137.0,73342.16
DIRC1,,762,,2206.8389
DIRC2,ENSG00000138463,22012,63.0,129098.44
DIRC3,,2315,,12779.471
DIS3,ENSG00000083520,68267,388.0,376345.75
DIS3L,ENSG00000166938,49296,239.0,246856.36
DIS3L2,ENSG00000144535,41250,353.0,232732.22
DISC1,ENSG00000162946,23859,69.0,116036.57
DISP1,ENSG00000154309,13076,27.0,73498.33
DISP2,,14398,21.0,37114.363
DIXDC1,,23914,89.0,140485.11
DKC1,ENSG00000130826,97786,767.0,641631.3
DKK1,,7896,,54915.336
DKK2,,1008,,6209.5513
DKK3,ENSG00000050165,35693,33.0,249861.45
DKK4,,547,,2773.215
DKKL1,,769,,4573.7646
DLAT,ENSG00000150768,38783,207.0,231751.44
DLC1,,34264,,227366.31
DLD,ENSG00000091140,84282,773.0,533612.1
DLEC1,,9972,,22358.205
DLEU1,ENSG00000176124,42262,237.0,241015.69
DLEU7,,6736,,44832.992
DLG1,ENSG00000075711,74966,622.0,469148.5
DLG2,,7864,,46845.71
DLG3,ENSG00000082458,25477,84.0,152991.14
DLG4,ENSG00000132535,12901,27.0,72515.75
DLG5,,39974,,199775.83
DLGAP1,,9963,,61717.344
DLGAP2,,594,,3208.8313
DLGAP3,ENSG00000116544,3251,48.0,20048.934
DLGAP4,ENSG00000080845,79228,522.0,501942.53
DLGAP5,ENSG00000126787,19306,238.0,120165.85
DLK1,,3488,,22346.027
DLK2,,10844,12.0,43908.047
DLL1,,12483,18.0,80446.63
DLL3,,20854,17.0,143005.1
DLL4,,5089,,34572.07
DLST,ENSG00000119689,58432,657.0,352595.47
DLX1,,6177,,40184.645
DLX2,,7831,,48891.355
DLX3,,1736,,8941.644
DLX4,,1261,,6985.063
DLX5,,7670,,57294.375
DLX6,,2985,,18057.004
DMAP1,ENSG00000178028,61095,512.0,390439.5
DMBT1,,3994,,28987.166
DMBX1,,6333,,12653.465
DMC1,ENSG00000100206,19930,62.0,51967.824
DMD,ENSG00000198947,22440,22.0,129882.98
DMGDH,ENSG00000132837,5284,97.0,29640.184
DMKN,,48986,,328189.78
DMP1,,511,,3018.1384
DMPK,ENSG00000104936,19289,64.0,116345.02
DMRT1,,368,,1061.7808
DMRT2,,1010,,6078.1626
DMRT3,,242,,1217.4457
DMRTA1,,6264,,35548.234
DMRTA2,,4889,,30094.28
DMRTC1,,129,,647.30743
DMRTC1B,,126,,634.4651
DMRTC2,,152,,201.71477
DMTF1,ENSG00000135164,58436,386.0,358182.22
DMTN,ENSG00000158856,14065,192.0,88375.89
DMWD,ENSG00000185800,48757,313.0,275832.47
DMXL1,ENSG00000172869,53792,273.0,333975.2
DMXL2,ENSG00000104093,38575,98.0,231811.38
DNA2,ENSG00000138346,8618,42.0,47100.336
DNAAF1,ENSG00000154099,17414,51.0,68755.516
DNAAF2,ENSG00000165506,51823,352.0,316629.53
DNAAF3,,1791,,10739.592
DNAAF5,ENSG00000164818,14801,67.0,71156.01
DNAH1,ENSG00000114841,7183,63.0,35247.086
DNAH10,,1494,,4206.776
DNAH10OS,,777,,4681.644
DNAH11,,6609,,33690.098
DNAH12,,725,,3623.739
DNAH14,ENSG00000185842,30867,10.0,134511.3
DNAH17,,6516,,14958.74
DNAH2,,8380,,16038.06
DNAH3,,4703,,7185.555
DNAH5,,6669,,42113.44
DNAH6,,2393,,11728.678
DNAH7,,11932,,24937.852
DNAH8,,1473,,8355.542
DNAH9,,11626,,34160.332
DNAI1,,168,,1055.9646
DNAI2,,146,,722.16754
DNAJA1,ENSG00000086061,219382,3787.0,1783302.6
DNAJA2,ENSG00000069345,119254,1298.0,795495.8
DNAJA3,ENSG00000103423,63082,416.0,372435.2
DNAJA4,ENSG00000140403,48973,176.0,321741.75
DNAJB1,ENSG00000132002,203247,3106.0,1726673.9
DNAJB11,ENSG00000090520,129910,1620.0,897082.75
DNAJB12,ENSG00000148719,69434,560.0,434683.62
DNAJB13,,3160,,15344.587
DNAJB14,ENSG00000164031,94983,1140.0,618409.75
DNAJB2,ENSG00000135924,74541,773.0,497361.62
DNAJB4,ENSG00000162616,56294,126.0,366515.2
DNAJB5,ENSG00000137094,11126,56.0,65231.848
DNAJB6,ENSG00000105993,205092,2756.0,1577419.6
DNAJB7,,1785,,5197.5854
DNAJB9,ENSG00000128590,99446,759.0,689784.1
DNAJC1,ENSG00000136770,114068,1243.0,779418.5
DNAJC10,ENSG00000077232,94830,401.0,592951.3
DNAJC11,ENSG00000007923,34313,158.0,208804.94
DNAJC12,,19123,21.0,123023.81
DNAJC13,ENSG00000138246,41335,179.0,241675.52
DNAJC14,ENSG00000135392,41356,238.0,212842.45
DNAJC15,ENSG00000120675,134867,2163.0,956025.4
DNAJC16,ENSG00000116138,40742,107.0,209951.56
DNAJC17,ENSG00000104129,42133,334.0,246506.4
DNAJC18,ENSG00000170464,33400,94.0,145948.7
DNAJC19,ENSG00000205981,143044,1180.0,1012625.1
DNAJC2,ENSG00000105821,106286,771.0,697081.56
DNAJC21,ENSG00000168724,97901,676.0,616422.56
DNAJC22,,22706,,76761.24
DNAJC24,ENSG00000170946,44110,154.0,220825.33
DNAJC25,ENSG00000059769,33562,87.0,205015.31
DNAJC25-GNG10,,8562,,30828.508
DNAJC27,ENSG00000115137,17068,101.0,100233.59
DNAJC28,,4158,,17116.645
DNAJC3,ENSG00000102580,125629,984.0,846247.8
DNAJC30,ENSG00000176410,52397,347.0,300780.78
DNAJC4,ENSG00000110011,97326,950.0,658022.8
DNAJC5,ENSG00000101152,64565,356.0,410072.66
DNAJC5B,ENSG00000147570,14695,,46619.816
DNAJC5G,,6010,,9052.531
DNAJC6,,5342,,31162.432
DNAJC7,ENSG00000168259,151382,2245.0,1065653.5
DNAJC8,ENSG00000126698,172707,2492.0,1267728.8
DNAJC9,ENSG00000213551,80211,1386.0,524364.75
DNAL1,ENSG00000119661,51867,63.0,238495.94
DNAL4,ENSG00000100246,34561,200.0,216707.27
DNALI1,,18776,,116252.78
DNASE1,ENSG00000213918,42754,162.0,202290.34
DNASE1L1,ENSG00000013563,33916,184.0,208588.92
DNASE1L2,,1438,,8781.94
DNASE1L3,ENSG00000163687,8019,560.0,38658.53
DNASE2,ENSG00000105612,87008,978.0,579035.44
DNASE2B,,3996,,25389.773
DND1,,9264,,47382.504
DNER,,13630,,100318.125
DNHD1,ENSG00000179532,9418,23.0,49157.066
DNLZ,ENSG00000213221,9502,66.0,56017.074
DNM1,,24367,,103689.13
DNM1L,ENSG00000087470,89207,519.0,535991.0
DNM2,ENSG00000079805,89986,1376.0,569922.8
DNM3,,13158,,81726.266
DNMBP,ENSG00000107554,23485,25.0,136970.28
DNMT1,ENSG00000130816,112062,1381.0,763805.3
DNMT3A,ENSG00000119772,43403,554.0,254909.05
DNMT3B,,3875,22.0,20483.484
DNMT3L,,232,,587.9868
DNPEP,ENSG00000123992,89643,906.0,572904.9
DNPH1,ENSG00000112667,154387,3129.0,1142808.9
DNTTIP1,ENSG00000101457,76503,533.0,512194.75
DNTTIP2,ENSG00000067334,102302,909.0,688025.56
DOC2A,,10394,,25341.412
DOC2B,,7446,,16826.412
DOCK1,,27696,10.0,165809.23
DOCK10,ENSG00000135905,53841,732.0,338364.06
DOCK11,ENSG00000147251,36606,517.0,226996.78
DOCK2,ENSG00000134516,49621,849.0,330043.12
DOCK3,,3033,,14567.496
DOCK4,ENSG00000128512,40219,38.0,265094.38
DOCK5,ENSG00000147459,51120,204.0,294009.75
DOCK6,,29135,,135602.9
DOCK7,ENSG00000116641,47202,34.0,260564.02
DOCK8,ENSG00000107099,78713,2000.0,552985.06
DOCK9,ENSG00000088387,31298,112.0,168928.4
DOHH,ENSG00000129932,43903,434.0,284886.38
DOK1,ENSG00000115325,33564,413.0,218175.31
DOK2,ENSG00000147443,59605,2868.0,443863.03
DOK3,ENSG00000146094,20361,82.0,135555.0
DOK4,,19269,18.0,119393.64
DOK5,ENSG00000101134,14310,19.0,97448.47
DOK6,,2839,,14026.891
DOK7,,2367,,14817.821
DOLK,ENSG00000175283,26906,101.0,162944.77
DOLPP1,ENSG00000167130,22885,99.0,131806.3
DONSON,ENSG00000159147,33397,156.0,201525.14
DOPEY1,ENSG00000083097,16769,65.0,88167.21
DOPEY2,ENSG00000142197,41934,158.0,197455.5
DOT1L,ENSG00000104885,40479,178.0,204424.55
DPAGT1,ENSG00000172269,46248,232.0,277826.47
DPCD,ENSG00000166171,56167,93.0,360362.22
DPCR1,,7753,,60985.195
DPEP1,ENSG00000015413,4164,,29095.986
DPEP2,ENSG00000167261,15412,129.0,98506.63
DPEP3,,419,,2557.4922
DPF1,,11205,,69168.74
DPF2,ENSG00000133884,79666,513.0,487524.9
DPF3,ENSG00000205683,11049,237.0,72941.27
DPH1,,18667,,84237.22
DPH2,ENSG00000132768,35162,199.0,215494.33
DPH3,ENSG00000154813,86050,599.0,547506.5
DPH5,ENSG00000117543,50109,312.0,315075.8
DPH6,ENSG00000134146,31896,198.0,168338.6
DPH7,ENSG00000148399,31581,340.0,197074.98
DPM1,ENSG00000000419,107485,1278.0,726777.2
DPM2,ENSG00000136908,107736,877.0,714735.06
DPM3,ENSG00000179085,127776,1313.0,903520.44
DPP10,,1845,,10220.68
DPP3,ENSG00000254986,45873,632.0,284378.72
DPP4,ENSG00000197635,30954,174.0,188727.48
DPP6,,13666,,94198.266
DPP7,ENSG00000176978,166282,2691.0,1220942.6
DPP8,ENSG00000074603,69908,476.0,424245.88
DPP9,ENSG00000142002,64506,518.0,343066.47
DPPA2,,192,,994.7879
DPPA4,,14758,23.0,30341.826
DPT,,5438,,42412.145
DPY19L1,ENSG00000173852,34275,72.0,210940.8
DPY19L2,,6977,50.0,40463.59
DPY19L3,ENSG00000178904,34988,33.0,181453.55
DPY19L4,ENSG00000156162,50613,75.0,245931.39
DPY30,ENSG00000162961,159668,1619.0,1159802.8
DPYD,ENSG00000188641,48905,246.0,314283.6
DPYS,,1924,,7134.401
DPYSL2,ENSG00000092964,107953,709.0,755040.1
DPYSL3,,43843,,310454.25
DPYSL4,,7194,12.0,45684.54
DPYSL5,,22887,,70164.43
DQX1,,1482,,8642.237
DR1,ENSG00000117505,106293,1458.0,686616.7
DRAM1,ENSG00000136048,42999,205.0,255439.89
DRAM2,ENSG00000156171,102774,1025.0,690478.56
DRAP1,ENSG00000175550,218208,6776.0,1716636.1
DRAXIN,ENSG00000162490,20035,220.0,78462.68
DRC1,,376,,2553.2957
DRD1,,201,,1267.5468
DRD2,,926,,5606.816
DRD4,ENSG00000069696,2146,87.0,13835.015
DRG1,ENSG00000185721,83545,866.0,538356.5
DRG2,ENSG00000108591,56035,690.0,352983.12
DRGX,,227,,1391.0536
DROSHA,ENSG00000113360,34936,108.0,195493.44
DRP2,,1245,,6688.887
DSC1,,3737,,3407.0388
DSC2,ENSG00000134755,47085,29.0,274911.56
DSC3,,21484,,52991.94
DSCAM,,6873,,43200.79
DSCAML1,,2523,10.0,13810.907
DSCC1,ENSG00000136982,17359,123.0,103550.72
DSCR3,ENSG00000157538,59678,581.0,323432.66
DSCR8,,405,,2013.0171
DSE,ENSG00000111817,56819,328.0,369115.84
DSEL,,51990,20.0,282150.5
DSG1,,391,,1420.5488
DSG2,,68218,,389665.22
DSG3,,19176,,52485.887
DSN1,ENSG00000149636,32250,213.0,191145.53
DSP,,58503,,404414.7
DSPP,,466,,2914.556
DST,ENSG00000151914,105743,46.0,740207.3
DSTN,ENSG00000125868,217298,2406.0,1856617.4
DSTYK,ENSG00000133059,55273,241.0,269390.72
