,PC1,PC2
s_segment_0_2361,-14.297464133023498,-34.609852168089986
s_segment_0_2364,-24.76989013587001,-14.131247538482942
s_segment_0_2382,-45.102137491877855,13.705096601415683
s_segment_0_241,-41.86614708787757,45.57443578597853
s_segment_0_2435,-31.091744789803144,-4.571467510393407
s_segment_0_2452,-23.420956771687827,-36.222082325137265
s_segment_0_2459,-24.187453966745927,-24.41959357445498
s_segment_0_2477,-39.30101430538524,16.94898168129442
s_segment_0_2497,-25.542051358608976,25.739218805220926
s_segment_0_2509,-36.236632365895474,43.74777326382022
s_segment_0_2516,-42.040266493468614,8.365623606792942
s_segment_0_2521,-28.82672009993268,-10.720309178274523
s_segment_0_2541,-38.62278616407448,37.21372278211957
s_segment_0_2592,-35.483024640002405,24.247399832388822
s_segment_0_2609,-10.387800559701727,-35.6057613975585
s_segment_0_2612,-30.46636831418746,-18.379924649944144
s_segment_0_2628,-29.04068099264828,29.159442130318585
s_segment_0_2633,-39.543584274030415,-9.503830361426266
s_segment_0_2644,-45.792975613929926,11.732485977138365
s_segment_0_2661,-37.07061270130467,-8.196168678479296
s_segment_0_2666,-33.29439964754943,27.898285829747103
s_segment_0_2667,-40.63914216572818,-16.69160588385072
s_segment_0_2691,-21.03308799220643,-0.6198312298060982
s_segment_0_2701,-12.205827030603986,-36.537759668769
s_segment_0_2743,-38.599357421503186,6.052822123155685
s_segment_0_2755,-40.637676010043265,32.26396577867549
s_segment_0_2763,-41.068111360389274,50.53399867057864
s_segment_0_278,-44.25016881884349,-10.846315043861537
s_segment_0_2783,-8.689891063722715,-43.79144136594764
s_segment_0_279,-19.21858579423747,1.4323313908725825
s_segment_0_2799,-38.445898627518105,11.531354605349009
s_segment_0_2820,-45.46551101976842,47.08834465433649
s_segment_0_2833,-38.677886992223506,19.093365673473468
s_segment_0_2875,-40.577375465270144,1.2592085246859652
s_segment_0_292,-49.702311883331184,13.23884150847492
s_segment_0_2935,-31.899975528490266,-30.742499210599323
s_segment_0_2950,-32.03081977326683,-22.915286290313947
s_segment_0_3008,-24.95473478871142,-21.555131792950043
s_segment_0_3028,-27.269153091702936,-23.476701465300316
s_segment_0_3044,-8.453334414682766,-36.77401088822822
s_segment_0_3087,-31.056013025166546,-12.210263721334734
s_segment_0_3100,-2.859656298947403,-39.74038917574883
s_segment_0_3103,-41.77557314586809,42.28650406245837
s_segment_0_3153,-34.16538541092869,3.0955887175810566
s_segment_0_3189,-42.762761371282956,7.789654774064547
s_segment_0_3203,-23.51662231617544,0.20256187794730612
s_segment_0_3226,-42.35434639356348,17.01926596469297
s_segment_0_3229,-42.269063222408086,21.685084026564148
s_segment_0_3231,-28.56052969089016,-17.19882648053699
s_segment_0_3235,-42.1421755398215,-10.67841586466192
s_segment_0_324,-18.190796213350318,-21.34612519853777
s_segment_0_3252,-22.774181019114007,-30.07694984357222
s_segment_0_3279,-17.728281399060453,-18.031673407381227
s_segment_0_331,-48.11013357710583,33.116387814405904
s_segment_0_3315,-42.332995528067265,-9.750454947966713
