,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes
TCGA-ET-A40Q-01A,0.025,0.000,0.013,0.004,0.000,0.000,0.630,0.028,0.056,0.096,0.003,0.139,0.000,0.001,0.002,0.000
TCGA-FK-A3SE-01A,0.002,0.000,0.002,0.001,0.000,0.000,0.740,0.009,0.133,0.057,0.010,0.041,0.000,0.000,0.003,0.000
TCGA-EM-A2OZ-01A,0.000,0.000,0.004,0.006,0.000,0.000,0.753,0.002,0.136,0.001,0.029,0.065,0.000,0.000,0.002,0.000
TCGA-ET-A3DW-01A,0.000,0.001,0.006,0.004,0.000,0.000,0.850,0.019,0.036,0.002,0.000,0.079,0.000,0.000,0.002,0.000
TCGA-H2-A421-01A,0.056,0.001,0.012,0.017,0.001,0.000,0.559,0.004,0.111,0.075,0.008,0.154,0.001,0.000,0.002,0.000
TCGA-E8-A417-01A,0.030,0.001,0.004,0.021,0.000,0.000,0.711,0.003,0.073,0.024,0.011,0.118,0.000,0.001,0.002,0.000
TCGA-EL-A3T2-01A,0.019,0.003,0.000,0.004,0.000,0.000,0.724,0.001,0.190,0.001,0.030,0.023,0.000,0.000,0.004,0.000
TCGA-E3-A3E0-01A,0.010,0.000,0.007,0.011,0.000,0.000,0.683,0.002,0.155,0.002,0.038,0.088,0.001,0.000,0.002,0.000
TCGA-DJ-A3UW-01A,0.098,0.009,0.020,0.009,0.001,0.000,0.478,0.028,0.105,0.107,0.007,0.135,0.001,0.000,0.002,0.000
TCGA-DJ-A3VG-01A,0.021,0.000,0.000,0.002,0.002,0.000,0.645,0.000,0.201,0.001,0.099,0.027,0.000,0.001,0.002,0.000
TCGA-BJ-A28V-01A,0.019,0.000,0.001,0.000,0.003,0.000,0.700,0.000,0.191,0.002,0.075,0.006,0.000,0.000,0.002,0.000
TCGA-EM-A2CJ-01A,0.031,0.000,0.000,0.001,0.002,0.000,0.737,0.000,0.116,0.034,0.059,0.018,0.000,0.000,0.002,0.000
TCGA-EM-A22O-01A,0.000,0.001,0.001,0.009,0.000,0.000,0.828,0.000,0.075,0.020,0.002,0.062,0.000,0.001,0.002,0.000
TCGA-E3-A3DY-01A,0.021,0.002,0.006,0.008,0.000,0.000,0.684,0.004,0.111,0.041,0.002,0.118,0.000,0.000,0.003,0.000
TCGA-BJ-A0ZH-01A,0.007,0.000,0.010,0.001,0.000,0.000,0.693,0.004,0.133,0.021,0.033,0.096,0.000,0.000,0.002,0.000
TCGA-BJ-A45J-01A,0.001,0.000,0.004,0.002,0.000,0.000,0.729,0.007,0.160,0.027,0.015,0.051,0.001,0.000,0.003,0.000
TCGA-FY-A3I5-01B,0.043,0.026,0.001,0.001,0.017,0.001,0.715,0.002,0.092,0.028,0.025,0.046,0.001,0.000,0.001,0.000
TCGA-E8-A413-01A,0.004,0.000,0.009,0.004,0.001,0.000,0.515,0.045,0.114,0.208,0.017,0.077,0.000,0.000,0.004,0.000
TCGA-FY-A3NM-01A,0.025,0.000,0.003,0.000,0.000,0.000,0.741,0.000,0.167,0.001,0.049,0.011,0.000,0.000,0.001,0.000
TCGA-FY-A2QD-01A,0.027,0.000,0.001,0.002,0.001,0.000,0.837,0.000,0.072,0.005,0.045,0.006,0.000,0.000,0.002,0.000
TCGA-CE-A485-01A,0.003,0.000,0.013,0.001,0.004,0.000,0.424,0.033,0.217,0.162,0.050,0.087,0.001,0.001,0.004,0.001
TCGA-DJ-A13S-01A,0.012,0.000,0.001,0.002,0.000,0.000,0.638,0.000,0.211,0.001,0.068,0.064,0.000,0.000,0.002,0.000
