"","T Cells","NK","Macrophages","B Cells","Endothelial Cells","Cancer Cells","Fibroblasts"
"TCGA.24.1928.01A",0,0,0,0,0.267676620056359,0.315056106618512,0.41726727332513
"TCGA.31.1959.01A",0,0,0.102093766337484,0,0.269625297637153,0.234318791601277,0.393962144424086
"TCGA.57.1586.01A",0,0,0.00826117069881288,0,0.197846444435871,0.793892384865316,0
"TCGA.09.2044.01B",0,0,0.217825936722952,0,0.201652128276576,0.578974271062022,0.0015476639384499
"TCGA.13.1506.01A",0,0,0,0,0.10922793192903,0.89077206807097,0
"TCGA.25.1870.01A",0,0,0.0696395815697526,0,0.381901226312521,0.540330528116584,0.00812866400114171
"TCGA.09.0366.01A",0,0,0.473974691716874,0,0.186978468530877,0.339046839752249,0
"TCGA.30.1892.01A",0,0,0,0,0.0661430847600377,0.430886010271852,0.50297090496811
"TCGA.13.0893.01B",0,0,0.069909641432125,0,0.282665512404588,0.593343120196599,0.054081725966688
"TCGA.09.2056.01B",0,0,0.0298402417458781,0,0.146136096258857,0.687144697763534,0.13687896423173
"TCGA.29.1781.01A",0,0.00255761568010456,0.295058410430723,0,0.217106437629492,0.473063212396184,0.0122143238634961
"TCGA.29.1699.01A",0,0,0.153666131586739,0,0.279640805531227,0.513869937156143,0.0528231257258922
"TCGA.04.1364.01A",0,0,0,0,0.199269964711606,0.800730035288394,0
"TCGA.59.2363.01A",0,0,0,0,0.269997906989864,0.728082697763745,0.00191939524639047
"TCGA.24.1416.01A",0,0,0.00703991933816433,0,0.283912823188532,0.709047257473304,0
"TCGA.20.1686.01A",0,0,0,0,0.224041682389741,0.775958317610259,0
"TCGA.29.1697.01A",0,0,0,0,0.263369834582036,0.735175056287788,0.00145510913017614
"TCGA.29.1770.01A",0,0,0.00114440534278245,0,0.221364165227997,0.438796699061014,0.338694730368207
"TCGA.23.1116.01A",0,0,0.0931650877049474,0,0.142652235593568,0.384740373743427,0.379442302958057
"TCGA.29.2428.01A",0,0.0033656510453717,0.198942403037139,0,0.178082572562614,0.603074911563228,0.016534461791647
"TCGA.24.2293.01A",0,0,0.0425267399814521,0,0.170883534610847,0.107653004869614,0.678936720538087
"TCGA.25.1635.01A",0,0,0.0680410527993937,0,0.177653221692554,0.36889236906564,0.385413356442413
"TCGA.25.2409.01A",0,0,0.0700613313340866,0,0.209666198463195,0.521553409316048,0.198719060886671
"TCGA.24.2280.01A",0,0,0,0,0.298920294852878,0.218221854334388,0.482857850812735
"TCGA.29.1710.01A",0,0.00489443131137243,0.260728652473214,0,0.185221466499094,0.226471930222971,0.322683519493348
"TCGA.61.2095.01A",0,0,0.0372043958027031,0,0.419362389565614,0.274894274053137,0.268538940578546
"TCGA.13.1489.01A",0,0,0,0,0.0122122250674889,0.987787774932511,0
"TCGA.23.1023.01A",0,0,0.0980179303700179,0,0.40209540620746,0.31309527684007,0.186791386582452
"TCGA.29.2425.01A",0,0,0,0,0.100208178322401,0.814431586088532,0.0853602355890668
"TCGA.36.1574.01A",0,0,0.00917704391712742,0,0.178323096989273,0.441188848360685,0.371311010732915
"TCGA.30.1853.01A",0,0,0,0,0.131370339407172,0.854430959500992,0.0141987010918368
"TCGA.04.1648.01A",0,0,0.179729875908389,0,0.196359643271087,0.623910480820524,0
"TCGA.13.1409.01A",0,0,0,0,0.118358361795015,0.830554059089455,0.0510875791155299
"TCGA.OY.A56Q.01A",0,0,0,0,0.192497835711651,0.807502164288349,0
"TCGA.24.1471.01A",0,0,0,0.389518779795631,0.122398526666592,0.488082693537777,0
"TCGA.59.2350.01A",0,0,0.00459578354693226,0,0.31327362112745,0.654043109242619,0.0280874860829989
"TCGA.29.1688.01A",0,0,0.138169823534583,0,0.302796224201562,0.521027656474075,0.0380062957897801
"TCGA.61.1724.01A",0,0,0,0,0.252765081231145,0.527951744481871,0.219283174286984
"TCGA.25.1628.01A",0,0,0.0434019374943359,0,0.208691636320227,0.269191194714805,0.478715231470632
"TCGA.09.1669.01A",0,0,0,0,0.283750286307893,0.634728843693099,0.0815208699990078
"TCGA.13.1405.01A",0,0,0.035996643184619,0,0.231041247089356,0.38484318941318,0.348118920312844
"TCGA.24.2024.01A",0,0,0,0,0.196592058876845,0.532860594902879,0.270547346220276
"TCGA.24.1422.01A",0,0,0.0299344889242648,0,0.21907247269956,0.229019741166301,0.521973297209874
"TCGA.61.1740.01A",0,0,0.23818226480523,0,0.249236164584839,0.512581570609931,0
"TCGA.13.0891.01A",0,0,0.0304249268997533,0,0.200846521406273,0.768728551693974,0
"TCGA.61.1728.01A",0,0,0.00099547679630371,0,0.274693303648541,0.717362747684212,0.00694847187094309
"TCGA.61.1733.01A",0,0,0,0,0.0914053778996218,0.535213310148068,0.37338131195231
"TCGA.13.0720.01A",0,0,0,0,0.271255869166156,0.728744130833844,0
"TCGA.29.1698.01A",0,0,0,0,0.207905628632351,0.44008073293973,0.352013638427919
"TCGA.24.2288.01A",0,0,0.0414878485614502,0,0.34087875485943,0.435897317374625,0.181736079204495
"TCGA.25.1630.01A",0,0,0.121220542185684,0,0.292789069964131,0.493562399144838,0.0924279887053475
"TCGA.13.0901.01B",0,0,0,0,0.0889434292264525,0.673513243468208,0.237543327305339
